seqnames	start	end	strand	transcript_id	type	gene_id
chrX	296	382	+	ENST00000355899.8	UTR	NA
chrX	382	1847	+	ENST00000355899.8	intron	NA
chrX	1847	1854	+	ENST00000355899.8	UTR	NA
chrX	1855	1927	+	ENST00000355899.8	CDS	ENSG00000102024.19
chrX	1927	2515	+	ENST00000355899.8	intron	ENSG00000102024.19
chrX	2515	2678	+	ENST00000355899.8	CDS	ENSG00000102024.19
chrX	2678	4623	+	ENST00000355899.8	intron	ENSG00000102024.19
chrX	4623	4752	+	ENST00000355899.8	CDS	ENSG00000102024.19
chrX	4752	4855	+	ENST00000355899.8	intron	ENSG00000102024.19
chrX	4855	4987	+	ENST00000355899.8	CDS	ENSG00000102024.19
chrX	4987	5089	+	ENST00000355899.8	intron	ENSG00000102024.19
chrX	5089	5170	+	ENST00000355899.8	CDS	ENSG00000102024.19
chrX	5170	5271	+	ENST00000355899.8	intron	ENSG00000102024.19
chrX	5271	5436	+	ENST00000355899.8	CDS	ENSG00000102024.19
chrX	5436	5890	+	ENST00000355899.8	intron	ENSG00000102024.19
chrX	5890	6032	+	ENST00000355899.8	CDS	ENSG00000102024.19
chrX	6032	7165	+	ENST00000355899.8	intron	ENSG00000102024.19
chrX	7165	7260	+	ENST00000355899.8	CDS	ENSG00000102024.19
chrX	7260	7381	+	ENST00000355899.8	intron	ENSG00000102024.19
chrX	7381	7576	+	ENST00000355899.8	CDS	ENSG00000102024.19
chrX	7576	7729	+	ENST00000355899.8	intron	ENSG00000102024.19
chrX	7729	7807	+	ENST00000355899.8	CDS	ENSG00000102024.19
chrX	7807	7908	+	ENST00000355899.8	intron	ENSG00000102024.19
chrX	7908	8022	+	ENST00000355899.8	CDS	ENSG00000102024.19
chrX	8022	8125	+	ENST00000355899.8	intron	ENSG00000102024.19
chrX	8125	8258	+	ENST00000355899.8	CDS	ENSG00000102024.19
chrX	8258	8359	+	ENST00000355899.8	intron	ENSG00000102024.19
chrX	8359	8482	+	ENST00000355899.8	CDS	ENSG00000102024.19
chrX	8482	8589	+	ENST00000355899.8	intron	ENSG00000102024.19
chrX	8589	8713	+	ENST00000355899.8	CDS	ENSG00000102024.19
chrX	8713	8833	+	ENST00000355899.8	intron	ENSG00000102024.19
chrX	8833	8968	+	ENST00000355899.8	CDS	ENSG00000102024.19
chrX	8969	10265	+	ENST00000355899.8	UTR	NA
chrX	318	382	+	ONTX.6869.1030	UTR	NA
chrX	382	1232	+	ONTX.6869.1030	intron	NA
chrX	1232	1367	+	ONTX.6869.1030	UTR	NA
chrX	1367	1847	+	ONTX.6869.1030	intron	NA
chrX	1847	1854	+	ONTX.6869.1030	UTR	NA
chrX	1855	1927	+	ONTX.6869.1030	CDS	PLS3
chrX	1927	2515	+	ONTX.6869.1030	intron	PLS3
chrX	2515	2678	+	ONTX.6869.1030	CDS	PLS3
chrX	2678	4623	+	ONTX.6869.1030	intron	PLS3
chrX	4623	4752	+	ONTX.6869.1030	CDS	PLS3
chrX	4752	4855	+	ONTX.6869.1030	intron	PLS3
chrX	4855	4987	+	ONTX.6869.1030	CDS	PLS3
chrX	4987	5089	+	ONTX.6869.1030	intron	PLS3
chrX	5089	5170	+	ONTX.6869.1030	CDS	PLS3
chrX	5170	5271	+	ONTX.6869.1030	intron	PLS3
chrX	5271	5436	+	ONTX.6869.1030	CDS	PLS3
chrX	5436	5890	+	ONTX.6869.1030	intron	PLS3
chrX	5890	6032	+	ONTX.6869.1030	CDS	PLS3
chrX	6032	7165	+	ONTX.6869.1030	intron	PLS3
chrX	7165	7260	+	ONTX.6869.1030	CDS	PLS3
chrX	7260	7381	+	ONTX.6869.1030	intron	PLS3
chrX	7381	7576	+	ONTX.6869.1030	CDS	PLS3
chrX	7576	7729	+	ONTX.6869.1030	intron	PLS3
chrX	7729	7807	+	ONTX.6869.1030	CDS	PLS3
chrX	7807	7908	+	ONTX.6869.1030	intron	PLS3
chrX	7908	8022	+	ONTX.6869.1030	CDS	PLS3
chrX	8022	8125	+	ONTX.6869.1030	intron	PLS3
chrX	8125	8258	+	ONTX.6869.1030	CDS	PLS3
chrX	8258	8359	+	ONTX.6869.1030	intron	PLS3
chrX	8359	8482	+	ONTX.6869.1030	CDS	PLS3
chrX	8482	8589	+	ONTX.6869.1030	intron	PLS3
chrX	8589	8713	+	ONTX.6869.1030	CDS	PLS3
chrX	8713	8833	+	ONTX.6869.1030	intron	PLS3
chrX	8833	8965	+	ONTX.6869.1030	CDS	PLS3
chrX	8966	10067	+	ONTX.6869.1030	UTR	NA
chrX	319	382	+	ONTX.6869.1070	UTR	NA
chrX	382	1847	+	ONTX.6869.1070	intron	NA
chrX	1847	1854	+	ONTX.6869.1070	UTR	NA
chrX	1855	1927	+	ONTX.6869.1070	CDS	PLS3
chrX	1927	2515	+	ONTX.6869.1070	intron	PLS3
chrX	2515	2678	+	ONTX.6869.1070	CDS	PLS3
chrX	2678	4623	+	ONTX.6869.1070	intron	PLS3
chrX	4623	4752	+	ONTX.6869.1070	CDS	PLS3
chrX	4752	4855	+	ONTX.6869.1070	intron	PLS3
chrX	4855	4987	+	ONTX.6869.1070	CDS	PLS3
chrX	4987	5089	+	ONTX.6869.1070	intron	PLS3
chrX	5089	5170	+	ONTX.6869.1070	CDS	PLS3
chrX	5170	5315	+	ONTX.6869.1070	intron	PLS3
chrX	5315	5395	+	ONTX.6869.1070	CDS	PLS3
chrX	5396	5436	+	ONTX.6869.1070	UTR	NA
chrX	5436	5890	+	ONTX.6869.1070	intron	NA
chrX	5890	6032	+	ONTX.6869.1070	UTR	NA
chrX	6032	7165	+	ONTX.6869.1070	intron	NA
chrX	7165	7260	+	ONTX.6869.1070	UTR	NA
chrX	7260	7381	+	ONTX.6869.1070	intron	NA
chrX	7381	7576	+	ONTX.6869.1070	UTR	NA
chrX	7576	7729	+	ONTX.6869.1070	intron	NA
chrX	7729	7807	+	ONTX.6869.1070	UTR	NA
chrX	7807	7908	+	ONTX.6869.1070	intron	NA
chrX	7908	8022	+	ONTX.6869.1070	UTR	NA
chrX	8022	8125	+	ONTX.6869.1070	intron	NA
chrX	8125	8258	+	ONTX.6869.1070	UTR	NA
chrX	8258	8359	+	ONTX.6869.1070	intron	NA
chrX	8359	8482	+	ONTX.6869.1070	UTR	NA
chrX	8482	8589	+	ONTX.6869.1070	intron	NA
chrX	8589	8713	+	ONTX.6869.1070	UTR	NA
chrX	8713	8833	+	ONTX.6869.1070	intron	NA
chrX	8833	10076	+	ONTX.6869.1070	UTR	NA
chrX	321	382	+	ONTX.6869.1096	UTR	NA
chrX	382	1847	+	ONTX.6869.1096	intron	NA
chrX	1847	1854	+	ONTX.6869.1096	UTR	NA
chrX	1855	1927	+	ONTX.6869.1096	CDS	PLS3
chrX	1927	2515	+	ONTX.6869.1096	intron	PLS3
chrX	2515	2678	+	ONTX.6869.1096	CDS	PLS3
chrX	2678	4623	+	ONTX.6869.1096	intron	PLS3
chrX	4623	4752	+	ONTX.6869.1096	CDS	PLS3
chrX	4752	4855	+	ONTX.6869.1096	intron	PLS3
chrX	4855	4987	+	ONTX.6869.1096	CDS	PLS3
chrX	4987	5089	+	ONTX.6869.1096	intron	PLS3
chrX	5089	5170	+	ONTX.6869.1096	CDS	PLS3
chrX	5170	5271	+	ONTX.6869.1096	intron	PLS3
chrX	5271	5436	+	ONTX.6869.1096	CDS	PLS3
chrX	5436	5890	+	ONTX.6869.1096	intron	PLS3
chrX	5890	6032	+	ONTX.6869.1096	CDS	PLS3
chrX	6032	7138	+	ONTX.6869.1096	intron	PLS3
chrX	7138	7164	+	ONTX.6869.1096	CDS	PLS3
chrX	7165	7260	+	ONTX.6869.1096	UTR	NA
chrX	7260	7381	+	ONTX.6869.1096	intron	NA
chrX	7381	7576	+	ONTX.6869.1096	UTR	NA
chrX	7576	7729	+	ONTX.6869.1096	intron	NA
chrX	7729	7807	+	ONTX.6869.1096	UTR	NA
chrX	7807	7908	+	ONTX.6869.1096	intron	NA
chrX	7908	8022	+	ONTX.6869.1096	UTR	NA
chrX	8022	8125	+	ONTX.6869.1096	intron	NA
chrX	8125	8258	+	ONTX.6869.1096	UTR	NA
chrX	8258	8359	+	ONTX.6869.1096	intron	NA
chrX	8359	8482	+	ONTX.6869.1096	UTR	NA
chrX	8482	8589	+	ONTX.6869.1096	intron	NA
chrX	8589	8732	+	ONTX.6869.1096	UTR	NA
chrX	8732	8854	+	ONTX.6869.1096	intron	NA
chrX	8854	10069	+	ONTX.6869.1096	UTR	NA
chrX	1242	1367	+	ONTX.6869.1492	UTR	NA
chrX	1367	1847	+	ONTX.6869.1492	intron	NA
chrX	1847	1854	+	ONTX.6869.1492	UTR	NA
chrX	1855	1927	+	ONTX.6869.1492	CDS	PLS3
chrX	1927	2515	+	ONTX.6869.1492	intron	PLS3
chrX	2515	2678	+	ONTX.6869.1492	CDS	PLS3
chrX	2678	4623	+	ONTX.6869.1492	intron	PLS3
chrX	4623	4752	+	ONTX.6869.1492	CDS	PLS3
chrX	4752	4855	+	ONTX.6869.1492	intron	PLS3
chrX	4855	4987	+	ONTX.6869.1492	CDS	PLS3
chrX	4987	5089	+	ONTX.6869.1492	intron	PLS3
chrX	5089	5170	+	ONTX.6869.1492	CDS	PLS3
chrX	5170	5271	+	ONTX.6869.1492	intron	PLS3
chrX	5271	5436	+	ONTX.6869.1492	CDS	PLS3
chrX	5436	5890	+	ONTX.6869.1492	intron	PLS3
chrX	5890	6032	+	ONTX.6869.1492	CDS	PLS3
chrX	6032	7138	+	ONTX.6869.1492	intron	PLS3
chrX	7138	7164	+	ONTX.6869.1492	CDS	PLS3
chrX	7165	7260	+	ONTX.6869.1492	UTR	NA
chrX	7260	7381	+	ONTX.6869.1492	intron	NA
chrX	7381	7576	+	ONTX.6869.1492	UTR	NA
chrX	7576	7729	+	ONTX.6869.1492	intron	NA
chrX	7729	7807	+	ONTX.6869.1492	UTR	NA
chrX	7807	7908	+	ONTX.6869.1492	intron	NA
chrX	7908	8022	+	ONTX.6869.1492	UTR	NA
chrX	8022	8125	+	ONTX.6869.1492	intron	NA
chrX	8125	8258	+	ONTX.6869.1492	UTR	NA
chrX	8258	8359	+	ONTX.6869.1492	intron	NA
chrX	8359	8482	+	ONTX.6869.1492	UTR	NA
chrX	8482	8589	+	ONTX.6869.1492	intron	NA
chrX	8589	8713	+	ONTX.6869.1492	UTR	NA
chrX	8713	8833	+	ONTX.6869.1492	intron	NA
chrX	8833	10079	+	ONTX.6869.1492	UTR	NA
chrX	1232	1367	+	ONTX.6869.1494	UTR	NA
chrX	1367	1847	+	ONTX.6869.1494	intron	NA
chrX	1847	1854	+	ONTX.6869.1494	UTR	NA
chrX	1855	1927	+	ONTX.6869.1494	CDS	PLS3
chrX	1927	2515	+	ONTX.6869.1494	intron	PLS3
chrX	2515	2678	+	ONTX.6869.1494	CDS	PLS3
chrX	2678	4623	+	ONTX.6869.1494	intron	PLS3
chrX	4623	4752	+	ONTX.6869.1494	CDS	PLS3
chrX	4752	4855	+	ONTX.6869.1494	intron	PLS3
chrX	4855	4987	+	ONTX.6869.1494	CDS	PLS3
chrX	4987	5089	+	ONTX.6869.1494	intron	PLS3
chrX	5089	5170	+	ONTX.6869.1494	CDS	PLS3
chrX	5170	5271	+	ONTX.6869.1494	intron	PLS3
chrX	5271	5436	+	ONTX.6869.1494	CDS	PLS3
chrX	5436	5890	+	ONTX.6869.1494	intron	PLS3
chrX	5890	6032	+	ONTX.6869.1494	CDS	PLS3
chrX	6032	7165	+	ONTX.6869.1494	intron	PLS3
chrX	7165	7260	+	ONTX.6869.1494	CDS	PLS3
chrX	7260	7381	+	ONTX.6869.1494	intron	PLS3
chrX	7381	7576	+	ONTX.6869.1494	CDS	PLS3
chrX	7576	7729	+	ONTX.6869.1494	intron	PLS3
chrX	7729	7807	+	ONTX.6869.1494	CDS	PLS3
chrX	7807	7908	+	ONTX.6869.1494	intron	PLS3
chrX	7908	8022	+	ONTX.6869.1494	CDS	PLS3
chrX	8022	8125	+	ONTX.6869.1494	intron	PLS3
chrX	8125	8258	+	ONTX.6869.1494	CDS	PLS3
chrX	8258	8359	+	ONTX.6869.1494	intron	PLS3
chrX	8359	8482	+	ONTX.6869.1494	CDS	PLS3
chrX	8482	8589	+	ONTX.6869.1494	intron	PLS3
chrX	8589	8713	+	ONTX.6869.1494	CDS	PLS3
chrX	8713	8833	+	ONTX.6869.1494	intron	PLS3
chrX	8833	8965	+	ONTX.6869.1494	CDS	PLS3
chrX	8966	10076	+	ONTX.6869.1494	UTR	NA
chrX	1267	1367	+	ONTX.6869.1500	UTR	NA
chrX	1367	1847	+	ONTX.6869.1500	intron	NA
chrX	1847	1854	+	ONTX.6869.1500	UTR	NA
chrX	1855	1927	+	ONTX.6869.1500	CDS	PLS3
chrX	1927	2515	+	ONTX.6869.1500	intron	PLS3
chrX	2515	2678	+	ONTX.6869.1500	CDS	PLS3
chrX	2678	4623	+	ONTX.6869.1500	intron	PLS3
chrX	4623	4752	+	ONTX.6869.1500	CDS	PLS3
chrX	4752	4855	+	ONTX.6869.1500	intron	PLS3
chrX	4855	4987	+	ONTX.6869.1500	CDS	PLS3
chrX	4987	5089	+	ONTX.6869.1500	intron	PLS3
chrX	5089	5170	+	ONTX.6869.1500	CDS	PLS3
chrX	5170	5271	+	ONTX.6869.1500	intron	PLS3
chrX	5271	5436	+	ONTX.6869.1500	CDS	PLS3
chrX	5436	5890	+	ONTX.6869.1500	intron	PLS3
chrX	5890	6032	+	ONTX.6869.1500	CDS	PLS3
chrX	6032	7138	+	ONTX.6869.1500	intron	PLS3
chrX	7138	7164	+	ONTX.6869.1500	CDS	PLS3
chrX	7165	7260	+	ONTX.6869.1500	UTR	NA
chrX	7260	7381	+	ONTX.6869.1500	intron	NA
chrX	7381	7576	+	ONTX.6869.1500	UTR	NA
chrX	7576	7729	+	ONTX.6869.1500	intron	NA
chrX	7729	7807	+	ONTX.6869.1500	UTR	NA
chrX	7807	7908	+	ONTX.6869.1500	intron	NA
chrX	7908	8022	+	ONTX.6869.1500	UTR	NA
chrX	8022	8125	+	ONTX.6869.1500	intron	NA
chrX	8125	8258	+	ONTX.6869.1500	UTR	NA
chrX	8258	8359	+	ONTX.6869.1500	intron	NA
chrX	8359	8482	+	ONTX.6869.1500	UTR	NA
chrX	8482	8589	+	ONTX.6869.1500	intron	NA
chrX	8589	8713	+	ONTX.6869.1500	UTR	NA
chrX	8713	8833	+	ONTX.6869.1500	intron	NA
chrX	8833	10076	+	ONTX.6869.1500	UTR	NA
chrX	1260	1367	+	ONTX.6869.1501	UTR	NA
chrX	1367	1847	+	ONTX.6869.1501	intron	NA
chrX	1847	1854	+	ONTX.6869.1501	UTR	NA
chrX	1855	1927	+	ONTX.6869.1501	CDS	PLS3
chrX	1927	2515	+	ONTX.6869.1501	intron	PLS3
