seqnames	start	end	strand	transcript_id	type	gene_id
chr10	2	2356	-	ENST00000419761.6	UTR	NA
chr10	2357	2543	-	ENST00000419761.6	CDS	ENSG00000150051.14
chr10	2543	2644	-	ENST00000419761.6	intron	ENSG00000150051.14
chr10	2644	2677	-	ENST00000419761.6	CDS	ENSG00000150051.14
chr10	2677	2778	-	ENST00000419761.6	intron	ENSG00000150051.14
chr10	2778	3113	-	ENST00000419761.6	CDS	ENSG00000150051.14
chr10	3113	3216	-	ENST00000419761.6	intron	ENSG00000150051.14
chr10	3216	3369	-	ENST00000419761.6	CDS	ENSG00000150051.14
chr10	3369	3470	-	ENST00000419761.6	intron	ENSG00000150051.14
chr10	3470	3629	-	ENST00000419761.6	CDS	ENSG00000150051.14
chr10	3629	3730	-	ENST00000419761.6	intron	ENSG00000150051.14
chr10	3730	3920	-	ENST00000419761.6	CDS	ENSG00000150051.14
chr10	3921	3999	-	ENST00000419761.6	UTR	NA
chr10	3999	5047	-	ENST00000419761.6	intron	NA
chr10	5047	5159	-	ENST00000419761.6	UTR	NA
chr10	4	2359	-	ONT10.1203.34271	UTR	NA
chr10	2360	2543	-	ONT10.1203.34271	CDS	MKX
chr10	2543	2644	-	ONT10.1203.34271	intron	MKX
chr10	2644	2677	-	ONT10.1203.34271	CDS	MKX
chr10	2677	2778	-	ONT10.1203.34271	intron	MKX
chr10	2778	3113	-	ONT10.1203.34271	CDS	MKX
chr10	3113	3216	-	ONT10.1203.34271	intron	MKX
chr10	3216	3369	-	ONT10.1203.34271	CDS	MKX
chr10	3369	3470	-	ONT10.1203.34271	intron	MKX
chr10	3470	3629	-	ONT10.1203.34271	CDS	MKX
chr10	3629	3730	-	ONT10.1203.34271	intron	MKX
chr10	3730	3920	-	ONT10.1203.34271	CDS	MKX
chr10	3921	3999	-	ONT10.1203.34271	UTR	NA
chr10	3999	5047	-	ONT10.1203.34271	intron	NA
chr10	5047	5159	-	ONT10.1203.34271	UTR	NA
chr10	2	2537	-	ONT10.1203.34275	UTR	NA
chr10	2538	2538	-	ONT10.1203.34275	CDS	MKX
chr10	2538	2644	-	ONT10.1203.34275	intron	MKX
chr10	2644	2677	-	ONT10.1203.34275	CDS	MKX
chr10	2677	2778	-	ONT10.1203.34275	intron	MKX
chr10	2778	3113	-	ONT10.1203.34275	CDS	MKX
chr10	3113	3216	-	ONT10.1203.34275	intron	MKX
chr10	3216	3369	-	ONT10.1203.34275	CDS	MKX
chr10	3369	3470	-	ONT10.1203.34275	intron	MKX
chr10	3470	3629	-	ONT10.1203.34275	CDS	MKX
chr10	3629	3730	-	ONT10.1203.34275	intron	MKX
chr10	3730	3920	-	ONT10.1203.34275	CDS	MKX
chr10	3921	3938	-	ONT10.1203.34275	UTR	NA
chr10	2	2359	-	ONT10.1203.34279	UTR	NA
chr10	2360	2543	-	ONT10.1203.34279	CDS	MKX
chr10	2543	2644	-	ONT10.1203.34279	intron	MKX
chr10	2644	2677	-	ONT10.1203.34279	CDS	MKX
chr10	2677	2778	-	ONT10.1203.34279	intron	MKX
chr10	2778	3090	-	ONT10.1203.34279	CDS	MKX
chr10	3091	3115	-	ONT10.1203.34279	UTR	NA
chr10	2	2359	-	ONT10.1203.34280	UTR	NA
chr10	2360	2543	-	ONT10.1203.34280	CDS	MKX
chr10	2543	2644	-	ONT10.1203.34280	intron	MKX
chr10	2644	2677	-	ONT10.1203.34280	CDS	MKX
chr10	2677	2778	-	ONT10.1203.34280	intron	MKX
chr10	2778	3090	-	ONT10.1203.34280	CDS	MKX
chr10	3091	3113	-	ONT10.1203.34280	UTR	NA
chr10	3113	3216	-	ONT10.1203.34280	intron	NA
chr10	3216	3293	-	ONT10.1203.34280	UTR	NA
chr10	2	2359	-	ONT10.1203.34283	UTR	NA
chr10	2360	2543	-	ONT10.1203.34283	CDS	MKX
chr10	2543	2644	-	ONT10.1203.34283	intron	MKX
chr10	2644	2677	-	ONT10.1203.34283	CDS	MKX
chr10	2677	2778	-	ONT10.1203.34283	intron	MKX
chr10	2778	3113	-	ONT10.1203.34283	CDS	MKX
chr10	3113	3216	-	ONT10.1203.34283	intron	MKX
chr10	3216	3369	-	ONT10.1203.34283	CDS	MKX
chr10	3369	3470	-	ONT10.1203.34283	intron	MKX
chr10	3470	3629	-	ONT10.1203.34283	CDS	MKX
chr10	3629	3730	-	ONT10.1203.34283	intron	MKX
chr10	3730	3920	-	ONT10.1203.34283	CDS	MKX
chr10	3921	4123	-	ONT10.1203.34283	UTR	NA
chr10	2	2359	-	ONT10.1203.34285	UTR	NA
chr10	2360	2543	-	ONT10.1203.34285	CDS	MKX
chr10	2543	2644	-	ONT10.1203.34285	intron	MKX
chr10	2644	2677	-	ONT10.1203.34285	CDS	MKX
chr10	2677	2778	-	ONT10.1203.34285	intron	MKX
chr10	2778	3113	-	ONT10.1203.34285	CDS	MKX
chr10	3113	3216	-	ONT10.1203.34285	intron	MKX
chr10	3216	3369	-	ONT10.1203.34285	CDS	MKX
chr10	3369	3470	-	ONT10.1203.34285	intron	MKX
chr10	3470	3629	-	ONT10.1203.34285	CDS	MKX
chr10	3629	3730	-	ONT10.1203.34285	intron	MKX
chr10	3730	3920	-	ONT10.1203.34285	CDS	MKX
chr10	3921	3999	-	ONT10.1203.34285	UTR	NA
chr10	3999	4197	-	ONT10.1203.34285	intron	NA
chr10	4197	4313	-	ONT10.1203.34285	UTR	NA
chr10	4	2359	-	ONT10.1203.34290	UTR	NA
chr10	2360	2543	-	ONT10.1203.34290	CDS	MKX
chr10	2543	2644	-	ONT10.1203.34290	intron	MKX
chr10	2644	2677	-	ONT10.1203.34290	CDS	MKX
chr10	2677	2778	-	ONT10.1203.34290	intron	MKX
chr10	2778	3113	-	ONT10.1203.34290	CDS	MKX
chr10	3113	3216	-	ONT10.1203.34290	intron	MKX
chr10	3216	3369	-	ONT10.1203.34290	CDS	MKX
chr10	3369	3470	-	ONT10.1203.34290	intron	MKX
