seqnames	start	end	strand	transcript_id	type	gene_id
chr3	13	71	+	ENST00000295588.9	UTR	NA
chr3	72	156	+	ENST00000295588.9	CDS	ENSG00000163389.12
chr3	156	870	+	ENST00000295588.9	intron	ENSG00000163389.12
chr3	870	960	+	ENST00000295588.9	CDS	ENSG00000163389.12
chr3	960	1061	+	ENST00000295588.9	intron	ENSG00000163389.12
chr3	1061	1204	+	ENST00000295588.9	CDS	ENSG00000163389.12
chr3	1204	1305	+	ENST00000295588.9	intron	ENSG00000163389.12
chr3	1305	1440	+	ENST00000295588.9	CDS	ENSG00000163389.12
chr3	1440	3140	+	ENST00000295588.9	intron	ENSG00000163389.12
chr3	3140	3261	+	ENST00000295588.9	CDS	ENSG00000163389.12
chr3	3261	3738	+	ENST00000295588.9	intron	ENSG00000163389.12
chr3	3738	3797	+	ENST00000295588.9	CDS	ENSG00000163389.12
chr3	3797	3900	+	ENST00000295588.9	intron	ENSG00000163389.12
chr3	3900	3999	+	ENST00000295588.9	CDS	ENSG00000163389.12
chr3	3999	5996	+	ENST00000295588.9	intron	ENSG00000163389.12
chr3	5996	6054	+	ENST00000295588.9	CDS	ENSG00000163389.12
chr3	6054	6480	+	ENST00000295588.9	intron	ENSG00000163389.12
chr3	6480	6647	+	ENST00000295588.9	CDS	ENSG00000163389.12
chr3	6647	6755	+	ENST00000295588.9	intron	ENSG00000163389.12
chr3	6755	6811	+	ENST00000295588.9	CDS	ENSG00000163389.12
chr3	6811	7435	+	ENST00000295588.9	intron	ENSG00000163389.12
chr3	7435	7594	+	ENST00000295588.9	CDS	ENSG00000163389.12
chr3	7595	9861	+	ENST00000295588.9	UTR	NA
chr3	20	71	+	ONT3.5760.2998	UTR	NA
chr3	72	156	+	ONT3.5760.2998	CDS	POGLUT1
chr3	156	870	+	ONT3.5760.2998	intron	POGLUT1
chr3	870	960	+	ONT3.5760.2998	CDS	POGLUT1
chr3	960	1061	+	ONT3.5760.2998	intron	POGLUT1
chr3	1061	1204	+	ONT3.5760.2998	CDS	POGLUT1
chr3	1204	1305	+	ONT3.5760.2998	intron	POGLUT1
chr3	1305	1440	+	ONT3.5760.2998	CDS	POGLUT1
chr3	1440	3140	+	ONT3.5760.2998	intron	POGLUT1
chr3	3140	3261	+	ONT3.5760.2998	CDS	POGLUT1
chr3	3261	3738	+	ONT3.5760.2998	intron	POGLUT1
chr3	3738	3797	+	ONT3.5760.2998	CDS	POGLUT1
chr3	3797	3900	+	ONT3.5760.2998	intron	POGLUT1
chr3	3900	3999	+	ONT3.5760.2998	CDS	POGLUT1
chr3	3999	5996	+	ONT3.5760.2998	intron	POGLUT1
chr3	5996	6054	+	ONT3.5760.2998	CDS	POGLUT1
chr3	6054	6480	+	ONT3.5760.2998	intron	POGLUT1
chr3	6480	6647	+	ONT3.5760.2998	CDS	POGLUT1
chr3	6647	6755	+	ONT3.5760.2998	intron	POGLUT1
chr3	6755	6811	+	ONT3.5760.2998	CDS	POGLUT1
chr3	6811	7435	+	ONT3.5760.2998	intron	POGLUT1
chr3	7435	7591	+	ONT3.5760.2998	CDS	POGLUT1
chr3	7592	8314	+	ONT3.5760.2998	UTR	NA
chr3	25	71	+	ONT3.5760.3001	UTR	NA
chr3	72	156	+	ONT3.5760.3001	CDS	POGLUT1
chr3	156	870	+	ONT3.5760.3001	intron	POGLUT1
chr3	870	960	+	ONT3.5760.3001	CDS	POGLUT1
