seqnames	start	end	strand	transcript_id	type	gene_id
chr12	88	150	+	ENST00000553257.6	UTR	NA
chr12	151	252	+	ENST00000553257.6	CDS	ENSG00000087470.19
chr12	252	637	+	ENST00000553257.6	intron	ENSG00000087470.19
chr12	637	784	+	ENST00000553257.6	CDS	ENSG00000087470.19
chr12	784	2316	+	ENST00000553257.6	intron	ENSG00000087470.19
chr12	2316	2354	+	ENST00000553257.6	CDS	ENSG00000087470.19
chr12	2354	3858	+	ENST00000553257.6	intron	ENSG00000087470.19
chr12	3858	3904	+	ENST00000553257.6	CDS	ENSG00000087470.19
chr12	3904	4102	+	ENST00000553257.6	intron	ENSG00000087470.19
chr12	4102	4173	+	ENST00000553257.6	CDS	ENSG00000087470.19
chr12	4173	6755	+	ENST00000553257.6	intron	ENSG00000087470.19
chr12	6755	6841	+	ENST00000553257.6	CDS	ENSG00000087470.19
chr12	6841	7137	+	ENST00000553257.6	intron	ENSG00000087470.19
chr12	7137	7299	+	ENST00000553257.6	CDS	ENSG00000087470.19
chr12	7299	7401	+	ENST00000553257.6	intron	ENSG00000087470.19
chr12	7401	7521	+	ENST00000553257.6	CDS	ENSG00000087470.19
chr12	7521	7632	+	ENST00000553257.6	intron	ENSG00000087470.19
chr12	7632	7763	+	ENST00000553257.6	CDS	ENSG00000087470.19
chr12	7763	7866	+	ENST00000553257.6	intron	ENSG00000087470.19
chr12	7866	8072	+	ENST00000553257.6	CDS	ENSG00000087470.19
chr12	8072	8499	+	ENST00000553257.6	intron	ENSG00000087470.19
chr12	8499	8619	+	ENST00000553257.6	CDS	ENSG00000087470.19
chr12	8619	8724	+	ENST00000553257.6	intron	ENSG00000087470.19
chr12	8724	8879	+	ENST00000553257.6	CDS	ENSG00000087470.19
chr12	8879	8988	+	ENST00000553257.6	intron	ENSG00000087470.19
chr12	8988	9077	+	ENST00000553257.6	CDS	ENSG00000087470.19
chr12	9077	9395	+	ENST00000553257.6	intron	ENSG00000087470.19
chr12	9395	9487	+	ENST00000553257.6	CDS	ENSG00000087470.19
chr12	9487	9622	+	ENST00000553257.6	intron	ENSG00000087470.19
chr12	9622	9678	+	ENST00000553257.6	CDS	ENSG00000087470.19
chr12	9678	10382	+	ENST00000553257.6	intron	ENSG00000087470.19
chr12	10382	10459	+	ENST00000553257.6	CDS	ENSG00000087470.19
chr12	10459	10781	+	ENST00000553257.6	intron	ENSG00000087470.19
chr12	10781	10813	+	ENST00000553257.6	CDS	ENSG00000087470.19
chr12	10813	12581	+	ENST00000553257.6	intron	ENSG00000087470.19
chr12	12581	12757	+	ENST00000553257.6	CDS	ENSG00000087470.19
chr12	12757	12858	+	ENST00000553257.6	intron	ENSG00000087470.19
chr12	12858	12967	+	ENST00000553257.6	CDS	ENSG00000087470.19
chr12	12967	13075	+	ENST00000553257.6	intron	ENSG00000087470.19
chr12	13075	13234	+	ENST00000553257.6	CDS	ENSG00000087470.19
chr12	13234	13345	+	ENST00000553257.6	intron	ENSG00000087470.19
chr12	13345	13404	+	ENST00000553257.6	CDS	ENSG00000087470.19
chr12	13405	15641	+	ENST00000553257.6	UTR	NA
chr12	2	150	+	ONT12.1092.19561	UTR	NA
chr12	151	252	+	ONT12.1092.19561	CDS	DNM1L
chr12	252	637	+	ONT12.1092.19561	intron	DNM1L
chr12	637	784	+	ONT12.1092.19561	CDS	DNM1L
chr12	784	3858	+	ONT12.1092.19561	intron	DNM1L
chr12	3858	3904	+	ONT12.1092.19561	CDS	DNM1L
chr12	3904	4102	+	ONT12.1092.19561	intron	DNM1L
chr12	4102	4173	+	ONT12.1092.19561	CDS	DNM1L
chr12	4173	6755	+	ONT12.1092.19561	intron	DNM1L
chr12	6755	6841	+	ONT12.1092.19561	CDS	DNM1L
