seqnames	start	end	strand	transcript_id	type	gene_id
chr5	2	7442	-	ENST00000302764.9	UTR	NA
chr5	7443	7526	-	ENST00000302764.9	CDS	ENSG00000170584.11
chr5	7526	7948	-	ENST00000302764.9	intron	ENSG00000170584.11
chr5	7948	8099	-	ENST00000302764.9	CDS	ENSG00000170584.11
chr5	8099	8581	-	ENST00000302764.9	intron	ENSG00000170584.11
chr5	8581	8629	-	ENST00000302764.9	CDS	ENSG00000170584.11
chr5	8629	10881	-	ENST00000302764.9	intron	ENSG00000170584.11
chr5	10881	11072	-	ENST00000302764.9	CDS	ENSG00000170584.11
chr5	11073	11121	-	ENST00000302764.9	UTR	NA
chr5	2685	7445	-	ONT5.9655.1183	UTR	NA
chr5	7446	7526	-	ONT5.9655.1183	CDS	NUDCD2
chr5	7526	7948	-	ONT5.9655.1183	intron	NUDCD2
chr5	7948	8099	-	ONT5.9655.1183	CDS	NUDCD2
chr5	8099	8581	-	ONT5.9655.1183	intron	NUDCD2
chr5	8581	8629	-	ONT5.9655.1183	CDS	NUDCD2
chr5	8629	10881	-	ONT5.9655.1183	intron	NUDCD2
chr5	10881	11072	-	ONT5.9655.1183	CDS	NUDCD2
chr5	11073	11119	-	ONT5.9655.1183	UTR	NA
chr5	4323	7445	-	ONT5.9655.1205	UTR	NA
chr5	7446	7526	-	ONT5.9655.1205	CDS	NUDCD2
chr5	7526	7948	-	ONT5.9655.1205	intron	NUDCD2
chr5	7948	8099	-	ONT5.9655.1205	CDS	NUDCD2
chr5	8099	8581	-	ONT5.9655.1205	intron	NUDCD2
chr5	8581	8629	-	ONT5.9655.1205	CDS	NUDCD2
chr5	8629	10881	-	ONT5.9655.1205	intron	NUDCD2
chr5	10881	11072	-	ONT5.9655.1205	CDS	NUDCD2
chr5	11073	11153	-	ONT5.9655.1205	UTR	NA
chr5	4325	7526	-	ONT5.9655.1223	UTR	NA
chr5	7526	7948	-	ONT5.9655.1223	intron	NA
chr5	7948	8099	-	ONT5.9655.1223	UTR	NA
chr5	8099	8581	-	ONT5.9655.1223	intron	NA
chr5	8581	8629	-	ONT5.9655.1223	UTR	NA
chr5	8629	10346	-	ONT5.9655.1223	intron	NA
chr5	10346	10817	-	ONT5.9655.1223	UTR	NA
chr5	10818	11072	-	ONT5.9655.1223	CDS	NUDCD2
chr5	11073	11112	-	ONT5.9655.1223	UTR	NA
chr5	4315	7526	-	ONT5.9655.1241	UTR	NA
chr5	7526	7948	-	ONT5.9655.1241	intron	NA
chr5	7948	8099	-	ONT5.9655.1241	UTR	NA
chr5	8099	8581	-	ONT5.9655.1241	intron	NA
chr5	8581	8629	-	ONT5.9655.1241	UTR	NA
chr5	8629	10014	-	ONT5.9655.1241	intron	NA
chr5	10014	10817	-	ONT5.9655.1241	UTR	NA
chr5	10818	11072	-	ONT5.9655.1241	CDS	NUDCD2
chr5	11073	11109	-	ONT5.9655.1241	UTR	NA
chr5	4321	7526	-	ONT5.9655.1244	UTR	NA
chr5	7526	7948	-	ONT5.9655.1244	intron	NA
chr5	7948	8027	-	ONT5.9655.1244	UTR	NA
chr5	8028	8099	-	ONT5.9655.1244	CDS	NUDCD2
chr5	8099	10881	-	ONT5.9655.1244	intron	NUDCD2
chr5	10881	11072	-	ONT5.9655.1244	CDS	NUDCD2
chr5	11073	11131	-	ONT5.9655.1244	UTR	NA
chr5	4802	7445	-	ONT5.9655.1266	UTR	NA
chr5	7446	7526	-	ONT5.9655.1266	CDS	NUDCD2
chr5	7526	7948	-	ONT5.9655.1266	intron	NUDCD2
chr5	7948	8099	-	ONT5.9655.1266	CDS	NUDCD2
chr5	8099	8581	-	ONT5.9655.1266	intron	NUDCD2
chr5	8581	8629	-	ONT5.9655.1266	CDS	NUDCD2
chr5	8629	10881	-	ONT5.9655.1266	intron	NUDCD2
chr5	10881	11072	-	ONT5.9655.1266	CDS	NUDCD2
chr5	11073	11108	-	ONT5.9655.1266	UTR	NA
chr5	4987	7445	-	ONT5.9655.1268	UTR	NA
chr5	7446	7526	-	ONT5.9655.1268	CDS	NUDCD2
chr5	7526	7948	-	ONT5.9655.1268	intron	NUDCD2
chr5	7948	8099	-	ONT5.9655.1268	CDS	NUDCD2
chr5	8099	8581	-	ONT5.9655.1268	intron	NUDCD2
chr5	8581	8629	-	ONT5.9655.1268	CDS	NUDCD2
chr5	8629	10881	-	ONT5.9655.1268	intron	NUDCD2
chr5	10881	11072	-	ONT5.9655.1268	CDS	NUDCD2
chr5	11073	11109	-	ONT5.9655.1268	UTR	NA
chr5	5521	7445	-	ONT5.9655.1276	UTR	NA
chr5	7446	7526	-	ONT5.9655.1276	CDS	NUDCD2
chr5	7526	7948	-	ONT5.9655.1276	intron	NUDCD2
chr5	7948	8099	-	ONT5.9655.1276	CDS	NUDCD2
chr5	8099	8581	-	ONT5.9655.1276	intron	NUDCD2
chr5	8581	8629	-	ONT5.9655.1276	CDS	NUDCD2
chr5	8629	10881	-	ONT5.9655.1276	intron	NUDCD2
chr5	10881	11072	-	ONT5.9655.1276	CDS	NUDCD2
chr5	11073	11109	-	ONT5.9655.1276	UTR	NA
chr5	5543	7445	-	ONT5.9655.1280	UTR	NA
chr5	7446	7526	-	ONT5.9655.1280	CDS	NUDCD2
chr5	7526	7948	-	ONT5.9655.1280	intron	NUDCD2
chr5	7948	8099	-	ONT5.9655.1280	CDS	NUDCD2
chr5	8099	8581	-	ONT5.9655.1280	intron	NUDCD2
chr5	8581	8629	-	ONT5.9655.1280	CDS	NUDCD2
chr5	8629	10881	-	ONT5.9655.1280	intron	NUDCD2
chr5	10881	11072	-	ONT5.9655.1280	CDS	NUDCD2
chr5	11073	11083	-	ONT5.9655.1280	UTR	NA
chr5	5623	7526	-	ONT5.9655.1282	UTR	NA
chr5	7526	7948	-	ONT5.9655.1282	intron	NA
chr5	7948	8099	-	ONT5.9655.1282	UTR	NA
chr5	8099	8581	-	ONT5.9655.1282	intron	NA
chr5	8581	8629	-	ONT5.9655.1282	UTR	NA
chr5	8629	10014	-	ONT5.9655.1282	intron	NA
