seqnames	start	end	strand	transcript_id	type	gene_id
chr17	241	1130	-	ENST00000398389.9	UTR	NA
chr17	1131	1307	-	ENST00000398389.9	CDS	ENSG00000161647.19
chr17	1307	1851	-	ENST00000398389.9	intron	ENSG00000161647.19
chr17	1851	1973	-	ENST00000398389.9	CDS	ENSG00000161647.19
chr17	1973	2624	-	ENST00000398389.9	intron	ENSG00000161647.19
chr17	2624	2732	-	ENST00000398389.9	CDS	ENSG00000161647.19
chr17	2732	2833	-	ENST00000398389.9	intron	ENSG00000161647.19
chr17	2833	2926	-	ENST00000398389.9	CDS	ENSG00000161647.19
chr17	2926	3879	-	ENST00000398389.9	intron	ENSG00000161647.19
chr17	3879	3959	-	ENST00000398389.9	CDS	ENSG00000161647.19
chr17	3959	4065	-	ENST00000398389.9	intron	ENSG00000161647.19
chr17	4065	4229	-	ENST00000398389.9	CDS	ENSG00000161647.19
chr17	4229	5906	-	ENST00000398389.9	intron	ENSG00000161647.19
chr17	5906	5947	-	ENST00000398389.9	CDS	ENSG00000161647.19
chr17	5947	6545	-	ENST00000398389.9	intron	ENSG00000161647.19
chr17	6545	6565	-	ENST00000398389.9	CDS	ENSG00000161647.19
chr17	6565	7914	-	ENST00000398389.9	intron	ENSG00000161647.19
chr17	7914	7978	-	ENST00000398389.9	CDS	ENSG00000161647.19
chr17	7978	8081	-	ENST00000398389.9	intron	ENSG00000161647.19
chr17	8081	8277	-	ENST00000398389.9	CDS	ENSG00000161647.19
chr17	8277	8380	-	ENST00000398389.9	intron	ENSG00000161647.19
chr17	8380	8454	-	ENST00000398389.9	CDS	ENSG00000161647.19
chr17	8454	10121	-	ENST00000398389.9	intron	ENSG00000161647.19
chr17	10121	10206	-	ENST00000398389.9	CDS	ENSG00000161647.19
chr17	10206	11015	-	ENST00000398389.9	intron	ENSG00000161647.19
chr17	11015	11096	-	ENST00000398389.9	CDS	ENSG00000161647.19
chr17	11096	11201	-	ENST00000398389.9	intron	ENSG00000161647.19
chr17	11201	11338	-	ENST00000398389.9	CDS	ENSG00000161647.19
chr17	11338	11574	-	ENST00000398389.9	intron	ENSG00000161647.19
chr17	11574	11654	-	ENST00000398389.9	CDS	ENSG00000161647.19
chr17	11654	12791	-	ENST00000398389.9	intron	ENSG00000161647.19
chr17	12791	12868	-	ENST00000398389.9	CDS	ENSG00000161647.19
chr17	12868	12971	-	ENST00000398389.9	intron	ENSG00000161647.19
chr17	12971	13089	-	ENST00000398389.9	CDS	ENSG00000161647.19
chr17	13089	13194	-	ENST00000398389.9	intron	ENSG00000161647.19
chr17	13194	13221	-	ENST00000398389.9	CDS	ENSG00000161647.19
chr17	13222	13255	-	ENST00000398389.9	UTR	NA
chr17	13255	13676	-	ENST00000398389.9	intron	NA
chr17	13676	13734	-	ENST00000398389.9	UTR	NA
chr17	13734	13961	-	ENST00000398389.9	intron	NA
chr17	13961	14006	-	ENST00000398389.9	UTR	NA
chr17	2	1133	-	ONT17.1086.39199	UTR	NA
chr17	1134	1307	-	ONT17.1086.39199	CDS	MPP3
chr17	1307	1851	-	ONT17.1086.39199	intron	MPP3
chr17	1851	1973	-	ONT17.1086.39199	CDS	MPP3
chr17	1973	2624	-	ONT17.1086.39199	intron	MPP3
chr17	2624	2732	-	ONT17.1086.39199	CDS	MPP3
chr17	2732	2833	-	ONT17.1086.39199	intron	MPP3
chr17	2833	2926	-	ONT17.1086.39199	CDS	MPP3
chr17	2926	3879	-	ONT17.1086.39199	intron	MPP3
chr17	3879	3959	-	ONT17.1086.39199	CDS	MPP3
chr17	3959	4065	-	ONT17.1086.39199	intron	MPP3
chr17	4065	4229	-	ONT17.1086.39199	CDS	MPP3
chr17	4229	5906	-	ONT17.1086.39199	intron	MPP3
chr17	5906	5947	-	ONT17.1086.39199	CDS	MPP3
chr17	5947	6545	-	ONT17.1086.39199	intron	MPP3
chr17	6545	6565	-	ONT17.1086.39199	CDS	MPP3
chr17	6565	7914	-	ONT17.1086.39199	intron	MPP3
chr17	7914	7978	-	ONT17.1086.39199	CDS	MPP3
chr17	7978	8081	-	ONT17.1086.39199	intron	MPP3
chr17	8081	8277	-	ONT17.1086.39199	CDS	MPP3
chr17	8277	8380	-	ONT17.1086.39199	intron	MPP3
chr17	8380	8454	-	ONT17.1086.39199	CDS	MPP3
chr17	8454	10121	-	ONT17.1086.39199	intron	MPP3
chr17	10121	10206	-	ONT17.1086.39199	CDS	MPP3
chr17	10206	11015	-	ONT17.1086.39199	intron	MPP3
chr17	11015	11096	-	ONT17.1086.39199	CDS	MPP3
chr17	11096	11201	-	ONT17.1086.39199	intron	MPP3
chr17	11201	11338	-	ONT17.1086.39199	CDS	MPP3
chr17	11338	11574	-	ONT17.1086.39199	intron	MPP3
chr17	11574	11654	-	ONT17.1086.39199	CDS	MPP3
chr17	11654	12791	-	ONT17.1086.39199	intron	MPP3
chr17	12791	12868	-	ONT17.1086.39199	CDS	MPP3
chr17	12868	12971	-	ONT17.1086.39199	intron	MPP3
chr17	12971	13089	-	ONT17.1086.39199	CDS	MPP3
chr17	13089	13194	-	ONT17.1086.39199	intron	MPP3
chr17	13194	13221	-	ONT17.1086.39199	CDS	MPP3
chr17	13222	13255	-	ONT17.1086.39199	UTR	NA
chr17	13255	13676	-	ONT17.1086.39199	intron	NA
chr17	13676	13734	-	ONT17.1086.39199	UTR	NA
chr17	13734	13961	-	ONT17.1086.39199	intron	NA
chr17	13961	14028	-	ONT17.1086.39199	UTR	NA
chr17	224	1133	-	ONT17.1086.39213	UTR	NA
chr17	1134	1307	-	ONT17.1086.39213	CDS	MPP3
chr17	1307	1851	-	ONT17.1086.39213	intron	MPP3
chr17	1851	1973	-	ONT17.1086.39213	CDS	MPP3
chr17	1973	2624	-	ONT17.1086.39213	intron	MPP3
chr17	2624	2732	-	ONT17.1086.39213	CDS	MPP3
