seqnames	start	end	strand	transcript_id	type	gene_id
chr3	686	939	+	ENST00000510168.6	UTR	NA
chr3	939	1192	+	ENST00000510168.6	intron	NA
chr3	1192	1371	+	ENST00000510168.6	UTR	NA
chr3	1372	1377	+	ENST00000510168.6	CDS	ENSG00000017260.20
chr3	1377	1480	+	ENST00000510168.6	intron	ENSG00000017260.20
chr3	1480	1590	+	ENST00000510168.6	CDS	ENSG00000017260.20
chr3	1590	1691	+	ENST00000510168.6	intron	ENSG00000017260.20
chr3	1691	1807	+	ENST00000510168.6	CDS	ENSG00000017260.20
chr3	1807	1914	+	ENST00000510168.6	intron	ENSG00000017260.20
chr3	1914	2003	+	ENST00000510168.6	CDS	ENSG00000017260.20
chr3	2003	2139	+	ENST00000510168.6	intron	ENSG00000017260.20
chr3	2139	2174	+	ENST00000510168.6	CDS	ENSG00000017260.20
chr3	2174	2333	+	ENST00000510168.6	intron	ENSG00000017260.20
chr3	2333	2394	+	ENST00000510168.6	CDS	ENSG00000017260.20
chr3	2394	2496	+	ENST00000510168.6	intron	ENSG00000017260.20
chr3	2496	2604	+	ENST00000510168.6	CDS	ENSG00000017260.20
chr3	2604	4195	+	ENST00000510168.6	intron	ENSG00000017260.20
chr3	4195	4350	+	ENST00000510168.6	CDS	ENSG00000017260.20
chr3	4350	4453	+	ENST00000510168.6	intron	ENSG00000017260.20
chr3	4453	4521	+	ENST00000510168.6	CDS	ENSG00000017260.20
chr3	4521	5545	+	ENST00000510168.6	intron	ENSG00000017260.20
chr3	5545	5620	+	ENST00000510168.6	CDS	ENSG00000017260.20
chr3	5620	5734	+	ENST00000510168.6	intron	ENSG00000017260.20
chr3	5734	5800	+	ENST00000510168.6	CDS	ENSG00000017260.20
chr3	5800	10430	+	ENST00000510168.6	intron	ENSG00000017260.20
chr3	10430	10554	+	ENST00000510168.6	CDS	ENSG00000017260.20
chr3	10554	10656	+	ENST00000510168.6	intron	ENSG00000017260.20
chr3	10656	10753	+	ENST00000510168.6	CDS	ENSG00000017260.20
chr3	10753	10882	+	ENST00000510168.6	intron	ENSG00000017260.20
chr3	10882	10977	+	ENST00000510168.6	CDS	ENSG00000017260.20
chr3	10977	11067	+	ENST00000510168.6	intron	ENSG00000017260.20
chr3	11067	11156	+	ENST00000510168.6	CDS	ENSG00000017260.20
chr3	11156	11263	+	ENST00000510168.6	intron	ENSG00000017260.20
chr3	11263	11367	+	ENST00000510168.6	CDS	ENSG00000017260.20
chr3	11367	11470	+	ENST00000510168.6	intron	ENSG00000017260.20
chr3	11470	11626	+	ENST00000510168.6	CDS	ENSG00000017260.20
chr3	11626	12418	+	ENST00000510168.6	intron	ENSG00000017260.20
chr3	12418	12588	+	ENST00000510168.6	CDS	ENSG00000017260.20
chr3	12588	13089	+	ENST00000510168.6	intron	ENSG00000017260.20
chr3	13089	13186	+	ENST00000510168.6	CDS	ENSG00000017260.20
chr3	13186	14288	+	ENST00000510168.6	intron	ENSG00000017260.20
chr3	14288	14338	+	ENST00000510168.6	CDS	ENSG00000017260.20
chr3	14338	14449	+	ENST00000510168.6	intron	ENSG00000017260.20
chr3	14449	14615	+	ENST00000510168.6	CDS	ENSG00000017260.20
chr3	14615	14727	+	ENST00000510168.6	intron	ENSG00000017260.20
chr3	14727	14795	+	ENST00000510168.6	CDS	ENSG00000017260.20
chr3	14795	15364	+	ENST00000510168.6	intron	ENSG00000017260.20
chr3	15364	15480	+	ENST00000510168.6	CDS	ENSG00000017260.20
chr3	15480	15591	+	ENST00000510168.6	intron	ENSG00000017260.20
chr3	15591	15738	+	ENST00000510168.6	CDS	ENSG00000017260.20
chr3	15738	15841	+	ENST00000510168.6	intron	ENSG00000017260.20
chr3	15841	15936	+	ENST00000510168.6	CDS	ENSG00000017260.20
chr3	15936	16037	+	ENST00000510168.6	intron	ENSG00000017260.20
chr3	16037	16178	+	ENST00000510168.6	CDS	ENSG00000017260.20
chr3	16178	16279	+	ENST00000510168.6	intron	ENSG00000017260.20
chr3	16279	16412	+	ENST00000510168.6	CDS	ENSG00000017260.20
chr3	16413	18209	+	ENST00000510168.6	UTR	NA
chr3	2	311	+	ONT3.6027.1043	UTR	NA
