seqnames	start	end	strand	transcript_id	type	gene_id
chr12	367	524	+	ENST00000300131.8	UTR	NA
chr12	525	607	+	ENST00000300131.8	CDS	ENSG00000166886.13
chr12	607	995	+	ENST00000300131.8	intron	ENSG00000166886.13
chr12	995	1868	+	ENST00000300131.8	CDS	ENSG00000166886.13
chr12	1868	2318	+	ENST00000300131.8	intron	ENSG00000166886.13
chr12	2318	2451	+	ENST00000300131.8	CDS	ENSG00000166886.13
chr12	2451	2787	+	ENST00000300131.8	intron	ENSG00000166886.13
chr12	2787	2838	+	ENST00000300131.8	CDS	ENSG00000166886.13
chr12	2838	2933	+	ENST00000300131.8	intron	ENSG00000166886.13
chr12	2933	3065	+	ENST00000300131.8	CDS	ENSG00000166886.13
chr12	3065	3173	+	ENST00000300131.8	intron	ENSG00000166886.13
chr12	3173	3364	+	ENST00000300131.8	CDS	ENSG00000166886.13
chr12	3364	4378	+	ENST00000300131.8	intron	ENSG00000166886.13
chr12	4378	4490	+	ENST00000300131.8	CDS	ENSG00000166886.13
chr12	4491	5242	+	ENST00000300131.8	UTR	NA
chr12	2	77	+	ONT12.1888.30643	UTR	NA
chr12	77	1486	+	ONT12.1888.30643	intron	NA
chr12	1486	1631	+	ONT12.1888.30643	UTR	NA
chr12	1632	1868	+	ONT12.1888.30643	CDS	NAB2
chr12	1868	2318	+	ONT12.1888.30643	intron	NAB2
chr12	2318	2451	+	ONT12.1888.30643	CDS	NAB2
chr12	2451	2787	+	ONT12.1888.30643	intron	NAB2
chr12	2787	2838	+	ONT12.1888.30643	CDS	NAB2
chr12	2838	2933	+	ONT12.1888.30643	intron	NAB2
chr12	2933	3065	+	ONT12.1888.30643	CDS	NAB2
chr12	3065	3173	+	ONT12.1888.30643	intron	NAB2
chr12	3173	3364	+	ONT12.1888.30643	CDS	NAB2
chr12	3364	4378	+	ONT12.1888.30643	intron	NAB2
chr12	4378	4487	+	ONT12.1888.30643	CDS	NAB2
chr12	4488	5242	+	ONT12.1888.30643	UTR	NA
chr12	155	524	+	ONT12.1888.30650	UTR	NA
chr12	525	607	+	ONT12.1888.30650	CDS	NAB2
chr12	607	995	+	ONT12.1888.30650	intron	NAB2
chr12	995	1868	+	ONT12.1888.30650	CDS	NAB2
chr12	1868	2318	+	ONT12.1888.30650	intron	NAB2
chr12	2318	2451	+	ONT12.1888.30650	CDS	NAB2
chr12	2451	2787	+	ONT12.1888.30650	intron	NAB2
chr12	2787	2838	+	ONT12.1888.30650	CDS	NAB2
chr12	2838	2933	+	ONT12.1888.30650	intron	NAB2
chr12	2933	3065	+	ONT12.1888.30650	CDS	NAB2
chr12	3065	3173	+	ONT12.1888.30650	intron	NAB2
chr12	3173	3364	+	ONT12.1888.30650	CDS	NAB2
chr12	3364	4378	+	ONT12.1888.30650	intron	NAB2
chr12	4378	4487	+	ONT12.1888.30650	CDS	NAB2
chr12	4488	5239	+	ONT12.1888.30650	UTR	NA
chr12	157	524	+	ONT12.1888.30657	UTR	NA
chr12	525	607	+	ONT12.1888.30657	CDS	NAB2
chr12	607	995	+	ONT12.1888.30657	intron	NAB2
chr12	995	1868	+	ONT12.1888.30657	CDS	NAB2
chr12	1868	2318	+	ONT12.1888.30657	intron	NAB2
chr12	2318	2455	+	ONT12.1888.30657	CDS	NAB2
chr12	2456	2838	+	ONT12.1888.30657	UTR	NA
chr12	2838	2933	+	ONT12.1888.30657	intron	NA
chr12	2933	3065	+	ONT12.1888.30657	UTR	NA
chr12	3065	3173	+	ONT12.1888.30657	intron	NA
chr12	3173	3364	+	ONT12.1888.30657	UTR	NA
chr12	3364	4378	+	ONT12.1888.30657	intron	NA
chr12	4378	5242	+	ONT12.1888.30657	UTR	NA
chr12	157	524	+	ONT12.1888.30660	UTR	NA
chr12	525	607	+	ONT12.1888.30660	CDS	NAB2
chr12	607	995	+	ONT12.1888.30660	intron	NAB2
chr12	995	1868	+	ONT12.1888.30660	CDS	NAB2
chr12	1868	2318	+	ONT12.1888.30660	intron	NAB2
chr12	2318	2451	+	ONT12.1888.30660	CDS	NAB2
chr12	2451	2787	+	ONT12.1888.30660	intron	NAB2
chr12	2787	2838	+	ONT12.1888.30660	CDS	NAB2
chr12	2838	2933	+	ONT12.1888.30660	intron	NAB2
chr12	2933	3065	+	ONT12.1888.30660	CDS	NAB2
chr12	3065	4378	+	ONT12.1888.30660	intron	NAB2
chr12	4378	4487	+	ONT12.1888.30660	CDS	NAB2
chr12	4488	5242	+	ONT12.1888.30660	UTR	NA
chr12	247	524	+	ONT12.1888.30666	UTR	NA
chr12	525	607	+	ONT12.1888.30666	CDS	NAB2
chr12	607	995	+	ONT12.1888.30666	intron	NAB2
chr12	995	1868	+	ONT12.1888.30666	CDS	NAB2
chr12	1868	2318	+	ONT12.1888.30666	intron	NAB2
chr12	2318	2451	+	ONT12.1888.30666	CDS	NAB2
chr12	2451	2787	+	ONT12.1888.30666	intron	NAB2
chr12	2787	2838	+	ONT12.1888.30666	CDS	NAB2
chr12	2838	2933	+	ONT12.1888.30666	intron	NAB2
chr12	2933	3065	+	ONT12.1888.30666	CDS	NAB2
chr12	3065	3173	+	ONT12.1888.30666	intron	NAB2
chr12	3173	3364	+	ONT12.1888.30666	CDS	NAB2
chr12	3364	4378	+	ONT12.1888.30666	intron	NAB2
chr12	4378	4487	+	ONT12.1888.30666	CDS	NAB2
chr12	4488	5242	+	ONT12.1888.30666	UTR	NA
