seqnames	start	end	strand	transcript_id	type	gene_id
chr9	2	3613	-	ENST00000374242.9	UTR	NA
chr9	3614	3709	-	ENST00000374242.9	CDS	ENSG00000148153.14
chr9	3709	3810	-	ENST00000374242.9	intron	ENSG00000148153.14
chr9	3810	3900	-	ENST00000374242.9	CDS	ENSG00000148153.14
chr9	3900	4001	-	ENST00000374242.9	intron	ENSG00000148153.14
chr9	4001	4103	-	ENST00000374242.9	CDS	ENSG00000148153.14
chr9	4103	4448	-	ENST00000374242.9	intron	ENSG00000148153.14
chr9	4448	4475	-	ENST00000374242.9	CDS	ENSG00000148153.14
chr9	4476	4528	-	ENST00000374242.9	UTR	NA
chr9	4528	4842	-	ENST00000374242.9	intron	NA
chr9	4842	4972	-	ENST00000374242.9	UTR	NA
chr9	13	3616	-	ONT9.4285.14562	UTR	NA
chr9	3617	3709	-	ONT9.4285.14562	CDS	INIP
chr9	3709	3810	-	ONT9.4285.14562	intron	INIP
chr9	3810	3900	-	ONT9.4285.14562	CDS	INIP
chr9	3900	4001	-	ONT9.4285.14562	intron	INIP
chr9	4001	4103	-	ONT9.4285.14562	CDS	INIP
chr9	4103	4448	-	ONT9.4285.14562	intron	INIP
chr9	4448	4475	-	ONT9.4285.14562	CDS	INIP
chr9	4476	4528	-	ONT9.4285.14562	UTR	NA
chr9	4528	4842	-	ONT9.4285.14562	intron	NA
chr9	4842	4992	-	ONT9.4285.14562	UTR	NA
chr9	13	3616	-	ONT9.4285.14588	UTR	NA
chr9	3617	3709	-	ONT9.4285.14588	CDS	INIP
chr9	3709	3810	-	ONT9.4285.14588	intron	INIP
chr9	3810	3900	-	ONT9.4285.14588	CDS	INIP
chr9	3900	4001	-	ONT9.4285.14588	intron	INIP
chr9	4001	4103	-	ONT9.4285.14588	CDS	INIP
chr9	4103	4448	-	ONT9.4285.14588	intron	INIP
chr9	4448	4475	-	ONT9.4285.14588	CDS	INIP
chr9	4476	4528	-	ONT9.4285.14588	UTR	NA
chr9	4528	4842	-	ONT9.4285.14588	intron	NA
chr9	4842	4913	-	ONT9.4285.14588	UTR	NA
chr9	11	427	-	ONT9.4285.14612	UTR	NA
chr9	427	1387	-	ONT9.4285.14612	intron	NA
chr9	1387	3616	-	ONT9.4285.14612	UTR	NA
chr9	3617	3709	-	ONT9.4285.14612	CDS	INIP
chr9	3709	3810	-	ONT9.4285.14612	intron	INIP
chr9	3810	3900	-	ONT9.4285.14612	CDS	INIP
chr9	3900	4001	-	ONT9.4285.14612	intron	INIP
chr9	4001	4103	-	ONT9.4285.14612	CDS	INIP
chr9	4103	4448	-	ONT9.4285.14612	intron	INIP
chr9	4448	4475	-	ONT9.4285.14612	CDS	INIP
chr9	4476	4528	-	ONT9.4285.14612	UTR	NA
chr9	4528	4842	-	ONT9.4285.14612	intron	NA
chr9	4842	4962	-	ONT9.4285.14612	UTR	NA
chr9	2	544	-	ONT9.4285.14615	UTR	NA
chr9	544	3066	-	ONT9.4285.14615	intron	NA
chr9	3066	3616	-	ONT9.4285.14615	UTR	NA
chr9	3617	3709	-	ONT9.4285.14615	CDS	INIP
chr9	3709	3810	-	ONT9.4285.14615	intron	INIP
chr9	3810	3900	-	ONT9.4285.14615	CDS	INIP
chr9	3900	4001	-	ONT9.4285.14615	intron	INIP
chr9	4001	4103	-	ONT9.4285.14615	CDS	INIP
chr9	4103	4448	-	ONT9.4285.14615	intron	INIP
chr9	4448	4475	-	ONT9.4285.14615	CDS	INIP
chr9	4476	4528	-	ONT9.4285.14615	UTR	NA
chr9	4528	4842	-	ONT9.4285.14615	intron	NA
chr9	4842	4990	-	ONT9.4285.14615	UTR	NA
chr9	2	367	-	ONT9.4285.14616	UTR	NA
chr9	367	2942	-	ONT9.4285.14616	intron	NA
chr9	2942	3616	-	ONT9.4285.14616	UTR	NA
chr9	3617	3709	-	ONT9.4285.14616	CDS	INIP
chr9	3709	3810	-	ONT9.4285.14616	intron	INIP
chr9	3810	3900	-	ONT9.4285.14616	CDS	INIP
chr9	3900	4001	-	ONT9.4285.14616	intron	INIP
chr9	4001	4103	-	ONT9.4285.14616	CDS	INIP
chr9	4103	4448	-	ONT9.4285.14616	intron	INIP
chr9	4448	4475	-	ONT9.4285.14616	CDS	INIP
chr9	4476	4528	-	ONT9.4285.14616	UTR	NA
chr9	4528	4842	-	ONT9.4285.14616	intron	NA
chr9	4842	4964	-	ONT9.4285.14616	UTR	NA
chr9	2	344	-	ONT9.4285.14619	UTR	NA
chr9	344	2888	-	ONT9.4285.14619	intron	NA
chr9	2888	3616	-	ONT9.4285.14619	UTR	NA
chr9	3617	3709	-	ONT9.4285.14619	CDS	INIP
chr9	3709	3810	-	ONT9.4285.14619	intron	INIP
chr9	3810	3900	-	ONT9.4285.14619	CDS	INIP
chr9	3900	4001	-	ONT9.4285.14619	intron	INIP
chr9	4001	4103	-	ONT9.4285.14619	CDS	INIP
chr9	4103	4448	-	ONT9.4285.14619	intron	INIP
chr9	4448	4475	-	ONT9.4285.14619	CDS	INIP
chr9	4476	4528	-	ONT9.4285.14619	UTR	NA
chr9	4528	4842	-	ONT9.4285.14619	intron	NA
chr9	4842	4952	-	ONT9.4285.14619	UTR	NA
chr9	21	381	-	ONT9.4285.14624	UTR	NA
chr9	381	2201	-	ONT9.4285.14624	intron	NA
chr9	2201	3616	-	ONT9.4285.14624	UTR	NA
chr9	3617	3709	-	ONT9.4285.14624	CDS	INIP
chr9	3709	3810	-	ONT9.4285.14624	intron	INIP
chr9	3810	3900	-	ONT9.4285.14624	CDS	INIP
chr9	3900	4001	-	ONT9.4285.14624	intron	INIP
chr9	4001	4103	-	ONT9.4285.14624	CDS	INIP
chr9	4103	4448	-	ONT9.4285.14624	intron	INIP
chr9	4448	4475	-	ONT9.4285.14624	CDS	INIP
chr9	4476	4528	-	ONT9.4285.14624	UTR	NA
chr9	4528	4842	-	ONT9.4285.14624	intron	NA
chr9	4842	4976	-	ONT9.4285.14624	UTR	NA
chr9	2	427	-	ONT9.4285.14638	UTR	NA
chr9	427	2201	-	ONT9.4285.14638	intron	NA
chr9	2201	3616	-	ONT9.4285.14638	UTR	NA
chr9	3617	3709	-	ONT9.4285.14638	CDS	INIP
chr9	3709	3810	-	ONT9.4285.14638	intron	INIP
chr9	3810	3900	-	ONT9.4285.14638	CDS	INIP
chr9	3900	4001	-	ONT9.4285.14638	intron	INIP
chr9	4001	4103	-	ONT9.4285.14638	CDS	INIP
chr9	4103	4448	-	ONT9.4285.14638	intron	INIP
chr9	4448	4475	-	ONT9.4285.14638	CDS	INIP
chr9	4476	4528	-	ONT9.4285.14638	UTR	NA
chr9	4528	4842	-	ONT9.4285.14638	intron	NA
chr9	4842	4954	-	ONT9.4285.14638	UTR	NA
chr9	13	398	-	ONT9.4285.14663	UTR	NA
chr9	398	1582	-	ONT9.4285.14663	intron	NA
chr9	1582	3616	-	ONT9.4285.14663	UTR	NA
chr9	3617	3709	-	ONT9.4285.14663	CDS	INIP
chr9	3709	3810	-	ONT9.4285.14663	intron	INIP
chr9	3810	3900	-	ONT9.4285.14663	CDS	INIP
chr9	3900	4001	-	ONT9.4285.14663	intron	INIP
chr9	4001	4103	-	ONT9.4285.14663	CDS	INIP
chr9	4103	4448	-	ONT9.4285.14663	intron	INIP
chr9	4448	4475	-	ONT9.4285.14663	CDS	INIP
chr9	4476	4528	-	ONT9.4285.14663	UTR	NA
chr9	4528	4838	-	ONT9.4285.14663	intron	NA
