seqnames	start	end	strand	transcript_id	type	gene_id
chr2	173	238	+	ENST00000344420.10	UTR	NA
chr2	239	315	+	ENST00000344420.10	CDS	ENSG00000213699.9
chr2	315	416	+	ENST00000344420.10	intron	ENSG00000213699.9
chr2	416	488	+	ENST00000344420.10	CDS	ENSG00000213699.9
chr2	488	592	+	ENST00000344420.10	intron	ENSG00000213699.9
chr2	592	763	+	ENST00000344420.10	CDS	ENSG00000213699.9
chr2	763	864	+	ENST00000344420.10	intron	ENSG00000213699.9
chr2	864	1076	+	ENST00000344420.10	CDS	ENSG00000213699.9
chr2	1076	1290	+	ENST00000344420.10	intron	ENSG00000213699.9
chr2	1290	1400	+	ENST00000344420.10	CDS	ENSG00000213699.9
chr2	1400	1503	+	ENST00000344420.10	intron	ENSG00000213699.9
chr2	1503	1975	+	ENST00000344420.10	CDS	ENSG00000213699.9
chr2	1976	4692	+	ENST00000344420.10	UTR	NA
chr2	2	238	+	ONT2.2120.401	UTR	NA
chr2	239	315	+	ONT2.2120.401	CDS	SLC35F6
chr2	315	416	+	ONT2.2120.401	intron	SLC35F6
chr2	416	488	+	ONT2.2120.401	CDS	SLC35F6
chr2	488	592	+	ONT2.2120.401	intron	SLC35F6
chr2	592	763	+	ONT2.2120.401	CDS	SLC35F6
chr2	763	864	+	ONT2.2120.401	intron	SLC35F6
chr2	864	1076	+	ONT2.2120.401	CDS	SLC35F6
chr2	1076	1290	+	ONT2.2120.401	intron	SLC35F6
chr2	1290	1400	+	ONT2.2120.401	CDS	SLC35F6
chr2	1400	1503	+	ONT2.2120.401	intron	SLC35F6
chr2	1503	1972	+	ONT2.2120.401	CDS	SLC35F6
chr2	1973	2380	+	ONT2.2120.401	UTR	NA
chr2	36	238	+	ONT2.2120.402	UTR	NA
chr2	239	315	+	ONT2.2120.402	CDS	SLC35F6
chr2	315	416	+	ONT2.2120.402	intron	SLC35F6
chr2	416	488	+	ONT2.2120.402	CDS	SLC35F6
chr2	488	592	+	ONT2.2120.402	intron	SLC35F6
chr2	592	763	+	ONT2.2120.402	CDS	SLC35F6
chr2	763	864	+	ONT2.2120.402	intron	SLC35F6
chr2	864	1076	+	ONT2.2120.402	CDS	SLC35F6
chr2	1076	1290	+	ONT2.2120.402	intron	SLC35F6
chr2	1290	1400	+	ONT2.2120.402	CDS	SLC35F6
chr2	1400	1503	+	ONT2.2120.402	intron	SLC35F6
chr2	1503	1972	+	ONT2.2120.402	CDS	SLC35F6
chr2	1973	4697	+	ONT2.2120.402	UTR	NA
chr2	185	238	+	ONT2.2120.404	UTR	NA
chr2	239	315	+	ONT2.2120.404	CDS	SLC35F6
chr2	315	416	+	ONT2.2120.404	intron	SLC35F6
chr2	416	488	+	ONT2.2120.404	CDS	SLC35F6
chr2	488	592	+	ONT2.2120.404	intron	SLC35F6
chr2	592	763	+	ONT2.2120.404	CDS	SLC35F6
chr2	763	864	+	ONT2.2120.404	intron	SLC35F6
chr2	864	1076	+	ONT2.2120.404	CDS	SLC35F6
chr2	1076	1290	+	ONT2.2120.404	intron	SLC35F6
chr2	1290	1400	+	ONT2.2120.404	CDS	SLC35F6
chr2	1400	1503	+	ONT2.2120.404	intron	SLC35F6
chr2	1503	1972	+	ONT2.2120.404	CDS	SLC35F6
chr2	1973	2383	+	ONT2.2120.404	UTR	NA
chr2	166	238	+	ONT2.2120.406	UTR	NA
chr2	239	315	+	ONT2.2120.406	CDS	SLC35F6
chr2	315	416	+	ONT2.2120.406	intron	SLC35F6
chr2	416	488	+	ONT2.2120.406	CDS	SLC35F6
chr2	488	592	+	ONT2.2120.406	intron	SLC35F6
chr2	592	763	+	ONT2.2120.406	CDS	SLC35F6
chr2	763	864	+	ONT2.2120.406	intron	SLC35F6
chr2	864	1076	+	ONT2.2120.406	CDS	SLC35F6
chr2	1076	1290	+	ONT2.2120.406	intron	SLC35F6
chr2	1290	1400	+	ONT2.2120.406	CDS	SLC35F6
chr2	1400	1503	+	ONT2.2120.406	intron	SLC35F6
chr2	1503	1972	+	ONT2.2120.406	CDS	SLC35F6
chr2	1973	4608	+	ONT2.2120.406	UTR	NA
chr2	128	238	+	ONT2.2120.408	UTR	NA
chr2	239	315	+	ONT2.2120.408	CDS	SLC35F6
chr2	315	416	+	ONT2.2120.408	intron	SLC35F6
chr2	416	488	+	ONT2.2120.408	CDS	SLC35F6
chr2	488	592	+	ONT2.2120.408	intron	SLC35F6
chr2	592	763	+	ONT2.2120.408	CDS	SLC35F6
chr2	763	864	+	ONT2.2120.408	intron	SLC35F6
chr2	864	1076	+	ONT2.2120.408	CDS	SLC35F6
chr2	1076	1290	+	ONT2.2120.408	intron	SLC35F6
chr2	1290	1400	+	ONT2.2120.408	CDS	SLC35F6
chr2	1400	1503	+	ONT2.2120.408	intron	SLC35F6
chr2	1503	1972	+	ONT2.2120.408	CDS	SLC35F6
chr2	1973	2365	+	ONT2.2120.408	UTR	NA
chr2	2365	6339	+	ONT2.2120.408	intron	NA
chr2	6339	6970	+	ONT2.2120.408	UTR	NA
chr2	177	238	+	ONT2.2120.410	UTR	NA
chr2	239	315	+	ONT2.2120.410	CDS	SLC35F6
chr2	315	416	+	ONT2.2120.410	intron	SLC35F6
chr2	416	488	+	ONT2.2120.410	CDS	SLC35F6
chr2	488	864	+	ONT2.2120.410	intron	SLC35F6
chr2	864	869	+	ONT2.2120.410	CDS	SLC35F6
chr2	870	1076	+	ONT2.2120.410	UTR	NA
chr2	1076	1290	+	ONT2.2120.410	intron	NA
chr2	1290	1400	+	ONT2.2120.410	UTR	NA
chr2	1400	1503	+	ONT2.2120.410	intron	NA
chr2	1503	4693	+	ONT2.2120.410	UTR	NA
chr2	133	238	+	ONT2.2120.411	UTR	NA
chr2	239	315	+	ONT2.2120.411	CDS	SLC35F6
chr2	315	416	+	ONT2.2120.411	intron	SLC35F6
chr2	416	488	+	ONT2.2120.411	CDS	SLC35F6
chr2	488	592	+	ONT2.2120.411	intron	SLC35F6
chr2	592	763	+	ONT2.2120.411	CDS	SLC35F6
chr2	763	864	+	ONT2.2120.411	intron	SLC35F6
chr2	864	1189	+	ONT2.2120.411	CDS	SLC35F6
chr2	1189	1503	+	ONT2.2120.411	intron	SLC35F6
chr2	1503	1520	+	ONT2.2120.411	CDS	SLC35F6
chr2	1521	4606	+	ONT2.2120.411	UTR	NA
chr2	178	238	+	ONT2.2120.415	UTR	NA
chr2	239	315	+	ONT2.2120.415	CDS	SLC35F6
chr2	315	416	+	ONT2.2120.415	intron	SLC35F6
chr2	416	488	+	ONT2.2120.415	CDS	SLC35F6
chr2	488	592	+	ONT2.2120.415	intron	SLC35F6
chr2	592	763	+	ONT2.2120.415	CDS	SLC35F6
chr2	763	864	+	ONT2.2120.415	intron	SLC35F6
chr2	864	1076	+	ONT2.2120.415	CDS	SLC35F6
chr2	1076	1290	+	ONT2.2120.415	intron	SLC35F6
chr2	1290	1400	+	ONT2.2120.415	CDS	SLC35F6
chr2	1400	1503	+	ONT2.2120.415	intron	SLC35F6
chr2	1503	1972	+	ONT2.2120.415	CDS	SLC35F6
chr2	1973	3385	+	ONT2.2120.415	UTR	NA
chr2	178	238	+	ONT2.2120.417	UTR	NA
chr2	239	315	+	ONT2.2120.417	CDS	SLC35F6
chr2	315	416	+	ONT2.2120.417	intron	SLC35F6
chr2	416	488	+	ONT2.2120.417	CDS	SLC35F6
chr2	488	592	+	ONT2.2120.417	intron	SLC35F6
chr2	592	763	+	ONT2.2120.417	CDS	SLC35F6
chr2	763	864	+	ONT2.2120.417	intron	SLC35F6
chr2	864	1076	+	ONT2.2120.417	CDS	SLC35F6
chr2	1076	1290	+	ONT2.2120.417	intron	SLC35F6
chr2	1290	1400	+	ONT2.2120.417	CDS	SLC35F6
chr2	1400	1503	+	ONT2.2120.417	intron	SLC35F6
chr2	1503	1972	+	ONT2.2120.417	CDS	SLC35F6
chr2	1973	4033	+	ONT2.2120.417	UTR	NA
chr2	169	238	+	ONT2.2120.420	UTR	NA
chr2	239	315	+	ONT2.2120.420	CDS	SLC35F6
chr2	315	416	+	ONT2.2120.420	intron	SLC35F6
chr2	416	488	+	ONT2.2120.420	CDS	SLC35F6
chr2	488	592	+	ONT2.2120.420	intron	SLC35F6
chr2	592	763	+	ONT2.2120.420	CDS	SLC35F6
chr2	763	864	+	ONT2.2120.420	intron	SLC35F6
chr2	864	1076	+	ONT2.2120.420	CDS	SLC35F6
chr2	1076	1290	+	ONT2.2120.420	intron	SLC35F6
chr2	1290	1400	+	ONT2.2120.420	CDS	SLC35F6
chr2	1400	1503	+	ONT2.2120.420	intron	SLC35F6
chr2	1503	1972	+	ONT2.2120.420	CDS	SLC35F6
chr2	1973	2269	+	ONT2.2120.420	UTR	NA
chr2	173	238	+	ONT2.2120.422	UTR	NA
chr2	239	315	+	ONT2.2120.422	CDS	SLC35F6
chr2	315	416	+	ONT2.2120.422	intron	SLC35F6
chr2	416	488	+	ONT2.2120.422	CDS	SLC35F6
chr2	488	592	+	ONT2.2120.422	intron	SLC35F6
chr2	592	763	+	ONT2.2120.422	CDS	SLC35F6
chr2	763	864	+	ONT2.2120.422	intron	SLC35F6
chr2	864	1076	+	ONT2.2120.422	CDS	SLC35F6
chr2	1076	1290	+	ONT2.2120.422	intron	SLC35F6
chr2	1290	1400	+	ONT2.2120.422	CDS	SLC35F6
chr2	1400	1503	+	ONT2.2120.422	intron	SLC35F6
chr2	1503	1972	+	ONT2.2120.422	CDS	SLC35F6
chr2	1973	2384	+	ONT2.2120.422	UTR	NA
chr2	2384	4862	+	ONT2.2120.422	intron	NA
chr2	4862	4928	+	ONT2.2120.422	UTR	NA
