seqnames	start	end	strand	transcript_id	type	gene_id
chr15	257	269	+	ENST00000307897.10	UTR	NA
chr15	270	322	+	ENST00000307897.10	CDS	ENSG00000174442.12
chr15	322	518	+	ENST00000307897.10	intron	ENSG00000174442.12
chr15	518	569	+	ENST00000307897.10	CDS	ENSG00000174442.12
chr15	569	670	+	ENST00000307897.10	intron	ENSG00000174442.12
chr15	670	765	+	ENST00000307897.10	CDS	ENSG00000174442.12
chr15	765	871	+	ENST00000307897.10	intron	ENSG00000174442.12
chr15	871	989	+	ENST00000307897.10	CDS	ENSG00000174442.12
chr15	989	1093	+	ENST00000307897.10	intron	ENSG00000174442.12
chr15	1093	1292	+	ENST00000307897.10	CDS	ENSG00000174442.12
chr15	1292	1397	+	ENST00000307897.10	intron	ENSG00000174442.12
chr15	1397	1467	+	ENST00000307897.10	CDS	ENSG00000174442.12
chr15	1467	1569	+	ENST00000307897.10	intron	ENSG00000174442.12
chr15	1569	1724	+	ENST00000307897.10	CDS	ENSG00000174442.12
chr15	1724	1832	+	ENST00000307897.10	intron	ENSG00000174442.12
chr15	1832	1903	+	ENST00000307897.10	CDS	ENSG00000174442.12
chr15	1903	2573	+	ENST00000307897.10	intron	ENSG00000174442.12
chr15	2573	2666	+	ENST00000307897.10	CDS	ENSG00000174442.12
chr15	2666	3140	+	ENST00000307897.10	intron	ENSG00000174442.12
chr15	3140	3195	+	ENST00000307897.10	CDS	ENSG00000174442.12
chr15	3195	3300	+	ENST00000307897.10	intron	ENSG00000174442.12
chr15	3300	3405	+	ENST00000307897.10	CDS	ENSG00000174442.12
chr15	3405	3510	+	ENST00000307897.10	intron	ENSG00000174442.12
chr15	3510	3589	+	ENST00000307897.10	CDS	ENSG00000174442.12
chr15	3589	3691	+	ENST00000307897.10	intron	ENSG00000174442.12
chr15	3691	3847	+	ENST00000307897.10	CDS	ENSG00000174442.12
chr15	3847	3969	+	ENST00000307897.10	intron	ENSG00000174442.12
chr15	3969	3997	+	ENST00000307897.10	CDS	ENSG00000174442.12
chr15	3997	4139	+	ENST00000307897.10	intron	ENSG00000174442.12
chr15	4139	4275	+	ENST00000307897.10	CDS	ENSG00000174442.12
chr15	4275	4380	+	ENST00000307897.10	intron	ENSG00000174442.12
chr15	4380	4475	+	ENST00000307897.10	CDS	ENSG00000174442.12
chr15	4475	4576	+	ENST00000307897.10	intron	ENSG00000174442.12
chr15	4576	4688	+	ENST00000307897.10	CDS	ENSG00000174442.12
chr15	4688	4789	+	ENST00000307897.10	intron	ENSG00000174442.12
chr15	4789	4880	+	ENST00000307897.10	CDS	ENSG00000174442.12
chr15	4881	4903	+	ENST00000307897.10	UTR	NA
chr15	4903	5774	+	ENST00000307897.10	intron	NA
chr15	5774	7553	+	ENST00000307897.10	UTR	NA
chr15	2	30	+	ONT15.1595.47793	UTR	NA
chr15	30	518	+	ONT15.1595.47793	intron	NA
chr15	518	569	+	ONT15.1595.47793	UTR	NA
chr15	569	670	+	ONT15.1595.47793	intron	NA
chr15	670	765	+	ONT15.1595.47793	UTR	NA
chr15	765	871	+	ONT15.1595.47793	intron	NA
chr15	871	989	+	ONT15.1595.47793	UTR	NA
chr15	989	1093	+	ONT15.1595.47793	intron	NA
chr15	1093	1114	+	ONT15.1595.47793	UTR	NA
chr15	1115	1292	+	ONT15.1595.47793	CDS	ZWILCH
chr15	1292	1397	+	ONT15.1595.47793	intron	ZWILCH
chr15	1397	1467	+	ONT15.1595.47793	CDS	ZWILCH
chr15	1467	1569	+	ONT15.1595.47793	intron	ZWILCH
chr15	1569	1724	+	ONT15.1595.47793	CDS	ZWILCH
chr15	1724	1832	+	ONT15.1595.47793	intron	ZWILCH
chr15	1832	1903	+	ONT15.1595.47793	CDS	ZWILCH
chr15	1903	2573	+	ONT15.1595.47793	intron	ZWILCH
chr15	2573	2666	+	ONT15.1595.47793	CDS	ZWILCH
chr15	2666	3140	+	ONT15.1595.47793	intron	ZWILCH
chr15	3140	3195	+	ONT15.1595.47793	CDS	ZWILCH
chr15	3195	3300	+	ONT15.1595.47793	intron	ZWILCH
chr15	3300	3405	+	ONT15.1595.47793	CDS	ZWILCH
chr15	3405	3510	+	ONT15.1595.47793	intron	ZWILCH
chr15	3510	3589	+	ONT15.1595.47793	CDS	ZWILCH
chr15	3589	3691	+	ONT15.1595.47793	intron	ZWILCH
chr15	3691	3847	+	ONT15.1595.47793	CDS	ZWILCH
chr15	3847	3969	+	ONT15.1595.47793	intron	ZWILCH
chr15	3969	3997	+	ONT15.1595.47793	CDS	ZWILCH
chr15	3997	4139	+	ONT15.1595.47793	intron	ZWILCH
chr15	4139	4275	+	ONT15.1595.47793	CDS	ZWILCH
chr15	4275	4380	+	ONT15.1595.47793	intron	ZWILCH
chr15	4380	4475	+	ONT15.1595.47793	CDS	ZWILCH
chr15	4475	4576	+	ONT15.1595.47793	intron	ZWILCH
chr15	4576	4688	+	ONT15.1595.47793	CDS	ZWILCH
chr15	4688	4789	+	ONT15.1595.47793	intron	ZWILCH
chr15	4789	4877	+	ONT15.1595.47793	CDS	ZWILCH
chr15	4878	4903	+	ONT15.1595.47793	UTR	NA
chr15	4903	5774	+	ONT15.1595.47793	intron	NA
chr15	5774	6908	+	ONT15.1595.47793	UTR	NA
chr15	51	269	+	ONT15.1595.47797	UTR	NA
chr15	270	322	+	ONT15.1595.47797	CDS	ZWILCH
chr15	322	518	+	ONT15.1595.47797	intron	ZWILCH
chr15	518	569	+	ONT15.1595.47797	CDS	ZWILCH
chr15	569	670	+	ONT15.1595.47797	intron	ZWILCH
chr15	670	765	+	ONT15.1595.47797	CDS	ZWILCH
chr15	765	871	+	ONT15.1595.47797	intron	ZWILCH
chr15	871	989	+	ONT15.1595.47797	CDS	ZWILCH
chr15	989	1093	+	ONT15.1595.47797	intron	ZWILCH
chr15	1093	1292	+	ONT15.1595.47797	CDS	ZWILCH
chr15	1292	1397	+	ONT15.1595.47797	intron	ZWILCH
chr15	1397	1467	+	ONT15.1595.47797	CDS	ZWILCH
chr15	1467	1569	+	ONT15.1595.47797	intron	ZWILCH
chr15	1569	1724	+	ONT15.1595.47797	CDS	ZWILCH
chr15	1724	1832	+	ONT15.1595.47797	intron	ZWILCH
chr15	1832	1903	+	ONT15.1595.47797	CDS	ZWILCH
chr15	1903	2573	+	ONT15.1595.47797	intron	ZWILCH
chr15	2573	2666	+	ONT15.1595.47797	CDS	ZWILCH
chr15	2666	3140	+	ONT15.1595.47797	intron	ZWILCH
chr15	3140	3195	+	ONT15.1595.47797	CDS	ZWILCH
chr15	3195	3300	+	ONT15.1595.47797	intron	ZWILCH
chr15	3300	3405	+	ONT15.1595.47797	CDS	ZWILCH
chr15	3405	3510	+	ONT15.1595.47797	intron	ZWILCH
chr15	3510	3589	+	ONT15.1595.47797	CDS	ZWILCH
chr15	3589	3691	+	ONT15.1595.47797	intron	ZWILCH
chr15	3691	3847	+	ONT15.1595.47797	CDS	ZWILCH
chr15	3847	3969	+	ONT15.1595.47797	intron	ZWILCH
chr15	3969	3997	+	ONT15.1595.47797	CDS	ZWILCH
chr15	3997	4139	+	ONT15.1595.47797	intron	ZWILCH
chr15	4139	4275	+	ONT15.1595.47797	CDS	ZWILCH
chr15	4275	4380	+	ONT15.1595.47797	intron	ZWILCH
chr15	4380	4475	+	ONT15.1595.47797	CDS	ZWILCH
chr15	4475	4576	+	ONT15.1595.47797	intron	ZWILCH
chr15	4576	4688	+	ONT15.1595.47797	CDS	ZWILCH
chr15	4688	4789	+	ONT15.1595.47797	intron	ZWILCH
chr15	4789	4877	+	ONT15.1595.47797	CDS	ZWILCH
chr15	4878	4903	+	ONT15.1595.47797	UTR	NA
chr15	4903	5774	+	ONT15.1595.47797	intron	NA
chr15	5774	6908	+	ONT15.1595.47797	UTR	NA
chr15	71	269	+	ONT15.1595.47798	UTR	NA
chr15	270	322	+	ONT15.1595.47798	CDS	ZWILCH
chr15	322	518	+	ONT15.1595.47798	intron	ZWILCH
chr15	518	569	+	ONT15.1595.47798	CDS	ZWILCH
chr15	569	670	+	ONT15.1595.47798	intron	ZWILCH
chr15	670	765	+	ONT15.1595.47798	CDS	ZWILCH
chr15	765	871	+	ONT15.1595.47798	intron	ZWILCH
chr15	871	989	+	ONT15.1595.47798	CDS	ZWILCH
chr15	989	1093	+	ONT15.1595.47798	intron	ZWILCH
chr15	1093	1292	+	ONT15.1595.47798	CDS	ZWILCH
chr15	1292	1397	+	ONT15.1595.47798	intron	ZWILCH
chr15	1397	1467	+	ONT15.1595.47798	CDS	ZWILCH
chr15	1467	1569	+	ONT15.1595.47798	intron	ZWILCH
chr15	1569	1724	+	ONT15.1595.47798	CDS	ZWILCH
chr15	1724	1832	+	ONT15.1595.47798	intron	ZWILCH
chr15	1832	1903	+	ONT15.1595.47798	CDS	ZWILCH
chr15	1903	2573	+	ONT15.1595.47798	intron	ZWILCH
chr15	2573	2666	+	ONT15.1595.47798	CDS	ZWILCH
chr15	2666	3140	+	ONT15.1595.47798	intron	ZWILCH
chr15	3140	3195	+	ONT15.1595.47798	CDS	ZWILCH
chr15	3195	3300	+	ONT15.1595.47798	intron	ZWILCH
chr15	3300	3405	+	ONT15.1595.47798	CDS	ZWILCH
chr15	3405	3510	+	ONT15.1595.47798	intron	ZWILCH
chr15	3510	3589	+	ONT15.1595.47798	CDS	ZWILCH
chr15	3589	3691	+	ONT15.1595.47798	intron	ZWILCH
chr15	3691	3847	+	ONT15.1595.47798	CDS	ZWILCH
chr15	3847	3969	+	ONT15.1595.47798	intron	ZWILCH
chr15	3969	3997	+	ONT15.1595.47798	CDS	ZWILCH
chr15	3997	4139	+	ONT15.1595.47798	intron	ZWILCH
chr15	4139	4275	+	ONT15.1595.47798	CDS	ZWILCH
chr15	4275	4380	+	ONT15.1595.47798	intron	ZWILCH
chr15	4380	4475	+	ONT15.1595.47798	CDS	ZWILCH
chr15	4475	4576	+	ONT15.1595.47798	intron	ZWILCH
chr15	4576	4688	+	ONT15.1595.47798	CDS	ZWILCH
chr15	4688	4789	+	ONT15.1595.47798	intron	ZWILCH
chr15	4789	4877	+	ONT15.1595.47798	CDS	ZWILCH
chr15	4878	4903	+	ONT15.1595.47798	UTR	NA
chr15	4903	5774	+	ONT15.1595.47798	intron	NA
chr15	5774	6548	+	ONT15.1595.47798	UTR	NA
chr15	24	269	+	ONT15.1595.47804	UTR	NA
chr15	270	322	+	ONT15.1595.47804	CDS	ZWILCH
chr15	322	518	+	ONT15.1595.47804	intron	ZWILCH
chr15	518	569	+	ONT15.1595.47804	CDS	ZWILCH
chr15	569	670	+	ONT15.1595.47804	intron	ZWILCH
chr15	670	765	+	ONT15.1595.47804	CDS	ZWILCH
chr15	765	871	+	ONT15.1595.47804	intron	ZWILCH
chr15	871	989	+	ONT15.1595.47804	CDS	ZWILCH
chr15	989	1093	+	ONT15.1595.47804	intron	ZWILCH
chr15	1093	1292	+	ONT15.1595.47804	CDS	ZWILCH
chr15	1292	1397	+	ONT15.1595.47804	intron	ZWILCH
chr15	1397	1467	+	ONT15.1595.47804	CDS	ZWILCH
chr15	1467	1569	+	ONT15.1595.47804	intron	ZWILCH
chr15	1569	1724	+	ONT15.1595.47804	CDS	ZWILCH
chr15	1724	1832	+	ONT15.1595.47804	intron	ZWILCH
chr15	1832	1903	+	ONT15.1595.47804	CDS	ZWILCH
chr15	1903	3140	+	ONT15.1595.47804	intron	ZWILCH
chr15	3140	3145	+	ONT15.1595.47804	CDS	ZWILCH
chr15	3146	3195	+	ONT15.1595.47804	UTR	NA
chr15	3195	3300	+	ONT15.1595.47804	intron	NA
chr15	3300	3405	+	ONT15.1595.47804	UTR	NA
chr15	3405	3510	+	ONT15.1595.47804	intron	NA
chr15	3510	3589	+	ONT15.1595.47804	UTR	NA
chr15	3589	3691	+	ONT15.1595.47804	intron	NA
chr15	3691	3847	+	ONT15.1595.47804	UTR	NA
chr15	3847	3969	+	ONT15.1595.47804	intron	NA
chr15	3969	3997	+	ONT15.1595.47804	UTR	NA
chr15	3997	4139	+	ONT15.1595.47804	intron	NA
chr15	4139	4275	+	ONT15.1595.47804	UTR	NA
chr15	4275	4380	+	ONT15.1595.47804	intron	NA
chr15	4380	4475	+	ONT15.1595.47804	UTR	NA
chr15	4475	4576	+	ONT15.1595.47804	intron	NA
chr15	4576	4688	+	ONT15.1595.47804	UTR	NA
chr15	4688	4789	+	ONT15.1595.47804	intron	NA
chr15	4789	4903	+	ONT15.1595.47804	UTR	NA
chr15	4903	5774	+	ONT15.1595.47804	intron	NA
chr15	5774	6908	+	ONT15.1595.47804	UTR	NA
chr15	66	269	+	ONT15.1595.47805	UTR	NA
chr15	270	322	+	ONT15.1595.47805	CDS	ZWILCH
chr15	322	518	+	ONT15.1595.47805	intron	ZWILCH
chr15	518	569	+	ONT15.1595.47805	CDS	ZWILCH
chr15	569	670	+	ONT15.1595.47805	intron	ZWILCH
chr15	670	769	+	ONT15.1595.47805	CDS	ZWILCH
chr15	769	878	+	ONT15.1595.47805	intron	ZWILCH
chr15	878	989	+	ONT15.1595.47805	CDS	ZWILCH
chr15	989	1093	+	ONT15.1595.47805	intron	ZWILCH
chr15	1093	1292	+	ONT15.1595.47805	CDS	ZWILCH
chr15	1292	1397	+	ONT15.1595.47805	intron	ZWILCH
chr15	1397	1467	+	ONT15.1595.47805	CDS	ZWILCH
chr15	1467	1569	+	ONT15.1595.47805	intron	ZWILCH
chr15	1569	1724	+	ONT15.1595.47805	CDS	ZWILCH
chr15	1724	1832	+	ONT15.1595.47805	intron	ZWILCH
chr15	1832	1903	+	ONT15.1595.47805	CDS	ZWILCH
chr15	1903	2573	+	ONT15.1595.47805	intron	ZWILCH
