seqnames	start	end	strand	transcript_id	type	gene_id
chr7	7	260	+	ENST00000005257.7	UTR	NA
chr7	260	363	+	ENST00000005257.7	intron	NA
chr7	363	399	+	ENST00000005257.7	UTR	NA
chr7	400	513	+	ENST00000005257.7	CDS	ENSG00000006451.8
chr7	513	616	+	ENST00000005257.7	intron	ENSG00000006451.8
chr7	616	824	+	ENST00000005257.7	CDS	ENSG00000006451.8
chr7	824	4104	+	ENST00000005257.7	intron	ENSG00000006451.8
chr7	4104	4278	+	ENST00000005257.7	CDS	ENSG00000006451.8
chr7	4278	4637	+	ENST00000005257.7	intron	ENSG00000006451.8
chr7	4637	4762	+	ENST00000005257.7	CDS	ENSG00000006451.8
chr7	4763	6634	+	ENST00000005257.7	UTR	NA
chr7	21	260	+	ONT7.1441.7566	UTR	NA
chr7	260	363	+	ONT7.1441.7566	intron	NA
chr7	363	399	+	ONT7.1441.7566	UTR	NA
chr7	400	513	+	ONT7.1441.7566	CDS	RALA
chr7	513	616	+	ONT7.1441.7566	intron	RALA
chr7	616	824	+	ONT7.1441.7566	CDS	RALA
chr7	824	4111	+	ONT7.1441.7566	intron	RALA
chr7	4111	4117	+	ONT7.1441.7566	CDS	RALA
chr7	4118	4278	+	ONT7.1441.7566	UTR	NA
chr7	4278	4637	+	ONT7.1441.7566	intron	NA
chr7	4637	6634	+	ONT7.1441.7566	UTR	NA
chr7	3	260	+	ONT7.1441.7596	UTR	NA
chr7	260	363	+	ONT7.1441.7596	intron	NA
chr7	363	399	+	ONT7.1441.7596	UTR	NA
chr7	400	513	+	ONT7.1441.7596	CDS	RALA
chr7	513	616	+	ONT7.1441.7596	intron	RALA
chr7	616	824	+	ONT7.1441.7596	CDS	RALA
chr7	824	4104	+	ONT7.1441.7596	intron	RALA
chr7	4104	4278	+	ONT7.1441.7596	CDS	RALA
chr7	4278	4386	+	ONT7.1441.7596	intron	RALA
chr7	4386	4400	+	ONT7.1441.7596	CDS	RALA
chr7	4401	4488	+	ONT7.1441.7596	UTR	NA
chr7	4488	4637	+	ONT7.1441.7596	intron	NA
chr7	4637	6638	+	ONT7.1441.7596	UTR	NA
chr7	2	260	+	ONT7.1441.7629	UTR	NA
chr7	260	363	+	ONT7.1441.7629	intron	NA
chr7	363	399	+	ONT7.1441.7629	UTR	NA
chr7	400	513	+	ONT7.1441.7629	CDS	RALA
chr7	513	616	+	ONT7.1441.7629	intron	RALA
chr7	616	836	+	ONT7.1441.7629	CDS	RALA
chr7	836	4121	+	ONT7.1441.7629	intron	RALA
chr7	4121	4133	+	ONT7.1441.7629	CDS	RALA
chr7	4134	4278	+	ONT7.1441.7629	UTR	NA
chr7	4278	4637	+	ONT7.1441.7629	intron	NA
chr7	4637	6623	+	ONT7.1441.7629	UTR	NA
chr7	2	260	+	ONT7.1441.7645	UTR	NA
chr7	260	363	+	ONT7.1441.7645	intron	NA
chr7	363	399	+	ONT7.1441.7645	UTR	NA
chr7	400	513	+	ONT7.1441.7645	CDS	RALA
chr7	513	616	+	ONT7.1441.7645	intron	RALA
chr7	616	824	+	ONT7.1441.7645	CDS	RALA
chr7	824	4111	+	ONT7.1441.7645	intron	RALA
chr7	4111	4117	+	ONT7.1441.7645	CDS	RALA
chr7	4118	4276	+	ONT7.1441.7645	UTR	NA
chr7	2	260	+	ONT7.1441.7649	UTR	NA
chr7	260	363	+	ONT7.1441.7649	intron	NA
chr7	363	399	+	ONT7.1441.7649	UTR	NA
chr7	400	513	+	ONT7.1441.7649	CDS	RALA
chr7	513	616	+	ONT7.1441.7649	intron	RALA
chr7	616	824	+	ONT7.1441.7649	CDS	RALA
chr7	824	3910	+	ONT7.1441.7649	intron	RALA
chr7	3910	3955	+	ONT7.1441.7649	CDS	RALA
chr7	3956	4003	+	ONT7.1441.7649	UTR	NA
chr7	4003	4104	+	ONT7.1441.7649	intron	NA
chr7	4104	4278	+	ONT7.1441.7649	UTR	NA
chr7	4278	4637	+	ONT7.1441.7649	intron	NA
chr7	4637	6634	+	ONT7.1441.7649	UTR	NA
chr7	2	260	+	ONT7.1441.7650	UTR	NA
chr7	260	363	+	ONT7.1441.7650	intron	NA
chr7	363	399	+	ONT7.1441.7650	UTR	NA
chr7	400	513	+	ONT7.1441.7650	CDS	RALA
chr7	513	616	+	ONT7.1441.7650	intron	RALA
chr7	616	824	+	ONT7.1441.7650	CDS	RALA
chr7	824	4104	+	ONT7.1441.7650	intron	RALA
chr7	4104	4285	+	ONT7.1441.7650	CDS	RALA
chr7	4285	4645	+	ONT7.1441.7650	intron	RALA
chr7	4645	4652	+	ONT7.1441.7650	CDS	RALA
chr7	4653	6629	+	ONT7.1441.7650	UTR	NA
chr7	41	260	+	ONT7.1441.7689	UTR	NA
chr7	260	363	+	ONT7.1441.7689	intron	NA
chr7	363	399	+	ONT7.1441.7689	UTR	NA
chr7	400	513	+	ONT7.1441.7689	CDS	RALA
chr7	513	625	+	ONT7.1441.7689	intron	RALA
chr7	625	824	+	ONT7.1441.7689	CDS	RALA
chr7	824	4104	+	ONT7.1441.7689	intron	RALA
chr7	4104	4278	+	ONT7.1441.7689	CDS	RALA
chr7	4278	4637	+	ONT7.1441.7689	intron	RALA
chr7	4637	4759	+	ONT7.1441.7689	CDS	RALA
chr7	4760	6634	+	ONT7.1441.7689	UTR	NA
chr7	7	260	+	ONT7.1441.7695	UTR	NA
chr7	260	363	+	ONT7.1441.7695	intron	NA
chr7	363	399	+	ONT7.1441.7695	UTR	NA
chr7	400	513	+	ONT7.1441.7695	CDS	RALA
chr7	513	616	+	ONT7.1441.7695	intron	RALA
chr7	616	824	+	ONT7.1441.7695	CDS	RALA
chr7	824	3910	+	ONT7.1441.7695	intron	RALA
chr7	3910	3955	+	ONT7.1441.7695	CDS	RALA
chr7	3956	4003	+	ONT7.1441.7695	UTR	NA
chr7	4003	4104	+	ONT7.1441.7695	intron	NA
chr7	4104	4278	+	ONT7.1441.7695	UTR	NA
chr7	8	260	+	ONT7.1441.7714	UTR	NA
chr7	260	363	+	ONT7.1441.7714	intron	NA
chr7	363	399	+	ONT7.1441.7714	UTR	NA
chr7	400	513	+	ONT7.1441.7714	CDS	RALA
chr7	513	616	+	ONT7.1441.7714	intron	RALA
chr7	616	824	+	ONT7.1441.7714	CDS	RALA
chr7	824	4104	+	ONT7.1441.7714	intron	RALA
chr7	4104	4285	+	ONT7.1441.7714	CDS	RALA
chr7	4285	4637	+	ONT7.1441.7714	intron	RALA
chr7	4637	4647	+	ONT7.1441.7714	CDS	RALA
chr7	4648	6634	+	ONT7.1441.7714	UTR	NA
chr7	7	260	+	ONT7.1441.7722	UTR	NA
chr7	260	363	+	ONT7.1441.7722	intron	NA
chr7	363	399	+	ONT7.1441.7722	UTR	NA
chr7	400	513	+	ONT7.1441.7722	CDS	RALA
chr7	513	616	+	ONT7.1441.7722	intron	RALA
