seqnames	start	end	strand	transcript_id	type	gene_id
chr10	2	2288	-	ENST00000298767.10	UTR	NA
chr10	2289	2354	-	ENST00000298767.10	CDS	ENSG00000062650.20
chr10	2354	2459	-	ENST00000298767.10	intron	ENSG00000062650.20
chr10	2459	2554	-	ENST00000298767.10	CDS	ENSG00000062650.20
chr10	2554	2655	-	ENST00000298767.10	intron	ENSG00000062650.20
chr10	2655	2743	-	ENST00000298767.10	CDS	ENSG00000062650.20
chr10	2743	2844	-	ENST00000298767.10	intron	ENSG00000062650.20
chr10	2844	3051	-	ENST00000298767.10	CDS	ENSG00000062650.20
chr10	3051	3152	-	ENST00000298767.10	intron	ENSG00000062650.20
chr10	3152	3316	-	ENST00000298767.10	CDS	ENSG00000062650.20
chr10	3316	3418	-	ENST00000298767.10	intron	ENSG00000062650.20
chr10	3418	3533	-	ENST00000298767.10	CDS	ENSG00000062650.20
chr10	3533	3635	-	ENST00000298767.10	intron	ENSG00000062650.20
chr10	3635	3810	-	ENST00000298767.10	CDS	ENSG00000062650.20
chr10	3810	3911	-	ENST00000298767.10	intron	ENSG00000062650.20
chr10	3911	3987	-	ENST00000298767.10	CDS	ENSG00000062650.20
chr10	3987	4092	-	ENST00000298767.10	intron	ENSG00000062650.20
chr10	4092	4189	-	ENST00000298767.10	CDS	ENSG00000062650.20
chr10	4189	4292	-	ENST00000298767.10	intron	ENSG00000062650.20
chr10	4292	4403	-	ENST00000298767.10	CDS	ENSG00000062650.20
chr10	4403	4506	-	ENST00000298767.10	intron	ENSG00000062650.20
chr10	4506	4733	-	ENST00000298767.10	CDS	ENSG00000062650.20
chr10	4733	4905	-	ENST00000298767.10	intron	ENSG00000062650.20
chr10	4905	5016	-	ENST00000298767.10	CDS	ENSG00000062650.20
chr10	5016	5117	-	ENST00000298767.10	intron	ENSG00000062650.20
chr10	5117	5253	-	ENST00000298767.10	CDS	ENSG00000062650.20
chr10	5253	5354	-	ENST00000298767.10	intron	ENSG00000062650.20
chr10	5354	5506	-	ENST00000298767.10	CDS	ENSG00000062650.20
chr10	5506	5611	-	ENST00000298767.10	intron	ENSG00000062650.20
chr10	5611	5706	-	ENST00000298767.10	CDS	ENSG00000062650.20
chr10	5706	5808	-	ENST00000298767.10	intron	ENSG00000062650.20
chr10	5808	5926	-	ENST00000298767.10	CDS	ENSG00000062650.20
chr10	5926	8325	-	ENST00000298767.10	intron	ENSG00000062650.20
chr10	8325	9350	-	ENST00000298767.10	CDS	ENSG00000062650.20
chr10	9350	9451	-	ENST00000298767.10	intron	ENSG00000062650.20
chr10	9451	9952	-	ENST00000298767.10	CDS	ENSG00000062650.20
chr10	9953	9971	-	ENST00000298767.10	UTR	NA
chr10	9971	10072	-	ENST00000298767.10	intron	NA
chr10	10072	10499	-	ENST00000298767.10	UTR	NA
chr10	4567	4733	-	ONT10.4357.1045	UTR	NA
chr10	4733	4905	-	ONT10.4357.1045	intron	NA
