seqnames	start	end	strand	transcript_id	type	gene_id
chr3	437	1337	+	ENST00000383693.8	UTR	NA
chr3	1337	1945	+	ENST00000383693.8	intron	NA
chr3	1945	1977	+	ENST00000383693.8	UTR	NA
chr3	1978	2133	+	ENST00000383693.8	CDS	ENSG00000206535.8
chr3	2133	2277	+	ENST00000383693.8	intron	ENSG00000206535.8
chr3	2277	2507	+	ENST00000383693.8	CDS	ENSG00000206535.8
chr3	2507	4264	+	ENST00000383693.8	intron	ENSG00000206535.8
chr3	4264	4416	+	ENST00000383693.8	CDS	ENSG00000206535.8
chr3	4417	4806	+	ENST00000383693.8	UTR	NA
chr3	2	1337	+	ONT3.4709.6932	UTR	NA
chr3	1337	1945	+	ONT3.4709.6932	intron	NA
chr3	1945	1977	+	ONT3.4709.6932	UTR	NA
chr3	1978	2133	+	ONT3.4709.6932	CDS	LNP1
chr3	2133	2277	+	ONT3.4709.6932	intron	LNP1
chr3	2277	2507	+	ONT3.4709.6932	CDS	LNP1
chr3	2507	4264	+	ONT3.4709.6932	intron	LNP1
chr3	4264	4413	+	ONT3.4709.6932	CDS	LNP1
chr3	4414	4806	+	ONT3.4709.6932	UTR	NA
chr3	84	1337	+	ONT3.4709.6934	UTR	NA
chr3	1337	1945	+	ONT3.4709.6934	intron	NA
chr3	1945	1977	+	ONT3.4709.6934	UTR	NA
chr3	1978	2133	+	ONT3.4709.6934	CDS	LNP1
chr3	2133	2277	+	ONT3.4709.6934	intron	LNP1
chr3	2277	2507	+	ONT3.4709.6934	CDS	LNP1
chr3	2507	4264	+	ONT3.4709.6934	intron	LNP1
chr3	4264	4413	+	ONT3.4709.6934	CDS	LNP1
chr3	4414	4806	+	ONT3.4709.6934	UTR	NA
chr3	89	1337	+	ONT3.4709.6935	UTR	NA
chr3	1337	1945	+	ONT3.4709.6935	intron	NA
chr3	1945	1977	+	ONT3.4709.6935	UTR	NA
chr3	1978	2133	+	ONT3.4709.6935	CDS	LNP1
chr3	2133	2238	+	ONT3.4709.6935	intron	LNP1
chr3	2238	2507	+	ONT3.4709.6935	CDS	LNP1
chr3	2507	4264	+	ONT3.4709.6935	intron	LNP1
chr3	4264	4413	+	ONT3.4709.6935	CDS	LNP1
chr3	4414	4813	+	ONT3.4709.6935	UTR	NA
chr3	77	1337	+	ONT3.4709.6937	UTR	NA
chr3	1337	1945	+	ONT3.4709.6937	intron	NA
chr3	1945	1977	+	ONT3.4709.6937	UTR	NA
chr3	1978	2133	+	ONT3.4709.6937	CDS	LNP1
chr3	2133	2277	+	ONT3.4709.6937	intron	LNP1
chr3	2277	2507	+	ONT3.4709.6937	CDS	LNP1
chr3	2507	4264	+	ONT3.4709.6937	intron	LNP1
chr3	4264	4413	+	ONT3.4709.6937	CDS	LNP1
chr3	4414	6221	+	ONT3.4709.6937	UTR	NA
chr3	84	1337	+	ONT3.4709.6939	UTR	NA
chr3	1337	1945	+	ONT3.4709.6939	intron	NA
chr3	1945	1977	+	ONT3.4709.6939	UTR	NA
chr3	1978	2133	+	ONT3.4709.6939	CDS	LNP1
chr3	2133	2277	+	ONT3.4709.6939	intron	LNP1
chr3	2277	2507	+	ONT3.4709.6939	CDS	LNP1
chr3	2507	4278	+	ONT3.4709.6939	intron	LNP1
chr3	4278	4292	+	ONT3.4709.6939	CDS	LNP1
chr3	4293	4818	+	ONT3.4709.6939	UTR	NA
chr3	84	1337	+	ONT3.4709.6952	UTR	NA
chr3	1337	1945	+	ONT3.4709.6952	intron	NA
chr3	1945	1977	+	ONT3.4709.6952	UTR	NA
chr3	1978	2133	+	ONT3.4709.6952	CDS	LNP1
chr3	2133	2277	+	ONT3.4709.6952	intron	LNP1
chr3	2277	2507	+	ONT3.4709.6952	CDS	LNP1
chr3	2507	4264	+	ONT3.4709.6952	intron	LNP1
chr3	4264	4413	+	ONT3.4709.6952	CDS	LNP1
chr3	4414	4701	+	ONT3.4709.6952	UTR	NA
chr3	141	1337	+	ONT3.4709.6959	UTR	NA
chr3	1337	1945	+	ONT3.4709.6959	intron	NA
chr3	1945	1977	+	ONT3.4709.6959	UTR	NA
chr3	1978	2133	+	ONT3.4709.6959	CDS	LNP1
chr3	2133	2277	+	ONT3.4709.6959	intron	LNP1
chr3	2277	2507	+	ONT3.4709.6959	CDS	LNP1
chr3	2507	4264	+	ONT3.4709.6959	intron	LNP1
chr3	4264	4413	+	ONT3.4709.6959	CDS	LNP1
chr3	4414	4434	+	ONT3.4709.6959	UTR	NA
chr3	272	1337	+	ONT3.4709.6988	UTR	NA
chr3	1337	1945	+	ONT3.4709.6988	intron	NA
chr3	1945	1977	+	ONT3.4709.6988	UTR	NA
chr3	1978	2133	+	ONT3.4709.6988	CDS	LNP1
chr3	2133	2277	+	ONT3.4709.6988	intron	LNP1
chr3	2277	2507	+	ONT3.4709.6988	CDS	LNP1
chr3	2507	4264	+	ONT3.4709.6988	intron	LNP1
chr3	4264	4413	+	ONT3.4709.6988	CDS	LNP1
chr3	4414	4771	+	ONT3.4709.6988	UTR	NA
chr3	399	1337	+	ONT3.4709.6995	UTR	NA
chr3	1337	1945	+	ONT3.4709.6995	intron	NA
chr3	1945	1977	+	ONT3.4709.6995	UTR	NA
chr3	1978	2133	+	ONT3.4709.6995	CDS	LNP1
chr3	2133	2277	+	ONT3.4709.6995	intron	LNP1
chr3	2277	2507	+	ONT3.4709.6995	CDS	LNP1
chr3	2507	4264	+	ONT3.4709.6995	intron	LNP1
chr3	4264	4413	+	ONT3.4709.6995	CDS	LNP1
chr3	4414	4813	+	ONT3.4709.6995	UTR	NA
chr3	440	1337	+	ONT3.4709.6997	UTR	NA
chr3	1337	1945	+	ONT3.4709.6997	intron	NA
chr3	1945	1977	+	ONT3.4709.6997	UTR	NA
chr3	1978	2133	+	ONT3.4709.6997	CDS	LNP1
chr3	2133	2277	+	ONT3.4709.6997	intron	LNP1
chr3	2277	2507	+	ONT3.4709.6997	CDS	LNP1
chr3	2507	4264	+	ONT3.4709.6997	intron	LNP1
chr3	4264	4413	+	ONT3.4709.6997	CDS	LNP1
chr3	4414	4806	+	ONT3.4709.6997	UTR	NA
chr3	480	1337	+	ONT3.4709.6998	UTR	NA
chr3	1337	1945	+	ONT3.4709.6998	intron	NA
chr3	1945	1977	+	ONT3.4709.6998	UTR	NA
chr3	1978	2133	+	ONT3.4709.6998	CDS	LNP1
chr3	2133	2238	+	ONT3.4709.6998	intron	LNP1
chr3	2238	2507	+	ONT3.4709.6998	CDS	LNP1
chr3	2507	4264	+	ONT3.4709.6998	intron	LNP1
chr3	4264	4413	+	ONT3.4709.6998	CDS	LNP1
chr3	4414	4806	+	ONT3.4709.6998	UTR	NA
chr3	430	1337	+	ONT3.4709.7000	UTR	NA
chr3	1337	1945	+	ONT3.4709.7000	intron	NA
chr3	1945	1977	+	ONT3.4709.7000	UTR	NA
chr3	1978	2133	+	ONT3.4709.7000	CDS	LNP1
chr3	2133	2277	+	ONT3.4709.7000	intron	LNP1
chr3	2277	2507	+	ONT3.4709.7000	CDS	LNP1
chr3	2507	4264	+	ONT3.4709.7000	intron	LNP1
chr3	4264	4413	+	ONT3.4709.7000	CDS	LNP1
chr3	4414	4439	+	ONT3.4709.7000	UTR	NA
chr3	396	1337	+	ONT3.4709.7002	UTR	NA
chr3	1337	1945	+	ONT3.4709.7002	intron	NA
chr3	1945	1977	+	ONT3.4709.7002	UTR	NA
chr3	1978	2133	+	ONT3.4709.7002	CDS	LNP1
chr3	2133	2268	+	ONT3.4709.7002	intron	LNP1
chr3	2268	2507	+	ONT3.4709.7002	CDS	LNP1
chr3	2507	4264	+	ONT3.4709.7002	intron	LNP1
chr3	4264	4413	+	ONT3.4709.7002	CDS	LNP1
chr3	4414	4806	+	ONT3.4709.7002	UTR	NA
chr3	492	1337	+	ONT3.4709.7004	UTR	NA
chr3	1337	1945	+	ONT3.4709.7004	intron	NA
chr3	1945	1977	+	ONT3.4709.7004	UTR	NA
chr3	1978	2133	+	ONT3.4709.7004	CDS	LNP1
chr3	2133	2277	+	ONT3.4709.7004	intron	LNP1
chr3	2277	2507	+	ONT3.4709.7004	CDS	LNP1
chr3	2507	4264	+	ONT3.4709.7004	intron	LNP1
chr3	4264	4413	+	ONT3.4709.7004	CDS	LNP1
chr3	4414	6221	+	ONT3.4709.7004	UTR	NA
chr3	463	1337	+	ONT3.4709.7005	UTR	NA
chr3	1337	1951	+	ONT3.4709.7005	intron	NA
chr3	1951	1977	+	ONT3.4709.7005	UTR	NA
chr3	1978	2133	+	ONT3.4709.7005	CDS	LNP1
chr3	2133	2277	+	ONT3.4709.7005	intron	LNP1
chr3	2277	2507	+	ONT3.4709.7005	CDS	LNP1
chr3	2507	4264	+	ONT3.4709.7005	intron	LNP1
chr3	4264	4413	+	ONT3.4709.7005	CDS	LNP1
chr3	4414	4806	+	ONT3.4709.7005	UTR	NA
chr3	495	1337	+	ONT3.4709.7011	UTR	NA
chr3	1337	1945	+	ONT3.4709.7011	intron	NA
chr3	1945	1977	+	ONT3.4709.7011	UTR	NA
chr3	1978	2133	+	ONT3.4709.7011	CDS	LNP1
chr3	2133	2277	+	ONT3.4709.7011	intron	LNP1
chr3	2277	2513	+	ONT3.4709.7011	CDS	LNP1
chr3	2513	4278	+	ONT3.4709.7011	intron	NA
chr3	4278	4714	+	ONT3.4709.7011	UTR	NA
chr3	437	1337	+	ONT3.4709.7026	UTR	NA
chr3	1337	1945	+	ONT3.4709.7026	intron	NA
chr3	1945	1977	+	ONT3.4709.7026	UTR	NA
chr3	1978	2133	+	ONT3.4709.7026	CDS	LNP1
chr3	2133	2277	+	ONT3.4709.7026	intron	LNP1
chr3	2277	2507	+	ONT3.4709.7026	CDS	LNP1
chr3	2507	4264	+	ONT3.4709.7026	intron	LNP1
chr3	4264	4413	+	ONT3.4709.7026	CDS	LNP1
chr3	4414	6050	+	ONT3.4709.7026	UTR	NA
chr3	437	1337	+	ONT3.4709.7035	UTR	NA
chr3	1337	1945	+	ONT3.4709.7035	intron	NA
chr3	1945	1977	+	ONT3.4709.7035	UTR	NA
chr3	1978	2133	+	ONT3.4709.7035	CDS	LNP1
chr3	2133	2277	+	ONT3.4709.7035	intron	LNP1
chr3	2277	2579	+	ONT3.4709.7035	CDS	LNP1
chr3	2580	4148	+	ONT3.4709.7035	UTR	NA
chr3	439	1351	+	ONT3.4709.7044	UTR	NA
chr3	1351	1959	+	ONT3.4709.7044	intron	NA
chr3	1959	1977	+	ONT3.4709.7044	UTR	NA
chr3	1978	2133	+	ONT3.4709.7044	CDS	LNP1
chr3	2133	2277	+	ONT3.4709.7044	intron	LNP1
chr3	2277	2507	+	ONT3.4709.7044	CDS	LNP1
chr3	2507	4264	+	ONT3.4709.7044	intron	LNP1
chr3	4264	4413	+	ONT3.4709.7044	CDS	LNP1
chr3	4414	4799	+	ONT3.4709.7044	UTR	NA
chr3	446	1337	+	ONT3.4709.7056	UTR	NA
chr3	1337	1945	+	ONT3.4709.7056	intron	NA
chr3	1945	1977	+	ONT3.4709.7056	UTR	NA
chr3	1978	2133	+	ONT3.4709.7056	CDS	LNP1
chr3	2133	2277	+	ONT3.4709.7056	intron	LNP1
chr3	2277	2507	+	ONT3.4709.7056	CDS	LNP1
chr3	2507	4264	+	ONT3.4709.7056	intron	LNP1
chr3	4264	4413	+	ONT3.4709.7056	CDS	LNP1
chr3	4414	4800	+	ONT3.4709.7056	UTR	NA
chr3	4800	6328	+	ONT3.4709.7056	intron	NA
chr3	6328	6345	+	ONT3.4709.7056	UTR	NA
chr3	446	1337	+	ONT3.4709.7067	UTR	NA
chr3	1337	1945	+	ONT3.4709.7067	intron	NA
chr3	1945	1977	+	ONT3.4709.7067	UTR	NA
chr3	1978	2137	+	ONT3.4709.7067	CDS	LNP1
chr3	2137	2294	+	ONT3.4709.7067	intron	LNP1
chr3	2294	2507	+	ONT3.4709.7067	CDS	LNP1
chr3	2507	4264	+	ONT3.4709.7067	intron	LNP1
