seqnames	start	end	strand	transcript_id	type	gene_id
chr17	2	1654	-	ENST00000621654.2	UTR	NA
chr17	1655	2797	-	ENST00000621654.2	CDS	ENSG00000273604.2
chr17	2798	3256	-	ENST00000621654.2	UTR	NA
chr17	2	2052	-	ONT17.939.4827	UTR	NA
chr17	2053	2478	-	ONT17.939.4827	CDS	EPOP
chr17	2479	2702	-	ONT17.939.4827	UTR	NA
chr17	6	1657	-	ONT17.939.4839	UTR	NA
chr17	1658	2797	-	ONT17.939.4839	CDS	EPOP
chr17	2798	3255	-	ONT17.939.4839	UTR	NA
chr17	2	3256	-	ENST00000621654.2	exon	ENSG00000273604.2
chr17	2	926	-	ONT17.939.4810	exon	EPOP
chr17	2	1720	-	ONT17.939.4811	exon	EPOP
chr17	2	176	-	ONT17.939.4813	exon	EPOP
chr17	2	1376	-	ONT17.939.4814	exon	EPOP
chr17	2	2011	-	ONT17.939.4816	exon	EPOP
chr17	2	1169	-	ONT17.939.4818	exon	EPOP
chr17	2	120	-	ONT17.939.4820	exon	EPOP
chr17	2	2127	-	ONT17.939.4821	exon	EPOP
chr17	2	2384	-	ONT17.939.4822	exon	EPOP
chr17	2	339	-	ONT17.939.4825	exon	EPOP
chr17	2	2702	-	ONT17.939.4827	exon	EPOP
chr17	2	1666	-	ONT17.939.4829	exon	EPOP
chr17	2	1288	-	ONT17.939.4830	exon	EPOP
chr17	4	2265	-	ONT17.939.4831	exon	EPOP
chr17	6	3255	-	ONT17.939.4839	exon	EPOP
chr17	747	1615	-	ONT17.939.4848	exon	EPOP
