seqnames	start	end	strand	transcript_id	type	gene_id
chr5	90	224	+	ENST00000360839.7	UTR	NA
chr5	225	530	+	ENST00000360839.7	CDS	ENSG00000131503.21
chr5	530	633	+	ENST00000360839.7	intron	ENSG00000131503.21
chr5	633	786	+	ENST00000360839.7	CDS	ENSG00000131503.21
chr5	786	887	+	ENST00000360839.7	intron	ENSG00000131503.21
chr5	887	1043	+	ENST00000360839.7	CDS	ENSG00000131503.21
chr5	1043	1148	+	ENST00000360839.7	intron	ENSG00000131503.21
chr5	1148	1295	+	ENST00000360839.7	CDS	ENSG00000131503.21
chr5	1295	1396	+	ENST00000360839.7	intron	ENSG00000131503.21
chr5	1396	1543	+	ENST00000360839.7	CDS	ENSG00000131503.21
chr5	1543	1644	+	ENST00000360839.7	intron	ENSG00000131503.21
chr5	1644	1877	+	ENST00000360839.7	CDS	ENSG00000131503.21
chr5	1877	2369	+	ENST00000360839.7	intron	ENSG00000131503.21
chr5	2369	2463	+	ENST00000360839.7	CDS	ENSG00000131503.21
chr5	2463	2564	+	ENST00000360839.7	intron	ENSG00000131503.21
chr5	2564	2801	+	ENST00000360839.7	CDS	ENSG00000131503.21
chr5	2801	2904	+	ENST00000360839.7	intron	ENSG00000131503.21
chr5	2904	3095	+	ENST00000360839.7	CDS	ENSG00000131503.21
chr5	3095	3653	+	ENST00000360839.7	intron	ENSG00000131503.21
chr5	3653	3762	+	ENST00000360839.7	CDS	ENSG00000131503.21
chr5	3762	9576	+	ENST00000360839.7	intron	ENSG00000131503.21
chr5	9576	9663	+	ENST00000360839.7	CDS	ENSG00000131503.21
chr5	9663	10592	+	ENST00000360839.7	intron	ENSG00000131503.21
chr5	10592	10719	+	ENST00000360839.7	CDS	ENSG00000131503.21
chr5	10719	10820	+	ENST00000360839.7	intron	ENSG00000131503.21
chr5	10820	10963	+	ENST00000360839.7	CDS	ENSG00000131503.21
chr5	10963	11064	+	ENST00000360839.7	intron	ENSG00000131503.21
chr5	11064	11166	+	ENST00000360839.7	CDS	ENSG00000131503.21
chr5	11166	12402	+	ENST00000360839.7	intron	ENSG00000131503.21
chr5	12402	13160	+	ENST00000360839.7	CDS	ENSG00000131503.21
chr5	13160	13263	+	ENST00000360839.7	intron	ENSG00000131503.21
chr5	13263	13408	+	ENST00000360839.7	CDS	ENSG00000131503.21
chr5	13408	13509	+	ENST00000360839.7	intron	ENSG00000131503.21
chr5	13509	13620	+	ENST00000360839.7	CDS	ENSG00000131503.21
chr5	13620	13721	+	ENST00000360839.7	intron	ENSG00000131503.21
chr5	13721	13866	+	ENST00000360839.7	CDS	ENSG00000131503.21
chr5	13866	13971	+	ENST00000360839.7	intron	ENSG00000131503.21
chr5	13971	14113	+	ENST00000360839.7	CDS	ENSG00000131503.21
chr5	14113	14434	+	ENST00000360839.7	intron	ENSG00000131503.21
chr5	14434	14647	+	ENST00000360839.7	CDS	ENSG00000131503.21
chr5	14647	14748	+	ENST00000360839.7	intron	ENSG00000131503.21
chr5	14748	14923	+	ENST00000360839.7	CDS	ENSG00000131503.21
chr5	14923	15125	+	ENST00000360839.7	intron	ENSG00000131503.21
chr5	15125	15287	+	ENST00000360839.7	CDS	ENSG00000131503.21
chr5	15287	15388	+	ENST00000360839.7	intron	ENSG00000131503.21
chr5	15388	15483	+	ENST00000360839.7	CDS	ENSG00000131503.21
chr5	15483	15584	+	ENST00000360839.7	intron	ENSG00000131503.21
chr5	15584	15700	+	ENST00000360839.7	CDS	ENSG00000131503.21
chr5	15700	15803	+	ENST00000360839.7	intron	ENSG00000131503.21
chr5	15803	15977	+	ENST00000360839.7	CDS	ENSG00000131503.21
chr5	15977	16079	+	ENST00000360839.7	intron	ENSG00000131503.21
chr5	16079	16526	+	ENST00000360839.7	CDS	ENSG00000131503.21
chr5	16526	16627	+	ENST00000360839.7	intron	ENSG00000131503.21
chr5	16627	16773	+	ENST00000360839.7	CDS	ENSG00000131503.21
chr5	16773	16874	+	ENST00000360839.7	intron	ENSG00000131503.21
chr5	16874	17023	+	ENST00000360839.7	CDS	ENSG00000131503.21
chr5	17023	17124	+	ENST00000360839.7	intron	ENSG00000131503.21
chr5	17124	18736	+	ENST00000360839.7	CDS	ENSG00000131503.21
chr5	18736	18837	+	ENST00000360839.7	intron	ENSG00000131503.21
chr5	18837	19013	+	ENST00000360839.7	CDS	ENSG00000131503.21
chr5	19013	19165	+	ENST00000360839.7	intron	ENSG00000131503.21
