seqnames	start	end	strand	transcript_id	type	gene_id
chr22	87	583	-	ENST00000427926.6	UTR	NA
chr22	583	813	-	ENST00000427926.6	intron	NA
chr22	813	832	-	ENST00000427926.6	UTR	NA
chr22	833	852	-	ENST00000427926.6	CDS	ENSG00000070371.16
chr22	852	966	-	ENST00000427926.6	intron	ENSG00000070371.16
chr22	966	1041	-	ENST00000427926.6	CDS	ENSG00000070371.16
chr22	1041	1146	-	ENST00000427926.6	intron	ENSG00000070371.16
chr22	1146	1367	-	ENST00000427926.6	CDS	ENSG00000070371.16
chr22	1367	2234	-	ENST00000427926.6	intron	ENSG00000070371.16
chr22	2234	2404	-	ENST00000427926.6	CDS	ENSG00000070371.16
chr22	2404	2513	-	ENST00000427926.6	intron	ENSG00000070371.16
chr22	2513	2623	-	ENST00000427926.6	CDS	ENSG00000070371.16
chr22	2623	2862	-	ENST00000427926.6	intron	ENSG00000070371.16
chr22	2862	2993	-	ENST00000427926.6	CDS	ENSG00000070371.16
chr22	2993	3146	-	ENST00000427926.6	intron	ENSG00000070371.16
chr22	3146	3295	-	ENST00000427926.6	CDS	ENSG00000070371.16
chr22	3295	3369	-	ENST00000427926.6	intron	ENSG00000070371.16
chr22	3369	3536	-	ENST00000427926.6	CDS	ENSG00000070371.16
chr22	3536	4069	-	ENST00000427926.6	intron	ENSG00000070371.16
chr22	4069	4176	-	ENST00000427926.6	CDS	ENSG00000070371.16
chr22	4176	4279	-	ENST00000427926.6	intron	ENSG00000070371.16
chr22	4279	4443	-	ENST00000427926.6	CDS	ENSG00000070371.16
chr22	4443	4875	-	ENST00000427926.6	intron	ENSG00000070371.16
chr22	4875	5032	-	ENST00000427926.6	CDS	ENSG00000070371.16
chr22	5032	5137	-	ENST00000427926.6	intron	ENSG00000070371.16
chr22	5137	5329	-	ENST00000427926.6	CDS	ENSG00000070371.16
chr22	5329	5432	-	ENST00000427926.6	intron	ENSG00000070371.16
chr22	5432	5615	-	ENST00000427926.6	CDS	ENSG00000070371.16
chr22	5615	5871	-	ENST00000427926.6	intron	ENSG00000070371.16
chr22	5871	6016	-	ENST00000427926.6	CDS	ENSG00000070371.16
chr22	6016	6120	-	ENST00000427926.6	intron	ENSG00000070371.16
chr22	6120	6242	-	ENST00000427926.6	CDS	ENSG00000070371.16
chr22	6242	6345	-	ENST00000427926.6	intron	ENSG00000070371.16
chr22	6345	6579	-	ENST00000427926.6	CDS	ENSG00000070371.16
chr22	6579	6685	-	ENST00000427926.6	intron	ENSG00000070371.16
chr22	6685	6827	-	ENST00000427926.6	CDS	ENSG00000070371.16
chr22	6827	6930	-	ENST00000427926.6	intron	ENSG00000070371.16
chr22	6930	7055	-	ENST00000427926.6	CDS	ENSG00000070371.16
chr22	7055	7156	-	ENST00000427926.6	intron	ENSG00000070371.16
chr22	7156	7319	-	ENST00000427926.6	CDS	ENSG00000070371.16
chr22	7319	7420	-	ENST00000427926.6	intron	ENSG00000070371.16
chr22	7420	7600	-	ENST00000427926.6	CDS	ENSG00000070371.16
chr22	7600	7707	-	ENST00000427926.6	intron	ENSG00000070371.16
chr22	7707	7871	-	ENST00000427926.6	CDS	ENSG00000070371.16
chr22	7871	10527	-	ENST00000427926.6	intron	ENSG00000070371.16
chr22	10527	10664	-	ENST00000427926.6	CDS	ENSG00000070371.16
chr22	10664	10765	-	ENST00000427926.6	intron	ENSG00000070371.16
chr22	10765	10887	-	ENST00000427926.6	CDS	ENSG00000070371.16
chr22	10887	10988	-	ENST00000427926.6	intron	ENSG00000070371.16
chr22	10988	11140	-	ENST00000427926.6	CDS	ENSG00000070371.16
chr22	11140	11241	-	ENST00000427926.6	intron	ENSG00000070371.16
chr22	11241	11441	-	ENST00000427926.6	CDS	ENSG00000070371.16
chr22	11441	11542	-	ENST00000427926.6	intron	ENSG00000070371.16
chr22	11542	11739	-	ENST00000427926.6	CDS	ENSG00000070371.16
chr22	11739	11840	-	ENST00000427926.6	intron	ENSG00000070371.16
chr22	11840	12013	-	ENST00000427926.6	CDS	ENSG00000070371.16
chr22	12013	12114	-	ENST00000427926.6	intron	ENSG00000070371.16
chr22	12114	12227	-	ENST00000427926.6	CDS	ENSG00000070371.16
chr22	12227	12328	-	ENST00000427926.6	intron	ENSG00000070371.16
chr22	12328	12489	-	ENST00000427926.6	CDS	ENSG00000070371.16
chr22	12489	12590	-	ENST00000427926.6	intron	ENSG00000070371.16
chr22	12590	12858	-	ENST00000427926.6	CDS	ENSG00000070371.16
chr22	12858	13539	-	ENST00000427926.6	intron	ENSG00000070371.16
chr22	13539	13746	-	ENST00000427926.6	CDS	ENSG00000070371.16
chr22	13746	13847	-	ENST00000427926.6	intron	ENSG00000070371.16
chr22	13847	13891	-	ENST00000427926.6	CDS	ENSG00000070371.16
chr22	13892	13966	-	ENST00000427926.6	UTR	NA
chr22	91	583	-	ONT22.320.5923	UTR	NA
chr22	583	813	-	ONT22.320.5923	intron	NA
chr22	813	835	-	ONT22.320.5923	UTR	NA
chr22	836	852	-	ONT22.320.5923	CDS	CLTCL1
chr22	852	966	-	ONT22.320.5923	intron	CLTCL1
chr22	966	1041	-	ONT22.320.5923	CDS	CLTCL1
chr22	1041	1146	-	ONT22.320.5923	intron	CLTCL1
chr22	1146	1367	-	ONT22.320.5923	CDS	CLTCL1
chr22	1367	2513	-	ONT22.320.5923	intron	CLTCL1
chr22	2513	2623	-	ONT22.320.5923	CDS	CLTCL1
chr22	2623	2862	-	ONT22.320.5923	intron	CLTCL1
chr22	2862	2993	-	ONT22.320.5923	CDS	CLTCL1
chr22	2993	3146	-	ONT22.320.5923	intron	CLTCL1
chr22	3146	3295	-	ONT22.320.5923	CDS	CLTCL1
chr22	3295	3369	-	ONT22.320.5923	intron	CLTCL1
chr22	3369	3473	-	ONT22.320.5923	CDS	CLTCL1
chr22	3474	3552	-	ONT22.320.5923	UTR	NA
chr22	2	583	-	ONT22.320.5924	UTR	NA
chr22	583	813	-	ONT22.320.5924	intron	NA
