seqnames	start	end	strand	transcript_id	type	gene_id
chr11	1430	3934	-	ENST00000393158.7	UTR	NA
chr11	3935	4060	-	ENST00000393158.7	CDS	ENSG00000170962.13
chr11	4060	4161	-	ENST00000393158.7	intron	ENSG00000170962.13
chr11	4161	4375	-	ENST00000393158.7	CDS	ENSG00000170962.13
chr11	4375	4476	-	ENST00000393158.7	intron	ENSG00000170962.13
chr11	4476	4674	-	ENST00000393158.7	CDS	ENSG00000170962.13
chr11	4674	4775	-	ENST00000393158.7	intron	ENSG00000170962.13
chr11	4775	4837	-	ENST00000393158.7	CDS	ENSG00000170962.13
chr11	4837	6137	-	ENST00000393158.7	intron	ENSG00000170962.13
chr11	6137	6317	-	ENST00000393158.7	CDS	ENSG00000170962.13
chr11	6317	6418	-	ENST00000393158.7	intron	ENSG00000170962.13
chr11	6418	6622	-	ENST00000393158.7	CDS	ENSG00000170962.13
chr11	6622	6723	-	ENST00000393158.7	intron	ENSG00000170962.13
chr11	6723	6849	-	ENST00000393158.7	CDS	ENSG00000170962.13
chr11	6850	7066	-	ENST00000393158.7	UTR	NA
chr11	2	1326	-	ONT11.4918.3999	UTR	NA
chr11	1326	3763	-	ONT11.4918.3999	intron	NA
chr11	3763	3937	-	ONT11.4918.3999	UTR	NA
chr11	3938	4060	-	ONT11.4918.3999	CDS	PDGFD
chr11	4060	4161	-	ONT11.4918.3999	intron	PDGFD
chr11	4161	4375	-	ONT11.4918.3999	CDS	PDGFD
chr11	4375	4476	-	ONT11.4918.3999	intron	PDGFD
chr11	4476	4674	-	ONT11.4918.3999	CDS	PDGFD
chr11	4674	4775	-	ONT11.4918.3999	intron	PDGFD
chr11	4775	4837	-	ONT11.4918.3999	CDS	PDGFD
chr11	4837	6137	-	ONT11.4918.3999	intron	PDGFD
chr11	6137	6317	-	ONT11.4918.3999	CDS	PDGFD
chr11	6317	6418	-	ONT11.4918.3999	intron	PDGFD
chr11	6418	6622	-	ONT11.4918.3999	CDS	PDGFD
chr11	6622	6723	-	ONT11.4918.3999	intron	PDGFD
chr11	6723	6849	-	ONT11.4918.3999	CDS	PDGFD
chr11	6850	7026	-	ONT11.4918.3999	UTR	NA
chr11	60	1326	-	ONT11.4918.4003	UTR	NA
chr11	1326	3763	-	ONT11.4918.4003	intron	NA
chr11	3763	3937	-	ONT11.4918.4003	UTR	NA
chr11	3938	4060	-	ONT11.4918.4003	CDS	PDGFD
chr11	4060	4161	-	ONT11.4918.4003	intron	PDGFD
chr11	4161	4375	-	ONT11.4918.4003	CDS	PDGFD
chr11	4375	4476	-	ONT11.4918.4003	intron	PDGFD
chr11	4476	4674	-	ONT11.4918.4003	CDS	PDGFD
chr11	4674	4775	-	ONT11.4918.4003	intron	PDGFD
chr11	4775	4837	-	ONT11.4918.4003	CDS	PDGFD
chr11	4837	6137	-	ONT11.4918.4003	intron	PDGFD
chr11	6137	6317	-	ONT11.4918.4003	CDS	PDGFD
chr11	6317	6418	-	ONT11.4918.4003	intron	PDGFD
chr11	6418	6622	-	ONT11.4918.4003	CDS	PDGFD
chr11	6622	6723	-	ONT11.4918.4003	intron	PDGFD
chr11	6723	6849	-	ONT11.4918.4003	CDS	PDGFD
chr11	6850	7228	-	ONT11.4918.4003	UTR	NA
chr11	1427	3937	-	ONT11.4918.4040	UTR	NA
chr11	3938	4060	-	ONT11.4918.4040	CDS	PDGFD
chr11	4060	4161	-	ONT11.4918.4040	intron	PDGFD
chr11	4161	4375	-	ONT11.4918.4040	CDS	PDGFD
chr11	4375	4476	-	ONT11.4918.4040	intron	PDGFD
chr11	4476	4674	-	ONT11.4918.4040	CDS	PDGFD
chr11	4674	4775	-	ONT11.4918.4040	intron	PDGFD
