seqnames	start	end	strand	transcript_id	type	gene_id
chr20	151	173	+	ENST00000371608.8	UTR	NA
chr20	174	263	+	ENST00000371608.8	CDS	ENSG00000124243.19
chr20	263	583	+	ENST00000371608.8	intron	ENSG00000124243.19
chr20	583	654	+	ENST00000371608.8	CDS	ENSG00000124243.19
chr20	654	843	+	ENST00000371608.8	intron	ENSG00000124243.19
chr20	843	944	+	ENST00000371608.8	CDS	ENSG00000124243.19
chr20	944	3442	+	ENST00000371608.8	intron	ENSG00000124243.19
chr20	3442	3576	+	ENST00000371608.8	CDS	ENSG00000124243.19
chr20	3576	4157	+	ENST00000371608.8	intron	ENSG00000124243.19
chr20	4157	4282	+	ENST00000371608.8	CDS	ENSG00000124243.19
chr20	4283	4848	+	ENST00000371608.8	UTR	NA
chr20	48	83	+	ONT20.2508.2385	UTR	NA
chr20	84	263	+	ONT20.2508.2385	CDS	BCAS4
chr20	263	583	+	ONT20.2508.2385	intron	BCAS4
chr20	583	654	+	ONT20.2508.2385	CDS	BCAS4
chr20	654	843	+	ONT20.2508.2385	intron	BCAS4
chr20	843	944	+	ONT20.2508.2385	CDS	BCAS4
chr20	944	4157	+	ONT20.2508.2385	intron	BCAS4
chr20	4157	4279	+	ONT20.2508.2385	CDS	BCAS4
chr20	4280	4848	+	ONT20.2508.2385	UTR	NA
chr20	21	83	+	ONT20.2508.2388	UTR	NA
chr20	84	263	+	ONT20.2508.2388	CDS	BCAS4
chr20	263	583	+	ONT20.2508.2388	intron	BCAS4
chr20	583	654	+	ONT20.2508.2388	CDS	BCAS4
chr20	654	843	+	ONT20.2508.2388	intron	BCAS4
chr20	843	944	+	ONT20.2508.2388	CDS	BCAS4
chr20	944	3442	+	ONT20.2508.2388	intron	BCAS4
chr20	3442	3576	+	ONT20.2508.2388	CDS	BCAS4
chr20	3576	3681	+	ONT20.2508.2388	intron	BCAS4
chr20	3681	3836	+	ONT20.2508.2388	CDS	BCAS4
chr20	3837	3859	+	ONT20.2508.2388	UTR	NA
chr20	3859	4157	+	ONT20.2508.2388	intron	NA
chr20	4157	4848	+	ONT20.2508.2388	UTR	NA
chr20	2	83	+	ONT20.2508.2391	UTR	NA
chr20	84	263	+	ONT20.2508.2391	CDS	BCAS4
chr20	263	583	+	ONT20.2508.2391	intron	BCAS4
chr20	583	654	+	ONT20.2508.2391	CDS	BCAS4
chr20	654	843	+	ONT20.2508.2391	intron	BCAS4
chr20	843	944	+	ONT20.2508.2391	CDS	BCAS4
chr20	944	3442	+	ONT20.2508.2391	intron	BCAS4
chr20	3442	3576	+	ONT20.2508.2391	CDS	BCAS4
chr20	3576	4157	+	ONT20.2508.2391	intron	BCAS4
chr20	4157	4279	+	ONT20.2508.2391	CDS	BCAS4
chr20	4280	4394	+	ONT20.2508.2391	UTR	NA
chr20	11	83	+	ONT20.2508.2392	UTR	NA
chr20	84	263	+	ONT20.2508.2392	CDS	BCAS4
chr20	263	583	+	ONT20.2508.2392	intron	BCAS4
chr20	583	654	+	ONT20.2508.2392	CDS	BCAS4
chr20	654	843	+	ONT20.2508.2392	intron	BCAS4
chr20	843	944	+	ONT20.2508.2392	CDS	BCAS4
chr20	944	3442	+	ONT20.2508.2392	intron	BCAS4
chr20	3442	3576	+	ONT20.2508.2392	CDS	BCAS4
chr20	3576	4157	+	ONT20.2508.2392	intron	BCAS4
chr20	4157	4279	+	ONT20.2508.2392	CDS	BCAS4
chr20	4280	4845	+	ONT20.2508.2392	UTR	NA
chr20	3	83	+	ONT20.2508.2394	UTR	NA
chr20	84	263	+	ONT20.2508.2394	CDS	BCAS4
chr20	263	583	+	ONT20.2508.2394	intron	BCAS4
chr20	583	654	+	ONT20.2508.2394	CDS	BCAS4
chr20	654	843	+	ONT20.2508.2394	intron	BCAS4
chr20	843	944	+	ONT20.2508.2394	CDS	BCAS4
chr20	944	3442	+	ONT20.2508.2394	intron	BCAS4
chr20	3442	3576	+	ONT20.2508.2394	CDS	BCAS4
chr20	3576	3818	+	ONT20.2508.2394	intron	BCAS4
chr20	3818	3859	+	ONT20.2508.2394	CDS	BCAS4
chr20	3859	4157	+	ONT20.2508.2394	intron	BCAS4
chr20	4157	4279	+	ONT20.2508.2394	CDS	BCAS4
chr20	4280	4848	+	ONT20.2508.2394	UTR	NA
chr20	10	83	+	ONT20.2508.2397	UTR	NA
chr20	84	263	+	ONT20.2508.2397	CDS	BCAS4
chr20	263	583	+	ONT20.2508.2397	intron	BCAS4
chr20	583	654	+	ONT20.2508.2397	CDS	BCAS4
chr20	654	843	+	ONT20.2508.2397	intron	BCAS4
chr20	843	944	+	ONT20.2508.2397	CDS	BCAS4
chr20	944	1523	+	ONT20.2508.2397	intron	BCAS4
chr20	1523	1588	+	ONT20.2508.2397	CDS	BCAS4
chr20	1589	1863	+	ONT20.2508.2397	UTR	NA
chr20	1863	3442	+	ONT20.2508.2397	intron	NA
chr20	3442	3576	+	ONT20.2508.2397	UTR	NA
chr20	3576	4157	+	ONT20.2508.2397	intron	NA
chr20	4157	4842	+	ONT20.2508.2397	UTR	NA
chr20	50	83	+	ONT20.2508.2401	UTR	NA
chr20	84	263	+	ONT20.2508.2401	CDS	BCAS4
chr20	263	583	+	ONT20.2508.2401	intron	BCAS4
chr20	583	654	+	ONT20.2508.2401	CDS	BCAS4
chr20	654	843	+	ONT20.2508.2401	intron	BCAS4
chr20	843	944	+	ONT20.2508.2401	CDS	BCAS4
chr20	944	1523	+	ONT20.2508.2401	intron	BCAS4
chr20	1523	1588	+	ONT20.2508.2401	CDS	BCAS4
chr20	1589	1836	+	ONT20.2508.2401	UTR	NA
chr20	1836	3442	+	ONT20.2508.2401	intron	NA
chr20	3442	3576	+	ONT20.2508.2401	UTR	NA
chr20	3576	4157	+	ONT20.2508.2401	intron	NA
chr20	4157	4841	+	ONT20.2508.2401	UTR	NA
chr20	59	83	+	ONT20.2508.2404	UTR	NA
chr20	84	263	+	ONT20.2508.2404	CDS	BCAS4
chr20	263	583	+	ONT20.2508.2404	intron	BCAS4
chr20	583	741	+	ONT20.2508.2404	CDS	BCAS4
chr20	741	843	+	ONT20.2508.2404	intron	NA
chr20	843	944	+	ONT20.2508.2404	UTR	NA
chr20	944	3442	+	ONT20.2508.2404	intron	NA
chr20	3442	3576	+	ONT20.2508.2404	UTR	NA
chr20	3576	4157	+	ONT20.2508.2404	intron	NA
chr20	4157	4848	+	ONT20.2508.2404	UTR	NA
chr20	15	83	+	ONT20.2508.2409	UTR	NA
chr20	84	263	+	ONT20.2508.2409	CDS	BCAS4
chr20	263	583	+	ONT20.2508.2409	intron	BCAS4
chr20	583	654	+	ONT20.2508.2409	CDS	BCAS4
chr20	654	843	+	ONT20.2508.2409	intron	BCAS4
chr20	843	971	+	ONT20.2508.2409	CDS	BCAS4
chr20	972	1422	+	ONT20.2508.2409	UTR	NA
chr20	88	173	+	ONT20.2508.2411	UTR	NA
chr20	174	263	+	ONT20.2508.2411	CDS	BCAS4
chr20	263	583	+	ONT20.2508.2411	intron	BCAS4
chr20	583	654	+	ONT20.2508.2411	CDS	BCAS4
chr20	654	843	+	ONT20.2508.2411	intron	BCAS4
chr20	843	944	+	ONT20.2508.2411	CDS	BCAS4
chr20	944	1523	+	ONT20.2508.2411	intron	BCAS4
chr20	1523	1588	+	ONT20.2508.2411	CDS	BCAS4
chr20	1589	1836	+	ONT20.2508.2411	UTR	NA
chr20	1836	2213	+	ONT20.2508.2411	intron	NA
chr20	2213	2606	+	ONT20.2508.2411	UTR	NA
chr20	2606	3442	+	ONT20.2508.2411	intron	NA
chr20	3442	3576	+	ONT20.2508.2411	UTR	NA
chr20	3576	4157	+	ONT20.2508.2411	intron	NA
chr20	4157	4848	+	ONT20.2508.2411	UTR	NA
chr20	72	83	+	ONT20.2508.2417	UTR	NA
chr20	84	263	+	ONT20.2508.2417	CDS	BCAS4
chr20	263	843	+	ONT20.2508.2417	intron	BCAS4
chr20	843	944	+	ONT20.2508.2417	CDS	BCAS4
chr20	944	3442	+	ONT20.2508.2417	intron	BCAS4
chr20	3442	3576	+	ONT20.2508.2417	CDS	BCAS4
chr20	3576	4157	+	ONT20.2508.2417	intron	BCAS4
chr20	4157	4279	+	ONT20.2508.2417	CDS	BCAS4
chr20	4280	4848	+	ONT20.2508.2417	UTR	NA
chr20	20	83	+	ONT20.2508.2420	UTR	NA
chr20	84	263	+	ONT20.2508.2420	CDS	BCAS4
chr20	263	583	+	ONT20.2508.2420	intron	BCAS4
chr20	583	654	+	ONT20.2508.2420	CDS	BCAS4
chr20	654	843	+	ONT20.2508.2420	intron	BCAS4
chr20	843	944	+	ONT20.2508.2420	CDS	BCAS4
chr20	944	1523	+	ONT20.2508.2420	intron	BCAS4
chr20	1523	1588	+	ONT20.2508.2420	CDS	BCAS4
chr20	1589	1836	+	ONT20.2508.2420	UTR	NA
chr20	1836	3442	+	ONT20.2508.2420	intron	NA
chr20	3442	3576	+	ONT20.2508.2420	UTR	NA
chr20	3576	3960	+	ONT20.2508.2420	intron	NA
chr20	3960	4056	+	ONT20.2508.2420	UTR	NA
chr20	4056	4157	+	ONT20.2508.2420	intron	NA
chr20	4157	4846	+	ONT20.2508.2420	UTR	NA
chr20	91	173	+	ONT20.2508.2421	UTR	NA
chr20	174	263	+	ONT20.2508.2421	CDS	BCAS4
chr20	263	583	+	ONT20.2508.2421	intron	BCAS4
chr20	583	654	+	ONT20.2508.2421	CDS	BCAS4
chr20	654	843	+	ONT20.2508.2421	intron	BCAS4
chr20	843	944	+	ONT20.2508.2421	CDS	BCAS4
chr20	944	2213	+	ONT20.2508.2421	intron	BCAS4
chr20	2213	2218	+	ONT20.2508.2421	CDS	BCAS4
chr20	2219	3576	+	ONT20.2508.2421	UTR	NA
chr20	3576	4157	+	ONT20.2508.2421	intron	NA
chr20	4157	4848	+	ONT20.2508.2421	UTR	NA
chr20	39	83	+	ONT20.2508.2431	UTR	NA
chr20	84	263	+	ONT20.2508.2431	CDS	BCAS4
chr20	263	583	+	ONT20.2508.2431	intron	BCAS4
chr20	583	654	+	ONT20.2508.2431	CDS	BCAS4
chr20	654	4157	+	ONT20.2508.2431	intron	BCAS4
chr20	4157	4279	+	ONT20.2508.2431	CDS	BCAS4
chr20	4280	4847	+	ONT20.2508.2431	UTR	NA
