seqnames	start	end	strand	transcript_id	type	gene_id
chr18	2	98	+	ENST00000415576.7	UTR	NA
chr18	99	200	+	ENST00000415576.7	CDS	ENSG00000154611.15
chr18	200	301	+	ENST00000415576.7	intron	ENSG00000154611.15
chr18	301	427	+	ENST00000415576.7	CDS	ENSG00000154611.15
chr18	427	528	+	ENST00000415576.7	intron	ENSG00000154611.15
chr18	528	652	+	ENST00000415576.7	CDS	ENSG00000154611.15
chr18	652	753	+	ENST00000415576.7	intron	ENSG00000154611.15
chr18	753	875	+	ENST00000415576.7	CDS	ENSG00000154611.15
chr18	875	976	+	ENST00000415576.7	intron	ENSG00000154611.15
chr18	976	1095	+	ENST00000415576.7	CDS	ENSG00000154611.15
chr18	1095	1196	+	ENST00000415576.7	intron	ENSG00000154611.15
chr18	1196	1258	+	ENST00000415576.7	CDS	ENSG00000154611.15
chr18	1258	1359	+	ENST00000415576.7	intron	ENSG00000154611.15
chr18	1359	1454	+	ENST00000415576.7	CDS	ENSG00000154611.15
chr18	1455	2395	+	ENST00000415576.7	UTR	NA
chr18	9	98	+	ONT18.1040.749	UTR	NA
chr18	99	200	+	ONT18.1040.749	CDS	PSMA8
chr18	200	301	+	ONT18.1040.749	intron	PSMA8
chr18	301	427	+	ONT18.1040.749	CDS	PSMA8
chr18	427	528	+	ONT18.1040.749	intron	PSMA8
chr18	528	652	+	ONT18.1040.749	CDS	PSMA8
chr18	652	753	+	ONT18.1040.749	intron	PSMA8
chr18	753	875	+	ONT18.1040.749	CDS	PSMA8
chr18	875	976	+	ONT18.1040.749	intron	PSMA8
chr18	976	1095	+	ONT18.1040.749	CDS	PSMA8
chr18	1095	1196	+	ONT18.1040.749	intron	PSMA8
chr18	1196	1258	+	ONT18.1040.749	CDS	PSMA8
chr18	1258	1359	+	ONT18.1040.749	intron	PSMA8
chr18	1359	1451	+	ONT18.1040.749	CDS	PSMA8
chr18	1452	2395	+	ONT18.1040.749	UTR	NA
chr18	2	200	+	ENST00000415576.7	exon	ENSG00000154611.15
chr18	200	301	+	ENST00000415576.7	intron	ENSG00000154611.15
chr18	301	427	+	ENST00000415576.7	exon	ENSG00000154611.15
chr18	427	528	+	ENST00000415576.7	intron	ENSG00000154611.15
chr18	528	652	+	ENST00000415576.7	exon	ENSG00000154611.15
chr18	652	753	+	ENST00000415576.7	intron	ENSG00000154611.15
chr18	753	875	+	ENST00000415576.7	exon	ENSG00000154611.15
chr18	875	976	+	ENST00000415576.7	intron	ENSG00000154611.15
chr18	976	1095	+	ENST00000415576.7	exon	ENSG00000154611.15
chr18	1095	1196	+	ENST00000415576.7	intron	ENSG00000154611.15
chr18	1196	1258	+	ENST00000415576.7	exon	ENSG00000154611.15
chr18	1258	1359	+	ENST00000415576.7	intron	ENSG00000154611.15
chr18	1359	2395	+	ENST00000415576.7	exon	ENSG00000154611.15
chr18	9	200	+	ONT18.1040.749	exon	PSMA8
chr18	200	301	+	ONT18.1040.749	intron	PSMA8
chr18	301	427	+	ONT18.1040.749	exon	PSMA8
chr18	427	528	+	ONT18.1040.749	intron	PSMA8
chr18	528	652	+	ONT18.1040.749	exon	PSMA8
chr18	652	753	+	ONT18.1040.749	intron	PSMA8
chr18	753	875	+	ONT18.1040.749	exon	PSMA8
chr18	875	976	+	ONT18.1040.749	intron	PSMA8
chr18	976	1095	+	ONT18.1040.749	exon	PSMA8
chr18	1095	1196	+	ONT18.1040.749	intron	PSMA8
chr18	1196	1258	+	ONT18.1040.749	exon	PSMA8
chr18	1258	1359	+	ONT18.1040.749	intron	PSMA8
chr18	1359	2395	+	ONT18.1040.749	exon	PSMA8
