seqnames	start	end	strand	transcript_id	type	gene_id
chr5	2	6974	-	ENST00000303230.6	UTR	NA
chr5	6975	7864	-	ENST00000303230.6	CDS	ENSG00000164588.8
chr5	7864	7965	-	ENST00000303230.6	intron	ENSG00000164588.8
chr5	7965	8129	-	ENST00000303230.6	CDS	ENSG00000164588.8
chr5	8129	12396	-	ENST00000303230.6	intron	ENSG00000164588.8
chr5	12396	12636	-	ENST00000303230.6	CDS	ENSG00000164588.8
chr5	12636	12739	-	ENST00000303230.6	intron	ENSG00000164588.8
chr5	12739	12885	-	ENST00000303230.6	CDS	ENSG00000164588.8
chr5	12885	12988	-	ENST00000303230.6	intron	ENSG00000164588.8
chr5	12988	13206	-	ENST00000303230.6	CDS	ENSG00000164588.8
chr5	13206	13308	-	ENST00000303230.6	intron	ENSG00000164588.8
chr5	13308	13469	-	ENST00000303230.6	CDS	ENSG00000164588.8
chr5	13469	13834	-	ENST00000303230.6	intron	ENSG00000164588.8
chr5	13834	14257	-	ENST00000303230.6	CDS	ENSG00000164588.8
chr5	14257	14358	-	ENST00000303230.6	intron	ENSG00000164588.8
chr5	14358	14785	-	ENST00000303230.6	CDS	ENSG00000164588.8
chr5	14786	15069	-	ENST00000303230.6	UTR	NA
chr5	4276	6977	-	ONT5.4267.364	UTR	NA
chr5	6978	7864	-	ONT5.4267.364	CDS	HCN1
chr5	7864	7965	-	ONT5.4267.364	intron	HCN1
chr5	7965	8129	-	ONT5.4267.364	CDS	HCN1
chr5	8129	12396	-	ONT5.4267.364	intron	HCN1
chr5	12396	12636	-	ONT5.4267.364	CDS	HCN1
chr5	12636	12739	-	ONT5.4267.364	intron	HCN1
chr5	12739	12885	-	ONT5.4267.364	CDS	HCN1
chr5	12885	12988	-	ONT5.4267.364	intron	HCN1
chr5	12988	13164	-	ONT5.4267.364	CDS	HCN1
chr5	13165	13206	-	ONT5.4267.364	UTR	NA
chr5	4276	6977	-	ONT5.4267.365	UTR	NA
chr5	6978	7864	-	ONT5.4267.365	CDS	HCN1
chr5	7864	7965	-	ONT5.4267.365	intron	HCN1
chr5	7965	8019	-	ONT5.4267.365	CDS	HCN1
chr5	8020	8156	-	ONT5.4267.365	UTR	NA
chr5	4304	6977	-	ONT5.4267.369	UTR	NA
chr5	6978	7864	-	ONT5.4267.369	CDS	HCN1
chr5	7864	7965	-	ONT5.4267.369	intron	HCN1
chr5	7965	8129	-	ONT5.4267.369	CDS	HCN1
chr5	8129	12392	-	ONT5.4267.369	intron	HCN1
chr5	12392	12416	-	ONT5.4267.369	CDS	HCN1
chr5	12417	12577	-	ONT5.4267.369	UTR	NA
chr5	4278	6977	-	ONT5.4267.370	UTR	NA
chr5	6978	7864	-	ONT5.4267.370	CDS	HCN1
chr5	7864	7965	-	ONT5.4267.370	intron	HCN1
chr5	7965	8129	-	ONT5.4267.370	CDS	HCN1
chr5	8129	12396	-	ONT5.4267.370	intron	HCN1
chr5	12396	12636	-	ONT5.4267.370	CDS	HCN1
chr5	12636	12739	-	ONT5.4267.370	intron	HCN1
chr5	12739	12885	-	ONT5.4267.370	CDS	HCN1
chr5	12885	12988	-	ONT5.4267.370	intron	HCN1
chr5	12988	13206	-	ONT5.4267.370	CDS	HCN1
chr5	13206	13308	-	ONT5.4267.370	intron	HCN1
chr5	13308	13469	-	ONT5.4267.370	CDS	HCN1
chr5	13469	13834	-	ONT5.4267.370	intron	HCN1
chr5	13834	14257	-	ONT5.4267.370	CDS	HCN1
chr5	14257	14358	-	ONT5.4267.370	intron	HCN1
chr5	14358	14506	-	ONT5.4267.370	CDS	HCN1
chr5	14507	14525	-	ONT5.4267.370	UTR	NA
chr5	4301	6977	-	ONT5.4267.372	UTR	NA
chr5	6978	7864	-	ONT5.4267.372	CDS	HCN1
chr5	7864	7965	-	ONT5.4267.372	intron	HCN1
chr5	7965	8129	-	ONT5.4267.372	CDS	HCN1
chr5	8129	12396	-	ONT5.4267.372	intron	HCN1
chr5	12396	12636	-	ONT5.4267.372	CDS	HCN1
chr5	12636	12739	-	ONT5.4267.372	intron	HCN1
chr5	12739	12885	-	ONT5.4267.372	CDS	HCN1
chr5	12885	12988	-	ONT5.4267.372	intron	HCN1
chr5	12988	13206	-	ONT5.4267.372	CDS	HCN1
chr5	13206	13308	-	ONT5.4267.372	intron	HCN1
chr5	13308	13463	-	ONT5.4267.372	CDS	HCN1
chr5	13464	13467	-	ONT5.4267.372	UTR	NA
chr5	4301	6977	-	ONT5.4267.377	UTR	NA
chr5	6978	7864	-	ONT5.4267.377	CDS	HCN1
chr5	7864	7965	-	ONT5.4267.377	intron	HCN1
chr5	7965	8129	-	ONT5.4267.377	CDS	HCN1
chr5	8129	12396	-	ONT5.4267.377	intron	HCN1
chr5	12396	12636	-	ONT5.4267.377	CDS	HCN1
chr5	12636	12739	-	ONT5.4267.377	intron	HCN1
chr5	12739	12885	-	ONT5.4267.377	CDS	HCN1
chr5	12885	12988	-	ONT5.4267.377	intron	HCN1
chr5	12988	13206	-	ONT5.4267.377	CDS	HCN1
chr5	13206	13308	-	ONT5.4267.377	intron	HCN1
chr5	13308	13469	-	ONT5.4267.377	CDS	HCN1
chr5	13469	13834	-	ONT5.4267.377	intron	HCN1
chr5	13834	13959	-	ONT5.4267.377	CDS	HCN1
chr5	13960	13964	-	ONT5.4267.377	UTR	NA
chr5	13570	13797	-	ONT5.4267.3804	UTR	NA
chr5	13798	14257	-	ONT5.4267.3804	CDS	HCN1
chr5	14257	14358	-	ONT5.4267.3804	intron	HCN1
chr5	14358	14506	-	ONT5.4267.3804	CDS	HCN1
chr5	14507	14576	-	ONT5.4267.3804	UTR	NA
chr5	14576	15006	-	ONT5.4267.3804	intron	NA
chr5	15006	15048	-	ONT5.4267.3804	UTR	NA
chr5	4301	7864	-	ONT5.4267.384	UTR	NA
chr5	7864	7965	-	ONT5.4267.384	intron	NA
chr5	7965	8129	-	ONT5.4267.384	UTR	NA
chr5	8129	12392	-	ONT5.4267.384	intron	NA
chr5	12392	12393	-	ONT5.4267.384	UTR	NA
chr5	12394	12636	-	ONT5.4267.384	CDS	HCN1
chr5	12636	12739	-	ONT5.4267.384	intron	HCN1
chr5	12739	12885	-	ONT5.4267.384	CDS	HCN1
chr5	12885	12988	-	ONT5.4267.384	intron	HCN1
chr5	12988	13059	-	ONT5.4267.384	CDS	HCN1
chr5	13060	13072	-	ONT5.4267.384	UTR	NA
chr5	4307	6977	-	ONT5.4267.395	UTR	NA
chr5	6978	7864	-	ONT5.4267.395	CDS	HCN1
chr5	7864	7965	-	ONT5.4267.395	intron	HCN1
chr5	7965	8129	-	ONT5.4267.395	CDS	HCN1
chr5	8129	12396	-	ONT5.4267.395	intron	HCN1
chr5	12396	12636	-	ONT5.4267.395	CDS	HCN1
chr5	12636	12739	-	ONT5.4267.395	intron	HCN1
chr5	12739	12867	-	ONT5.4267.395	CDS	HCN1
chr5	12868	12883	-	ONT5.4267.395	UTR	NA
chr5	4305	6977	-	ONT5.4267.396	UTR	NA
chr5	6978	7864	-	ONT5.4267.396	CDS	HCN1
chr5	7864	7965	-	ONT5.4267.396	intron	HCN1
chr5	7965	8129	-	ONT5.4267.396	CDS	HCN1
chr5	8129	12396	-	ONT5.4267.396	intron	HCN1
chr5	12396	12636	-	ONT5.4267.396	CDS	HCN1
chr5	12636	12739	-	ONT5.4267.396	intron	HCN1
chr5	12739	12885	-	ONT5.4267.396	CDS	HCN1
chr5	12885	12988	-	ONT5.4267.396	intron	HCN1
chr5	12988	13206	-	ONT5.4267.396	CDS	HCN1
chr5	13206	13308	-	ONT5.4267.396	intron	HCN1
chr5	13308	13316	-	ONT5.4267.396	CDS	HCN1
chr5	13317	13329	-	ONT5.4267.396	UTR	NA
chr5	4307	6977	-	ONT5.4267.399	UTR	NA
chr5	6978	7864	-	ONT5.4267.399	CDS	HCN1
chr5	7864	7965	-	ONT5.4267.399	intron	HCN1
chr5	7965	8129	-	ONT5.4267.399	CDS	HCN1
chr5	8129	12396	-	ONT5.4267.399	intron	HCN1
