seqnames	start	end	strand	transcript_id	type	gene_id
chr12	823	865	+	ENST00000550697.6	UTR	NA
chr12	866	868	+	ENST00000550697.6	CDS	ENSG00000092841.19
chr12	868	1148	+	ENST00000550697.6	intron	ENSG00000092841.19
chr12	1148	1175	+	ENST00000550697.6	CDS	ENSG00000092841.19
chr12	1175	2051	+	ENST00000550697.6	intron	ENSG00000092841.19
chr12	2051	2194	+	ENST00000550697.6	CDS	ENSG00000092841.19
chr12	2194	2439	+	ENST00000550697.6	intron	ENSG00000092841.19
chr12	2439	2612	+	ENST00000550697.6	CDS	ENSG00000092841.19
chr12	2612	2707	+	ENST00000550697.6	intron	ENSG00000092841.19
chr12	2707	2784	+	ENST00000550697.6	CDS	ENSG00000092841.19
chr12	2784	3090	+	ENST00000550697.6	intron	ENSG00000092841.19
chr12	3090	3121	+	ENST00000550697.6	CDS	ENSG00000092841.19
chr12	3122	3134	+	ENST00000550697.6	UTR	NA
chr12	3134	3851	+	ENST00000550697.6	intron	NA
chr12	3851	4043	+	ENST00000550697.6	UTR	NA
chr12	2	188	+	ONT12.1888.16863	UTR	NA
chr12	188	289	+	ONT12.1888.16863	intron	NA
chr12	289	326	+	ONT12.1888.16863	UTR	NA
chr12	326	427	+	ONT12.1888.16863	intron	NA
chr12	427	526	+	ONT12.1888.16863	UTR	NA
chr12	526	743	+	ONT12.1888.16863	intron	NA
chr12	743	865	+	ONT12.1888.16863	UTR	NA
chr12	866	868	+	ONT12.1888.16863	CDS	MYL6
chr12	868	1148	+	ONT12.1888.16863	intron	MYL6
chr12	1148	1175	+	ONT12.1888.16863	CDS	MYL6
chr12	1175	2051	+	ONT12.1888.16863	intron	MYL6
chr12	2051	2194	+	ONT12.1888.16863	CDS	MYL6
chr12	2194	2439	+	ONT12.1888.16863	intron	MYL6
chr12	2439	2612	+	ONT12.1888.16863	CDS	MYL6
chr12	2612	2707	+	ONT12.1888.16863	intron	MYL6
chr12	2707	2784	+	ONT12.1888.16863	CDS	MYL6
chr12	2784	3851	+	ONT12.1888.16863	intron	MYL6
chr12	3851	3879	+	ONT12.1888.16863	CDS	MYL6
chr12	3880	4040	+	ONT12.1888.16863	UTR	NA
chr12	43	188	+	ONT12.1888.16895	UTR	NA
chr12	188	289	+	ONT12.1888.16895	intron	NA
chr12	289	326	+	ONT12.1888.16895	UTR	NA
chr12	326	427	+	ONT12.1888.16895	intron	NA
chr12	427	526	+	ONT12.1888.16895	UTR	NA
chr12	526	743	+	ONT12.1888.16895	intron	NA
chr12	743	865	+	ONT12.1888.16895	UTR	NA
chr12	866	868	+	ONT12.1888.16895	CDS	MYL6
chr12	868	1148	+	ONT12.1888.16895	intron	MYL6
chr12	1148	1175	+	ONT12.1888.16895	CDS	MYL6
chr12	1175	2051	+	ONT12.1888.16895	intron	MYL6
chr12	2051	2194	+	ONT12.1888.16895	CDS	MYL6
chr12	2194	2439	+	ONT12.1888.16895	intron	MYL6
chr12	2439	2612	+	ONT12.1888.16895	CDS	MYL6
chr12	2612	2707	+	ONT12.1888.16895	intron	MYL6
chr12	2707	2784	+	ONT12.1888.16895	CDS	MYL6
chr12	2784	3090	+	ONT12.1888.16895	intron	MYL6
chr12	3090	3118	+	ONT12.1888.16895	CDS	MYL6
chr12	3119	3134	+	ONT12.1888.16895	UTR	NA
chr12	3134	3851	+	ONT12.1888.16895	intron	NA
chr12	3851	4037	+	ONT12.1888.16895	UTR	NA
chr12	109	188	+	ONT12.1888.16921	UTR	NA
chr12	188	1118	+	ONT12.1888.16921	intron	MYL6
chr12	1118	1175	+	ONT12.1888.16921	CDS	MYL6
chr12	1175	2051	+	ONT12.1888.16921	intron	MYL6
chr12	2051	2194	+	ONT12.1888.16921	CDS	MYL6
chr12	2194	2439	+	ONT12.1888.16921	intron	MYL6
chr12	2439	2612	+	ONT12.1888.16921	CDS	MYL6
chr12	2612	2707	+	ONT12.1888.16921	intron	MYL6
chr12	2707	2784	+	ONT12.1888.16921	CDS	MYL6
chr12	2784	3851	+	ONT12.1888.16921	intron	MYL6
chr12	3851	3879	+	ONT12.1888.16921	CDS	MYL6
chr12	3880	4021	+	ONT12.1888.16921	UTR	NA
chr12	627	865	+	ONT12.1888.16956	UTR	NA
chr12	866	868	+	ONT12.1888.16956	CDS	MYL6
chr12	868	1148	+	ONT12.1888.16956	intron	MYL6
chr12	1148	1175	+	ONT12.1888.16956	CDS	MYL6
chr12	1175	2051	+	ONT12.1888.16956	intron	MYL6
chr12	2051	2194	+	ONT12.1888.16956	CDS	MYL6
chr12	2194	2439	+	ONT12.1888.16956	intron	MYL6
chr12	2439	2612	+	ONT12.1888.16956	CDS	MYL6
chr12	2612	2707	+	ONT12.1888.16956	intron	MYL6
chr12	2707	2784	+	ONT12.1888.16956	CDS	MYL6
chr12	2784	3851	+	ONT12.1888.16956	intron	MYL6
chr12	3851	3879	+	ONT12.1888.16956	CDS	MYL6
chr12	3880	4038	+	ONT12.1888.16956	UTR	NA
chr12	665	865	+	ONT12.1888.16960	UTR	NA
chr12	866	868	+	ONT12.1888.16960	CDS	MYL6
chr12	868	1148	+	ONT12.1888.16960	intron	MYL6
chr12	1148	1175	+	ONT12.1888.16960	CDS	MYL6
chr12	1175	2051	+	ONT12.1888.16960	intron	MYL6
chr12	2051	2194	+	ONT12.1888.16960	CDS	MYL6
chr12	2194	2439	+	ONT12.1888.16960	intron	MYL6
chr12	2439	2612	+	ONT12.1888.16960	CDS	MYL6
chr12	2612	2707	+	ONT12.1888.16960	intron	MYL6
chr12	2707	2784	+	ONT12.1888.16960	CDS	MYL6
chr12	2784	3090	+	ONT12.1888.16960	intron	MYL6
chr12	3090	3118	+	ONT12.1888.16960	CDS	MYL6
chr12	3119	3134	+	ONT12.1888.16960	UTR	NA
chr12	3134	3851	+	ONT12.1888.16960	intron	NA
chr12	3851	4039	+	ONT12.1888.16960	UTR	NA
chr12	681	865	+	ONT12.1888.16970	UTR	NA
chr12	866	868	+	ONT12.1888.16970	CDS	MYL6
chr12	868	1148	+	ONT12.1888.16970	intron	MYL6
chr12	1148	1175	+	ONT12.1888.16970	CDS	MYL6
chr12	1175	2051	+	ONT12.1888.16970	intron	MYL6
chr12	2051	2188	+	ONT12.1888.16970	CDS	MYL6
chr12	2188	2439	+	ONT12.1888.16970	intron	MYL6
chr12	2439	2612	+	ONT12.1888.16970	CDS	MYL6
chr12	2612	2707	+	ONT12.1888.16970	intron	MYL6
chr12	2707	2784	+	ONT12.1888.16970	CDS	MYL6
chr12	2784	3851	+	ONT12.1888.16970	intron	MYL6
chr12	3851	3879	+	ONT12.1888.16970	CDS	MYL6
chr12	3880	4039	+	ONT12.1888.16970	UTR	NA
chr12	762	865	+	ONT12.1888.16973	UTR	NA
chr12	866	868	+	ONT12.1888.16973	CDS	MYL6
chr12	868	1148	+	ONT12.1888.16973	intron	MYL6
chr12	1148	1175	+	ONT12.1888.16973	CDS	MYL6
chr12	1175	2051	+	ONT12.1888.16973	intron	MYL6
chr12	2051	2194	+	ONT12.1888.16973	CDS	MYL6
chr12	2194	2439	+	ONT12.1888.16973	intron	MYL6
chr12	2439	2612	+	ONT12.1888.16973	CDS	MYL6
chr12	2612	2707	+	ONT12.1888.16973	intron	MYL6
chr12	2707	2784	+	ONT12.1888.16973	CDS	MYL6
chr12	2784	3851	+	ONT12.1888.16973	intron	MYL6
chr12	3851	3879	+	ONT12.1888.16973	CDS	MYL6
chr12	3880	4038	+	ONT12.1888.16973	UTR	NA
chr12	762	865	+	ONT12.1888.16974	UTR	NA
chr12	866	868	+	ONT12.1888.16974	CDS	MYL6
chr12	868	1148	+	ONT12.1888.16974	intron	MYL6
chr12	1148	1175	+	ONT12.1888.16974	CDS	MYL6
chr12	1175	2051	+	ONT12.1888.16974	intron	MYL6
chr12	2051	2194	+	ONT12.1888.16974	CDS	MYL6
chr12	2194	2439	+	ONT12.1888.16974	intron	MYL6
chr12	2439	2612	+	ONT12.1888.16974	CDS	MYL6
chr12	2612	2707	+	ONT12.1888.16974	intron	MYL6
chr12	2707	2784	+	ONT12.1888.16974	CDS	MYL6
chr12	2784	3090	+	ONT12.1888.16974	intron	MYL6
chr12	3090	3118	+	ONT12.1888.16974	CDS	MYL6
