seqnames	start	end	strand	transcript_id	type	gene_id
chr1	2	1243	-	ENST00000264198.5	UTR	NA
chr1	1244	1973	-	ENST00000264198.5	CDS	ENSG00000090432.7
chr1	1973	2623	-	ENST00000264198.5	intron	ENSG00000090432.7
chr1	2623	2743	-	ENST00000264198.5	CDS	ENSG00000090432.7
chr1	2743	3006	-	ENST00000264198.5	intron	ENSG00000090432.7
chr1	3006	3093	-	ENST00000264198.5	CDS	ENSG00000090432.7
chr1	3093	3799	-	ENST00000264198.5	intron	ENSG00000090432.7
chr1	3799	3921	-	ENST00000264198.5	CDS	ENSG00000090432.7
chr1	3922	4045	-	ENST00000264198.5	UTR	NA
chr1	2	1246	-	ONT1.706.3628	UTR	NA
chr1	1247	1973	-	ONT1.706.3628	CDS	MUL1
chr1	1973	2623	-	ONT1.706.3628	intron	MUL1
chr1	2623	2743	-	ONT1.706.3628	CDS	MUL1
chr1	2743	3006	-	ONT1.706.3628	intron	MUL1
chr1	3006	3093	-	ONT1.706.3628	CDS	MUL1
chr1	3093	3799	-	ONT1.706.3628	intron	MUL1
chr1	3799	3921	-	ONT1.706.3628	CDS	MUL1
chr1	3922	4060	-	ONT1.706.3628	UTR	NA
chr1	2	1246	-	ONT1.706.3632	UTR	NA
chr1	1247	1973	-	ONT1.706.3632	CDS	MUL1
chr1	1973	2623	-	ONT1.706.3632	intron	MUL1
chr1	2623	2654	-	ONT1.706.3632	CDS	MUL1
chr1	2655	2725	-	ONT1.706.3632	UTR	NA
chr1	2	1878	-	ONT1.706.3634	UTR	NA
chr1	1879	1990	-	ONT1.706.3634	CDS	MUL1
chr1	1990	2623	-	ONT1.706.3634	intron	MUL1
chr1	2623	2743	-	ONT1.706.3634	CDS	MUL1
chr1	2743	3006	-	ONT1.706.3634	intron	MUL1
chr1	3006	3093	-	ONT1.706.3634	CDS	MUL1
chr1	3093	3799	-	ONT1.706.3634	intron	MUL1
chr1	3799	3921	-	ONT1.706.3634	CDS	MUL1
chr1	3922	4045	-	ONT1.706.3634	UTR	NA
chr1	2	1246	-	ONT1.706.3635	UTR	NA
chr1	1247	1973	-	ONT1.706.3635	CDS	MUL1
chr1	1973	2623	-	ONT1.706.3635	intron	MUL1
chr1	2623	2743	-	ONT1.706.3635	CDS	MUL1
chr1	2743	3006	-	ONT1.706.3635	intron	MUL1
chr1	3006	3093	-	ONT1.706.3635	CDS	MUL1
chr1	3093	3418	-	ONT1.706.3635	intron	MUL1
chr1	3418	3423	-	ONT1.706.3635	CDS	MUL1
chr1	3424	3661	-	ONT1.706.3635	UTR	NA
chr1	2	1973	-	ONT1.706.3637	UTR	NA
