seqnames	start	end	strand	transcript_id	type	gene_id
chr2	2	338	+	ENST00000431877.7	UTR	NA
chr2	339	549	+	ENST00000431877.7	CDS	ENSG00000138434.17
chr2	549	660	+	ENST00000431877.7	intron	ENSG00000138434.17
chr2	660	705	+	ENST00000431877.7	CDS	ENSG00000138434.17
chr2	705	3169	+	ENST00000431877.7	intron	ENSG00000138434.17
chr2	3169	3218	+	ENST00000431877.7	CDS	ENSG00000138434.17
chr2	3218	3319	+	ENST00000431877.7	intron	ENSG00000138434.17
chr2	3319	3375	+	ENST00000431877.7	CDS	ENSG00000138434.17
chr2	3375	3476	+	ENST00000431877.7	intron	ENSG00000138434.17
chr2	3476	3515	+	ENST00000431877.7	CDS	ENSG00000138434.17
chr2	3515	3610	+	ENST00000431877.7	intron	ENSG00000138434.17
chr2	3610	3708	+	ENST00000431877.7	CDS	ENSG00000138434.17
chr2	3708	3809	+	ENST00000431877.7	intron	ENSG00000138434.17
chr2	3809	4017	+	ENST00000431877.7	CDS	ENSG00000138434.17
chr2	4017	4118	+	ENST00000431877.7	intron	ENSG00000138434.17
chr2	4118	4818	+	ENST00000431877.7	CDS	ENSG00000138434.17
chr2	4818	4923	+	ENST00000431877.7	intron	ENSG00000138434.17
chr2	4923	4995	+	ENST00000431877.7	CDS	ENSG00000138434.17
chr2	4995	5096	+	ENST00000431877.7	intron	ENSG00000138434.17
chr2	5096	5184	+	ENST00000431877.7	CDS	ENSG00000138434.17
chr2	5184	5288	+	ENST00000431877.7	intron	ENSG00000138434.17
chr2	5288	6499	+	ENST00000431877.7	CDS	ENSG00000138434.17
chr2	6499	7886	+	ENST00000431877.7	intron	ENSG00000138434.17
chr2	7886	7963	+	ENST00000431877.7	CDS	ENSG00000138434.17
chr2	7963	8043	+	ENST00000431877.7	intron	ENSG00000138434.17
chr2	8043	8170	+	ENST00000431877.7	CDS	ENSG00000138434.17
chr2	8170	8273	+	ENST00000431877.7	intron	ENSG00000138434.17
chr2	8273	8423	+	ENST00000431877.7	CDS	ENSG00000138434.17
chr2	8423	8930	+	ENST00000431877.7	intron	ENSG00000138434.17
chr2	8930	8995	+	ENST00000431877.7	CDS	ENSG00000138434.17
chr2	8995	10097	+	ENST00000431877.7	intron	ENSG00000138434.17
chr2	10097	10561	+	ENST00000431877.7	CDS	ENSG00000138434.17
chr2	10561	10662	+	ENST00000431877.7	intron	ENSG00000138434.17
chr2	10662	10769	+	ENST00000431877.7	CDS	ENSG00000138434.17
chr2	10770	10779	+	ENST00000431877.7	UTR	NA
chr2	10779	10885	+	ENST00000431877.7	intron	NA
chr2	10885	12062	+	ENST00000431877.7	UTR	NA
chr2	8392	8420	+	ONT2.10473.1004	UTR	NA
chr2	8421	8423	+	ONT2.10473.1004	CDS	ITPRID2
chr2	8423	8930	+	ONT2.10473.1004	intron	ITPRID2
chr2	8930	8995	+	ONT2.10473.1004	CDS	ITPRID2
chr2	8995	10097	+	ONT2.10473.1004	intron	ITPRID2
chr2	10097	10561	+	ONT2.10473.1004	CDS	ITPRID2
chr2	10561	10662	+	ONT2.10473.1004	intron	ITPRID2
chr2	10662	10766	+	ONT2.10473.1004	CDS	ITPRID2
chr2	10767	10779	+	ONT2.10473.1004	UTR	NA
chr2	10779	10885	+	ONT2.10473.1004	intron	NA
chr2	10885	11852	+	ONT2.10473.1004	UTR	NA
chr2	8364	8390	+	ONT2.10473.1005	UTR	NA
chr2	8391	8423	+	ONT2.10473.1005	CDS	ITPRID2
chr2	8423	10097	+	ONT2.10473.1005	intron	ITPRID2
chr2	10097	10561	+	ONT2.10473.1005	CDS	ITPRID2
chr2	10561	10662	+	ONT2.10473.1005	intron	ITPRID2
chr2	10662	10766	+	ONT2.10473.1005	CDS	ITPRID2
chr2	10767	10779	+	ONT2.10473.1005	UTR	NA
chr2	10779	10885	+	ONT2.10473.1005	intron	NA
chr2	10885	11852	+	ONT2.10473.1005	UTR	NA
chr2	20	338	+	ONT2.10473.101	UTR	NA
chr2	339	549	+	ONT2.10473.101	CDS	ITPRID2
chr2	549	660	+	ONT2.10473.101	intron	ITPRID2
chr2	660	705	+	ONT2.10473.101	CDS	ITPRID2
chr2	705	3169	+	ONT2.10473.101	intron	ITPRID2
chr2	3169	3218	+	ONT2.10473.101	CDS	ITPRID2
chr2	3218	3319	+	ONT2.10473.101	intron	ITPRID2
chr2	3319	3375	+	ONT2.10473.101	CDS	ITPRID2
chr2	3375	3476	+	ONT2.10473.101	intron	ITPRID2
chr2	3476	3515	+	ONT2.10473.101	CDS	ITPRID2
chr2	3515	3610	+	ONT2.10473.101	intron	ITPRID2
chr2	3610	3708	+	ONT2.10473.101	CDS	ITPRID2
chr2	3708	3809	+	ONT2.10473.101	intron	ITPRID2
chr2	3809	4017	+	ONT2.10473.101	CDS	ITPRID2
chr2	4017	4118	+	ONT2.10473.101	intron	ITPRID2
chr2	4118	4818	+	ONT2.10473.101	CDS	ITPRID2
chr2	4818	4923	+	ONT2.10473.101	intron	ITPRID2
chr2	4923	4995	+	ONT2.10473.101	CDS	ITPRID2
chr2	4995	5096	+	ONT2.10473.101	intron	ITPRID2
chr2	5096	5184	+	ONT2.10473.101	CDS	ITPRID2
chr2	5184	5288	+	ONT2.10473.101	intron	ITPRID2
chr2	5288	6499	+	ONT2.10473.101	CDS	ITPRID2
chr2	6499	7886	+	ONT2.10473.101	intron	ITPRID2
chr2	7886	7963	+	ONT2.10473.101	CDS	ITPRID2
chr2	7963	8043	+	ONT2.10473.101	intron	ITPRID2
chr2	8043	8170	+	ONT2.10473.101	CDS	ITPRID2
chr2	8170	8273	+	ONT2.10473.101	intron	ITPRID2
chr2	8273	8423	+	ONT2.10473.101	CDS	ITPRID2
chr2	8423	10097	+	ONT2.10473.101	intron	ITPRID2
chr2	10097	10561	+	ONT2.10473.101	CDS	ITPRID2
chr2	10561	10662	+	ONT2.10473.101	intron	ITPRID2
chr2	10662	10766	+	ONT2.10473.101	CDS	ITPRID2
