seqnames	start	end	strand	transcript_id	type	gene_id
chr14	12	193	-	ENST00000397120.8	UTR	NA
chr14	194	295	-	ENST00000397120.8	CDS	ENSG00000213983.12
chr14	295	383	-	ENST00000397120.8	intron	ENSG00000213983.12
chr14	383	481	-	ENST00000397120.8	CDS	ENSG00000213983.12
chr14	481	586	-	ENST00000397120.8	intron	ENSG00000213983.12
chr14	586	749	-	ENST00000397120.8	CDS	ENSG00000213983.12
chr14	749	850	-	ENST00000397120.8	intron	ENSG00000213983.12
chr14	850	985	-	ENST00000397120.8	CDS	ENSG00000213983.12
chr14	985	1066	-	ENST00000397120.8	intron	ENSG00000213983.12
chr14	1066	1189	-	ENST00000397120.8	CDS	ENSG00000213983.12
chr14	1189	1516	-	ENST00000397120.8	intron	ENSG00000213983.12
chr14	1516	1620	-	ENST00000397120.8	CDS	ENSG00000213983.12
chr14	1620	1842	-	ENST00000397120.8	intron	ENSG00000213983.12
chr14	1842	1969	-	ENST00000397120.8	CDS	ENSG00000213983.12
chr14	1969	2058	-	ENST00000397120.8	intron	ENSG00000213983.12
chr14	2058	2147	-	ENST00000397120.8	CDS	ENSG00000213983.12
chr14	2147	2886	-	ENST00000397120.8	intron	ENSG00000213983.12
chr14	2886	3008	-	ENST00000397120.8	CDS	ENSG00000213983.12
chr14	3008	3090	-	ENST00000397120.8	intron	ENSG00000213983.12
chr14	3090	3144	-	ENST00000397120.8	CDS	ENSG00000213983.12
chr14	3144	3222	-	ENST00000397120.8	intron	ENSG00000213983.12
chr14	3222	3362	-	ENST00000397120.8	CDS	ENSG00000213983.12
chr14	3362	3552	-	ENST00000397120.8	intron	ENSG00000213983.12
chr14	3552	3665	-	ENST00000397120.8	CDS	ENSG00000213983.12
chr14	3665	3830	-	ENST00000397120.8	intron	ENSG00000213983.12
chr14	3830	3885	-	ENST00000397120.8	CDS	ENSG00000213983.12
chr14	3885	3987	-	ENST00000397120.8	intron	ENSG00000213983.12
chr14	3987	4085	-	ENST00000397120.8	CDS	ENSG00000213983.12
chr14	4085	4189	-	ENST00000397120.8	intron	ENSG00000213983.12
chr14	4189	4269	-	ENST00000397120.8	CDS	ENSG00000213983.12
chr14	4269	4646	-	ENST00000397120.8	intron	ENSG00000213983.12
chr14	4646	4741	-	ENST00000397120.8	CDS	ENSG00000213983.12
chr14	4741	4842	-	ENST00000397120.8	intron	ENSG00000213983.12
chr14	4842	4918	-	ENST00000397120.8	CDS	ENSG00000213983.12
chr14	4918	5090	-	ENST00000397120.8	intron	ENSG00000213983.12
chr14	5090	5186	-	ENST00000397120.8	CDS	ENSG00000213983.12
chr14	5186	5289	-	ENST00000397120.8	intron	ENSG00000213983.12
chr14	5289	5430	-	ENST00000397120.8	CDS	ENSG00000213983.12
chr14	5430	5531	-	ENST00000397120.8	intron	ENSG00000213983.12
chr14	5531	5655	-	ENST00000397120.8	CDS	ENSG00000213983.12
chr14	5655	5756	-	ENST00000397120.8	intron	ENSG00000213983.12
chr14	5756	5962	-	ENST00000397120.8	CDS	ENSG00000213983.12
chr14	5963	5964	-	ENST00000397120.8	UTR	NA
chr14	5964	6384	-	ENST00000397120.8	intron	NA
chr14	6384	6436	-	ENST00000397120.8	UTR	NA
chr14	28	295	-	ONT14.358.18794	UTR	NA
chr14	295	383	-	ONT14.358.18794	intron	NA
chr14	383	481	-	ONT14.358.18794	UTR	NA
chr14	481	586	-	ONT14.358.18794	intron	NA
chr14	586	749	-	ONT14.358.18794	UTR	NA
chr14	749	850	-	ONT14.358.18794	intron	NA
chr14	850	985	-	ONT14.358.18794	UTR	NA
chr14	985	1066	-	ONT14.358.18794	intron	NA
chr14	1066	1189	-	ONT14.358.18794	UTR	NA
chr14	1189	1514	-	ONT14.358.18794	intron	NA
chr14	1514	1620	-	ONT14.358.18794	UTR	NA
chr14	1620	1842	-	ONT14.358.18794	intron	NA
chr14	1842	1969	-	ONT14.358.18794	UTR	NA
chr14	1969	2058	-	ONT14.358.18794	intron	NA
chr14	2058	2147	-	ONT14.358.18794	UTR	NA
chr14	2147	2886	-	ONT14.358.18794	intron	NA
chr14	2886	3008	-	ONT14.358.18794	UTR	NA
chr14	3008	3090	-	ONT14.358.18794	intron	NA
chr14	3090	3144	-	ONT14.358.18794	UTR	NA
chr14	3144	3222	-	ONT14.358.18794	intron	NA
chr14	3222	3727	-	ONT14.358.18794	UTR	NA
chr14	3727	3830	-	ONT14.358.18794	intron	NA
chr14	3830	3885	-	ONT14.358.18794	UTR	NA
chr14	3885	3987	-	ONT14.358.18794	intron	NA
chr14	3987	4085	-	ONT14.358.18794	UTR	NA
chr14	4085	4189	-	ONT14.358.18794	intron	NA
chr14	4189	4269	-	ONT14.358.18794	UTR	NA
chr14	4269	4646	-	ONT14.358.18794	intron	NA
chr14	4646	4741	-	ONT14.358.18794	UTR	NA
chr14	4741	5090	-	ONT14.358.18794	intron	NA
chr14	5090	5186	-	ONT14.358.18794	UTR	NA
chr14	5186	5289	-	ONT14.358.18794	intron	NA
chr14	5289	5430	-	ONT14.358.18794	UTR	NA
chr14	5430	5756	-	ONT14.358.18794	intron	AP1G2
chr14	5756	5962	-	ONT14.358.18794	CDS	AP1G2
chr14	5963	5964	-	ONT14.358.18794	UTR	NA
chr14	5964	6096	-	ONT14.358.18794	intron	NA
chr14	6096	6158	-	ONT14.358.18794	UTR	NA
chr14	12	295	-	ONT14.358.18795	UTR	NA
chr14	295	383	-	ONT14.358.18795	intron	NA
chr14	383	481	-	ONT14.358.18795	UTR	NA
chr14	481	586	-	ONT14.358.18795	intron	NA
chr14	586	749	-	ONT14.358.18795	UTR	NA
chr14	749	850	-	ONT14.358.18795	intron	NA
chr14	850	985	-	ONT14.358.18795	UTR	NA
chr14	985	1066	-	ONT14.358.18795	intron	NA
chr14	1066	1189	-	ONT14.358.18795	UTR	NA
chr14	1189	1514	-	ONT14.358.18795	intron	NA
chr14	1514	1620	-	ONT14.358.18795	UTR	NA
chr14	1620	1842	-	ONT14.358.18795	intron	NA
chr14	1842	1969	-	ONT14.358.18795	UTR	NA
chr14	1969	2058	-	ONT14.358.18795	intron	NA
chr14	2058	2147	-	ONT14.358.18795	UTR	NA
chr14	2147	2886	-	ONT14.358.18795	intron	NA
chr14	2886	3008	-	ONT14.358.18795	UTR	NA
chr14	3008	3090	-	ONT14.358.18795	intron	NA
chr14	3090	3144	-	ONT14.358.18795	UTR	NA
chr14	3144	3222	-	ONT14.358.18795	intron	NA
chr14	3222	3727	-	ONT14.358.18795	UTR	NA
chr14	3727	3830	-	ONT14.358.18795	intron	NA
chr14	3830	3885	-	ONT14.358.18795	UTR	NA
chr14	3885	3987	-	ONT14.358.18795	intron	NA
chr14	3987	4085	-	ONT14.358.18795	UTR	NA
chr14	4085	4189	-	ONT14.358.18795	intron	NA
chr14	4189	4216	-	ONT14.358.18795	UTR	NA
chr14	4217	4269	-	ONT14.358.18795	CDS	AP1G2
chr14	4269	4646	-	ONT14.358.18795	intron	AP1G2
chr14	4646	4741	-	ONT14.358.18795	CDS	AP1G2
chr14	4741	5090	-	ONT14.358.18795	intron	AP1G2
chr14	5090	5186	-	ONT14.358.18795	CDS	AP1G2
chr14	5186	5289	-	ONT14.358.18795	intron	AP1G2
chr14	5289	5430	-	ONT14.358.18795	CDS	AP1G2
chr14	5430	5531	-	ONT14.358.18795	intron	AP1G2
chr14	5531	5655	-	ONT14.358.18795	CDS	AP1G2
chr14	5655	5756	-	ONT14.358.18795	intron	AP1G2
chr14	5756	5962	-	ONT14.358.18795	CDS	AP1G2
chr14	5963	5964	-	ONT14.358.18795	UTR	NA
chr14	5964	6096	-	ONT14.358.18795	intron	NA
chr14	6096	6130	-	ONT14.358.18795	UTR	NA
chr14	12	196	-	ONT14.358.18797	UTR	NA
chr14	197	295	-	ONT14.358.18797	CDS	AP1G2
chr14	295	383	-	ONT14.358.18797	intron	AP1G2
chr14	383	481	-	ONT14.358.18797	CDS	AP1G2
chr14	481	586	-	ONT14.358.18797	intron	AP1G2
chr14	586	749	-	ONT14.358.18797	CDS	AP1G2
chr14	749	850	-	ONT14.358.18797	intron	AP1G2
chr14	850	985	-	ONT14.358.18797	CDS	AP1G2
chr14	985	1066	-	ONT14.358.18797	intron	AP1G2
chr14	1066	1189	-	ONT14.358.18797	CDS	AP1G2
chr14	1189	1516	-	ONT14.358.18797	intron	AP1G2
chr14	1516	1620	-	ONT14.358.18797	CDS	AP1G2
chr14	1620	1842	-	ONT14.358.18797	intron	AP1G2
chr14	1842	1969	-	ONT14.358.18797	CDS	AP1G2
chr14	1969	2058	-	ONT14.358.18797	intron	AP1G2
chr14	2058	2147	-	ONT14.358.18797	CDS	AP1G2
chr14	2147	2886	-	ONT14.358.18797	intron	AP1G2
chr14	2886	3008	-	ONT14.358.18797	CDS	AP1G2
chr14	3008	3090	-	ONT14.358.18797	intron	AP1G2
chr14	3090	3144	-	ONT14.358.18797	CDS	AP1G2
chr14	3144	3222	-	ONT14.358.18797	intron	AP1G2
chr14	3222	3313	-	ONT14.358.18797	CDS	AP1G2
chr14	3314	3444	-	ONT14.358.18797	UTR	NA
chr14	12	196	-	ONT14.358.18798	UTR	NA
chr14	197	295	-	ONT14.358.18798	CDS	AP1G2
chr14	295	383	-	ONT14.358.18798	intron	AP1G2
chr14	383	481	-	ONT14.358.18798	CDS	AP1G2
chr14	481	586	-	ONT14.358.18798	intron	AP1G2
chr14	586	749	-	ONT14.358.18798	CDS	AP1G2
chr14	749	850	-	ONT14.358.18798	intron	AP1G2
chr14	850	985	-	ONT14.358.18798	CDS	AP1G2
chr14	985	1066	-	ONT14.358.18798	intron	AP1G2
chr14	1066	1173	-	ONT14.358.18798	CDS	AP1G2
chr14	1174	1969	-	ONT14.358.18798	UTR	NA
chr14	1969	2058	-	ONT14.358.18798	intron	NA
chr14	2058	2378	-	ONT14.358.18798	UTR	NA
chr14	18	196	-	ONT14.358.18803	UTR	NA
chr14	197	295	-	ONT14.358.18803	CDS	AP1G2
chr14	295	383	-	ONT14.358.18803	intron	AP1G2
chr14	383	481	-	ONT14.358.18803	CDS	AP1G2
chr14	481	586	-	ONT14.358.18803	intron	AP1G2
chr14	586	749	-	ONT14.358.18803	CDS	AP1G2
chr14	749	850	-	ONT14.358.18803	intron	AP1G2
chr14	850	985	-	ONT14.358.18803	CDS	AP1G2
chr14	985	1066	-	ONT14.358.18803	intron	AP1G2
chr14	1066	1189	-	ONT14.358.18803	CDS	AP1G2
chr14	1189	1516	-	ONT14.358.18803	intron	AP1G2
chr14	1516	1620	-	ONT14.358.18803	CDS	AP1G2
chr14	1620	1842	-	ONT14.358.18803	intron	AP1G2
chr14	1842	1969	-	ONT14.358.18803	CDS	AP1G2
chr14	1969	2058	-	ONT14.358.18803	intron	AP1G2
chr14	2058	2147	-	ONT14.358.18803	CDS	AP1G2
chr14	2147	2886	-	ONT14.358.18803	intron	AP1G2
chr14	2886	3008	-	ONT14.358.18803	CDS	AP1G2
chr14	3008	3090	-	ONT14.358.18803	intron	AP1G2
chr14	3090	3144	-	ONT14.358.18803	CDS	AP1G2
chr14	3144	3222	-	ONT14.358.18803	intron	AP1G2
chr14	3222	3362	-	ONT14.358.18803	CDS	AP1G2
chr14	3362	3552	-	ONT14.358.18803	intron	AP1G2
chr14	3552	3665	-	ONT14.358.18803	CDS	AP1G2
chr14	3665	3830	-	ONT14.358.18803	intron	AP1G2
chr14	3830	3885	-	ONT14.358.18803	CDS	AP1G2
chr14	3885	3987	-	ONT14.358.18803	intron	AP1G2
chr14	3987	4085	-	ONT14.358.18803	CDS	AP1G2
chr14	4085	4189	-	ONT14.358.18803	intron	AP1G2
chr14	4189	4269	-	ONT14.358.18803	CDS	AP1G2
chr14	4269	4646	-	ONT14.358.18803	intron	AP1G2
chr14	4646	4741	-	ONT14.358.18803	CDS	AP1G2
chr14	4741	4842	-	ONT14.358.18803	intron	AP1G2
chr14	4842	4918	-	ONT14.358.18803	CDS	AP1G2
chr14	4918	5090	-	ONT14.358.18803	intron	AP1G2
chr14	5090	5186	-	ONT14.358.18803	CDS	AP1G2
chr14	5186	5289	-	ONT14.358.18803	intron	AP1G2
chr14	5289	5430	-	ONT14.358.18803	CDS	AP1G2
chr14	5430	5531	-	ONT14.358.18803	intron	AP1G2
chr14	5531	5655	-	ONT14.358.18803	CDS	AP1G2
chr14	5655	5756	-	ONT14.358.18803	intron	AP1G2
chr14	5756	5962	-	ONT14.358.18803	CDS	AP1G2
chr14	5963	5966	-	ONT14.358.18803	UTR	NA
chr14	12	196	-	ONT14.358.18804	UTR	NA
chr14	197	295	-	ONT14.358.18804	CDS	AP1G2
chr14	295	383	-	ONT14.358.18804	intron	AP1G2
chr14	383	481	-	ONT14.358.18804	CDS	AP1G2
chr14	481	586	-	ONT14.358.18804	intron	AP1G2
chr14	586	749	-	ONT14.358.18804	CDS	AP1G2
chr14	749	850	-	ONT14.358.18804	intron	AP1G2
chr14	850	985	-	ONT14.358.18804	CDS	AP1G2
chr14	985	1066	-	ONT14.358.18804	intron	AP1G2
chr14	1066	1189	-	ONT14.358.18804	CDS	AP1G2
chr14	1189	1516	-	ONT14.358.18804	intron	AP1G2
chr14	1516	1620	-	ONT14.358.18804	CDS	AP1G2
chr14	1620	1842	-	ONT14.358.18804	intron	AP1G2
chr14	1842	1969	-	ONT14.358.18804	CDS	AP1G2
chr14	1969	2058	-	ONT14.358.18804	intron	AP1G2
chr14	2058	2147	-	ONT14.358.18804	CDS	AP1G2
chr14	2147	2886	-	ONT14.358.18804	intron	AP1G2
chr14	2886	3008	-	ONT14.358.18804	CDS	AP1G2
chr14	3008	3090	-	ONT14.358.18804	intron	AP1G2
chr14	3090	3144	-	ONT14.358.18804	CDS	AP1G2
chr14	3144	3222	-	ONT14.358.18804	intron	AP1G2
chr14	3222	3362	-	ONT14.358.18804	CDS	AP1G2
chr14	3362	3552	-	ONT14.358.18804	intron	AP1G2
chr14	3552	3665	-	ONT14.358.18804	CDS	AP1G2
chr14	3665	3830	-	ONT14.358.18804	intron	AP1G2
chr14	3830	3885	-	ONT14.358.18804	CDS	AP1G2
chr14	3885	3987	-	ONT14.358.18804	intron	AP1G2
chr14	3987	4085	-	ONT14.358.18804	CDS	AP1G2
chr14	4085	4189	-	ONT14.358.18804	intron	AP1G2
chr14	4189	4269	-	ONT14.358.18804	CDS	AP1G2
chr14	4269	4646	-	ONT14.358.18804	intron	AP1G2
chr14	4646	4741	-	ONT14.358.18804	CDS	AP1G2
chr14	4741	4842	-	ONT14.358.18804	intron	AP1G2
chr14	4842	4918	-	ONT14.358.18804	CDS	AP1G2
chr14	4918	5090	-	ONT14.358.18804	intron	AP1G2
chr14	5090	5186	-	ONT14.358.18804	CDS	AP1G2
chr14	5186	5289	-	ONT14.358.18804	intron	AP1G2
chr14	5289	5430	-	ONT14.358.18804	CDS	AP1G2
chr14	5430	5531	-	ONT14.358.18804	intron	AP1G2
chr14	5531	5655	-	ONT14.358.18804	CDS	AP1G2
chr14	5655	5756	-	ONT14.358.18804	intron	AP1G2
chr14	5756	5962	-	ONT14.358.18804	CDS	AP1G2
chr14	5963	5964	-	ONT14.358.18804	UTR	NA
chr14	5964	6096	-	ONT14.358.18804	intron	NA
chr14	6096	6154	-	ONT14.358.18804	UTR	NA
chr14	12	196	-	ONT14.358.18807	UTR	NA
chr14	197	295	-	ONT14.358.18807	CDS	AP1G2
chr14	295	383	-	ONT14.358.18807	intron	AP1G2
chr14	383	481	-	ONT14.358.18807	CDS	AP1G2
chr14	481	586	-	ONT14.358.18807	intron	AP1G2
chr14	586	749	-	ONT14.358.18807	CDS	AP1G2
chr14	749	850	-	ONT14.358.18807	intron	AP1G2
chr14	850	985	-	ONT14.358.18807	CDS	AP1G2
chr14	985	1066	-	ONT14.358.18807	intron	AP1G2
chr14	1066	1189	-	ONT14.358.18807	CDS	AP1G2
chr14	1189	1516	-	ONT14.358.18807	intron	AP1G2
chr14	1516	1620	-	ONT14.358.18807	CDS	AP1G2
chr14	1620	1842	-	ONT14.358.18807	intron	AP1G2
chr14	1842	1921	-	ONT14.358.18807	CDS	AP1G2
chr14	1922	1969	-	ONT14.358.18807	UTR	NA
chr14	1969	2058	-	ONT14.358.18807	intron	NA
chr14	2058	2147	-	ONT14.358.18807	UTR	NA
chr14	2147	2886	-	ONT14.358.18807	intron	NA
chr14	2886	3006	-	ONT14.358.18807	UTR	NA
chr14	2	295	-	ONT14.358.18808	UTR	NA
chr14	295	383	-	ONT14.358.18808	intron	NA
chr14	383	481	-	ONT14.358.18808	UTR	NA
chr14	481	586	-	ONT14.358.18808	intron	NA
chr14	586	749	-	ONT14.358.18808	UTR	NA
chr14	749	850	-	ONT14.358.18808	intron	NA
chr14	850	985	-	ONT14.358.18808	UTR	NA
chr14	985	1066	-	ONT14.358.18808	intron	NA
chr14	1066	1189	-	ONT14.358.18808	UTR	NA
chr14	1189	1516	-	ONT14.358.18808	intron	NA
chr14	1516	1620	-	ONT14.358.18808	UTR	NA
chr14	1620	1842	-	ONT14.358.18808	intron	NA
chr14	1842	1969	-	ONT14.358.18808	UTR	NA
chr14	1969	2058	-	ONT14.358.18808	intron	NA
chr14	2058	2147	-	ONT14.358.18808	UTR	NA
chr14	2147	2886	-	ONT14.358.18808	intron	NA
chr14	2886	3008	-	ONT14.358.18808	UTR	NA
chr14	3008	3090	-	ONT14.358.18808	intron	NA
chr14	3090	3144	-	ONT14.358.18808	UTR	NA
chr14	3144	3222	-	ONT14.358.18808	intron	NA
chr14	3222	3550	-	ONT14.358.18808	UTR	NA
chr14	3551	3665	-	ONT14.358.18808	CDS	AP1G2
chr14	3665	3830	-	ONT14.358.18808	intron	AP1G2
chr14	3830	3885	-	ONT14.358.18808	CDS	AP1G2
