seqnames	start	end	strand	transcript_id	type	gene_id
chr17	3402	3532	-	ENST00000393038.3	UTR	NA
chr17	3533	4075	-	ENST00000393038.3	CDS	ENSG00000141378.15
chr17	4075	7543	-	ENST00000393038.3	intron	NA
chr17	7543	7602	-	ENST00000393038.3	UTR	NA
chr17	2	175	-	ONT17.1681.49597	UTR	NA
chr17	176	190	-	ONT17.1681.49597	CDS	PTRH2
chr17	190	3656	-	ONT17.1681.49597	intron	PTRH2
chr17	3656	4075	-	ONT17.1681.49597	CDS	PTRH2
chr17	4075	7543	-	ONT17.1681.49597	intron	NA
chr17	7543	7583	-	ONT17.1681.49597	UTR	NA
chr17	291	3535	-	ONT17.1681.49889	UTR	NA
chr17	3536	4075	-	ONT17.1681.49889	CDS	PTRH2
chr17	4075	7543	-	ONT17.1681.49889	intron	NA
chr17	7543	7602	-	ONT17.1681.49889	UTR	NA
chr17	869	3535	-	ONT17.1681.49911	UTR	NA
chr17	3536	4075	-	ONT17.1681.49911	CDS	PTRH2
chr17	4075	7543	-	ONT17.1681.49911	intron	NA
chr17	7543	7607	-	ONT17.1681.49911	UTR	NA
chr17	909	3535	-	ONT17.1681.49921	UTR	NA
chr17	3536	4075	-	ONT17.1681.49921	CDS	PTRH2
chr17	4075	7543	-	ONT17.1681.49921	intron	NA
chr17	7543	7816	-	ONT17.1681.49921	UTR	NA
chr17	903	3535	-	ONT17.1681.49923	UTR	NA
chr17	3536	4072	-	ONT17.1681.49923	CDS	PTRH2
chr17	4072	4483	-	ONT17.1681.49923	intron	PTRH2
chr17	4483	4488	-	ONT17.1681.49923	CDS	PTRH2
chr17	4489	5801	-	ONT17.1681.49923	UTR	NA
chr17	5801	7543	-	ONT17.1681.49923	intron	NA
chr17	7543	7599	-	ONT17.1681.49923	UTR	NA
chr17	861	3535	-	ONT17.1681.49930	UTR	NA
chr17	3536	4075	-	ONT17.1681.49930	CDS	PTRH2
chr17	4075	7543	-	ONT17.1681.49930	intron	NA
chr17	7543	7712	-	ONT17.1681.49930	UTR	NA
chr17	862	3535	-	ONT17.1681.49942	UTR	NA
chr17	3536	4072	-	ONT17.1681.49942	CDS	PTRH2
chr17	4072	4184	-	ONT17.1681.49942	intron	PTRH2
chr17	4184	4267	-	ONT17.1681.49942	CDS	PTRH2
chr17	4268	4378	-	ONT17.1681.49942	UTR	NA
chr17	4378	7543	-	ONT17.1681.49942	intron	NA
chr17	7543	7607	-	ONT17.1681.49942	UTR	NA
chr17	1076	3535	-	ONT17.1681.49992	UTR	NA
chr17	3536	4075	-	ONT17.1681.49992	CDS	PTRH2
chr17	4075	7552	-	ONT17.1681.49992	intron	NA
chr17	7552	7599	-	ONT17.1681.49992	UTR	NA
chr17	1091	3535	-	ONT17.1681.49996	UTR	NA
chr17	3536	4075	-	ONT17.1681.49996	CDS	PTRH2
chr17	4075	7543	-	ONT17.1681.49996	intron	NA
chr17	7543	7622	-	ONT17.1681.49996	UTR	NA
chr17	1982	3535	-	ONT17.1681.50018	UTR	NA
chr17	3536	4075	-	ONT17.1681.50018	CDS	PTRH2
chr17	4075	7543	-	ONT17.1681.50018	intron	NA
chr17	7543	7594	-	ONT17.1681.50018	UTR	NA
chr17	3402	3535	-	ONT17.1681.50025	UTR	NA
chr17	3536	4075	-	ONT17.1681.50025	CDS	PTRH2
chr17	4075	7543	-	ONT17.1681.50025	intron	NA
chr17	7543	7810	-	ONT17.1681.50025	UTR	NA
chr17	3395	3535	-	ONT17.1681.50026	UTR	NA
chr17	3536	4075	-	ONT17.1681.50026	CDS	PTRH2
chr17	4075	4479	-	ONT17.1681.50026	intron	NA
chr17	4479	5801	-	ONT17.1681.50026	UTR	NA
chr17	5801	7543	-	ONT17.1681.50026	intron	NA
chr17	7543	7602	-	ONT17.1681.50026	UTR	NA
chr17	3402	3535	-	ONT17.1681.50027	UTR	NA
chr17	3536	4072	-	ONT17.1681.50027	CDS	PTRH2
chr17	4072	4483	-	ONT17.1681.50027	intron	PTRH2
chr17	4483	4488	-	ONT17.1681.50027	CDS	PTRH2
chr17	4489	5801	-	ONT17.1681.50027	UTR	NA
chr17	5801	7552	-	ONT17.1681.50027	intron	NA
chr17	7552	7602	-	ONT17.1681.50027	UTR	NA
chr17	3403	3535	-	ONT17.1681.50029	UTR	NA
chr17	3536	4072	-	ONT17.1681.50029	CDS	PTRH2
chr17	4072	4483	-	ONT17.1681.50029	intron	PTRH2
chr17	4483	4488	-	ONT17.1681.50029	CDS	PTRH2
chr17	4489	5336	-	ONT17.1681.50029	UTR	NA
chr17	3404	3535	-	ONT17.1681.50034	UTR	NA
chr17	3536	4075	-	ONT17.1681.50034	CDS	PTRH2
chr17	4075	7552	-	ONT17.1681.50034	intron	NA
chr17	7552	7737	-	ONT17.1681.50034	UTR	NA
chr17	3402	3535	-	ONT17.1681.50040	UTR	NA
chr17	3536	4072	-	ONT17.1681.50040	CDS	PTRH2
chr17	4072	4483	-	ONT17.1681.50040	intron	PTRH2
chr17	4483	4488	-	ONT17.1681.50040	CDS	PTRH2
chr17	4489	5488	-	ONT17.1681.50040	UTR	NA
chr17	5488	7543	-	ONT17.1681.50040	intron	NA
chr17	7543	7596	-	ONT17.1681.50040	UTR	NA
chr17	3418	3535	-	ONT17.1681.50042	UTR	NA
chr17	3536	4072	-	ONT17.1681.50042	CDS	PTRH2
chr17	4072	4483	-	ONT17.1681.50042	intron	PTRH2
chr17	4483	4488	-	ONT17.1681.50042	CDS	PTRH2
chr17	4489	5493	-	ONT17.1681.50042	UTR	NA
chr17	3402	3535	-	ONT17.1681.50043	UTR	NA
chr17	3536	4072	-	ONT17.1681.50043	CDS	PTRH2
chr17	4072	4483	-	ONT17.1681.50043	intron	PTRH2
chr17	4483	4488	-	ONT17.1681.50043	CDS	PTRH2
chr17	4489	5804	-	ONT17.1681.50043	UTR	NA
chr17	3404	3535	-	ONT17.1681.50044	UTR	NA
chr17	3536	4072	-	ONT17.1681.50044	CDS	PTRH2
chr17	4072	4483	-	ONT17.1681.50044	intron	PTRH2
chr17	4483	4488	-	ONT17.1681.50044	CDS	PTRH2
chr17	4489	6073	-	ONT17.1681.50044	UTR	NA
chr17	3400	3535	-	ONT17.1681.50046	UTR	NA
chr17	3536	4072	-	ONT17.1681.50046	CDS	PTRH2
chr17	4072	4483	-	ONT17.1681.50046	intron	PTRH2
chr17	4483	4488	-	ONT17.1681.50046	CDS	PTRH2
chr17	4489	7442	-	ONT17.1681.50046	UTR	NA
chr17	3402	3535	-	ONT17.1681.50049	UTR	NA
chr17	3536	4072	-	ONT17.1681.50049	CDS	PTRH2
chr17	4072	4483	-	ONT17.1681.50049	intron	PTRH2
chr17	4483	4488	-	ONT17.1681.50049	CDS	PTRH2
chr17	4489	6292	-	ONT17.1681.50049	UTR	NA
chr17	3400	3535	-	ONT17.1681.50050	UTR	NA
chr17	3536	4072	-	ONT17.1681.50050	CDS	PTRH2
chr17	4072	4483	-	ONT17.1681.50050	intron	PTRH2
chr17	4483	4488	-	ONT17.1681.50050	CDS	PTRH2
chr17	4489	4960	-	ONT17.1681.50050	UTR	NA
chr17	4960	5135	-	ONT17.1681.50050	intron	NA
chr17	5135	5801	-	ONT17.1681.50050	UTR	NA
chr17	5801	7543	-	ONT17.1681.50050	intron	NA
chr17	7543	7602	-	ONT17.1681.50050	UTR	NA
chr17	3400	3535	-	ONT17.1681.50053	UTR	NA
chr17	3536	3961	-	ONT17.1681.50053	CDS	PTRH2
chr17	3961	7543	-	ONT17.1681.50053	intron	NA
chr17	7543	7602	-	ONT17.1681.50053	UTR	NA
chr17	3402	3535	-	ONT17.1681.50054	UTR	NA
chr17	3536	3877	-	ONT17.1681.50054	CDS	PTRH2
chr17	3877	7543	-	ONT17.1681.50054	intron	NA
chr17	7543	7583	-	ONT17.1681.50054	UTR	NA
chr17	3401	3535	-	ONT17.1681.50055	UTR	NA
chr17	3536	3751	-	ONT17.1681.50055	CDS	PTRH2
chr17	3751	3767	-	ONT17.1681.50055	intron	PTRH2
chr17	3767	4075	-	ONT17.1681.50055	CDS	PTRH2
chr17	4075	7543	-	ONT17.1681.50055	intron	NA
chr17	7543	7636	-	ONT17.1681.50055	UTR	NA
chr17	3402	3535	-	ONT17.1681.50057	UTR	NA
chr17	3536	4072	-	ONT17.1681.50057	CDS	PTRH2
chr17	4072	4184	-	ONT17.1681.50057	intron	PTRH2
chr17	4184	4267	-	ONT17.1681.50057	CDS	PTRH2
chr17	4268	4378	-	ONT17.1681.50057	UTR	NA
chr17	4378	7543	-	ONT17.1681.50057	intron	NA
chr17	7543	7601	-	ONT17.1681.50057	UTR	NA
chr17	3402	3535	-	ONT17.1681.50060	UTR	NA
chr17	3536	4072	-	ONT17.1681.50060	CDS	PTRH2
chr17	4072	4483	-	ONT17.1681.50060	intron	PTRH2
chr17	4483	4488	-	ONT17.1681.50060	CDS	PTRH2
chr17	4489	5801	-	ONT17.1681.50060	UTR	NA
chr17	5801	7543	-	ONT17.1681.50060	intron	NA
chr17	7543	7815	-	ONT17.1681.50060	UTR	NA
chr17	3402	3535	-	ONT17.1681.50064	UTR	NA
chr17	3536	4072	-	ONT17.1681.50064	CDS	PTRH2
chr17	4072	4483	-	ONT17.1681.50064	intron	PTRH2
chr17	4483	4488	-	ONT17.1681.50064	CDS	PTRH2
chr17	4489	5644	-	ONT17.1681.50064	UTR	NA
chr17	3403	3535	-	ONT17.1681.50079	UTR	NA
chr17	3536	4054	-	ONT17.1681.50079	CDS	PTRH2
chr17	4055	4061	-	ONT17.1681.50079	UTR	NA
chr17	4061	7543	-	ONT17.1681.50079	intron	NA
chr17	7543	7602	-	ONT17.1681.50079	UTR	NA
chr17	3409	3535	-	ONT17.1681.50082	UTR	NA
chr17	3536	4072	-	ONT17.1681.50082	CDS	PTRH2
chr17	4072	4483	-	ONT17.1681.50082	intron	PTRH2
chr17	4483	4488	-	ONT17.1681.50082	CDS	PTRH2
chr17	4489	6298	-	ONT17.1681.50082	UTR	NA
chr17	6298	7543	-	ONT17.1681.50082	intron	NA
chr17	7543	7602	-	ONT17.1681.50082	UTR	NA
chr17	3404	3535	-	ONT17.1681.50112	UTR	NA
chr17	3536	4075	-	ONT17.1681.50112	CDS	PTRH2
chr17	4076	4083	-	ONT17.1681.50112	UTR	NA
chr17	4083	7547	-	ONT17.1681.50112	intron	NA
chr17	7547	7619	-	ONT17.1681.50112	UTR	NA
chr17	3408	3535	-	ONT17.1681.50126	UTR	NA
chr17	3536	4072	-	ONT17.1681.50126	CDS	PTRH2
chr17	4072	4483	-	ONT17.1681.50126	intron	PTRH2
chr17	4483	4488	-	ONT17.1681.50126	CDS	PTRH2
chr17	4489	6425	-	ONT17.1681.50126	UTR	NA
chr17	3408	3535	-	ONT17.1681.50161	UTR	NA
chr17	3536	4072	-	ONT17.1681.50161	CDS	PTRH2
chr17	4072	4483	-	ONT17.1681.50161	intron	PTRH2
chr17	4483	4488	-	ONT17.1681.50161	CDS	PTRH2
chr17	4489	6206	-	ONT17.1681.50161	UTR	NA
chr17	3412	3535	-	ONT17.1681.50172	UTR	NA
chr17	3536	4072	-	ONT17.1681.50172	CDS	PTRH2
chr17	4072	4483	-	ONT17.1681.50172	intron	PTRH2
chr17	4483	4488	-	ONT17.1681.50172	CDS	PTRH2
chr17	4489	7113	-	ONT17.1681.50172	UTR	NA
chr17	10058	10728	-	ENST00000393038.3	exon	ENSG00000141378.15
chr17	10728	15356	-	ENST00000393038.3	intron	NA
chr17	15356	15415	-	ENST00000393038.3	exon	ENSG00000141378.15
chr17	2	40	-	ONT17.1681.49417	exon	PTRH2
chr17	41	243	-	ONT17.1681.49417	exon	PTRH2
chr17	244	398	-	ONT17.1681.49417	exon	PTRH2
chr17	399	519	-	ONT17.1681.49417	exon	PTRH2
