seqnames	start	end	strand	transcript_id	type	gene_id
chr19	77	203	-	ENST00000389208.9	UTR	NA
chr19	204	247	-	ENST00000389208.9	CDS	ENSG00000204653.10
chr19	247	610	-	ENST00000389208.9	intron	ENSG00000204653.10
chr19	610	764	-	ENST00000389208.9	CDS	ENSG00000204653.10
chr19	764	834	-	ENST00000389208.9	intron	ENSG00000204653.10
chr19	834	1054	-	ENST00000389208.9	CDS	ENSG00000204653.10
chr19	1054	1135	-	ENST00000389208.9	intron	ENSG00000204653.10
chr19	1135	1284	-	ENST00000389208.9	CDS	ENSG00000204653.10
chr19	1284	1401	-	ENST00000389208.9	intron	ENSG00000204653.10
chr19	1401	1485	-	ENST00000389208.9	CDS	ENSG00000204653.10
chr19	1485	1746	-	ENST00000389208.9	intron	ENSG00000204653.10
chr19	1746	1890	-	ENST00000389208.9	CDS	ENSG00000204653.10
chr19	1890	2246	-	ENST00000389208.9	intron	ENSG00000204653.10
chr19	2246	2300	-	ENST00000389208.9	CDS	ENSG00000204653.10
chr19	2301	2387	-	ENST00000389208.9	UTR	NA
chr19	2	206	-	ONT19.575.100112	UTR	NA
chr19	207	247	-	ONT19.575.100112	CDS	ASPDH
chr19	247	610	-	ONT19.575.100112	intron	ASPDH
chr19	610	757	-	ONT19.575.100112	CDS	ASPDH
chr19	758	764	-	ONT19.575.100112	UTR	NA
chr19	764	834	-	ONT19.575.100112	intron	NA
chr19	834	889	-	ONT19.575.100112	UTR	NA
chr19	66	206	-	ONT19.575.100117	UTR	NA
chr19	207	247	-	ONT19.575.100117	CDS	ASPDH
chr19	247	610	-	ONT19.575.100117	intron	ASPDH
chr19	610	764	-	ONT19.575.100117	CDS	ASPDH
chr19	764	834	-	ONT19.575.100117	intron	ASPDH
chr19	834	1054	-	ONT19.575.100117	CDS	ASPDH
chr19	1054	1401	-	ONT19.575.100117	intron	ASPDH
chr19	1401	1485	-	ONT19.575.100117	CDS	ASPDH
chr19	1485	1746	-	ONT19.575.100117	intron	ASPDH
chr19	1746	1807	-	ONT19.575.100117	CDS	ASPDH
chr19	1808	1890	-	ONT19.575.100117	UTR	NA
chr19	1890	2727	-	ONT19.575.100117	intron	NA
chr19	2727	2911	-	ONT19.575.100117	UTR	NA
chr19	78	206	-	ONT19.575.100120	UTR	NA
chr19	207	247	-	ONT19.575.100120	CDS	ASPDH
chr19	247	610	-	ONT19.575.100120	intron	ASPDH
chr19	610	764	-	ONT19.575.100120	CDS	ASPDH
chr19	764	834	-	ONT19.575.100120	intron	ASPDH
chr19	834	1054	-	ONT19.575.100120	CDS	ASPDH
chr19	1054	1135	-	ONT19.575.100120	intron	ASPDH
chr19	1135	1284	-	ONT19.575.100120	CDS	ASPDH
chr19	1284	1401	-	ONT19.575.100120	intron	ASPDH
chr19	1401	1485	-	ONT19.575.100120	CDS	ASPDH
chr19	1485	2952	-	ONT19.575.100120	intron	ASPDH
chr19	2952	2986	-	ONT19.575.100120	CDS	ASPDH
chr19	2987	3156	-	ONT19.575.100120	UTR	NA
chr19	82	206	-	ONT19.575.100129	UTR	NA
chr19	207	247	-	ONT19.575.100129	CDS	ASPDH
chr19	247	610	-	ONT19.575.100129	intron	ASPDH
chr19	610	764	-	ONT19.575.100129	CDS	ASPDH
chr19	764	2952	-	ONT19.575.100129	intron	ASPDH
chr19	2952	2986	-	ONT19.575.100129	CDS	ASPDH
chr19	2987	3177	-	ONT19.575.100129	UTR	NA
chr19	78	206	-	ONT19.575.100130	UTR	NA
chr19	207	247	-	ONT19.575.100130	CDS	ASPDH
chr19	247	610	-	ONT19.575.100130	intron	ASPDH
chr19	610	764	-	ONT19.575.100130	CDS	ASPDH
chr19	764	834	-	ONT19.575.100130	intron	ASPDH
chr19	834	1054	-	ONT19.575.100130	CDS	ASPDH
chr19	1054	1135	-	ONT19.575.100130	intron	ASPDH
chr19	1135	1284	-	ONT19.575.100130	CDS	ASPDH
chr19	1284	1401	-	ONT19.575.100130	intron	ASPDH
chr19	1401	1485	-	ONT19.575.100130	CDS	ASPDH
chr19	1485	1746	-	ONT19.575.100130	intron	ASPDH
chr19	1746	1890	-	ONT19.575.100130	CDS	ASPDH
chr19	1890	2965	-	ONT19.575.100130	intron	ASPDH
chr19	2965	2986	-	ONT19.575.100130	CDS	ASPDH
chr19	2987	3145	-	ONT19.575.100130	UTR	NA
chr19	78	206	-	ONT19.575.100131	UTR	NA
chr19	207	247	-	ONT19.575.100131	CDS	ASPDH
chr19	247	610	-	ONT19.575.100131	intron	ASPDH
chr19	610	764	-	ONT19.575.100131	CDS	ASPDH
chr19	764	834	-	ONT19.575.100131	intron	ASPDH
chr19	834	1054	-	ONT19.575.100131	CDS	ASPDH
chr19	1054	1401	-	ONT19.575.100131	intron	ASPDH
chr19	1401	1485	-	ONT19.575.100131	CDS	ASPDH
chr19	1485	2952	-	ONT19.575.100131	intron	ASPDH
chr19	2952	2986	-	ONT19.575.100131	CDS	ASPDH
chr19	2987	3101	-	ONT19.575.100131	UTR	NA
chr19	78	206	-	ONT19.575.100133	UTR	NA
chr19	207	247	-	ONT19.575.100133	CDS	ASPDH
chr19	247	610	-	ONT19.575.100133	intron	ASPDH
chr19	610	757	-	ONT19.575.100133	CDS	ASPDH
chr19	758	764	-	ONT19.575.100133	UTR	NA
chr19	764	2965	-	ONT19.575.100133	intron	NA
chr19	2965	3170	-	ONT19.575.100133	UTR	NA
chr19	80	108	-	ONT19.575.100135	UTR	NA
chr19	109	247	-	ONT19.575.100135	CDS	ASPDH
chr19	247	834	-	ONT19.575.100135	intron	ASPDH
chr19	834	1054	-	ONT19.575.100135	CDS	ASPDH
chr19	1054	1401	-	ONT19.575.100135	intron	ASPDH
chr19	1401	1485	-	ONT19.575.100135	CDS	ASPDH
chr19	1485	2952	-	ONT19.575.100135	intron	ASPDH
chr19	2952	2986	-	ONT19.575.100135	CDS	ASPDH
chr19	2987	3199	-	ONT19.575.100135	UTR	NA
chr19	78	247	-	ONT19.575.100140	UTR	NA
chr19	247	610	-	ONT19.575.100140	intron	NA
chr19	610	832	-	ONT19.575.100140	UTR	NA
chr19	833	1054	-	ONT19.575.100140	CDS	ASPDH
chr19	1054	1401	-	ONT19.575.100140	intron	ASPDH
chr19	1401	1485	-	ONT19.575.100140	CDS	ASPDH
chr19	1485	2952	-	ONT19.575.100140	intron	ASPDH
chr19	2952	2986	-	ONT19.575.100140	CDS	ASPDH
chr19	2987	3141	-	ONT19.575.100140	UTR	NA
chr19	75	206	-	ONT19.575.100143	UTR	NA
chr19	207	247	-	ONT19.575.100143	CDS	ASPDH
chr19	247	610	-	ONT19.575.100143	intron	ASPDH
chr19	610	764	-	ONT19.575.100143	CDS	ASPDH
chr19	764	834	-	ONT19.575.100143	intron	ASPDH
chr19	834	1054	-	ONT19.575.100143	CDS	ASPDH
chr19	1054	1401	-	ONT19.575.100143	intron	ASPDH
chr19	1401	1485	-	ONT19.575.100143	CDS	ASPDH
chr19	1485	1746	-	ONT19.575.100143	intron	ASPDH
chr19	1746	1890	-	ONT19.575.100143	CDS	ASPDH
chr19	1890	2965	-	ONT19.575.100143	intron	ASPDH
chr19	2965	2986	-	ONT19.575.100143	CDS	ASPDH
chr19	2987	3130	-	ONT19.575.100143	UTR	NA
chr19	79	206	-	ONT19.575.100145	UTR	NA
chr19	207	247	-	ONT19.575.100145	CDS	ASPDH
chr19	247	610	-	ONT19.575.100145	intron	ASPDH
chr19	610	764	-	ONT19.575.100145	CDS	ASPDH
chr19	764	834	-	ONT19.575.100145	intron	ASPDH
