seqnames	start	end	strand	transcript_id	type	gene_id
chr17	407	572	+	ENST00000314728.10	UTR	NA
chr17	572	1790	+	ENST00000314728.10	intron	NA
chr17	1790	1912	+	ENST00000314728.10	UTR	NA
chr17	1912	2019	+	ENST00000314728.10	intron	NA
chr17	2019	2188	+	ENST00000314728.10	UTR	NA
chr17	2189	2783	+	ENST00000314728.10	CDS	ENSG00000072134.16
chr17	2783	4689	+	ENST00000314728.10	intron	ENSG00000072134.16
chr17	4689	4859	+	ENST00000314728.10	CDS	ENSG00000072134.16
chr17	4859	5475	+	ENST00000314728.10	intron	ENSG00000072134.16
chr17	5475	5587	+	ENST00000314728.10	CDS	ENSG00000072134.16
chr17	5587	5692	+	ENST00000314728.10	intron	ENSG00000072134.16
chr17	5692	5784	+	ENST00000314728.10	CDS	ENSG00000072134.16
chr17	5784	6243	+	ENST00000314728.10	intron	ENSG00000072134.16
chr17	6243	6417	+	ENST00000314728.10	CDS	ENSG00000072134.16
chr17	6417	8445	+	ENST00000314728.10	intron	ENSG00000072134.16
chr17	8445	8621	+	ENST00000314728.10	CDS	ENSG00000072134.16
chr17	8621	9295	+	ENST00000314728.10	intron	ENSG00000072134.16
chr17	9295	9381	+	ENST00000314728.10	CDS	ENSG00000072134.16
chr17	9381	11587	+	ENST00000314728.10	intron	ENSG00000072134.16
chr17	11587	11802	+	ENST00000314728.10	CDS	ENSG00000072134.16
chr17	11802	13690	+	ENST00000314728.10	intron	ENSG00000072134.16
chr17	13690	13991	+	ENST00000314728.10	CDS	ENSG00000072134.16
chr17	13992	16449	+	ENST00000314728.10	UTR	NA
chr17	2	116	+	ONT17.554.23549	UTR	NA
chr17	116	5475	+	ONT17.554.23549	intron	NA
chr17	5475	5563	+	ONT17.554.23549	UTR	NA
chr17	5564	5587	+	ONT17.554.23549	CDS	EPN2
chr17	5587	5692	+	ONT17.554.23549	intron	EPN2
chr17	5692	5784	+	ONT17.554.23549	CDS	EPN2
chr17	5784	6243	+	ONT17.554.23549	intron	EPN2
chr17	6243	6417	+	ONT17.554.23549	CDS	EPN2
chr17	6417	8445	+	ONT17.554.23549	intron	EPN2
chr17	8445	8621	+	ONT17.554.23549	CDS	EPN2
chr17	8621	9295	+	ONT17.554.23549	intron	EPN2
chr17	9295	9381	+	ONT17.554.23549	CDS	EPN2
chr17	9381	11587	+	ONT17.554.23549	intron	EPN2
chr17	11587	11802	+	ONT17.554.23549	CDS	EPN2
chr17	11802	13690	+	ONT17.554.23549	intron	EPN2
chr17	13690	13988	+	ONT17.554.23549	CDS	EPN2
chr17	13989	16449	+	ONT17.554.23549	UTR	NA
chr17	3	116	+	ONT17.554.23554	UTR	NA
chr17	116	1790	+	ONT17.554.23554	intron	NA
chr17	1790	1912	+	ONT17.554.23554	UTR	NA
chr17	1912	2019	+	ONT17.554.23554	intron	NA
chr17	2019	2188	+	ONT17.554.23554	UTR	NA
chr17	2189	2783	+	ONT17.554.23554	CDS	EPN2
chr17	2783	5475	+	ONT17.554.23554	intron	EPN2
chr17	5475	5587	+	ONT17.554.23554	CDS	EPN2
chr17	5587	5692	+	ONT17.554.23554	intron	EPN2
chr17	5692	5784	+	ONT17.554.23554	CDS	EPN2
chr17	5784	6261	+	ONT17.554.23554	intron	EPN2
chr17	6261	6417	+	ONT17.554.23554	CDS	EPN2
chr17	6417	8445	+	ONT17.554.23554	intron	EPN2
chr17	8445	8621	+	ONT17.554.23554	CDS	EPN2
chr17	8621	9295	+	ONT17.554.23554	intron	EPN2
chr17	9295	9381	+	ONT17.554.23554	CDS	EPN2
chr17	9381	10348	+	ONT17.554.23554	intron	EPN2
chr17	10348	10364	+	ONT17.554.23554	CDS	EPN2
chr17	10365	11377	+	ONT17.554.23554	UTR	NA
chr17	24	116	+	ONT17.554.23556	UTR	NA
chr17	116	1790	+	ONT17.554.23556	intron	NA
chr17	1790	1912	+	ONT17.554.23556	UTR	NA
chr17	1912	2019	+	ONT17.554.23556	intron	NA
chr17	2019	2188	+	ONT17.554.23556	UTR	NA
chr17	2189	2783	+	ONT17.554.23556	CDS	EPN2
chr17	2783	5475	+	ONT17.554.23556	intron	EPN2
chr17	5475	5587	+	ONT17.554.23556	CDS	EPN2
chr17	5587	5692	+	ONT17.554.23556	intron	EPN2
chr17	5692	5784	+	ONT17.554.23556	CDS	EPN2
chr17	5784	6261	+	ONT17.554.23556	intron	EPN2
chr17	6261	6417	+	ONT17.554.23556	CDS	EPN2
chr17	6417	8445	+	ONT17.554.23556	intron	EPN2
chr17	8445	8621	+	ONT17.554.23556	CDS	EPN2
chr17	8621	9295	+	ONT17.554.23556	intron	EPN2
chr17	9295	9381	+	ONT17.554.23556	CDS	EPN2
chr17	9381	11587	+	ONT17.554.23556	intron	EPN2
chr17	11587	11802	+	ONT17.554.23556	CDS	EPN2
chr17	11802	13690	+	ONT17.554.23556	intron	EPN2
chr17	13690	13988	+	ONT17.554.23556	CDS	EPN2
chr17	13989	16449	+	ONT17.554.23556	UTR	NA
chr17	15	116	+	ONT17.554.23557	UTR	NA
chr17	116	1790	+	ONT17.554.23557	intron	NA
chr17	1790	1912	+	ONT17.554.23557	UTR	NA
chr17	1912	2019	+	ONT17.554.23557	intron	NA
chr17	2019	2188	+	ONT17.554.23557	UTR	NA
chr17	2189	2783	+	ONT17.554.23557	CDS	EPN2
chr17	2783	5475	+	ONT17.554.23557	intron	EPN2
chr17	5475	5587	+	ONT17.554.23557	CDS	EPN2
chr17	5587	5692	+	ONT17.554.23557	intron	EPN2
chr17	5692	5784	+	ONT17.554.23557	CDS	EPN2
chr17	5784	6243	+	ONT17.554.23557	intron	EPN2
chr17	6243	6417	+	ONT17.554.23557	CDS	EPN2
chr17	6417	8445	+	ONT17.554.23557	intron	EPN2
chr17	8445	8621	+	ONT17.554.23557	CDS	EPN2
chr17	8621	9295	+	ONT17.554.23557	intron	EPN2
chr17	9295	9381	+	ONT17.554.23557	CDS	EPN2
chr17	9381	11587	+	ONT17.554.23557	intron	EPN2
chr17	11587	11802	+	ONT17.554.23557	CDS	EPN2
chr17	11802	13690	+	ONT17.554.23557	intron	EPN2
chr17	13690	13988	+	ONT17.554.23557	CDS	EPN2
chr17	13989	16448	+	ONT17.554.23557	UTR	NA
chr17	18	116	+	ONT17.554.23572	UTR	NA
chr17	116	1790	+	ONT17.554.23572	intron	NA
chr17	1790	1912	+	ONT17.554.23572	UTR	NA
chr17	1912	2019	+	ONT17.554.23572	intron	NA
chr17	2019	2188	+	ONT17.554.23572	UTR	NA
chr17	2189	2783	+	ONT17.554.23572	CDS	EPN2
chr17	2783	4689	+	ONT17.554.23572	intron	EPN2
chr17	4689	4859	+	ONT17.554.23572	CDS	EPN2
chr17	4859	5475	+	ONT17.554.23572	intron	EPN2
chr17	5475	5587	+	ONT17.554.23572	CDS	EPN2
chr17	5587	5692	+	ONT17.554.23572	intron	EPN2
chr17	5692	5784	+	ONT17.554.23572	CDS	EPN2
chr17	5784	6243	+	ONT17.554.23572	intron	EPN2
chr17	6243	6417	+	ONT17.554.23572	CDS	EPN2
chr17	6417	8445	+	ONT17.554.23572	intron	EPN2
chr17	8445	8621	+	ONT17.554.23572	CDS	EPN2
chr17	8621	9295	+	ONT17.554.23572	intron	EPN2
chr17	9295	9381	+	ONT17.554.23572	CDS	EPN2
chr17	9381	11587	+	ONT17.554.23572	intron	EPN2
chr17	11587	11802	+	ONT17.554.23572	CDS	EPN2
