seqnames	start	end	strand	transcript_id	type	gene_id
chr14	2	1333	-	ENST00000361246.7	UTR	NA
chr14	1334	1465	-	ENST00000361246.7	CDS	ENSG00000198752.11
chr14	1465	1566	-	ENST00000361246.7	intron	ENSG00000198752.11
chr14	1566	1636	-	ENST00000361246.7	CDS	ENSG00000198752.11
chr14	1636	1737	-	ENST00000361246.7	intron	ENSG00000198752.11
chr14	1737	1842	-	ENST00000361246.7	CDS	ENSG00000198752.11
chr14	1842	1943	-	ENST00000361246.7	intron	ENSG00000198752.11
chr14	1943	2060	-	ENST00000361246.7	CDS	ENSG00000198752.11
chr14	2060	2161	-	ENST00000361246.7	intron	ENSG00000198752.11
chr14	2161	2278	-	ENST00000361246.7	CDS	ENSG00000198752.11
chr14	2278	2377	-	ENST00000361246.7	intron	ENSG00000198752.11
chr14	2377	2461	-	ENST00000361246.7	CDS	ENSG00000198752.11
chr14	2461	2558	-	ENST00000361246.7	intron	ENSG00000198752.11
chr14	2558	2655	-	ENST00000361246.7	CDS	ENSG00000198752.11
chr14	2655	2756	-	ENST00000361246.7	intron	ENSG00000198752.11
chr14	2756	3352	-	ENST00000361246.7	CDS	ENSG00000198752.11
chr14	3352	3453	-	ENST00000361246.7	intron	ENSG00000198752.11
chr14	3453	3515	-	ENST00000361246.7	CDS	ENSG00000198752.11
chr14	3515	3616	-	ENST00000361246.7	intron	ENSG00000198752.11
chr14	3616	3832	-	ENST00000361246.7	CDS	ENSG00000198752.11
chr14	3832	3933	-	ENST00000361246.7	intron	ENSG00000198752.11
chr14	3933	4014	-	ENST00000361246.7	CDS	ENSG00000198752.11
chr14	4014	4115	-	ENST00000361246.7	intron	ENSG00000198752.11
chr14	4115	4254	-	ENST00000361246.7	CDS	ENSG00000198752.11
chr14	4254	4355	-	ENST00000361246.7	intron	ENSG00000198752.11
chr14	4355	4491	-	ENST00000361246.7	CDS	ENSG00000198752.11
chr14	4491	4592	-	ENST00000361246.7	intron	ENSG00000198752.11
chr14	4592	4697	-	ENST00000361246.7	CDS	ENSG00000198752.11
chr14	4697	4798	-	ENST00000361246.7	intron	ENSG00000198752.11
chr14	4798	4875	-	ENST00000361246.7	CDS	ENSG00000198752.11
chr14	4875	4976	-	ENST00000361246.7	intron	ENSG00000198752.11
chr14	4976	5062	-	ENST00000361246.7	CDS	ENSG00000198752.11
chr14	5062	5163	-	ENST00000361246.7	intron	ENSG00000198752.11
chr14	5163	5242	-	ENST00000361246.7	CDS	ENSG00000198752.11
chr14	5242	5343	-	ENST00000361246.7	intron	ENSG00000198752.11
chr14	5343	5437	-	ENST00000361246.7	CDS	ENSG00000198752.11
chr14	5437	5538	-	ENST00000361246.7	intron	ENSG00000198752.11
chr14	5538	5686	-	ENST00000361246.7	CDS	ENSG00000198752.11
chr14	5686	5787	-	ENST00000361246.7	intron	ENSG00000198752.11
chr14	5787	5892	-	ENST00000361246.7	CDS	ENSG00000198752.11
chr14	5892	5993	-	ENST00000361246.7	intron	ENSG00000198752.11
chr14	5993	6117	-	ENST00000361246.7	CDS	ENSG00000198752.11
chr14	6117	6218	-	ENST00000361246.7	intron	ENSG00000198752.11
chr14	6218	6323	-	ENST00000361246.7	CDS	ENSG00000198752.11
chr14	6323	6437	-	ENST00000361246.7	intron	ENSG00000198752.11
chr14	6437	6681	-	ENST00000361246.7	CDS	ENSG00000198752.11
chr14	6681	6785	-	ENST00000361246.7	intron	ENSG00000198752.11
chr14	6785	6895	-	ENST00000361246.7	CDS	ENSG00000198752.11
chr14	6895	6996	-	ENST00000361246.7	intron	ENSG00000198752.11
chr14	6996	7238	-	ENST00000361246.7	CDS	ENSG00000198752.11
chr14	7238	7343	-	ENST00000361246.7	intron	ENSG00000198752.11
chr14	7343	7476	-	ENST00000361246.7	CDS	ENSG00000198752.11
chr14	7476	7577	-	ENST00000361246.7	intron	ENSG00000198752.11
chr14	7577	7696	-	ENST00000361246.7	CDS	ENSG00000198752.11
chr14	7696	7776	-	ENST00000361246.7	intron	ENSG00000198752.11
chr14	7776	7942	-	ENST00000361246.7	CDS	ENSG00000198752.11
chr14	7942	8706	-	ENST00000361246.7	intron	ENSG00000198752.11
chr14	8706	8785	-	ENST00000361246.7	CDS	ENSG00000198752.11
chr14	8785	8886	-	ENST00000361246.7	intron	ENSG00000198752.11
chr14	8886	9134	-	ENST00000361246.7	CDS	ENSG00000198752.11
chr14	9134	9235	-	ENST00000361246.7	intron	ENSG00000198752.11
chr14	9235	9435	-	ENST00000361246.7	CDS	ENSG00000198752.11
chr14	9435	9540	-	ENST00000361246.7	intron	ENSG00000198752.11
chr14	9540	9633	-	ENST00000361246.7	CDS	ENSG00000198752.11
chr14	9633	9734	-	ENST00000361246.7	intron	ENSG00000198752.11
chr14	9734	9882	-	ENST00000361246.7	CDS	ENSG00000198752.11
chr14	9882	9983	-	ENST00000361246.7	intron	ENSG00000198752.11
chr14	9983	10078	-	ENST00000361246.7	CDS	ENSG00000198752.11
chr14	10078	10179	-	ENST00000361246.7	intron	ENSG00000198752.11
chr14	10179	10262	-	ENST00000361246.7	CDS	ENSG00000198752.11
chr14	10262	10363	-	ENST00000361246.7	intron	ENSG00000198752.11
chr14	10363	10454	-	ENST00000361246.7	CDS	ENSG00000198752.11
chr14	10454	10555	-	ENST00000361246.7	intron	ENSG00000198752.11
chr14	10555	10732	-	ENST00000361246.7	CDS	ENSG00000198752.11
chr14	10733	11105	-	ENST00000361246.7	UTR	NA
chr14	5	1336	-	ONT14.3644.23700	UTR	NA
chr14	1337	1465	-	ONT14.3644.23700	CDS	CDC42BPB
chr14	1465	1566	-	ONT14.3644.23700	intron	CDC42BPB
chr14	1566	1636	-	ONT14.3644.23700	CDS	CDC42BPB
chr14	1636	1737	-	ONT14.3644.23700	intron	CDC42BPB
chr14	1737	1842	-	ONT14.3644.23700	CDS	CDC42BPB
chr14	1842	1943	-	ONT14.3644.23700	intron	CDC42BPB
chr14	1943	1972	-	ONT14.3644.23700	CDS	CDC42BPB
chr14	1973	1984	-	ONT14.3644.23700	UTR	NA
chr14	16	1336	-	ONT14.3644.23703	UTR	NA
chr14	1337	1465	-	ONT14.3644.23703	CDS	CDC42BPB
chr14	1465	1566	-	ONT14.3644.23703	intron	CDC42BPB
chr14	1566	1636	-	ONT14.3644.23703	CDS	CDC42BPB
chr14	1636	1737	-	ONT14.3644.23703	intron	CDC42BPB
chr14	1737	1842	-	ONT14.3644.23703	CDS	CDC42BPB
chr14	1842	1943	-	ONT14.3644.23703	intron	CDC42BPB
chr14	1943	2060	-	ONT14.3644.23703	CDS	CDC42BPB
chr14	2060	2161	-	ONT14.3644.23703	intron	CDC42BPB
chr14	2161	2234	-	ONT14.3644.23703	CDS	CDC42BPB
chr14	2235	2286	-	ONT14.3644.23703	UTR	NA
chr14	23	1336	-	ONT14.3644.23724	UTR	NA
chr14	1337	1465	-	ONT14.3644.23724	CDS	CDC42BPB
chr14	1465	1566	-	ONT14.3644.23724	intron	CDC42BPB
chr14	1566	1636	-	ONT14.3644.23724	CDS	CDC42BPB
chr14	1636	1737	-	ONT14.3644.23724	intron	CDC42BPB
chr14	1737	1842	-	ONT14.3644.23724	CDS	CDC42BPB
chr14	1842	1943	-	ONT14.3644.23724	intron	CDC42BPB
chr14	1943	2060	-	ONT14.3644.23724	CDS	CDC42BPB
chr14	2060	2161	-	ONT14.3644.23724	intron	CDC42BPB
chr14	2161	2278	-	ONT14.3644.23724	CDS	CDC42BPB
chr14	2278	2377	-	ONT14.3644.23724	intron	CDC42BPB
chr14	2377	2461	-	ONT14.3644.23724	CDS	CDC42BPB
chr14	2461	2558	-	ONT14.3644.23724	intron	CDC42BPB
chr14	2558	2593	-	ONT14.3644.23724	CDS	CDC42BPB
chr14	2594	2638	-	ONT14.3644.23724	UTR	NA
chr14	3	1336	-	ONT14.3644.23733	UTR	NA
chr14	1337	1465	-	ONT14.3644.23733	CDS	CDC42BPB
chr14	1465	1566	-	ONT14.3644.23733	intron	CDC42BPB
chr14	1566	1636	-	ONT14.3644.23733	CDS	CDC42BPB
chr14	1636	1737	-	ONT14.3644.23733	intron	CDC42BPB
chr14	1737	1842	-	ONT14.3644.23733	CDS	CDC42BPB
chr14	1842	1943	-	ONT14.3644.23733	intron	CDC42BPB
chr14	1943	2060	-	ONT14.3644.23733	CDS	CDC42BPB
chr14	2060	2161	-	ONT14.3644.23733	intron	CDC42BPB
chr14	2161	2278	-	ONT14.3644.23733	CDS	CDC42BPB
chr14	2278	2377	-	ONT14.3644.23733	intron	CDC42BPB
chr14	2377	2461	-	ONT14.3644.23733	CDS	CDC42BPB
chr14	2461	2558	-	ONT14.3644.23733	intron	CDC42BPB
chr14	2558	2655	-	ONT14.3644.23733	CDS	CDC42BPB
chr14	2655	2756	-	ONT14.3644.23733	intron	CDC42BPB
chr14	2756	2837	-	ONT14.3644.23733	CDS	CDC42BPB
chr14	2838	3000	-	ONT14.3644.23733	UTR	NA
chr14	16	1336	-	ONT14.3644.23773	UTR	NA
chr14	1337	1465	-	ONT14.3644.23773	CDS	CDC42BPB
chr14	1465	1566	-	ONT14.3644.23773	intron	CDC42BPB
chr14	1566	1636	-	ONT14.3644.23773	CDS	CDC42BPB
chr14	1636	1737	-	ONT14.3644.23773	intron	CDC42BPB
chr14	1737	1842	-	ONT14.3644.23773	CDS	CDC42BPB
chr14	1842	1943	-	ONT14.3644.23773	intron	CDC42BPB
chr14	1943	2060	-	ONT14.3644.23773	CDS	CDC42BPB
chr14	2060	2161	-	ONT14.3644.23773	intron	CDC42BPB
chr14	2161	2278	-	ONT14.3644.23773	CDS	CDC42BPB
chr14	2278	2377	-	ONT14.3644.23773	intron	CDC42BPB
chr14	2377	2461	-	ONT14.3644.23773	CDS	CDC42BPB
chr14	2461	2558	-	ONT14.3644.23773	intron	CDC42BPB
chr14	2558	2655	-	ONT14.3644.23773	CDS	CDC42BPB
chr14	2655	2756	-	ONT14.3644.23773	intron	CDC42BPB
chr14	2756	3352	-	ONT14.3644.23773	CDS	CDC42BPB
chr14	3352	3453	-	ONT14.3644.23773	intron	CDC42BPB
chr14	3453	3515	-	ONT14.3644.23773	CDS	CDC42BPB
chr14	3515	3616	-	ONT14.3644.23773	intron	CDC42BPB
chr14	3616	3832	-	ONT14.3644.23773	CDS	CDC42BPB
chr14	3832	3933	-	ONT14.3644.23773	intron	CDC42BPB
chr14	3933	4014	-	ONT14.3644.23773	CDS	CDC42BPB
chr14	4014	4115	-	ONT14.3644.23773	intron	CDC42BPB
chr14	4115	4254	-	ONT14.3644.23773	CDS	CDC42BPB
chr14	4254	4355	-	ONT14.3644.23773	intron	CDC42BPB
chr14	4355	4491	-	ONT14.3644.23773	CDS	CDC42BPB
chr14	4491	4592	-	ONT14.3644.23773	intron	CDC42BPB
chr14	4592	4631	-	ONT14.3644.23773	CDS	CDC42BPB
chr14	4632	4689	-	ONT14.3644.23773	UTR	NA
chr14	1241	1336	-	ONT14.3644.23792	UTR	NA
chr14	1337	1465	-	ONT14.3644.23792	CDS	CDC42BPB
chr14	1465	1566	-	ONT14.3644.23792	intron	CDC42BPB
chr14	1566	1636	-	ONT14.3644.23792	CDS	CDC42BPB
chr14	1636	1737	-	ONT14.3644.23792	intron	CDC42BPB
chr14	1737	1842	-	ONT14.3644.23792	CDS	CDC42BPB
chr14	1842	1943	-	ONT14.3644.23792	intron	CDC42BPB
chr14	1943	1990	-	ONT14.3644.23792	CDS	CDC42BPB
chr14	1991	2024	-	ONT14.3644.23792	UTR	NA
chr14	5389	5437	-	ONT14.3644.24016	UTR	NA
chr14	5437	5538	-	ONT14.3644.24016	intron	NA
chr14	5538	5686	-	ONT14.3644.24016	UTR	NA
chr14	5686	5787	-	ONT14.3644.24016	intron	NA
chr14	5787	5892	-	ONT14.3644.24016	UTR	NA
chr14	5892	5993	-	ONT14.3644.24016	intron	NA
chr14	5993	6117	-	ONT14.3644.24016	UTR	NA
chr14	6117	6218	-	ONT14.3644.24016	intron	NA
chr14	6218	6435	-	ONT14.3644.24016	UTR	NA
chr14	6436	6681	-	ONT14.3644.24016	CDS	CDC42BPB
chr14	6681	6785	-	ONT14.3644.24016	intron	CDC42BPB
chr14	6785	6895	-	ONT14.3644.24016	CDS	CDC42BPB
chr14	6895	6996	-	ONT14.3644.24016	intron	CDC42BPB
chr14	6996	7238	-	ONT14.3644.24016	CDS	CDC42BPB
chr14	7238	7343	-	ONT14.3644.24016	intron	CDC42BPB
chr14	7343	7476	-	ONT14.3644.24016	CDS	CDC42BPB
chr14	7476	7577	-	ONT14.3644.24016	intron	CDC42BPB
chr14	7577	7696	-	ONT14.3644.24016	CDS	CDC42BPB
chr14	7696	7776	-	ONT14.3644.24016	intron	CDC42BPB
chr14	7776	7911	-	ONT14.3644.24016	CDS	CDC42BPB
chr14	7912	8605	-	ONT14.3644.24016	UTR	NA
chr14	6015	6117	-	ONT14.3644.24158	UTR	NA
chr14	6117	6218	-	ONT14.3644.24158	intron	NA
chr14	6218	6435	-	ONT14.3644.24158	UTR	NA
chr14	6436	6681	-	ONT14.3644.24158	CDS	CDC42BPB
chr14	6681	6785	-	ONT14.3644.24158	intron	CDC42BPB
chr14	6785	6895	-	ONT14.3644.24158	CDS	CDC42BPB
chr14	6895	6996	-	ONT14.3644.24158	intron	CDC42BPB
chr14	6996	7133	-	ONT14.3644.24158	CDS	CDC42BPB
chr14	7134	7238	-	ONT14.3644.24158	UTR	NA
chr14	7238	7343	-	ONT14.3644.24158	intron	NA
chr14	7343	7390	-	ONT14.3644.24158	UTR	NA
chr14	6272	6435	-	ONT14.3644.24201	UTR	NA
chr14	6436	6681	-	ONT14.3644.24201	CDS	CDC42BPB
chr14	6681	6785	-	ONT14.3644.24201	intron	CDC42BPB
chr14	6785	6895	-	ONT14.3644.24201	CDS	CDC42BPB
chr14	6895	6996	-	ONT14.3644.24201	intron	CDC42BPB
chr14	6996	7238	-	ONT14.3644.24201	CDS	CDC42BPB
chr14	7238	7343	-	ONT14.3644.24201	intron	CDC42BPB
chr14	7343	7476	-	ONT14.3644.24201	CDS	CDC42BPB
chr14	7476	7577	-	ONT14.3644.24201	intron	CDC42BPB
chr14	7577	7696	-	ONT14.3644.24201	CDS	CDC42BPB
chr14	7696	7776	-	ONT14.3644.24201	intron	CDC42BPB
chr14	7776	7911	-	ONT14.3644.24201	CDS	CDC42BPB
chr14	7912	7973	-	ONT14.3644.24201	UTR	NA
chr14	6287	6323	-	ONT14.3644.24224	UTR	NA
chr14	6323	6437	-	ONT14.3644.24224	intron	NA
chr14	6437	6681	-	ONT14.3644.24224	UTR	NA
chr14	6681	6785	-	ONT14.3644.24224	intron	NA
