seqnames	start	end	strand	transcript_id	type	gene_id
chr11	2	327	+	ENST00000520358.7	UTR	NA
chr11	327	430	+	ENST00000520358.7	intron	NA
chr11	430	516	+	ENST00000520358.7	UTR	NA
chr11	516	1936	+	ENST00000520358.7	intron	NA
chr11	1936	2077	+	ENST00000520358.7	UTR	NA
chr11	2077	2355	+	ENST00000520358.7	intron	NA
chr11	2355	2364	+	ENST00000520358.7	UTR	NA
chr11	2365	2427	+	ENST00000520358.7	CDS	ENSG00000157570.12
chr11	2427	2528	+	ENST00000520358.7	intron	ENSG00000157570.12
chr11	2528	2722	+	ENST00000520358.7	CDS	ENSG00000157570.12
chr11	2722	4520	+	ENST00000520358.7	intron	ENSG00000157570.12
chr11	4520	4594	+	ENST00000520358.7	CDS	ENSG00000157570.12
chr11	4594	4695	+	ENST00000520358.7	intron	ENSG00000157570.12
chr11	4695	4793	+	ENST00000520358.7	CDS	ENSG00000157570.12
chr11	4793	4894	+	ENST00000520358.7	intron	ENSG00000157570.12
chr11	4894	5076	+	ENST00000520358.7	CDS	ENSG00000157570.12
chr11	5076	5177	+	ENST00000520358.7	intron	ENSG00000157570.12
chr11	5177	5260	+	ENST00000520358.7	CDS	ENSG00000157570.12
chr11	5260	5361	+	ENST00000520358.7	intron	ENSG00000157570.12
chr11	5361	5411	+	ENST00000520358.7	CDS	ENSG00000157570.12
chr11	5412	8653	+	ENST00000520358.7	UTR	NA
chr11	159	327	+	ONT11.2804.13	UTR	NA
chr11	327	430	+	ONT11.2804.13	intron	NA
chr11	430	516	+	ONT11.2804.13	UTR	NA
chr11	516	1936	+	ONT11.2804.13	intron	NA
chr11	1936	2077	+	ONT11.2804.13	UTR	NA
chr11	2077	2355	+	ONT11.2804.13	intron	NA
chr11	2355	2364	+	ONT11.2804.13	UTR	NA
chr11	2365	2427	+	ONT11.2804.13	CDS	TSPAN18
chr11	2427	2528	+	ONT11.2804.13	intron	TSPAN18
chr11	2528	2722	+	ONT11.2804.13	CDS	TSPAN18
chr11	2722	4520	+	ONT11.2804.13	intron	TSPAN18
chr11	4520	4594	+	ONT11.2804.13	CDS	TSPAN18
chr11	4594	4695	+	ONT11.2804.13	intron	TSPAN18
chr11	4695	4793	+	ONT11.2804.13	CDS	TSPAN18
chr11	4793	4894	+	ONT11.2804.13	intron	TSPAN18
chr11	4894	5076	+	ONT11.2804.13	CDS	TSPAN18
chr11	5076	5177	+	ONT11.2804.13	intron	TSPAN18
chr11	5177	5260	+	ONT11.2804.13	CDS	TSPAN18
chr11	5260	5361	+	ONT11.2804.13	intron	TSPAN18
chr11	5361	5408	+	ONT11.2804.13	CDS	TSPAN18
chr11	5409	6743	+	ONT11.2804.13	UTR	NA
