seqnames	start	end	strand	transcript_id	type	gene_id
chr18	2	12222	-	ENST00000315087.12	UTR	NA
chr18	12223	12691	-	ENST00000315087.12	CDS	ENSG00000101638.14
chr18	12691	12796	-	ENST00000315087.12	intron	ENSG00000101638.14
chr18	12796	12888	-	ENST00000315087.12	CDS	ENSG00000101638.14
chr18	12888	12989	-	ENST00000315087.12	intron	ENSG00000101638.14
chr18	12989	13101	-	ENST00000315087.12	CDS	ENSG00000101638.14
chr18	13101	14423	-	ENST00000315087.12	intron	ENSG00000101638.14
chr18	14423	14567	-	ENST00000315087.12	CDS	ENSG00000101638.14
chr18	14567	16330	-	ENST00000315087.12	intron	ENSG00000101638.14
chr18	16330	16416	-	ENST00000315087.12	CDS	ENSG00000101638.14
chr18	16416	16754	-	ENST00000315087.12	intron	ENSG00000101638.14
chr18	16754	16846	-	ENST00000315087.12	CDS	ENSG00000101638.14
chr18	16846	17161	-	ENST00000315087.12	intron	ENSG00000101638.14
chr18	17161	17294	-	ENST00000315087.12	CDS	ENSG00000101638.14
chr18	17295	17836	-	ENST00000315087.12	UTR	NA
chr18	14780	16322	-	ONT18.2974.1010	UTR	NA
chr18	16323	16416	-	ONT18.2974.1010	CDS	ST8SIA5
chr18	16416	16754	-	ONT18.2974.1010	intron	ST8SIA5
chr18	16754	16846	-	ONT18.2974.1010	CDS	ST8SIA5
chr18	16846	17161	-	ONT18.2974.1010	intron	ST8SIA5
chr18	17161	17294	-	ONT18.2974.1010	CDS	ST8SIA5
chr18	17295	17455	-	ONT18.2974.1010	UTR	NA
chr18	11292	12415	-	ONT18.2974.647	UTR	NA
chr18	12416	12691	-	ONT18.2974.647	CDS	ST8SIA5
chr18	12691	12792	-	ONT18.2974.647	intron	ST8SIA5
chr18	12792	12888	-	ONT18.2974.647	CDS	ST8SIA5
chr18	12888	12989	-	ONT18.2974.647	intron	ST8SIA5
chr18	12989	13101	-	ONT18.2974.647	CDS	ST8SIA5
chr18	13101	14423	-	ONT18.2974.647	intron	ST8SIA5
chr18	14423	14567	-	ONT18.2974.647	CDS	ST8SIA5
chr18	14567	16330	-	ONT18.2974.647	intron	ST8SIA5
chr18	16330	16416	-	ONT18.2974.647	CDS	ST8SIA5
chr18	16416	17161	-	ONT18.2974.647	intron	ST8SIA5
chr18	17161	17294	-	ONT18.2974.647	CDS	ST8SIA5
chr18	17295	17596	-	ONT18.2974.647	UTR	NA
chr18	11302	12225	-	ONT18.2974.648	UTR	NA
chr18	12226	12691	-	ONT18.2974.648	CDS	ST8SIA5
chr18	12691	12796	-	ONT18.2974.648	intron	ST8SIA5
chr18	12796	12888	-	ONT18.2974.648	CDS	ST8SIA5
chr18	12888	12989	-	ONT18.2974.648	intron	ST8SIA5
chr18	12989	13101	-	ONT18.2974.648	CDS	ST8SIA5
chr18	13101	14423	-	ONT18.2974.648	intron	ST8SIA5
chr18	14423	14567	-	ONT18.2974.648	CDS	ST8SIA5
chr18	14567	16330	-	ONT18.2974.648	intron	ST8SIA5
chr18	16330	16416	-	ONT18.2974.648	CDS	ST8SIA5
chr18	16416	16754	-	ONT18.2974.648	intron	ST8SIA5
chr18	16754	16846	-	ONT18.2974.648	CDS	ST8SIA5
chr18	16846	17161	-	ONT18.2974.648	intron	ST8SIA5
chr18	17161	17294	-	ONT18.2974.648	CDS	ST8SIA5
chr18	17295	17833	-	ONT18.2974.648	UTR	NA
chr18	11304	12225	-	ONT18.2974.650	UTR	NA
chr18	12226	12691	-	ONT18.2974.650	CDS	ST8SIA5
chr18	12691	12796	-	ONT18.2974.650	intron	ST8SIA5
chr18	12796	12888	-	ONT18.2974.650	CDS	ST8SIA5
chr18	12888	12989	-	ONT18.2974.650	intron	ST8SIA5
chr18	12989	13101	-	ONT18.2974.650	CDS	ST8SIA5
