seqnames	start	end	strand	transcript_id	type	gene_id
chr6	6	250	-	ENST00000388752.8	UTR	NA
chr6	251	463	-	ENST00000388752.8	CDS	ENSG00000112651.12
chr6	463	1522	-	ENST00000388752.8	intron	ENSG00000112651.12
chr6	1522	1595	-	ENST00000388752.8	CDS	ENSG00000112651.12
chr6	1595	1874	-	ENST00000388752.8	intron	ENSG00000112651.12
chr6	1874	1984	-	ENST00000388752.8	CDS	ENSG00000112651.12
chr6	1984	2058	-	ENST00000388752.8	intron	ENSG00000112651.12
chr6	2058	2173	-	ENST00000388752.8	CDS	ENSG00000112651.12
chr6	2173	2284	-	ENST00000388752.8	intron	ENSG00000112651.12
chr6	2284	2422	-	ENST00000388752.8	CDS	ENSG00000112651.12
chr6	2422	4042	-	ENST00000388752.8	intron	ENSG00000112651.12
chr6	4042	4210	-	ENST00000388752.8	CDS	ENSG00000112651.12
chr6	4210	4807	-	ENST00000388752.8	intron	ENSG00000112651.12
chr6	4807	4905	-	ENST00000388752.8	CDS	ENSG00000112651.12
chr6	4906	4955	-	ENST00000388752.8	UTR	NA
chr6	2	253	-	ONT6.2049.19864	UTR	NA
chr6	254	463	-	ONT6.2049.19864	CDS	MRPL2
chr6	463	1522	-	ONT6.2049.19864	intron	MRPL2
chr6	1522	1595	-	ONT6.2049.19864	CDS	MRPL2
chr6	1595	1874	-	ONT6.2049.19864	intron	MRPL2
chr6	1874	1984	-	ONT6.2049.19864	CDS	MRPL2
chr6	1984	2058	-	ONT6.2049.19864	intron	MRPL2
chr6	2058	2173	-	ONT6.2049.19864	CDS	MRPL2
chr6	2173	2284	-	ONT6.2049.19864	intron	MRPL2
chr6	2284	2422	-	ONT6.2049.19864	CDS	MRPL2
chr6	2422	4042	-	ONT6.2049.19864	intron	MRPL2
chr6	4042	4210	-	ONT6.2049.19864	CDS	MRPL2
chr6	4210	4807	-	ONT6.2049.19864	intron	MRPL2
chr6	4807	4905	-	ONT6.2049.19864	CDS	MRPL2
chr6	4906	4944	-	ONT6.2049.19864	UTR	NA
chr6	6	253	-	ONT6.2049.19869	UTR	NA
chr6	254	463	-	ONT6.2049.19869	CDS	MRPL2
chr6	463	1522	-	ONT6.2049.19869	intron	MRPL2
chr6	1522	1595	-	ONT6.2049.19869	CDS	MRPL2
chr6	1595	1874	-	ONT6.2049.19869	intron	MRPL2
chr6	1874	1984	-	ONT6.2049.19869	CDS	MRPL2
chr6	1984	2058	-	ONT6.2049.19869	intron	MRPL2
chr6	2058	2112	-	ONT6.2049.19869	CDS	MRPL2
chr6	2113	2175	-	ONT6.2049.19869	UTR	NA
chr6	12	253	-	ONT6.2049.19873	UTR	NA
chr6	254	463	-	ONT6.2049.19873	CDS	MRPL2
chr6	463	1522	-	ONT6.2049.19873	intron	MRPL2
chr6	1522	1595	-	ONT6.2049.19873	CDS	MRPL2
chr6	1595	1874	-	ONT6.2049.19873	intron	MRPL2
chr6	1874	1984	-	ONT6.2049.19873	CDS	MRPL2
chr6	1984	2058	-	ONT6.2049.19873	intron	MRPL2
chr6	2058	2173	-	ONT6.2049.19873	CDS	MRPL2
chr6	2173	2284	-	ONT6.2049.19873	intron	MRPL2
chr6	2284	2422	-	ONT6.2049.19873	CDS	MRPL2
chr6	2422	4042	-	ONT6.2049.19873	intron	MRPL2
chr6	4042	4213	-	ONT6.2049.19873	CDS	MRPL2
chr6	4213	5304	-	ONT6.2049.19873	intron	NA
chr6	5304	5519	-	ONT6.2049.19873	UTR	NA
chr6	6	253	-	ONT6.2049.19874	UTR	NA
chr6	254	463	-	ONT6.2049.19874	CDS	MRPL2
chr6	463	1522	-	ONT6.2049.19874	intron	MRPL2
chr6	1522	1595	-	ONT6.2049.19874	CDS	MRPL2
chr6	1595	1874	-	ONT6.2049.19874	intron	MRPL2
chr6	1874	1984	-	ONT6.2049.19874	CDS	MRPL2
chr6	1984	2058	-	ONT6.2049.19874	intron	MRPL2
chr6	2058	2173	-	ONT6.2049.19874	CDS	MRPL2
chr6	2173	2284	-	ONT6.2049.19874	intron	MRPL2
chr6	2284	2422	-	ONT6.2049.19874	CDS	MRPL2
chr6	2422	4042	-	ONT6.2049.19874	intron	MRPL2
chr6	4042	4213	-	ONT6.2049.19874	CDS	MRPL2
chr6	4213	4807	-	ONT6.2049.19874	intron	NA
chr6	4807	4858	-	ONT6.2049.19874	UTR	NA
chr6	6	253	-	ONT6.2049.19879	UTR	NA
chr6	254	463	-	ONT6.2049.19879	CDS	MRPL2
chr6	463	1522	-	ONT6.2049.19879	intron	MRPL2
chr6	1522	1595	-	ONT6.2049.19879	CDS	MRPL2
chr6	1595	1874	-	ONT6.2049.19879	intron	MRPL2
chr6	1874	1984	-	ONT6.2049.19879	CDS	MRPL2
chr6	1984	2058	-	ONT6.2049.19879	intron	MRPL2
chr6	2058	2173	-	ONT6.2049.19879	CDS	MRPL2
chr6	2173	2284	-	ONT6.2049.19879	intron	MRPL2
chr6	2284	2422	-	ONT6.2049.19879	CDS	MRPL2
chr6	2422	4042	-	ONT6.2049.19879	intron	MRPL2
chr6	4042	4213	-	ONT6.2049.19879	CDS	MRPL2
chr6	4213	5304	-	ONT6.2049.19879	intron	NA
chr6	5304	5365	-	ONT6.2049.19879	UTR	NA
chr6	6	253	-	ONT6.2049.19883	UTR	NA
chr6	254	463	-	ONT6.2049.19883	CDS	MRPL2
chr6	463	1522	-	ONT6.2049.19883	intron	MRPL2
chr6	1522	1595	-	ONT6.2049.19883	CDS	MRPL2
chr6	1595	1874	-	ONT6.2049.19883	intron	MRPL2
chr6	1874	1984	-	ONT6.2049.19883	CDS	MRPL2
chr6	1984	2058	-	ONT6.2049.19883	intron	MRPL2
chr6	2058	2173	-	ONT6.2049.19883	CDS	MRPL2
chr6	2173	2284	-	ONT6.2049.19883	intron	MRPL2
chr6	2284	2422	-	ONT6.2049.19883	CDS	MRPL2
chr6	2422	4042	-	ONT6.2049.19883	intron	MRPL2
chr6	4042	4210	-	ONT6.2049.19883	CDS	MRPL2
chr6	4210	4807	-	ONT6.2049.19883	intron	MRPL2
chr6	4807	4905	-	ONT6.2049.19883	CDS	MRPL2
chr6	4906	5338	-	ONT6.2049.19883	UTR	NA
chr6	150	253	-	ONT6.2049.19898	UTR	NA
chr6	254	463	-	ONT6.2049.19898	CDS	MRPL2
chr6	463	1522	-	ONT6.2049.19898	intron	MRPL2
chr6	1522	1595	-	ONT6.2049.19898	CDS	MRPL2
chr6	1595	1874	-	ONT6.2049.19898	intron	MRPL2
chr6	1874	1984	-	ONT6.2049.19898	CDS	MRPL2
chr6	1984	2058	-	ONT6.2049.19898	intron	MRPL2
chr6	2058	2173	-	ONT6.2049.19898	CDS	MRPL2
chr6	2173	2284	-	ONT6.2049.19898	intron	MRPL2
chr6	2284	2422	-	ONT6.2049.19898	CDS	MRPL2
chr6	2422	4042	-	ONT6.2049.19898	intron	MRPL2
chr6	4042	4210	-	ONT6.2049.19898	CDS	MRPL2
chr6	4210	4807	-	ONT6.2049.19898	intron	MRPL2
chr6	4807	4905	-	ONT6.2049.19898	CDS	MRPL2
chr6	4906	4945	-	ONT6.2049.19898	UTR	NA
chr6	150	253	-	ONT6.2049.19899	UTR	NA
chr6	254	463	-	ONT6.2049.19899	CDS	MRPL2
chr6	463	1522	-	ONT6.2049.19899	intron	MRPL2
chr6	1522	1595	-	ONT6.2049.19899	CDS	MRPL2
chr6	1595	1874	-	ONT6.2049.19899	intron	MRPL2
chr6	1874	1984	-	ONT6.2049.19899	CDS	MRPL2
chr6	1984	2058	-	ONT6.2049.19899	intron	MRPL2
chr6	2058	2112	-	ONT6.2049.19899	CDS	MRPL2
chr6	2113	2144	-	ONT6.2049.19899	UTR	NA
chr6	150	419	-	ONT6.2049.19900	UTR	NA
chr6	420	463	-	ONT6.2049.19900	CDS	MRPL2
chr6	463	4042	-	ONT6.2049.19900	intron	MRPL2
chr6	4042	4210	-	ONT6.2049.19900	CDS	MRPL2
chr6	4210	4807	-	ONT6.2049.19900	intron	MRPL2
chr6	4807	4905	-	ONT6.2049.19900	CDS	MRPL2
chr6	4906	4961	-	ONT6.2049.19900	UTR	NA
chr6	218	253	-	ONT6.2049.19901	UTR	NA
chr6	254	463	-	ONT6.2049.19901	CDS	MRPL2
chr6	463	1522	-	ONT6.2049.19901	intron	MRPL2
chr6	1522	1595	-	ONT6.2049.19901	CDS	MRPL2
chr6	1595	1874	-	ONT6.2049.19901	intron	MRPL2
chr6	1874	1984	-	ONT6.2049.19901	CDS	MRPL2
chr6	1984	2058	-	ONT6.2049.19901	intron	MRPL2
chr6	2058	2173	-	ONT6.2049.19901	CDS	MRPL2
chr6	2173	2284	-	ONT6.2049.19901	intron	MRPL2
chr6	2284	2422	-	ONT6.2049.19901	CDS	MRPL2
chr6	2422	4042	-	ONT6.2049.19901	intron	MRPL2
chr6	4042	4210	-	ONT6.2049.19901	CDS	MRPL2
chr6	4210	4807	-	ONT6.2049.19901	intron	MRPL2
chr6	4807	4905	-	ONT6.2049.19901	CDS	MRPL2
chr6	4906	4977	-	ONT6.2049.19901	UTR	NA
chr6	230	419	-	ONT6.2049.19905	UTR	NA
chr6	420	463	-	ONT6.2049.19905	CDS	MRPL2
chr6	463	1874	-	ONT6.2049.19905	intron	MRPL2
chr6	1874	1984	-	ONT6.2049.19905	CDS	MRPL2
chr6	1984	2058	-	ONT6.2049.19905	intron	MRPL2
chr6	2058	2173	-	ONT6.2049.19905	CDS	MRPL2
chr6	2173	2284	-	ONT6.2049.19905	intron	MRPL2
chr6	2284	2422	-	ONT6.2049.19905	CDS	MRPL2
chr6	2422	4042	-	ONT6.2049.19905	intron	MRPL2
chr6	4042	4210	-	ONT6.2049.19905	CDS	MRPL2
chr6	4210	4807	-	ONT6.2049.19905	intron	MRPL2
chr6	4807	4905	-	ONT6.2049.19905	CDS	MRPL2
chr6	4906	4959	-	ONT6.2049.19905	UTR	NA
chr6	209	253	-	ONT6.2049.19910	UTR	NA
chr6	254	463	-	ONT6.2049.19910	CDS	MRPL2
chr6	463	1522	-	ONT6.2049.19910	intron	MRPL2
chr6	1522	1595	-	ONT6.2049.19910	CDS	MRPL2
chr6	1595	1874	-	ONT6.2049.19910	intron	MRPL2
chr6	1874	1984	-	ONT6.2049.19910	CDS	MRPL2
chr6	1984	2058	-	ONT6.2049.19910	intron	MRPL2
chr6	2058	2173	-	ONT6.2049.19910	CDS	MRPL2
chr6	2173	2284	-	ONT6.2049.19910	intron	MRPL2
chr6	2284	2422	-	ONT6.2049.19910	CDS	MRPL2
chr6	2422	4042	-	ONT6.2049.19910	intron	MRPL2
chr6	4042	4213	-	ONT6.2049.19910	CDS	MRPL2
chr6	4213	5304	-	ONT6.2049.19910	intron	NA
chr6	5304	5492	-	ONT6.2049.19910	UTR	NA
chr6	205	253	-	ONT6.2049.19911	UTR	NA
chr6	254	463	-	ONT6.2049.19911	CDS	MRPL2
chr6	463	1522	-	ONT6.2049.19911	intron	MRPL2
chr6	1522	1595	-	ONT6.2049.19911	CDS	MRPL2
chr6	1595	1874	-	ONT6.2049.19911	intron	MRPL2
chr6	1874	1984	-	ONT6.2049.19911	CDS	MRPL2
chr6	1984	2058	-	ONT6.2049.19911	intron	MRPL2
chr6	2058	2173	-	ONT6.2049.19911	CDS	MRPL2
chr6	2173	2284	-	ONT6.2049.19911	intron	MRPL2
chr6	2284	2375	-	ONT6.2049.19911	CDS	MRPL2
chr6	2376	2422	-	ONT6.2049.19911	UTR	NA
chr6	209	253	-	ONT6.2049.19912	UTR	NA
chr6	254	463	-	ONT6.2049.19912	CDS	MRPL2
chr6	463	1522	-	ONT6.2049.19912	intron	MRPL2
chr6	1522	1595	-	ONT6.2049.19912	CDS	MRPL2
chr6	1595	2058	-	ONT6.2049.19912	intron	MRPL2
chr6	2058	2173	-	ONT6.2049.19912	CDS	MRPL2
