seqnames	start	end	strand	transcript_id	type	gene_id
chr19	1111	1307	+	ENST00000637797.2	UTR	NA
chr19	1308	1521	+	ENST00000637797.2	CDS	ENSG00000182310.15
chr19	1521	2259	+	ENST00000637797.2	intron	ENSG00000182310.15
chr19	2259	2336	+	ENST00000637797.2	CDS	ENSG00000182310.15
chr19	2336	2442	+	ENST00000637797.2	intron	ENSG00000182310.15
chr19	2442	2510	+	ENST00000637797.2	CDS	ENSG00000182310.15
chr19	2510	2709	+	ENST00000637797.2	intron	ENSG00000182310.15
chr19	2709	2732	+	ENST00000637797.2	CDS	ENSG00000182310.15
chr19	2732	3037	+	ENST00000637797.2	intron	ENSG00000182310.15
chr19	3037	3114	+	ENST00000637797.2	CDS	ENSG00000182310.15
chr19	3114	3244	+	ENST00000637797.2	intron	ENSG00000182310.15
chr19	3244	3353	+	ENST00000637797.2	CDS	ENSG00000182310.15
chr19	3353	3524	+	ENST00000637797.2	intron	ENSG00000182310.15
chr19	3524	3680	+	ENST00000637797.2	CDS	ENSG00000182310.15
chr19	3680	3764	+	ENST00000637797.2	intron	ENSG00000182310.15
chr19	3764	3974	+	ENST00000637797.2	CDS	ENSG00000182310.15
chr19	3974	4171	+	ENST00000637797.2	intron	ENSG00000182310.15
chr19	4171	4207	+	ENST00000637797.2	CDS	ENSG00000182310.15
chr19	4208	4271	+	ENST00000637797.2	UTR	NA
chr19	948	1010	+	ONT19.635.1042	UTR	NA
chr19	1010	2259	+	ONT19.635.1042	intron	NA
chr19	2259	2336	+	ONT19.635.1042	UTR	NA
chr19	2336	2442	+	ONT19.635.1042	intron	NA
chr19	2442	2510	+	ONT19.635.1042	UTR	NA
chr19	2510	3015	+	ONT19.635.1042	intron	NA
chr19	3015	3114	+	ONT19.635.1042	UTR	NA
chr19	3114	3244	+	ONT19.635.1042	intron	NA
chr19	3244	3278	+	ONT19.635.1042	UTR	NA
chr19	3279	3353	+	ONT19.635.1042	CDS	SPACA6
chr19	3353	3524	+	ONT19.635.1042	intron	SPACA6
chr19	3524	3680	+	ONT19.635.1042	CDS	SPACA6
chr19	3680	3764	+	ONT19.635.1042	intron	SPACA6
chr19	3764	3974	+	ONT19.635.1042	CDS	SPACA6
chr19	3974	4171	+	ONT19.635.1042	intron	SPACA6
chr19	4171	4204	+	ONT19.635.1042	CDS	SPACA6
chr19	4205	4270	+	ONT19.635.1042	UTR	NA
chr19	949	1010	+	ONT19.635.1043	UTR	NA
chr19	1010	2259	+	ONT19.635.1043	intron	NA
chr19	2259	2340	+	ONT19.635.1043	UTR	NA
chr19	2340	2442	+	ONT19.635.1043	intron	NA
chr19	2442	2510	+	ONT19.635.1043	UTR	NA
chr19	2510	3021	+	ONT19.635.1043	intron	NA
chr19	3021	3114	+	ONT19.635.1043	UTR	NA
chr19	3114	3244	+	ONT19.635.1043	intron	NA
chr19	3244	3351	+	ONT19.635.1043	UTR	NA
chr19	3351	3524	+	ONT19.635.1043	intron	NA
chr19	3524	3556	+	ONT19.635.1043	UTR	NA
chr19	3557	3680	+	ONT19.635.1043	CDS	SPACA6
chr19	3680	3764	+	ONT19.635.1043	intron	SPACA6
chr19	3764	3974	+	ONT19.635.1043	CDS	SPACA6
chr19	3974	4171	+	ONT19.635.1043	intron	SPACA6
chr19	4171	4204	+	ONT19.635.1043	CDS	SPACA6
chr19	4205	4264	+	ONT19.635.1043	UTR	NA
chr19	951	1010	+	ONT19.635.1045	UTR	NA
chr19	1010	2259	+	ONT19.635.1045	intron	NA
chr19	2259	2299	+	ONT19.635.1045	UTR	NA
chr19	2300	2336	+	ONT19.635.1045	CDS	SPACA6
chr19	2336	2442	+	ONT19.635.1045	intron	SPACA6
chr19	2442	2510	+	ONT19.635.1045	CDS	SPACA6
chr19	2510	2709	+	ONT19.635.1045	intron	SPACA6
