seqnames	start	end	strand	transcript_id	type	gene_id
chr3	5	9027	-	ENST00000296328.9	UTR	NA
chr3	9028	9189	-	ENST00000296328.9	CDS	ENSG00000163960.12
chr3	9189	9290	-	ENST00000296328.9	intron	ENSG00000163960.12
chr3	9290	9369	-	ENST00000296328.9	CDS	ENSG00000163960.12
chr3	9369	9474	-	ENST00000296328.9	intron	ENSG00000163960.12
chr3	9474	9867	-	ENST00000296328.9	CDS	ENSG00000163960.12
chr3	9867	11543	-	ENST00000296328.9	intron	ENSG00000163960.12
chr3	11543	11670	-	ENST00000296328.9	CDS	ENSG00000163960.12
chr3	11670	11771	-	ENST00000296328.9	intron	ENSG00000163960.12
chr3	11771	11861	-	ENST00000296328.9	CDS	ENSG00000163960.12
chr3	11861	11962	-	ENST00000296328.9	intron	ENSG00000163960.12
chr3	11962	12108	-	ENST00000296328.9	CDS	ENSG00000163960.12
chr3	12108	13845	-	ENST00000296328.9	intron	ENSG00000163960.12
chr3	13845	13957	-	ENST00000296328.9	CDS	ENSG00000163960.12
chr3	13957	14058	-	ENST00000296328.9	intron	ENSG00000163960.12
chr3	14058	14123	-	ENST00000296328.9	CDS	ENSG00000163960.12
chr3	14123	17297	-	ENST00000296328.9	intron	ENSG00000163960.12
chr3	17297	17364	-	ENST00000296328.9	CDS	ENSG00000163960.12
chr3	17364	17465	-	ENST00000296328.9	intron	ENSG00000163960.12
chr3	17465	17612	-	ENST00000296328.9	CDS	ENSG00000163960.12
chr3	17612	17714	-	ENST00000296328.9	intron	ENSG00000163960.12
chr3	17714	17789	-	ENST00000296328.9	CDS	ENSG00000163960.12
chr3	17790	17814	-	ENST00000296328.9	UTR	NA
chr3	2	123	-	ONT3.9741.14368	UTR	NA
chr3	123	8766	-	ONT3.9741.14368	intron	NA
chr3	8766	9189	-	ONT3.9741.14368	UTR	NA
chr3	9189	9290	-	ONT3.9741.14368	intron	NA
chr3	9290	9369	-	ONT3.9741.14368	UTR	NA
chr3	9369	9474	-	ONT3.9741.14368	intron	NA
chr3	9474	9867	-	ONT3.9741.14368	UTR	NA
chr3	9867	11543	-	ONT3.9741.14368	intron	NA
chr3	11543	11600	-	ONT3.9741.14368	UTR	NA
chr3	11601	11665	-	ONT3.9741.14368	CDS	UBXN7
chr3	11665	11771	-	ONT3.9741.14368	intron	UBXN7
chr3	11771	11861	-	ONT3.9741.14368	CDS	UBXN7
chr3	11861	11962	-	ONT3.9741.14368	intron	UBXN7
chr3	11962	12108	-	ONT3.9741.14368	CDS	UBXN7
chr3	12108	13845	-	ONT3.9741.14368	intron	UBXN7
chr3	13845	13957	-	ONT3.9741.14368	CDS	UBXN7
chr3	13957	14058	-	ONT3.9741.14368	intron	UBXN7
chr3	14058	14123	-	ONT3.9741.14368	CDS	UBXN7
chr3	14123	17297	-	ONT3.9741.14368	intron	UBXN7
chr3	17297	17364	-	ONT3.9741.14368	CDS	UBXN7
chr3	17364	17465	-	ONT3.9741.14368	intron	UBXN7
chr3	17465	17612	-	ONT3.9741.14368	CDS	UBXN7
chr3	17612	17714	-	ONT3.9741.14368	intron	UBXN7
chr3	17714	17789	-	ONT3.9741.14368	CDS	UBXN7
chr3	17790	17834	-	ONT3.9741.14368	UTR	NA
chr3	5715	9030	-	ONT3.9741.14764	UTR	NA
chr3	9031	9189	-	ONT3.9741.14764	CDS	UBXN7
chr3	9189	9290	-	ONT3.9741.14764	intron	UBXN7
chr3	9290	9369	-	ONT3.9741.14764	CDS	UBXN7
chr3	9369	9474	-	ONT3.9741.14764	intron	UBXN7
chr3	9474	9867	-	ONT3.9741.14764	CDS	UBXN7
chr3	9867	11543	-	ONT3.9741.14764	intron	UBXN7
chr3	11543	11670	-	ONT3.9741.14764	CDS	UBXN7
chr3	11670	11771	-	ONT3.9741.14764	intron	UBXN7
chr3	11771	11861	-	ONT3.9741.14764	CDS	UBXN7
chr3	11861	11962	-	ONT3.9741.14764	intron	UBXN7
chr3	11962	12108	-	ONT3.9741.14764	CDS	UBXN7
chr3	12108	13845	-	ONT3.9741.14764	intron	UBXN7
chr3	13845	13957	-	ONT3.9741.14764	CDS	UBXN7
chr3	13957	14058	-	ONT3.9741.14764	intron	UBXN7
chr3	14058	14123	-	ONT3.9741.14764	CDS	UBXN7
chr3	14123	17297	-	ONT3.9741.14764	intron	UBXN7
chr3	17297	17364	-	ONT3.9741.14764	CDS	UBXN7
chr3	17364	17465	-	ONT3.9741.14764	intron	UBXN7
chr3	17465	17612	-	ONT3.9741.14764	CDS	UBXN7
chr3	17612	17714	-	ONT3.9741.14764	intron	UBXN7
chr3	17714	17789	-	ONT3.9741.14764	CDS	UBXN7
chr3	17790	17814	-	ONT3.9741.14764	UTR	NA
chr3	6143	9030	-	ONT3.9741.15133	UTR	NA
chr3	9031	9189	-	ONT3.9741.15133	CDS	UBXN7
chr3	9189	9290	-	ONT3.9741.15133	intron	UBXN7
chr3	9290	9369	-	ONT3.9741.15133	CDS	UBXN7
chr3	9369	9474	-	ONT3.9741.15133	intron	UBXN7
chr3	9474	9867	-	ONT3.9741.15133	CDS	UBXN7
chr3	9867	11543	-	ONT3.9741.15133	intron	UBXN7
chr3	11543	11670	-	ONT3.9741.15133	CDS	UBXN7
chr3	11670	11771	-	ONT3.9741.15133	intron	UBXN7
chr3	11771	11861	-	ONT3.9741.15133	CDS	UBXN7
chr3	11861	11962	-	ONT3.9741.15133	intron	UBXN7
chr3	11962	12108	-	ONT3.9741.15133	CDS	UBXN7
chr3	12108	13845	-	ONT3.9741.15133	intron	UBXN7
chr3	13845	13957	-	ONT3.9741.15133	CDS	UBXN7
chr3	13957	14058	-	ONT3.9741.15133	intron	UBXN7
