seqnames	start	end	strand	transcript_id	type	gene_id
chr9	8	368	-	ENST00000349780.9	UTR	NA
chr9	369	425	-	ENST00000349780.9	CDS	ENSG00000136861.19
chr9	425	874	-	ENST00000349780.9	intron	ENSG00000136861.19
chr9	874	920	-	ENST00000349780.9	CDS	ENSG00000136861.19
chr9	920	1025	-	ENST00000349780.9	intron	ENSG00000136861.19
chr9	1025	1151	-	ENST00000349780.9	CDS	ENSG00000136861.19
chr9	1151	1544	-	ENST00000349780.9	intron	ENSG00000136861.19
chr9	1544	1687	-	ENST00000349780.9	CDS	ENSG00000136861.19
chr9	1687	1788	-	ENST00000349780.9	intron	ENSG00000136861.19
chr9	1788	2053	-	ENST00000349780.9	CDS	ENSG00000136861.19
chr9	2053	3018	-	ENST00000349780.9	intron	ENSG00000136861.19
chr9	3018	3095	-	ENST00000349780.9	CDS	ENSG00000136861.19
chr9	3095	4076	-	ENST00000349780.9	intron	ENSG00000136861.19
chr9	4076	4312	-	ENST00000349780.9	CDS	ENSG00000136861.19
chr9	4312	4413	-	ENST00000349780.9	intron	ENSG00000136861.19
chr9	4413	4534	-	ENST00000349780.9	CDS	ENSG00000136861.19
chr9	4534	4774	-	ENST00000349780.9	intron	ENSG00000136861.19
chr9	4774	4963	-	ENST00000349780.9	CDS	ENSG00000136861.19
chr9	4963	5066	-	ENST00000349780.9	intron	ENSG00000136861.19
chr9	5066	5182	-	ENST00000349780.9	CDS	ENSG00000136861.19
chr9	5182	6082	-	ENST00000349780.9	intron	ENSG00000136861.19
chr9	6082	6201	-	ENST00000349780.9	CDS	ENSG00000136861.19
chr9	6201	6304	-	ENST00000349780.9	intron	ENSG00000136861.19
chr9	6304	6476	-	ENST00000349780.9	CDS	ENSG00000136861.19
chr9	6476	6587	-	ENST00000349780.9	intron	ENSG00000136861.19
chr9	6587	6635	-	ENST00000349780.9	CDS	ENSG00000136861.19
chr9	6635	6750	-	ENST00000349780.9	intron	ENSG00000136861.19
chr9	6750	6982	-	ENST00000349780.9	CDS	ENSG00000136861.19
chr9	6982	7083	-	ENST00000349780.9	intron	ENSG00000136861.19
chr9	7083	7656	-	ENST00000349780.9	CDS	ENSG00000136861.19
chr9	7656	9757	-	ENST00000349780.9	intron	ENSG00000136861.19
chr9	9757	9879	-	ENST00000349780.9	CDS	ENSG00000136861.19
chr9	9879	9981	-	ENST00000349780.9	intron	ENSG00000136861.19
chr9	9981	10212	-	ENST00000349780.9	CDS	ENSG00000136861.19
chr9	10212	10313	-	ENST00000349780.9	intron	ENSG00000136861.19
chr9	10313	10730	-	ENST00000349780.9	CDS	ENSG00000136861.19
chr9	10730	11238	-	ENST00000349780.9	intron	ENSG00000136861.19
chr9	11238	11410	-	ENST00000349780.9	CDS	ENSG00000136861.19
chr9	11410	11511	-	ENST00000349780.9	intron	ENSG00000136861.19
chr9	11511	11606	-	ENST00000349780.9	CDS	ENSG00000136861.19
chr9	11606	11787	-	ENST00000349780.9	intron	ENSG00000136861.19
chr9	11787	11924	-	ENST00000349780.9	CDS	ENSG00000136861.19
chr9	11924	12027	-	ENST00000349780.9	intron	ENSG00000136861.19
chr9	12027	12136	-	ENST00000349780.9	CDS	ENSG00000136861.19
chr9	12136	12243	-	ENST00000349780.9	intron	ENSG00000136861.19
chr9	12243	12373	-	ENST00000349780.9	CDS	ENSG00000136861.19
chr9	12373	13342	-	ENST00000349780.9	intron	ENSG00000136861.19
chr9	13342	13442	-	ENST00000349780.9	CDS	ENSG00000136861.19
chr9	13442	13543	-	ENST00000349780.9	intron	ENSG00000136861.19
chr9	13543	13686	-	ENST00000349780.9	CDS	ENSG00000136861.19
chr9	13686	14427	-	ENST00000349780.9	intron	ENSG00000136861.19
chr9	14427	14597	-	ENST00000349780.9	CDS	ENSG00000136861.19
chr9	14597	15474	-	ENST00000349780.9	intron	ENSG00000136861.19
chr9	15474	15692	-	ENST00000349780.9	CDS	ENSG00000136861.19
chr9	15692	15793	-	ENST00000349780.9	intron	ENSG00000136861.19
chr9	15793	15885	-	ENST00000349780.9	CDS	ENSG00000136861.19
chr9	15885	15986	-	ENST00000349780.9	intron	ENSG00000136861.19
chr9	15986	16105	-	ENST00000349780.9	CDS	ENSG00000136861.19
chr9	16105	16209	-	ENST00000349780.9	intron	ENSG00000136861.19
chr9	16209	16262	-	ENST00000349780.9	CDS	ENSG00000136861.19
chr9	16262	16368	-	ENST00000349780.9	intron	ENSG00000136861.19
chr9	16368	16530	-	ENST00000349780.9	CDS	ENSG00000136861.19
chr9	16530	16631	-	ENST00000349780.9	intron	ENSG00000136861.19
chr9	16631	16785	-	ENST00000349780.9	CDS	ENSG00000136861.19
chr9	16785	16890	-	ENST00000349780.9	intron	ENSG00000136861.19
chr9	16890	17013	-	ENST00000349780.9	CDS	ENSG00000136861.19
chr9	17013	17509	-	ENST00000349780.9	intron	ENSG00000136861.19
chr9	17509	17585	-	ENST00000349780.9	CDS	ENSG00000136861.19
chr9	17585	17686	-	ENST00000349780.9	intron	ENSG00000136861.19
chr9	17686	17796	-	ENST00000349780.9	CDS	ENSG00000136861.19
chr9	17796	18779	-	ENST00000349780.9	intron	ENSG00000136861.19
chr9	18779	18846	-	ENST00000349780.9	CDS	ENSG00000136861.19
chr9	18846	18951	-	ENST00000349780.9	intron	ENSG00000136861.19
chr9	18951	19018	-	ENST00000349780.9	CDS	ENSG00000136861.19
chr9	19018	19121	-	ENST00000349780.9	intron	ENSG00000136861.19
chr9	19121	19182	-	ENST00000349780.9	CDS	ENSG00000136861.19
chr9	19183	19368	-	ENST00000349780.9	UTR	NA
chr9	8	371	-	ONT9.4790.5358	UTR	NA
chr9	372	425	-	ONT9.4790.5358	CDS	CDK5RAP2
chr9	425	874	-	ONT9.4790.5358	intron	CDK5RAP2
chr9	874	920	-	ONT9.4790.5358	CDS	CDK5RAP2
chr9	920	1025	-	ONT9.4790.5358	intron	CDK5RAP2
chr9	1025	1151	-	ONT9.4790.5358	CDS	CDK5RAP2
chr9	1151	1544	-	ONT9.4790.5358	intron	CDK5RAP2
chr9	1544	1687	-	ONT9.4790.5358	CDS	CDK5RAP2
chr9	1687	1788	-	ONT9.4790.5358	intron	CDK5RAP2
chr9	1788	1847	-	ONT9.4790.5358	CDS	CDK5RAP2
chr9	1848	2220	-	ONT9.4790.5358	UTR	NA
chr9	8	371	-	ONT9.4790.5359	UTR	NA
chr9	372	425	-	ONT9.4790.5359	CDS	CDK5RAP2
chr9	425	874	-	ONT9.4790.5359	intron	CDK5RAP2
chr9	874	920	-	ONT9.4790.5359	CDS	CDK5RAP2
chr9	920	1025	-	ONT9.4790.5359	intron	CDK5RAP2
chr9	1025	1151	-	ONT9.4790.5359	CDS	CDK5RAP2
chr9	1151	1544	-	ONT9.4790.5359	intron	CDK5RAP2
chr9	1544	1687	-	ONT9.4790.5359	CDS	CDK5RAP2
chr9	1687	1788	-	ONT9.4790.5359	intron	CDK5RAP2
chr9	1788	2053	-	ONT9.4790.5359	CDS	CDK5RAP2
chr9	2053	3018	-	ONT9.4790.5359	intron	CDK5RAP2
chr9	3018	3095	-	ONT9.4790.5359	CDS	CDK5RAP2
chr9	3095	4076	-	ONT9.4790.5359	intron	CDK5RAP2
chr9	4076	4312	-	ONT9.4790.5359	CDS	CDK5RAP2
chr9	4312	4413	-	ONT9.4790.5359	intron	CDK5RAP2
chr9	4413	4534	-	ONT9.4790.5359	CDS	CDK5RAP2
chr9	4534	4774	-	ONT9.4790.5359	intron	CDK5RAP2
chr9	4774	4963	-	ONT9.4790.5359	CDS	CDK5RAP2
chr9	4963	5066	-	ONT9.4790.5359	intron	CDK5RAP2
chr9	5066	5182	-	ONT9.4790.5359	CDS	CDK5RAP2
chr9	5182	6082	-	ONT9.4790.5359	intron	CDK5RAP2
chr9	6082	6201	-	ONT9.4790.5359	CDS	CDK5RAP2
chr9	6201	6304	-	ONT9.4790.5359	intron	CDK5RAP2
chr9	6304	6476	-	ONT9.4790.5359	CDS	CDK5RAP2
chr9	6476	6587	-	ONT9.4790.5359	intron	CDK5RAP2
chr9	6587	6635	-	ONT9.4790.5359	CDS	CDK5RAP2
chr9	6635	6750	-	ONT9.4790.5359	intron	CDK5RAP2
chr9	6750	6982	-	ONT9.4790.5359	CDS	CDK5RAP2
chr9	6982	7083	-	ONT9.4790.5359	intron	CDK5RAP2
chr9	7083	7525	-	ONT9.4790.5359	CDS	CDK5RAP2
chr9	7526	7599	-	ONT9.4790.5359	UTR	NA
chr9	9	371	-	ONT9.4790.5361	UTR	NA
chr9	372	425	-	ONT9.4790.5361	CDS	CDK5RAP2
chr9	425	874	-	ONT9.4790.5361	intron	CDK5RAP2
chr9	874	920	-	ONT9.4790.5361	CDS	CDK5RAP2
chr9	920	1025	-	ONT9.4790.5361	intron	CDK5RAP2
chr9	1025	1151	-	ONT9.4790.5361	CDS	CDK5RAP2
chr9	1151	1544	-	ONT9.4790.5361	intron	CDK5RAP2
chr9	1544	1687	-	ONT9.4790.5361	CDS	CDK5RAP2
chr9	1687	1788	-	ONT9.4790.5361	intron	CDK5RAP2
chr9	1788	2053	-	ONT9.4790.5361	CDS	CDK5RAP2
chr9	2053	3018	-	ONT9.4790.5361	intron	CDK5RAP2
chr9	3018	3095	-	ONT9.4790.5361	CDS	CDK5RAP2
chr9	3095	4413	-	ONT9.4790.5361	intron	CDK5RAP2
chr9	4413	4534	-	ONT9.4790.5361	CDS	CDK5RAP2
chr9	4534	4774	-	ONT9.4790.5361	intron	CDK5RAP2
chr9	4774	4963	-	ONT9.4790.5361	CDS	CDK5RAP2
chr9	4963	5066	-	ONT9.4790.5361	intron	CDK5RAP2
chr9	5066	5182	-	ONT9.4790.5361	CDS	CDK5RAP2
chr9	5182	6082	-	ONT9.4790.5361	intron	CDK5RAP2
chr9	6082	6196	-	ONT9.4790.5361	CDS	CDK5RAP2
chr9	6197	6203	-	ONT9.4790.5361	UTR	NA
chr9	8	371	-	ONT9.4790.5362	UTR	NA
chr9	372	425	-	ONT9.4790.5362	CDS	CDK5RAP2
chr9	425	874	-	ONT9.4790.5362	intron	CDK5RAP2
chr9	874	920	-	ONT9.4790.5362	CDS	CDK5RAP2
chr9	920	1025	-	ONT9.4790.5362	intron	CDK5RAP2
chr9	1025	1151	-	ONT9.4790.5362	CDS	CDK5RAP2
chr9	1151	1544	-	ONT9.4790.5362	intron	CDK5RAP2
chr9	1544	1687	-	ONT9.4790.5362	CDS	CDK5RAP2
chr9	1687	1788	-	ONT9.4790.5362	intron	CDK5RAP2
