seqnames	start	end	strand	transcript_id	type	gene_id
chr10	906	1276	+	ENST00000359653.4	UTR	NA
chr10	1277	2090	+	ENST00000359653.4	CDS	ENSG00000019995.6
chr10	2090	2204	+	ENST00000359653.4	intron	ENSG00000019995.6
chr10	2204	2391	+	ENST00000359653.4	CDS	ENSG00000019995.6
chr10	2391	2494	+	ENST00000359653.4	intron	ENSG00000019995.6
chr10	2494	2647	+	ENST00000359653.4	CDS	ENSG00000019995.6
chr10	2647	2750	+	ENST00000359653.4	intron	ENSG00000019995.6
chr10	2750	2821	+	ENST00000359653.4	CDS	ENSG00000019995.6
chr10	2821	2924	+	ENST00000359653.4	intron	ENSG00000019995.6
chr10	2924	3122	+	ENST00000359653.4	CDS	ENSG00000019995.6
chr10	3122	3707	+	ENST00000359653.4	intron	ENSG00000019995.6
chr10	3707	3827	+	ENST00000359653.4	CDS	ENSG00000019995.6
chr10	3827	3931	+	ENST00000359653.4	intron	ENSG00000019995.6
chr10	3931	4060	+	ENST00000359653.4	CDS	ENSG00000019995.6
chr10	4060	4168	+	ENST00000359653.4	intron	ENSG00000019995.6
chr10	4168	4397	+	ENST00000359653.4	CDS	ENSG00000019995.6
chr10	4397	4509	+	ENST00000359653.4	intron	ENSG00000019995.6
chr10	4509	4730	+	ENST00000359653.4	CDS	ENSG00000019995.6
chr10	4731	7924	+	ENST00000359653.4	UTR	NA
chr10	2	64	+	ONT10.5890.5963	UTR	NA
chr10	64	319	+	ONT10.5890.5963	intron	NA
chr10	319	388	+	ONT10.5890.5963	UTR	NA
chr10	388	1240	+	ONT10.5890.5963	intron	NA
chr10	1240	1276	+	ONT10.5890.5963	UTR	NA
chr10	1277	2090	+	ONT10.5890.5963	CDS	ZRANB1
chr10	2090	2204	+	ONT10.5890.5963	intron	ZRANB1
chr10	2204	2391	+	ONT10.5890.5963	CDS	ZRANB1
chr10	2391	2494	+	ONT10.5890.5963	intron	ZRANB1
chr10	2494	2647	+	ONT10.5890.5963	CDS	ZRANB1
chr10	2647	2750	+	ONT10.5890.5963	intron	ZRANB1
chr10	2750	2821	+	ONT10.5890.5963	CDS	ZRANB1
chr10	2821	2924	+	ONT10.5890.5963	intron	ZRANB1
chr10	2924	3122	+	ONT10.5890.5963	CDS	ZRANB1
chr10	3122	3707	+	ONT10.5890.5963	intron	ZRANB1
chr10	3707	3827	+	ONT10.5890.5963	CDS	ZRANB1
chr10	3827	3931	+	ONT10.5890.5963	intron	ZRANB1
chr10	3931	4060	+	ONT10.5890.5963	CDS	ZRANB1
chr10	4060	4168	+	ONT10.5890.5963	intron	ZRANB1
chr10	4168	4397	+	ONT10.5890.5963	CDS	ZRANB1
chr10	4397	4509	+	ONT10.5890.5963	intron	ZRANB1
chr10	4509	4727	+	ONT10.5890.5963	CDS	ZRANB1
chr10	4728	5366	+	ONT10.5890.5963	UTR	NA
chr10	55	139	+	ONT10.5890.5993	UTR	NA
chr10	139	313	+	ONT10.5890.5993	intron	NA
chr10	313	388	+	ONT10.5890.5993	UTR	NA
chr10	388	1240	+	ONT10.5890.5993	intron	NA
chr10	1240	1276	+	ONT10.5890.5993	UTR	NA
chr10	1277	2090	+	ONT10.5890.5993	CDS	ZRANB1
chr10	2090	2204	+	ONT10.5890.5993	intron	ZRANB1
chr10	2204	2391	+	ONT10.5890.5993	CDS	ZRANB1
chr10	2391	2494	+	ONT10.5890.5993	intron	ZRANB1
chr10	2494	2647	+	ONT10.5890.5993	CDS	ZRANB1
chr10	2647	2750	+	ONT10.5890.5993	intron	ZRANB1
chr10	2750	2821	+	ONT10.5890.5993	CDS	ZRANB1
chr10	2821	2924	+	ONT10.5890.5993	intron	ZRANB1
chr10	2924	3122	+	ONT10.5890.5993	CDS	ZRANB1
chr10	3122	3707	+	ONT10.5890.5993	intron	ZRANB1
chr10	3707	3827	+	ONT10.5890.5993	CDS	ZRANB1
chr10	3827	3931	+	ONT10.5890.5993	intron	ZRANB1
chr10	3931	4060	+	ONT10.5890.5993	CDS	ZRANB1
chr10	4060	4168	+	ONT10.5890.5993	intron	ZRANB1
chr10	4168	4397	+	ONT10.5890.5993	CDS	ZRANB1
chr10	4397	4509	+	ONT10.5890.5993	intron	ZRANB1
chr10	4509	4727	+	ONT10.5890.5993	CDS	ZRANB1
chr10	4728	6199	+	ONT10.5890.5993	UTR	NA
chr10	72	146	+	ONT10.5890.6000	UTR	NA
chr10	146	318	+	ONT10.5890.6000	intron	NA
chr10	318	388	+	ONT10.5890.6000	UTR	NA
chr10	388	1240	+	ONT10.5890.6000	intron	NA
chr10	1240	1276	+	ONT10.5890.6000	UTR	NA
chr10	1277	2090	+	ONT10.5890.6000	CDS	ZRANB1
chr10	2090	2204	+	ONT10.5890.6000	intron	ZRANB1
chr10	2204	2391	+	ONT10.5890.6000	CDS	ZRANB1
chr10	2391	2494	+	ONT10.5890.6000	intron	ZRANB1
chr10	2494	2647	+	ONT10.5890.6000	CDS	ZRANB1
chr10	2647	2750	+	ONT10.5890.6000	intron	ZRANB1
chr10	2750	2821	+	ONT10.5890.6000	CDS	ZRANB1
chr10	2821	2924	+	ONT10.5890.6000	intron	ZRANB1
chr10	2924	3122	+	ONT10.5890.6000	CDS	ZRANB1
chr10	3122	3707	+	ONT10.5890.6000	intron	ZRANB1
chr10	3707	3827	+	ONT10.5890.6000	CDS	ZRANB1
chr10	3827	3931	+	ONT10.5890.6000	intron	ZRANB1
chr10	3931	4060	+	ONT10.5890.6000	CDS	ZRANB1
chr10	4060	4168	+	ONT10.5890.6000	intron	ZRANB1
chr10	4168	4397	+	ONT10.5890.6000	CDS	ZRANB1
chr10	4397	4513	+	ONT10.5890.6000	intron	ZRANB1
chr10	4513	4566	+	ONT10.5890.6000	CDS	ZRANB1
chr10	4567	5737	+	ONT10.5890.6000	UTR	NA
chr10	50	149	+	ONT10.5890.6002	UTR	NA
chr10	149	1240	+	ONT10.5890.6002	intron	NA
chr10	1240	1276	+	ONT10.5890.6002	UTR	NA
chr10	1277	2090	+	ONT10.5890.6002	CDS	ZRANB1
chr10	2090	2204	+	ONT10.5890.6002	intron	ZRANB1
chr10	2204	2391	+	ONT10.5890.6002	CDS	ZRANB1
chr10	2391	2494	+	ONT10.5890.6002	intron	ZRANB1
chr10	2494	2647	+	ONT10.5890.6002	CDS	ZRANB1
chr10	2647	2750	+	ONT10.5890.6002	intron	ZRANB1
chr10	2750	2821	+	ONT10.5890.6002	CDS	ZRANB1
chr10	2821	2924	+	ONT10.5890.6002	intron	ZRANB1
chr10	2924	3122	+	ONT10.5890.6002	CDS	ZRANB1
chr10	3122	3707	+	ONT10.5890.6002	intron	ZRANB1
chr10	3707	3827	+	ONT10.5890.6002	CDS	ZRANB1
chr10	3827	3931	+	ONT10.5890.6002	intron	ZRANB1
chr10	3931	4060	+	ONT10.5890.6002	CDS	ZRANB1
chr10	4060	4168	+	ONT10.5890.6002	intron	ZRANB1
chr10	4168	4397	+	ONT10.5890.6002	CDS	ZRANB1
chr10	4397	4509	+	ONT10.5890.6002	intron	ZRANB1
chr10	4509	4727	+	ONT10.5890.6002	CDS	ZRANB1
chr10	4728	5340	+	ONT10.5890.6002	UTR	NA
chr10	72	141	+	ONT10.5890.6025	UTR	NA
chr10	141	1240	+	ONT10.5890.6025	intron	NA
chr10	1240	1276	+	ONT10.5890.6025	UTR	NA
chr10	1277	2090	+	ONT10.5890.6025	CDS	ZRANB1
chr10	2090	2204	+	ONT10.5890.6025	intron	ZRANB1
chr10	2204	2391	+	ONT10.5890.6025	CDS	ZRANB1
chr10	2391	2494	+	ONT10.5890.6025	intron	ZRANB1
chr10	2494	2647	+	ONT10.5890.6025	CDS	ZRANB1
chr10	2647	2750	+	ONT10.5890.6025	intron	ZRANB1
chr10	2750	2821	+	ONT10.5890.6025	CDS	ZRANB1
chr10	2821	2924	+	ONT10.5890.6025	intron	ZRANB1
chr10	2924	3122	+	ONT10.5890.6025	CDS	ZRANB1
chr10	3122	3707	+	ONT10.5890.6025	intron	ZRANB1
chr10	3707	3827	+	ONT10.5890.6025	CDS	ZRANB1
chr10	3827	3931	+	ONT10.5890.6025	intron	ZRANB1
chr10	3931	4060	+	ONT10.5890.6025	CDS	ZRANB1
chr10	4060	4168	+	ONT10.5890.6025	intron	ZRANB1
chr10	4168	4397	+	ONT10.5890.6025	CDS	ZRANB1
chr10	4397	4505	+	ONT10.5890.6025	intron	ZRANB1
chr10	4505	4516	+	ONT10.5890.6025	CDS	ZRANB1
chr10	4517	5363	+	ONT10.5890.6025	UTR	NA
chr10	250	388	+	ONT10.5890.6065	UTR	NA
chr10	388	1240	+	ONT10.5890.6065	intron	NA
chr10	1240	1276	+	ONT10.5890.6065	UTR	NA
chr10	1277	2090	+	ONT10.5890.6065	CDS	ZRANB1
chr10	2090	2204	+	ONT10.5890.6065	intron	ZRANB1
chr10	2204	2391	+	ONT10.5890.6065	CDS	ZRANB1
chr10	2391	2494	+	ONT10.5890.6065	intron	ZRANB1
chr10	2494	2647	+	ONT10.5890.6065	CDS	ZRANB1
chr10	2647	2750	+	ONT10.5890.6065	intron	ZRANB1
chr10	2750	2821	+	ONT10.5890.6065	CDS	ZRANB1
chr10	2821	2924	+	ONT10.5890.6065	intron	ZRANB1
chr10	2924	3122	+	ONT10.5890.6065	CDS	ZRANB1
chr10	3122	3707	+	ONT10.5890.6065	intron	ZRANB1
chr10	3707	3827	+	ONT10.5890.6065	CDS	ZRANB1
chr10	3827	3931	+	ONT10.5890.6065	intron	ZRANB1
chr10	3931	4060	+	ONT10.5890.6065	CDS	ZRANB1
chr10	4060	4168	+	ONT10.5890.6065	intron	ZRANB1
chr10	4168	4397	+	ONT10.5890.6065	CDS	ZRANB1
chr10	4397	4509	+	ONT10.5890.6065	intron	ZRANB1
chr10	4509	4727	+	ONT10.5890.6065	CDS	ZRANB1
chr10	4728	6199	+	ONT10.5890.6065	UTR	NA
chr10	258	388	+	ONT10.5890.6067	UTR	NA
chr10	388	1240	+	ONT10.5890.6067	intron	NA
chr10	1240	1276	+	ONT10.5890.6067	UTR	NA
chr10	1277	2090	+	ONT10.5890.6067	CDS	ZRANB1
chr10	2090	2204	+	ONT10.5890.6067	intron	ZRANB1
chr10	2204	2391	+	ONT10.5890.6067	CDS	ZRANB1
chr10	2391	2494	+	ONT10.5890.6067	intron	ZRANB1
chr10	2494	2647	+	ONT10.5890.6067	CDS	ZRANB1
