seqnames	start	end	strand	transcript_id	type	gene_id
chr4	263	444	+	ENST00000408927.8	UTR	NA
chr4	445	448	+	ENST00000408927.8	CDS	ENSG00000138698.15
chr4	448	557	+	ENST00000408927.8	intron	ENSG00000138698.15
chr4	557	664	+	ENST00000408927.8	CDS	ENSG00000138698.15
chr4	664	964	+	ENST00000408927.8	intron	ENSG00000138698.15
chr4	964	1086	+	ENST00000408927.8	CDS	ENSG00000138698.15
chr4	1086	1250	+	ENST00000408927.8	intron	ENSG00000138698.15
chr4	1250	1375	+	ENST00000408927.8	CDS	ENSG00000138698.15
chr4	1375	5250	+	ENST00000408927.8	intron	ENSG00000138698.15
chr4	5250	5396	+	ENST00000408927.8	CDS	ENSG00000138698.15
chr4	5396	8531	+	ENST00000408927.8	intron	ENSG00000138698.15
chr4	8531	8659	+	ENST00000408927.8	CDS	ENSG00000138698.15
chr4	8659	11315	+	ENST00000408927.8	intron	ENSG00000138698.15
chr4	11315	11440	+	ENST00000408927.8	CDS	ENSG00000138698.15
chr4	11440	12696	+	ENST00000408927.8	intron	ENSG00000138698.15
chr4	12696	12839	+	ENST00000408927.8	CDS	ENSG00000138698.15
chr4	12839	12949	+	ENST00000408927.8	intron	ENSG00000138698.15
chr4	12949	13080	+	ENST00000408927.8	CDS	ENSG00000138698.15
chr4	13080	13182	+	ENST00000408927.8	intron	ENSG00000138698.15
chr4	13182	13316	+	ENST00000408927.8	CDS	ENSG00000138698.15
chr4	13316	14544	+	ENST00000408927.8	intron	ENSG00000138698.15
chr4	14544	14669	+	ENST00000408927.8	CDS	ENSG00000138698.15
chr4	14669	14905	+	ENST00000408927.8	intron	ENSG00000138698.15
chr4	14905	15044	+	ENST00000408927.8	CDS	ENSG00000138698.15
chr4	15044	15145	+	ENST00000408927.8	intron	ENSG00000138698.15
chr4	15145	15271	+	ENST00000408927.8	CDS	ENSG00000138698.15
chr4	15271	15384	+	ENST00000408927.8	intron	ENSG00000138698.15
chr4	15384	15512	+	ENST00000408927.8	CDS	ENSG00000138698.15
chr4	15512	15858	+	ENST00000408927.8	intron	ENSG00000138698.15
chr4	15858	15988	+	ENST00000408927.8	CDS	ENSG00000138698.15
chr4	15989	17726	+	ENST00000408927.8	UTR	NA
chr4	2	142	+	ONT4.7038.1493	UTR	NA
chr4	142	557	+	ONT4.7038.1493	intron	NA
chr4	557	664	+	ONT4.7038.1493	UTR	NA
chr4	664	964	+	ONT4.7038.1493	intron	NA
chr4	964	1086	+	ONT4.7038.1493	UTR	NA
chr4	1086	1250	+	ONT4.7038.1493	intron	NA
chr4	1250	1254	+	ONT4.7038.1493	UTR	NA
chr4	1255	1375	+	ONT4.7038.1493	CDS	RAP1GDS1
chr4	1375	8531	+	ONT4.7038.1493	intron	RAP1GDS1
chr4	8531	8659	+	ONT4.7038.1493	CDS	RAP1GDS1
chr4	8659	11315	+	ONT4.7038.1493	intron	RAP1GDS1
chr4	11315	11440	+	ONT4.7038.1493	CDS	RAP1GDS1
chr4	11440	12696	+	ONT4.7038.1493	intron	RAP1GDS1
chr4	12696	12839	+	ONT4.7038.1493	CDS	RAP1GDS1
chr4	12839	12949	+	ONT4.7038.1493	intron	RAP1GDS1
chr4	12949	13080	+	ONT4.7038.1493	CDS	RAP1GDS1
chr4	13080	13182	+	ONT4.7038.1493	intron	RAP1GDS1
chr4	13182	13316	+	ONT4.7038.1493	CDS	RAP1GDS1
chr4	13316	14544	+	ONT4.7038.1493	intron	RAP1GDS1
chr4	14544	14669	+	ONT4.7038.1493	CDS	RAP1GDS1
chr4	14669	14905	+	ONT4.7038.1493	intron	RAP1GDS1
chr4	14905	15044	+	ONT4.7038.1493	CDS	RAP1GDS1
chr4	15044	15145	+	ONT4.7038.1493	intron	RAP1GDS1
chr4	15145	15271	+	ONT4.7038.1493	CDS	RAP1GDS1
chr4	15271	15384	+	ONT4.7038.1493	intron	RAP1GDS1
chr4	15384	15512	+	ONT4.7038.1493	CDS	RAP1GDS1
chr4	15512	15858	+	ONT4.7038.1493	intron	RAP1GDS1
chr4	15858	15985	+	ONT4.7038.1493	CDS	RAP1GDS1
chr4	15986	16534	+	ONT4.7038.1493	UTR	NA
chr4	296	444	+	ONT4.7038.1509	UTR	NA
chr4	445	448	+	ONT4.7038.1509	CDS	RAP1GDS1
chr4	448	554	+	ONT4.7038.1509	intron	RAP1GDS1
chr4	554	664	+	ONT4.7038.1509	CDS	RAP1GDS1
chr4	664	964	+	ONT4.7038.1509	intron	RAP1GDS1
chr4	964	1086	+	ONT4.7038.1509	CDS	RAP1GDS1
chr4	1086	1250	+	ONT4.7038.1509	intron	RAP1GDS1
chr4	1250	1375	+	ONT4.7038.1509	CDS	RAP1GDS1
chr4	1375	8531	+	ONT4.7038.1509	intron	RAP1GDS1
chr4	8531	8659	+	ONT4.7038.1509	CDS	RAP1GDS1
chr4	8659	11315	+	ONT4.7038.1509	intron	RAP1GDS1
chr4	11315	11440	+	ONT4.7038.1509	CDS	RAP1GDS1
chr4	11440	12696	+	ONT4.7038.1509	intron	RAP1GDS1
chr4	12696	12839	+	ONT4.7038.1509	CDS	RAP1GDS1
chr4	12839	12949	+	ONT4.7038.1509	intron	RAP1GDS1
chr4	12949	13080	+	ONT4.7038.1509	CDS	RAP1GDS1
chr4	13080	13182	+	ONT4.7038.1509	intron	RAP1GDS1
chr4	13182	13316	+	ONT4.7038.1509	CDS	RAP1GDS1
chr4	13316	14544	+	ONT4.7038.1509	intron	RAP1GDS1
chr4	14544	14669	+	ONT4.7038.1509	CDS	RAP1GDS1
chr4	14669	14908	+	ONT4.7038.1509	intron	RAP1GDS1
chr4	14908	15044	+	ONT4.7038.1509	CDS	RAP1GDS1
chr4	15044	15145	+	ONT4.7038.1509	intron	RAP1GDS1
chr4	15145	15271	+	ONT4.7038.1509	CDS	RAP1GDS1
chr4	15271	15384	+	ONT4.7038.1509	intron	RAP1GDS1
chr4	15384	15512	+	ONT4.7038.1509	CDS	RAP1GDS1
chr4	15512	15858	+	ONT4.7038.1509	intron	RAP1GDS1
chr4	15858	15985	+	ONT4.7038.1509	CDS	RAP1GDS1
chr4	15986	16534	+	ONT4.7038.1509	UTR	NA
chr4	263	444	+	ONT4.7038.1510	UTR	NA
chr4	445	448	+	ONT4.7038.1510	CDS	RAP1GDS1
chr4	448	554	+	ONT4.7038.1510	intron	RAP1GDS1
chr4	554	664	+	ONT4.7038.1510	CDS	RAP1GDS1
chr4	664	964	+	ONT4.7038.1510	intron	RAP1GDS1
chr4	964	1086	+	ONT4.7038.1510	CDS	RAP1GDS1
chr4	1086	1250	+	ONT4.7038.1510	intron	RAP1GDS1
chr4	1250	1375	+	ONT4.7038.1510	CDS	RAP1GDS1
chr4	1375	11315	+	ONT4.7038.1510	intron	RAP1GDS1
chr4	11315	11440	+	ONT4.7038.1510	CDS	RAP1GDS1
chr4	11440	12696	+	ONT4.7038.1510	intron	RAP1GDS1
chr4	12696	12839	+	ONT4.7038.1510	CDS	RAP1GDS1
chr4	12839	12949	+	ONT4.7038.1510	intron	RAP1GDS1
chr4	12949	13080	+	ONT4.7038.1510	CDS	RAP1GDS1
chr4	13080	13182	+	ONT4.7038.1510	intron	RAP1GDS1
chr4	13182	13316	+	ONT4.7038.1510	CDS	RAP1GDS1
chr4	13316	14544	+	ONT4.7038.1510	intron	RAP1GDS1
