seqnames	start	end	strand	transcript_id	type	gene_id
chr17	279	292	+	ENST00000575882.6	UTR	NA
chr17	293	350	+	ENST00000575882.6	CDS	ENSG00000141198.16
chr17	350	636	+	ENST00000575882.6	intron	ENSG00000141198.16
chr17	636	720	+	ENST00000575882.6	CDS	ENSG00000141198.16
chr17	720	822	+	ENST00000575882.6	intron	ENSG00000141198.16
chr17	822	900	+	ENST00000575882.6	CDS	ENSG00000141198.16
chr17	900	1011	+	ENST00000575882.6	intron	ENSG00000141198.16
chr17	1011	1160	+	ENST00000575882.6	CDS	ENSG00000141198.16
chr17	1160	1274	+	ENST00000575882.6	intron	ENSG00000141198.16
chr17	1274	1399	+	ENST00000575882.6	CDS	ENSG00000141198.16
chr17	1399	1502	+	ENST00000575882.6	intron	ENSG00000141198.16
chr17	1502	1606	+	ENST00000575882.6	CDS	ENSG00000141198.16
chr17	1606	1711	+	ENST00000575882.6	intron	ENSG00000141198.16
chr17	1711	1827	+	ENST00000575882.6	CDS	ENSG00000141198.16
chr17	1827	3668	+	ENST00000575882.6	intron	ENSG00000141198.16
chr17	3668	3801	+	ENST00000575882.6	CDS	ENSG00000141198.16
chr17	3801	3902	+	ENST00000575882.6	intron	ENSG00000141198.16
chr17	3902	3962	+	ENST00000575882.6	CDS	ENSG00000141198.16
chr17	3962	4067	+	ENST00000575882.6	intron	ENSG00000141198.16
chr17	4067	4184	+	ENST00000575882.6	CDS	ENSG00000141198.16
chr17	4184	5096	+	ENST00000575882.6	intron	ENSG00000141198.16
chr17	5096	5192	+	ENST00000575882.6	CDS	ENSG00000141198.16
chr17	5192	5593	+	ENST00000575882.6	intron	ENSG00000141198.16
chr17	5593	5644	+	ENST00000575882.6	CDS	ENSG00000141198.16
chr17	5644	5745	+	ENST00000575882.6	intron	ENSG00000141198.16
chr17	5745	5850	+	ENST00000575882.6	CDS	ENSG00000141198.16
chr17	5850	5951	+	ENST00000575882.6	intron	ENSG00000141198.16
chr17	5951	6032	+	ENST00000575882.6	CDS	ENSG00000141198.16
chr17	6032	6356	+	ENST00000575882.6	intron	ENSG00000141198.16
chr17	6356	6419	+	ENST00000575882.6	CDS	ENSG00000141198.16
chr17	6419	6520	+	ENST00000575882.6	intron	NA
chr17	6520	7241	+	ENST00000575882.6	UTR	NA
chr17	206	292	+	ONT17.1545.100	UTR	NA
chr17	293	350	+	ONT17.1545.100	CDS	TOM1L1
