seqnames	start	end	strand	transcript_id	type	gene_id
chr1	165	489	-	ENST00000361521.9	UTR	NA
chr1	490	588	-	ENST00000361521.9	CDS	ENSG00000097021.20
chr1	588	707	-	ENST00000361521.9	intron	ENSG00000097021.20
chr1	707	891	-	ENST00000361521.9	CDS	ENSG00000097021.20
chr1	891	5044	-	ENST00000361521.9	intron	ENSG00000097021.20
chr1	5044	5160	-	ENST00000361521.9	CDS	ENSG00000097021.20
chr1	5160	6017	-	ENST00000361521.9	intron	ENSG00000097021.20
chr1	6017	6103	-	ENST00000361521.9	CDS	ENSG00000097021.20
chr1	6103	6285	-	ENST00000361521.9	intron	ENSG00000097021.20
chr1	6285	6399	-	ENST00000361521.9	CDS	ENSG00000097021.20
chr1	6399	7722	-	ENST00000361521.9	intron	ENSG00000097021.20
chr1	7722	7813	-	ENST00000361521.9	CDS	ENSG00000097021.20
chr1	7813	8228	-	ENST00000361521.9	intron	ENSG00000097021.20
chr1	8228	8384	-	ENST00000361521.9	CDS	ENSG00000097021.20
chr1	8384	8830	-	ENST00000361521.9	intron	ENSG00000097021.20
chr1	8830	8947	-	ENST00000361521.9	CDS	ENSG00000097021.20
chr1	8947	9959	-	ENST00000361521.9	intron	ENSG00000097021.20
chr1	9959	10104	-	ENST00000361521.9	CDS	ENSG00000097021.20
chr1	10105	10469	-	ENST00000361521.9	UTR	NA
chr1	3	26	-	ONT1.437.6801	UTR	NA
chr1	26	160	-	ONT1.437.6801	intron	NA
chr1	160	492	-	ONT1.437.6801	UTR	NA
chr1	493	588	-	ONT1.437.6801	CDS	ACOT7
chr1	588	707	-	ONT1.437.6801	intron	ACOT7
chr1	707	891	-	ONT1.437.6801	CDS	ACOT7
chr1	891	5044	-	ONT1.437.6801	intron	ACOT7
chr1	5044	5160	-	ONT1.437.6801	CDS	ACOT7
chr1	5160	6017	-	ONT1.437.6801	intron	ACOT7
chr1	6017	6103	-	ONT1.437.6801	CDS	ACOT7
chr1	6103	6285	-	ONT1.437.6801	intron	ACOT7
chr1	6285	6399	-	ONT1.437.6801	CDS	ACOT7
chr1	6399	7722	-	ONT1.437.6801	intron	ACOT7
chr1	7722	7813	-	ONT1.437.6801	CDS	ACOT7
chr1	7813	8228	-	ONT1.437.6801	intron	ACOT7
chr1	8228	8384	-	ONT1.437.6801	CDS	ACOT7
chr1	8384	8830	-	ONT1.437.6801	intron	ACOT7
chr1	8830	8947	-	ONT1.437.6801	CDS	ACOT7
chr1	8947	9959	-	ONT1.437.6801	intron	ACOT7
chr1	9959	10104	-	ONT1.437.6801	CDS	ACOT7
chr1	2	32	-	ONT1.437.6802	UTR	NA
chr1	32	160	-	ONT1.437.6802	intron	NA
chr1	160	492	-	ONT1.437.6802	UTR	NA
chr1	493	588	-	ONT1.437.6802	CDS	ACOT7
chr1	588	707	-	ONT1.437.6802	intron	ACOT7
chr1	707	891	-	ONT1.437.6802	CDS	ACOT7
chr1	891	5044	-	ONT1.437.6802	intron	ACOT7
chr1	5044	5160	-	ONT1.437.6802	CDS	ACOT7
chr1	5160	6017	-	ONT1.437.6802	intron	ACOT7
chr1	6017	6103	-	ONT1.437.6802	CDS	ACOT7
chr1	6103	6285	-	ONT1.437.6802	intron	ACOT7
chr1	6285	6399	-	ONT1.437.6802	CDS	ACOT7
chr1	6399	7722	-	ONT1.437.6802	intron	ACOT7
chr1	7722	7813	-	ONT1.437.6802	CDS	ACOT7
chr1	7813	8228	-	ONT1.437.6802	intron	ACOT7
chr1	8228	8384	-	ONT1.437.6802	CDS	ACOT7
chr1	8384	8830	-	ONT1.437.6802	intron	ACOT7
chr1	8830	8947	-	ONT1.437.6802	CDS	ACOT7
chr1	8947	9959	-	ONT1.437.6802	intron	ACOT7
chr1	9959	10104	-	ONT1.437.6802	CDS	ACOT7
chr1	10105	10114	-	ONT1.437.6802	UTR	NA
chr1	2	40	-	ONT1.437.6803	UTR	NA
chr1	40	174	-	ONT1.437.6803	intron	NA
chr1	174	492	-	ONT1.437.6803	UTR	NA
chr1	493	588	-	ONT1.437.6803	CDS	ACOT7
chr1	588	707	-	ONT1.437.6803	intron	ACOT7
chr1	707	891	-	ONT1.437.6803	CDS	ACOT7
chr1	891	5044	-	ONT1.437.6803	intron	ACOT7
chr1	5044	5160	-	ONT1.437.6803	CDS	ACOT7
chr1	5160	6017	-	ONT1.437.6803	intron	ACOT7
chr1	6017	6103	-	ONT1.437.6803	CDS	ACOT7
chr1	6103	6285	-	ONT1.437.6803	intron	ACOT7
chr1	6285	6399	-	ONT1.437.6803	CDS	ACOT7
chr1	6399	7722	-	ONT1.437.6803	intron	ACOT7
chr1	7722	7813	-	ONT1.437.6803	CDS	ACOT7
chr1	7813	8228	-	ONT1.437.6803	intron	ACOT7
chr1	8228	8384	-	ONT1.437.6803	CDS	ACOT7
chr1	8384	8830	-	ONT1.437.6803	intron	ACOT7
chr1	8830	8947	-	ONT1.437.6803	CDS	ACOT7
chr1	8947	9959	-	ONT1.437.6803	intron	ACOT7
chr1	9959	10008	-	ONT1.437.6803	CDS	ACOT7
chr1	10009	10098	-	ONT1.437.6803	UTR	NA
chr1	2	47	-	ONT1.437.6804	UTR	NA
chr1	47	160	-	ONT1.437.6804	intron	NA
chr1	160	492	-	ONT1.437.6804	UTR	NA
chr1	493	588	-	ONT1.437.6804	CDS	ACOT7
chr1	588	707	-	ONT1.437.6804	intron	ACOT7
chr1	707	891	-	ONT1.437.6804	CDS	ACOT7
chr1	891	5044	-	ONT1.437.6804	intron	ACOT7
chr1	5044	5160	-	ONT1.437.6804	CDS	ACOT7
chr1	5160	6017	-	ONT1.437.6804	intron	ACOT7
chr1	6017	6103	-	ONT1.437.6804	CDS	ACOT7
chr1	6103	6285	-	ONT1.437.6804	intron	ACOT7
chr1	6285	6399	-	ONT1.437.6804	CDS	ACOT7
chr1	6399	7722	-	ONT1.437.6804	intron	ACOT7
chr1	7722	7813	-	ONT1.437.6804	CDS	ACOT7
chr1	7813	8228	-	ONT1.437.6804	intron	ACOT7
chr1	8228	8384	-	ONT1.437.6804	CDS	ACOT7
chr1	8384	8830	-	ONT1.437.6804	intron	ACOT7
chr1	8830	8947	-	ONT1.437.6804	CDS	ACOT7
chr1	8947	9959	-	ONT1.437.6804	intron	ACOT7
chr1	9959	10104	-	ONT1.437.6804	CDS	ACOT7
chr1	10105	10123	-	ONT1.437.6804	UTR	NA
chr1	2	47	-	ONT1.437.6806	UTR	NA
chr1	47	151	-	ONT1.437.6806	intron	NA
chr1	151	492	-	ONT1.437.6806	UTR	NA
chr1	493	588	-	ONT1.437.6806	CDS	ACOT7
chr1	588	707	-	ONT1.437.6806	intron	ACOT7
chr1	707	891	-	ONT1.437.6806	CDS	ACOT7
chr1	891	5044	-	ONT1.437.6806	intron	ACOT7
chr1	5044	5160	-	ONT1.437.6806	CDS	ACOT7
chr1	5160	6017	-	ONT1.437.6806	intron	ACOT7
chr1	6017	6103	-	ONT1.437.6806	CDS	ACOT7
chr1	6103	6285	-	ONT1.437.6806	intron	ACOT7
chr1	6285	6399	-	ONT1.437.6806	CDS	ACOT7
chr1	6399	7722	-	ONT1.437.6806	intron	ACOT7
chr1	7722	7813	-	ONT1.437.6806	CDS	ACOT7
chr1	7813	8228	-	ONT1.437.6806	intron	ACOT7
chr1	8228	8384	-	ONT1.437.6806	CDS	ACOT7
chr1	8384	8830	-	ONT1.437.6806	intron	ACOT7
chr1	8830	8947	-	ONT1.437.6806	CDS	ACOT7
chr1	8947	9959	-	ONT1.437.6806	intron	ACOT7
chr1	9959	10104	-	ONT1.437.6806	CDS	ACOT7
chr1	10105	10113	-	ONT1.437.6806	UTR	NA
chr1	2	50	-	ONT1.437.6810	UTR	NA
chr1	50	175	-	ONT1.437.6810	intron	NA
chr1	175	492	-	ONT1.437.6810	UTR	NA
chr1	493	588	-	ONT1.437.6810	CDS	ACOT7
chr1	588	707	-	ONT1.437.6810	intron	ACOT7
chr1	707	891	-	ONT1.437.6810	CDS	ACOT7
chr1	891	5044	-	ONT1.437.6810	intron	ACOT7
chr1	5044	5160	-	ONT1.437.6810	CDS	ACOT7
chr1	5160	6017	-	ONT1.437.6810	intron	ACOT7
chr1	6017	6103	-	ONT1.437.6810	CDS	ACOT7
chr1	6103	6285	-	ONT1.437.6810	intron	ACOT7
chr1	6285	6399	-	ONT1.437.6810	CDS	ACOT7
chr1	6399	7722	-	ONT1.437.6810	intron	ACOT7
chr1	7722	7813	-	ONT1.437.6810	CDS	ACOT7
chr1	7813	8228	-	ONT1.437.6810	intron	ACOT7
chr1	8228	8384	-	ONT1.437.6810	CDS	ACOT7
chr1	8384	8830	-	ONT1.437.6810	intron	ACOT7
chr1	8830	8947	-	ONT1.437.6810	CDS	ACOT7
chr1	8947	9959	-	ONT1.437.6810	intron	ACOT7
chr1	9959	10008	-	ONT1.437.6810	CDS	ACOT7
chr1	10009	10079	-	ONT1.437.6810	UTR	NA
chr1	2	16	-	ONT1.437.6812	UTR	NA
chr1	16	160	-	ONT1.437.6812	intron	NA
chr1	160	492	-	ONT1.437.6812	UTR	NA
