seqnames	start	end	strand	transcript_id	type	gene_id
chr2	1519	4168	-	ENST00000356388.9	UTR	NA
chr2	4169	4837	-	ENST00000356388.9	CDS	ENSG00000198369.10
chr2	4837	6091	-	ENST00000356388.9	intron	ENSG00000198369.10
chr2	6091	6240	-	ENST00000356388.9	CDS	ENSG00000198369.10
chr2	6240	6341	-	ENST00000356388.9	intron	ENSG00000198369.10
chr2	6341	6405	-	ENST00000356388.9	CDS	ENSG00000198369.10
chr2	6405	6974	-	ENST00000356388.9	intron	ENSG00000198369.10
chr2	6974	7142	-	ENST00000356388.9	CDS	ENSG00000198369.10
chr2	7142	9988	-	ENST00000356388.9	intron	ENSG00000198369.10
chr2	9988	10165	-	ENST00000356388.9	CDS	ENSG00000198369.10
chr2	10165	10797	-	ENST00000356388.9	intron	ENSG00000198369.10
chr2	10797	10825	-	ENST00000356388.9	CDS	ENSG00000198369.10
chr2	10826	11434	-	ENST00000356388.9	UTR	NA
chr2	6	1148	-	ONT2.3660.19877	UTR	NA
chr2	1149	1214	-	ONT2.3660.19877	CDS	SPRED2
chr2	1214	6091	-	ONT2.3660.19877	intron	SPRED2
chr2	6091	6240	-	ONT2.3660.19877	CDS	SPRED2
chr2	6240	6341	-	ONT2.3660.19877	intron	SPRED2
chr2	6341	6405	-	ONT2.3660.19877	CDS	SPRED2
chr2	6405	6974	-	ONT2.3660.19877	intron	SPRED2
chr2	6974	7142	-	ONT2.3660.19877	CDS	SPRED2
chr2	7142	9988	-	ONT2.3660.19877	intron	SPRED2
chr2	9988	10165	-	ONT2.3660.19877	CDS	SPRED2
chr2	10165	10797	-	ONT2.3660.19877	intron	SPRED2
chr2	10797	10825	-	ONT2.3660.19877	CDS	SPRED2
chr2	10826	11370	-	ONT2.3660.19877	UTR	NA
chr2	2	1148	-	ONT2.3660.19879	UTR	NA
chr2	1149	1226	-	ONT2.3660.19879	CDS	SPRED2
chr2	1226	1323	-	ONT2.3660.19879	intron	SPRED2
chr2	1323	1400	-	ONT2.3660.19879	CDS	SPRED2
chr2	1400	6091	-	ONT2.3660.19879	intron	SPRED2
chr2	6091	6240	-	ONT2.3660.19879	CDS	SPRED2
chr2	6240	6341	-	ONT2.3660.19879	intron	SPRED2
chr2	6341	6405	-	ONT2.3660.19879	CDS	SPRED2
chr2	6405	6974	-	ONT2.3660.19879	intron	SPRED2
chr2	6974	7142	-	ONT2.3660.19879	CDS	SPRED2
chr2	7142	9988	-	ONT2.3660.19879	intron	SPRED2
chr2	9988	10165	-	ONT2.3660.19879	CDS	SPRED2
chr2	10165	10797	-	ONT2.3660.19879	intron	SPRED2
chr2	10797	10825	-	ONT2.3660.19879	CDS	SPRED2
chr2	10826	11361	-	ONT2.3660.19879	UTR	NA
chr2	2	1148	-	ONT2.3660.19883	UTR	NA
chr2	1149	1214	-	ONT2.3660.19883	CDS	SPRED2
chr2	1214	6091	-	ONT2.3660.19883	intron	SPRED2
chr2	6091	6240	-	ONT2.3660.19883	CDS	SPRED2
chr2	6240	6341	-	ONT2.3660.19883	intron	SPRED2
chr2	6341	6405	-	ONT2.3660.19883	CDS	SPRED2
chr2	6405	6974	-	ONT2.3660.19883	intron	SPRED2
chr2	6974	7142	-	ONT2.3660.19883	CDS	SPRED2
chr2	7142	9988	-	ONT2.3660.19883	intron	SPRED2
chr2	9988	10165	-	ONT2.3660.19883	CDS	SPRED2
chr2	10165	10797	-	ONT2.3660.19883	intron	SPRED2
chr2	10797	10825	-	ONT2.3660.19883	CDS	SPRED2
chr2	10826	11171	-	ONT2.3660.19883	UTR	NA
chr2	2	1148	-	ONT2.3660.19889	UTR	NA
chr2	1149	1214	-	ONT2.3660.19889	CDS	SPRED2
chr2	1214	6091	-	ONT2.3660.19889	intron	SPRED2
chr2	6091	6240	-	ONT2.3660.19889	CDS	SPRED2
chr2	6240	6341	-	ONT2.3660.19889	intron	SPRED2
chr2	6341	6405	-	ONT2.3660.19889	CDS	SPRED2
chr2	6405	6974	-	ONT2.3660.19889	intron	SPRED2
chr2	6974	7142	-	ONT2.3660.19889	CDS	SPRED2
chr2	7142	9988	-	ONT2.3660.19889	intron	SPRED2
chr2	9988	10165	-	ONT2.3660.19889	CDS	SPRED2
chr2	10165	10797	-	ONT2.3660.19889	intron	SPRED2
chr2	10797	10825	-	ONT2.3660.19889	CDS	SPRED2
chr2	10826	11047	-	ONT2.3660.19889	UTR	NA
chr2	2	1148	-	ONT2.3660.19891	UTR	NA
chr2	1149	1214	-	ONT2.3660.19891	CDS	SPRED2
chr2	1214	6091	-	ONT2.3660.19891	intron	SPRED2
chr2	6091	6240	-	ONT2.3660.19891	CDS	SPRED2
chr2	6240	6341	-	ONT2.3660.19891	intron	SPRED2
chr2	6341	6405	-	ONT2.3660.19891	CDS	SPRED2
chr2	6405	6974	-	ONT2.3660.19891	intron	SPRED2
chr2	6974	7142	-	ONT2.3660.19891	CDS	SPRED2
chr2	7142	9988	-	ONT2.3660.19891	intron	SPRED2
chr2	9988	10165	-	ONT2.3660.19891	CDS	SPRED2
chr2	10165	10797	-	ONT2.3660.19891	intron	SPRED2
chr2	10797	10825	-	ONT2.3660.19891	CDS	SPRED2
chr2	10826	11438	-	ONT2.3660.19891	UTR	NA
chr2	2	1148	-	ONT2.3660.19902	UTR	NA
chr2	1149	1226	-	ONT2.3660.19902	CDS	SPRED2
chr2	1226	1323	-	ONT2.3660.19902	intron	SPRED2
chr2	1323	1418	-	ONT2.3660.19902	CDS	SPRED2
chr2	1418	6091	-	ONT2.3660.19902	intron	SPRED2
chr2	6091	6240	-	ONT2.3660.19902	CDS	SPRED2
chr2	6240	6341	-	ONT2.3660.19902	intron	SPRED2
chr2	6341	6405	-	ONT2.3660.19902	CDS	SPRED2
chr2	6405	6974	-	ONT2.3660.19902	intron	SPRED2
chr2	6974	7142	-	ONT2.3660.19902	CDS	SPRED2
chr2	7142	9988	-	ONT2.3660.19902	intron	SPRED2
chr2	9988	10165	-	ONT2.3660.19902	CDS	SPRED2
chr2	10165	10797	-	ONT2.3660.19902	intron	SPRED2
chr2	10797	10825	-	ONT2.3660.19902	CDS	SPRED2
chr2	10826	11371	-	ONT2.3660.19902	UTR	NA
chr2	1521	4812	-	ONT2.3660.19943	UTR	NA
chr2	4813	4837	-	ONT2.3660.19943	CDS	SPRED2
chr2	4837	6091	-	ONT2.3660.19943	intron	SPRED2
chr2	6091	6240	-	ONT2.3660.19943	CDS	SPRED2
chr2	6240	6341	-	ONT2.3660.19943	intron	SPRED2
chr2	6341	6405	-	ONT2.3660.19943	CDS	SPRED2
chr2	6405	9988	-	ONT2.3660.19943	intron	SPRED2
chr2	9988	10165	-	ONT2.3660.19943	CDS	SPRED2
chr2	10165	10797	-	ONT2.3660.19943	intron	SPRED2
chr2	10797	10825	-	ONT2.3660.19943	CDS	SPRED2
chr2	10826	11378	-	ONT2.3660.19943	UTR	NA
chr2	1521	4171	-	ONT2.3660.19946	UTR	NA
chr2	4172	4837	-	ONT2.3660.19946	CDS	SPRED2
chr2	4837	6091	-	ONT2.3660.19946	intron	SPRED2
chr2	6091	6240	-	ONT2.3660.19946	CDS	SPRED2
chr2	6240	6341	-	ONT2.3660.19946	intron	SPRED2
chr2	6341	6405	-	ONT2.3660.19946	CDS	SPRED2
chr2	6405	6974	-	ONT2.3660.19946	intron	SPRED2
chr2	6974	7142	-	ONT2.3660.19946	CDS	SPRED2
chr2	7142	9988	-	ONT2.3660.19946	intron	SPRED2
chr2	9988	10165	-	ONT2.3660.19946	CDS	SPRED2
