seqnames	start	end	strand	transcript_id	type	gene_id
chr19	7	3599	-	ENST00000326441.15	UTR	NA
chr19	3600	7504	-	ENST00000326441.15	CDS	ENSG00000198300.14
chr19	7504	7671	-	ENST00000326441.15	intron	ENSG00000198300.14
chr19	7671	7760	-	ENST00000326441.15	CDS	ENSG00000198300.14
chr19	7760	8525	-	ENST00000326441.15	intron	ENSG00000198300.14
chr19	8525	8627	-	ENST00000326441.15	CDS	ENSG00000198300.14
chr19	8627	9361	-	ENST00000326441.15	intron	ENSG00000198300.14
chr19	9361	9464	-	ENST00000326441.15	CDS	ENSG00000198300.14
chr19	9464	9565	-	ENST00000326441.15	intron	ENSG00000198300.14
chr19	9565	9648	-	ENST00000326441.15	CDS	ENSG00000198300.14
chr19	9648	9752	-	ENST00000326441.15	intron	ENSG00000198300.14
chr19	9752	9838	-	ENST00000326441.15	CDS	ENSG00000198300.14
chr19	9838	9939	-	ENST00000326441.15	intron	ENSG00000198300.14
chr19	9939	10335	-	ENST00000326441.15	CDS	ENSG00000198300.14
chr19	10336	10418	-	ENST00000326441.15	UTR	NA
chr19	10418	10519	-	ENST00000326441.15	intron	NA
chr19	10519	10594	-	ENST00000326441.15	UTR	NA
chr19	10594	11147	-	ENST00000326441.15	intron	NA
chr19	11147	11233	-	ENST00000326441.15	UTR	NA
chr19	11233	11334	-	ENST00000326441.15	intron	NA
chr19	11334	11478	-	ENST00000326441.15	UTR	NA
chr19	5	1473	-	ONT19.760.6640	UTR	NA
chr19	1473	3353	-	ONT19.760.6640	intron	NA
chr19	3353	3868	-	ONT19.760.6640	UTR	NA
chr19	3869	4093	-	ONT19.760.6640	CDS	PEG3
chr19	4094	4590	-	ONT19.760.6640	UTR	NA
chr19	5	3602	-	ONT19.760.6666	UTR	NA
chr19	3603	7504	-	ONT19.760.6666	CDS	PEG3
chr19	7504	7671	-	ONT19.760.6666	intron	PEG3
chr19	7671	7763	-	ONT19.760.6666	CDS	PEG3
chr19	7763	8525	-	ONT19.760.6666	intron	PEG3
chr19	8525	8627	-	ONT19.760.6666	CDS	PEG3
chr19	8627	9361	-	ONT19.760.6666	intron	PEG3
chr19	9361	9464	-	ONT19.760.6666	CDS	PEG3
chr19	9464	9565	-	ONT19.760.6666	intron	PEG3
chr19	9565	9648	-	ONT19.760.6666	CDS	PEG3
chr19	9648	9749	-	ONT19.760.6666	intron	PEG3
chr19	9749	9838	-	ONT19.760.6666	CDS	PEG3
chr19	9838	9939	-	ONT19.760.6666	intron	PEG3
chr19	9939	9957	-	ONT19.760.6666	CDS	PEG3
chr19	9958	10104	-	ONT19.760.6666	UTR	NA
chr19	10104	10519	-	ONT19.760.6666	intron	NA
chr19	10519	10594	-	ONT19.760.6666	UTR	NA
chr19	10594	10695	-	ONT19.760.6666	intron	NA
chr19	10695	10825	-	ONT19.760.6666	UTR	NA
chr19	10825	10926	-	ONT19.760.6666	intron	NA
chr19	10926	11046	-	ONT19.760.6666	UTR	NA
chr19	11046	11147	-	ONT19.760.6666	intron	NA
chr19	11147	11233	-	ONT19.760.6666	UTR	NA
chr19	11233	11334	-	ONT19.760.6666	intron	NA
chr19	11334	11468	-	ONT19.760.6666	UTR	NA
chr19	5	3602	-	ONT19.760.6670	UTR	NA
chr19	3603	7504	-	ONT19.760.6670	CDS	PEG3
chr19	7504	7671	-	ONT19.760.6670	intron	PEG3
chr19	7671	7763	-	ONT19.760.6670	CDS	PEG3
chr19	7763	8525	-	ONT19.760.6670	intron	PEG3
chr19	8525	8627	-	ONT19.760.6670	CDS	PEG3
chr19	8627	9361	-	ONT19.760.6670	intron	PEG3
chr19	9361	9464	-	ONT19.760.6670	CDS	PEG3
chr19	9464	9565	-	ONT19.760.6670	intron	PEG3
chr19	9565	9648	-	ONT19.760.6670	CDS	PEG3
chr19	9648	9749	-	ONT19.760.6670	intron	PEG3
chr19	9749	9838	-	ONT19.760.6670	CDS	PEG3
chr19	9838	9939	-	ONT19.760.6670	intron	PEG3
chr19	9939	9957	-	ONT19.760.6670	CDS	PEG3
chr19	9958	10104	-	ONT19.760.6670	UTR	NA
chr19	10104	10519	-	ONT19.760.6670	intron	NA
chr19	10519	10594	-	ONT19.760.6670	UTR	NA
chr19	10594	11147	-	ONT19.760.6670	intron	NA
chr19	11147	11233	-	ONT19.760.6670	UTR	NA
chr19	11233	11334	-	ONT19.760.6670	intron	NA
chr19	11334	11478	-	ONT19.760.6670	UTR	NA
chr19	7	1473	-	ONT19.760.6675	UTR	NA
chr19	1473	3353	-	ONT19.760.6675	intron	NA
chr19	3353	3602	-	ONT19.760.6675	UTR	NA
chr19	3603	7504	-	ONT19.760.6675	CDS	PEG3
chr19	7504	7671	-	ONT19.760.6675	intron	PEG3
chr19	7671	7763	-	ONT19.760.6675	CDS	PEG3
chr19	7763	8525	-	ONT19.760.6675	intron	PEG3
chr19	8525	8627	-	ONT19.760.6675	CDS	PEG3
chr19	8627	9361	-	ONT19.760.6675	intron	PEG3
chr19	9361	9464	-	ONT19.760.6675	CDS	PEG3
chr19	9464	9565	-	ONT19.760.6675	intron	PEG3
chr19	9565	9648	-	ONT19.760.6675	CDS	PEG3
chr19	9648	9749	-	ONT19.760.6675	intron	PEG3
chr19	9749	9838	-	ONT19.760.6675	CDS	PEG3
chr19	9838	9939	-	ONT19.760.6675	intron	PEG3
chr19	9939	9957	-	ONT19.760.6675	CDS	PEG3
chr19	9958	10104	-	ONT19.760.6675	UTR	NA
chr19	10104	10519	-	ONT19.760.6675	intron	NA
chr19	10519	10594	-	ONT19.760.6675	UTR	NA
chr19	10594	11147	-	ONT19.760.6675	intron	NA
chr19	11147	11233	-	ONT19.760.6675	UTR	NA
chr19	11233	11334	-	ONT19.760.6675	intron	NA
chr19	11334	11478	-	ONT19.760.6675	UTR	NA
chr19	14	1473	-	ONT19.760.6688	UTR	NA
chr19	1473	3353	-	ONT19.760.6688	intron	NA
chr19	3353	3602	-	ONT19.760.6688	UTR	NA
chr19	3603	3782	-	ONT19.760.6688	CDS	PEG3
chr19	3783	3836	-	ONT19.760.6688	UTR	NA
chr19	7	1473	-	ONT19.760.6690	UTR	NA
chr19	1473	3353	-	ONT19.760.6690	intron	NA
chr19	3353	3868	-	ONT19.760.6690	UTR	NA
chr19	3869	4051	-	ONT19.760.6690	CDS	PEG3
chr19	4052	4062	-	ONT19.760.6690	UTR	NA
chr19	2	1475	-	ONT19.760.6703	UTR	NA
