seqnames	start	end	strand	transcript_id	type	gene_id
chr6	6	23	+	ENST00000372977.8	UTR	NA
chr6	24	68	+	ENST00000372977.8	CDS	ENSG00000137413.17
chr6	68	173	+	ENST00000372977.8	intron	ENSG00000137413.17
chr6	173	329	+	ENST00000372977.8	CDS	ENSG00000137413.17
chr6	329	548	+	ENST00000372977.8	intron	ENSG00000137413.17
chr6	548	646	+	ENST00000372977.8	CDS	ENSG00000137413.17
chr6	646	747	+	ENST00000372977.8	intron	ENSG00000137413.17
chr6	747	809	+	ENST00000372977.8	CDS	ENSG00000137413.17
chr6	809	2184	+	ENST00000372977.8	intron	ENSG00000137413.17
chr6	2184	2308	+	ENST00000372977.8	CDS	ENSG00000137413.17
chr6	2308	3757	+	ENST00000372977.8	intron	ENSG00000137413.17
chr6	3757	3904	+	ENST00000372977.8	CDS	ENSG00000137413.17
chr6	3904	5864	+	ENST00000372977.8	intron	ENSG00000137413.17
chr6	5864	6006	+	ENST00000372977.8	CDS	ENSG00000137413.17
chr6	6006	6850	+	ENST00000372977.8	intron	ENSG00000137413.17
chr6	6850	6989	+	ENST00000372977.8	CDS	ENSG00000137413.17
chr6	6989	7090	+	ENST00000372977.8	intron	ENSG00000137413.17
chr6	7090	7105	+	ENST00000372977.8	CDS	ENSG00000137413.17
chr6	7106	12829	+	ENST00000372977.8	UTR	NA
chr6	2	23	+	ONT6.2064.3848	UTR	NA
chr6	24	68	+	ONT6.2064.3848	CDS	TAF8
chr6	68	173	+	ONT6.2064.3848	intron	TAF8
chr6	173	329	+	ONT6.2064.3848	CDS	TAF8
chr6	329	548	+	ONT6.2064.3848	intron	TAF8
chr6	548	646	+	ONT6.2064.3848	CDS	TAF8
chr6	646	747	+	ONT6.2064.3848	intron	TAF8
chr6	747	809	+	ONT6.2064.3848	CDS	TAF8
chr6	809	2184	+	ONT6.2064.3848	intron	TAF8
chr6	2184	2344	+	ONT6.2064.3848	CDS	TAF8
chr6	2345	2579	+	ONT6.2064.3848	UTR	NA
chr6	16	23	+	ONT6.2064.3849	UTR	NA
chr6	24	68	+	ONT6.2064.3849	CDS	TAF8
chr6	68	173	+	ONT6.2064.3849	intron	TAF8
chr6	173	329	+	ONT6.2064.3849	CDS	TAF8
chr6	329	548	+	ONT6.2064.3849	intron	TAF8
chr6	548	646	+	ONT6.2064.3849	CDS	TAF8
chr6	646	747	+	ONT6.2064.3849	intron	TAF8
chr6	747	817	+	ONT6.2064.3849	CDS	TAF8
chr6	818	829	+	ONT6.2064.3849	UTR	NA
chr6	829	2184	+	ONT6.2064.3849	intron	NA
chr6	2184	2581	+	ONT6.2064.3849	UTR	NA
chr6	17	23	+	ONT6.2064.3850	UTR	NA
chr6	24	68	+	ONT6.2064.3850	CDS	TAF8
chr6	68	173	+	ONT6.2064.3850	intron	TAF8
chr6	173	329	+	ONT6.2064.3850	CDS	TAF8
chr6	329	548	+	ONT6.2064.3850	intron	TAF8
chr6	548	646	+	ONT6.2064.3850	CDS	TAF8
chr6	646	747	+	ONT6.2064.3850	intron	TAF8
chr6	747	809	+	ONT6.2064.3850	CDS	TAF8
chr6	809	2184	+	ONT6.2064.3850	intron	TAF8
chr6	2184	2308	+	ONT6.2064.3850	CDS	TAF8
chr6	2308	2685	+	ONT6.2064.3850	intron	TAF8
chr6	2685	2756	+	ONT6.2064.3850	CDS	TAF8
chr6	2757	3656	+	ONT6.2064.3850	UTR	NA
chr6	12	23	+	ONT6.2064.3856	UTR	NA
chr6	24	68	+	ONT6.2064.3856	CDS	TAF8
chr6	68	173	+	ONT6.2064.3856	intron	TAF8
chr6	173	329	+	ONT6.2064.3856	CDS	TAF8
chr6	329	548	+	ONT6.2064.3856	intron	TAF8
chr6	548	646	+	ONT6.2064.3856	CDS	TAF8
chr6	646	747	+	ONT6.2064.3856	intron	TAF8
chr6	747	809	+	ONT6.2064.3856	CDS	TAF8
chr6	809	2184	+	ONT6.2064.3856	intron	TAF8
chr6	2184	2308	+	ONT6.2064.3856	CDS	TAF8
chr6	2308	3757	+	ONT6.2064.3856	intron	TAF8
chr6	3757	3904	+	ONT6.2064.3856	CDS	TAF8
chr6	3904	5864	+	ONT6.2064.3856	intron	TAF8
chr6	5864	6006	+	ONT6.2064.3856	CDS	TAF8
chr6	6006	6850	+	ONT6.2064.3856	intron	TAF8
chr6	6850	6989	+	ONT6.2064.3856	CDS	TAF8
chr6	6989	9296	+	ONT6.2064.3856	intron	TAF8
chr6	9296	9332	+	ONT6.2064.3856	CDS	TAF8
chr6	9333	10545	+	ONT6.2064.3856	UTR	NA
chr6	9	23	+	ONT6.2064.3857	UTR	NA
chr6	24	68	+	ONT6.2064.3857	CDS	TAF8
chr6	68	173	+	ONT6.2064.3857	intron	TAF8
chr6	173	329	+	ONT6.2064.3857	CDS	TAF8
chr6	329	548	+	ONT6.2064.3857	intron	TAF8
chr6	548	646	+	ONT6.2064.3857	CDS	TAF8
chr6	646	747	+	ONT6.2064.3857	intron	TAF8
chr6	747	809	+	ONT6.2064.3857	CDS	TAF8
chr6	809	2184	+	ONT6.2064.3857	intron	TAF8
chr6	2184	2308	+	ONT6.2064.3857	CDS	TAF8
chr6	2308	3757	+	ONT6.2064.3857	intron	TAF8
chr6	3757	3904	+	ONT6.2064.3857	CDS	TAF8
chr6	3904	5864	+	ONT6.2064.3857	intron	TAF8
chr6	5864	6006	+	ONT6.2064.3857	CDS	TAF8
chr6	6006	6850	+	ONT6.2064.3857	intron	TAF8
chr6	6850	6989	+	ONT6.2064.3857	CDS	TAF8
chr6	6989	7090	+	ONT6.2064.3857	intron	TAF8
chr6	7090	7102	+	ONT6.2064.3857	CDS	TAF8
chr6	7103	7309	+	ONT6.2064.3857	UTR	NA
chr6	7309	8587	+	ONT6.2064.3857	intron	NA
chr6	8587	10461	+	ONT6.2064.3857	UTR	NA
chr6	6	23	+	ONT6.2064.3863	UTR	NA
chr6	24	68	+	ONT6.2064.3863	CDS	TAF8
chr6	68	173	+	ONT6.2064.3863	intron	TAF8
chr6	173	329	+	ONT6.2064.3863	CDS	TAF8
chr6	329	548	+	ONT6.2064.3863	intron	TAF8
chr6	548	646	+	ONT6.2064.3863	CDS	TAF8
chr6	646	747	+	ONT6.2064.3863	intron	TAF8
chr6	747	809	+	ONT6.2064.3863	CDS	TAF8
chr6	809	2184	+	ONT6.2064.3863	intron	TAF8
chr6	2184	2308	+	ONT6.2064.3863	CDS	TAF8
chr6	2308	3757	+	ONT6.2064.3863	intron	TAF8
chr6	3757	3981	+	ONT6.2064.3863	CDS	TAF8
chr6	3982	4499	+	ONT6.2064.3863	UTR	NA
chr6	16	23	+	ONT6.2064.3864	UTR	NA
chr6	24	68	+	ONT6.2064.3864	CDS	TAF8
chr6	68	173	+	ONT6.2064.3864	intron	TAF8
chr6	173	329	+	ONT6.2064.3864	CDS	TAF8
chr6	329	548	+	ONT6.2064.3864	intron	TAF8
chr6	548	646	+	ONT6.2064.3864	CDS	TAF8
chr6	646	747	+	ONT6.2064.3864	intron	TAF8
chr6	747	809	+	ONT6.2064.3864	CDS	TAF8
chr6	809	2184	+	ONT6.2064.3864	intron	TAF8
chr6	2184	2308	+	ONT6.2064.3864	CDS	TAF8
chr6	2308	3757	+	ONT6.2064.3864	intron	TAF8
chr6	3757	3904	+	ONT6.2064.3864	CDS	TAF8
chr6	3904	5864	+	ONT6.2064.3864	intron	TAF8
chr6	5864	6006	+	ONT6.2064.3864	CDS	TAF8
chr6	6006	6107	+	ONT6.2064.3864	intron	TAF8
chr6	6107	6228	+	ONT6.2064.3864	CDS	TAF8
chr6	6228	6850	+	ONT6.2064.3864	intron	TAF8
chr6	6850	6964	+	ONT6.2064.3864	CDS	TAF8
chr6	6965	6989	+	ONT6.2064.3864	UTR	NA
chr6	6989	9293	+	ONT6.2064.3864	intron	NA
