seqnames	start	end	strand	transcript_id	type	gene_id
chr9	6	1946	-	ENST00000673969.1	UTR	NA
chr9	1947	2354	-	ENST00000673969.1	CDS	ENSG00000196990.9
chr9	2354	2455	-	ENST00000673969.1	intron	ENSG00000196990.9
chr9	2455	2550	-	ENST00000673969.1	CDS	ENSG00000196990.9
chr9	2551	2570	-	ENST00000673969.1	UTR	NA
chr9	2570	4929	-	ENST00000673969.1	intron	NA
chr9	4929	5241	-	ENST00000673969.1	UTR	NA
chr9	8	1949	-	ONT9.4991.14887	UTR	NA
chr9	1950	2354	-	ONT9.4991.14887	CDS	FAM163B
chr9	2354	2455	-	ONT9.4991.14887	intron	FAM163B
chr9	2455	2550	-	ONT9.4991.14887	CDS	FAM163B
chr9	2551	2570	-	ONT9.4991.14887	UTR	NA
chr9	2570	4929	-	ONT9.4991.14887	intron	NA
chr9	4929	5238	-	ONT9.4991.14887	UTR	NA
chr9	6	128	-	ONT9.4991.14914	UTR	NA
chr9	129	184	-	ONT9.4991.14914	CDS	FAM163B
chr9	184	275	-	ONT9.4991.14914	intron	FAM163B
chr9	275	719	-	ONT9.4991.14914	CDS	FAM163B
chr9	720	1008	-	ONT9.4991.14914	UTR	NA
chr9	2	184	-	ONT9.4991.14935	UTR	NA
chr9	184	633	-	ONT9.4991.14935	intron	NA
chr9	633	1949	-	ONT9.4991.14935	UTR	NA
chr9	1950	2354	-	ONT9.4991.14935	CDS	FAM163B
chr9	2354	2455	-	ONT9.4991.14935	intron	FAM163B
chr9	2455	2550	-	ONT9.4991.14935	CDS	FAM163B
chr9	2551	2570	-	ONT9.4991.14935	UTR	NA
chr9	2570	4929	-	ONT9.4991.14935	intron	NA
chr9	4929	5077	-	ONT9.4991.14935	UTR	NA
chr9	6	128	-	ONT9.4991.14939	UTR	NA
chr9	129	184	-	ONT9.4991.14939	CDS	FAM163B
chr9	184	275	-	ONT9.4991.14939	intron	FAM163B
chr9	275	719	-	ONT9.4991.14939	CDS	FAM163B
chr9	720	1087	-	ONT9.4991.14939	UTR	NA
chr9	11	128	-	ONT9.4991.14943	UTR	NA
chr9	129	184	-	ONT9.4991.14943	CDS	FAM163B
chr9	184	293	-	ONT9.4991.14943	intron	FAM163B
chr9	293	719	-	ONT9.4991.14943	CDS	FAM163B
chr9	720	1298	-	ONT9.4991.14943	UTR	NA
chr9	6	1949	-	ONT9.4991.14950	UTR	NA
chr9	1950	2354	-	ONT9.4991.14950	CDS	FAM163B
chr9	2354	2455	-	ONT9.4991.14950	intron	FAM163B
chr9	2455	2550	-	ONT9.4991.14950	CDS	FAM163B
chr9	2551	2896	-	ONT9.4991.14950	UTR	NA
chr9	11	128	-	ONT9.4991.14970	UTR	NA
chr9	129	184	-	ONT9.4991.14970	CDS	FAM163B
chr9	184	365	-	ONT9.4991.14970	intron	FAM163B
chr9	365	719	-	ONT9.4991.14970	CDS	FAM163B
chr9	720	828	-	ONT9.4991.14970	UTR	NA
chr9	6	1949	-	ONT9.4991.14972	UTR	NA
