seqnames	start	end	strand	transcript_id	type	gene_id
chr2	315	362	+	ENST00000002125.9	UTR	NA
chr2	363	417	+	ENST00000002125.9	CDS	ENSG00000003509.16
chr2	417	763	+	ENST00000002125.9	intron	ENSG00000003509.16
chr2	763	923	+	ENST00000002125.9	CDS	ENSG00000003509.16
chr2	923	1026	+	ENST00000002125.9	intron	ENSG00000003509.16
chr2	1026	1106	+	ENST00000002125.9	CDS	ENSG00000003509.16
chr2	1106	1826	+	ENST00000002125.9	intron	ENSG00000003509.16
chr2	1826	1936	+	ENST00000002125.9	CDS	ENSG00000003509.16
chr2	1936	2048	+	ENST00000002125.9	intron	ENSG00000003509.16
chr2	2048	2261	+	ENST00000002125.9	CDS	ENSG00000003509.16
chr2	2261	3105	+	ENST00000002125.9	intron	ENSG00000003509.16
chr2	3105	3163	+	ENST00000002125.9	CDS	ENSG00000003509.16
chr2	3163	4333	+	ENST00000002125.9	intron	ENSG00000003509.16
chr2	4333	4443	+	ENST00000002125.9	CDS	ENSG00000003509.16
chr2	4443	4544	+	ENST00000002125.9	intron	ENSG00000003509.16
chr2	4544	4687	+	ENST00000002125.9	CDS	ENSG00000003509.16
chr2	4687	4802	+	ENST00000002125.9	intron	ENSG00000003509.16
chr2	4802	4975	+	ENST00000002125.9	CDS	ENSG00000003509.16
chr2	4975	5081	+	ENST00000002125.9	intron	ENSG00000003509.16
chr2	5081	5299	+	ENST00000002125.9	CDS	ENSG00000003509.16
chr2	5300	6106	+	ENST00000002125.9	UTR	NA
chr2	2	362	+	ONT2.2675.10501	UTR	NA
chr2	363	417	+	ONT2.2675.10501	CDS	NDUFAF7
chr2	417	763	+	ONT2.2675.10501	intron	NDUFAF7
chr2	763	923	+	ONT2.2675.10501	CDS	NDUFAF7
chr2	923	1026	+	ONT2.2675.10501	intron	NDUFAF7
chr2	1026	1106	+	ONT2.2675.10501	CDS	NDUFAF7
chr2	1106	1826	+	ONT2.2675.10501	intron	NDUFAF7
chr2	1826	1936	+	ONT2.2675.10501	CDS	NDUFAF7
chr2	1936	2048	+	ONT2.2675.10501	intron	NDUFAF7
chr2	2048	2107	+	ONT2.2675.10501	CDS	NDUFAF7
chr2	2107	3105	+	ONT2.2675.10501	intron	NDUFAF7
chr2	3105	3163	+	ONT2.2675.10501	CDS	NDUFAF7
chr2	3163	4333	+	ONT2.2675.10501	intron	NDUFAF7
chr2	4333	4396	+	ONT2.2675.10501	CDS	NDUFAF7
chr2	4397	4443	+	ONT2.2675.10501	UTR	NA
chr2	4443	4544	+	ONT2.2675.10501	intron	NA
chr2	4544	4687	+	ONT2.2675.10501	UTR	NA
chr2	4687	4802	+	ONT2.2675.10501	intron	NA
chr2	4802	4975	+	ONT2.2675.10501	UTR	NA
chr2	4975	5081	+	ONT2.2675.10501	intron	NA
chr2	5081	6106	+	ONT2.2675.10501	UTR	NA
chr2	4	362	+	ONT2.2675.10503	UTR	NA
chr2	363	417	+	ONT2.2675.10503	CDS	NDUFAF7
chr2	417	763	+	ONT2.2675.10503	intron	NDUFAF7
chr2	763	923	+	ONT2.2675.10503	CDS	NDUFAF7
chr2	923	1026	+	ONT2.2675.10503	intron	NDUFAF7
chr2	1026	1106	+	ONT2.2675.10503	CDS	NDUFAF7
chr2	1106	1826	+	ONT2.2675.10503	intron	NDUFAF7
chr2	1826	1936	+	ONT2.2675.10503	CDS	NDUFAF7
chr2	1936	2048	+	ONT2.2675.10503	intron	NDUFAF7
