seqnames	start	end	strand	transcript_id	type	gene_id
chr1	2	2446	-	ENST00000294725.14	UTR	NA
chr1	2447	2558	-	ENST00000294725.14	CDS	ENSG00000162687.19
chr1	2558	2659	-	ENST00000294725.14	intron	ENSG00000162687.19
chr1	2659	2743	-	ENST00000294725.14	CDS	ENSG00000162687.19
chr1	2743	2940	-	ENST00000294725.14	intron	ENSG00000162687.19
chr1	2940	3240	-	ENST00000294725.14	CDS	ENSG00000162687.19
chr1	3240	3508	-	ENST00000294725.14	intron	ENSG00000162687.19
chr1	3508	3636	-	ENST00000294725.14	CDS	ENSG00000162687.19
chr1	3636	3737	-	ENST00000294725.14	intron	ENSG00000162687.19
chr1	3737	3820	-	ENST00000294725.14	CDS	ENSG00000162687.19
chr1	3820	3924	-	ENST00000294725.14	intron	ENSG00000162687.19
chr1	3924	4025	-	ENST00000294725.14	CDS	ENSG00000162687.19
chr1	4025	4130	-	ENST00000294725.14	intron	ENSG00000162687.19
chr1	4130	4241	-	ENST00000294725.14	CDS	ENSG00000162687.19
chr1	4241	4623	-	ENST00000294725.14	intron	ENSG00000162687.19
chr1	4623	4757	-	ENST00000294725.14	CDS	ENSG00000162687.19
chr1	4757	6215	-	ENST00000294725.14	intron	ENSG00000162687.19
chr1	6215	6286	-	ENST00000294725.14	CDS	ENSG00000162687.19
chr1	6286	6391	-	ENST00000294725.14	intron	ENSG00000162687.19
chr1	6391	6563	-	ENST00000294725.14	CDS	ENSG00000162687.19
chr1	6563	6668	-	ENST00000294725.14	intron	ENSG00000162687.19
chr1	6668	6773	-	ENST00000294725.14	CDS	ENSG00000162687.19
chr1	6773	7621	-	ENST00000294725.14	intron	ENSG00000162687.19
chr1	7621	7834	-	ENST00000294725.14	CDS	ENSG00000162687.19
chr1	7834	7936	-	ENST00000294725.14	intron	ENSG00000162687.19
chr1	7936	8165	-	ENST00000294725.14	CDS	ENSG00000162687.19
chr1	8165	8266	-	ENST00000294725.14	intron	ENSG00000162687.19
chr1	8266	8415	-	ENST00000294725.14	CDS	ENSG00000162687.19
chr1	8415	8632	-	ENST00000294725.14	intron	ENSG00000162687.19
chr1	8632	8740	-	ENST00000294725.14	CDS	ENSG00000162687.19
chr1	8740	8841	-	ENST00000294725.14	intron	ENSG00000162687.19
chr1	8841	8949	-	ENST00000294725.14	CDS	ENSG00000162687.19
chr1	8949	9050	-	ENST00000294725.14	intron	ENSG00000162687.19
chr1	9050	9113	-	ENST00000294725.14	CDS	ENSG00000162687.19
chr1	9113	10941	-	ENST00000294725.14	intron	ENSG00000162687.19
chr1	10941	11077	-	ENST00000294725.14	CDS	ENSG00000162687.19
chr1	11077	11178	-	ENST00000294725.14	intron	ENSG00000162687.19
chr1	11178	11342	-	ENST00000294725.14	CDS	ENSG00000162687.19
chr1	11342	11443	-	ENST00000294725.14	intron	ENSG00000162687.19
chr1	11443	11623	-	ENST00000294725.14	CDS	ENSG00000162687.19
chr1	11623	11724	-	ENST00000294725.14	intron	ENSG00000162687.19
chr1	11724	11818	-	ENST00000294725.14	CDS	ENSG00000162687.19
chr1	11818	11923	-	ENST00000294725.14	intron	ENSG00000162687.19
chr1	11923	12006	-	ENST00000294725.14	CDS	ENSG00000162687.19
chr1	12006	12107	-	ENST00000294725.14	intron	ENSG00000162687.19
chr1	12107	12181	-	ENST00000294725.14	CDS	ENSG00000162687.19
chr1	12181	12282	-	ENST00000294725.14	intron	ENSG00000162687.19
chr1	12282	12341	-	ENST00000294725.14	CDS	ENSG00000162687.19
chr1	12341	12442	-	ENST00000294725.14	intron	ENSG00000162687.19
chr1	12442	12490	-	ENST00000294725.14	CDS	ENSG00000162687.19
chr1	12490	12591	-	ENST00000294725.14	intron	ENSG00000162687.19
chr1	12591	12690	-	ENST00000294725.14	CDS	ENSG00000162687.19
chr1	12690	12791	-	ENST00000294725.14	intron	ENSG00000162687.19
chr1	12791	12870	-	ENST00000294725.14	CDS	ENSG00000162687.19
chr1	12870	12971	-	ENST00000294725.14	intron	ENSG00000162687.19
chr1	12971	13068	-	ENST00000294725.14	CDS	ENSG00000162687.19
chr1	13069	13196	-	ENST00000294725.14	UTR	NA
chr1	5640	6213	-	ONT1.7561.1391	UTR	NA
chr1	6214	6286	-	ONT1.7561.1391	CDS	KCNT2
chr1	6286	6391	-	ONT1.7561.1391	intron	KCNT2
chr1	6391	6563	-	ONT1.7561.1391	CDS	KCNT2
chr1	6563	6668	-	ONT1.7561.1391	intron	KCNT2
chr1	6668	6773	-	ONT1.7561.1391	CDS	KCNT2
chr1	6773	7621	-	ONT1.7561.1391	intron	KCNT2
chr1	7621	7834	-	ONT1.7561.1391	CDS	KCNT2
