seqnames	start	end	strand	transcript_id	type	gene_id
chr8	246	352	+	ENST00000517490.6	UTR	NA
chr8	352	893	+	ENST00000517490.6	intron	NA
chr8	893	930	+	ENST00000517490.6	UTR	NA
chr8	930	1262	+	ENST00000517490.6	intron	NA
chr8	1262	1271	+	ENST00000517490.6	UTR	NA
chr8	1272	1403	+	ENST00000517490.6	CDS	ENSG00000085719.13
chr8	1403	1511	+	ENST00000517490.6	intron	ENSG00000085719.13
chr8	1511	1690	+	ENST00000517490.6	CDS	ENSG00000085719.13
chr8	1690	1799	+	ENST00000517490.6	intron	ENSG00000085719.13
chr8	1799	1873	+	ENST00000517490.6	CDS	ENSG00000085719.13
chr8	1873	1975	+	ENST00000517490.6	intron	ENSG00000085719.13
chr8	1975	2046	+	ENST00000517490.6	CDS	ENSG00000085719.13
chr8	2046	2151	+	ENST00000517490.6	intron	ENSG00000085719.13
chr8	2151	2234	+	ENST00000517490.6	CDS	ENSG00000085719.13
chr8	2234	2335	+	ENST00000517490.6	intron	ENSG00000085719.13
chr8	2335	2424	+	ENST00000517490.6	CDS	ENSG00000085719.13
chr8	2424	4052	+	ENST00000517490.6	intron	ENSG00000085719.13
chr8	4052	4150	+	ENST00000517490.6	CDS	ENSG00000085719.13
chr8	4150	5325	+	ENST00000517490.6	intron	ENSG00000085719.13
chr8	5325	5411	+	ENST00000517490.6	CDS	ENSG00000085719.13
chr8	5411	6259	+	ENST00000517490.6	intron	ENSG00000085719.13
chr8	6259	6318	+	ENST00000517490.6	CDS	ENSG00000085719.13
chr8	6318	6423	+	ENST00000517490.6	intron	ENSG00000085719.13
chr8	6423	6556	+	ENST00000517490.6	CDS	ENSG00000085719.13
chr8	6556	6661	+	ENST00000517490.6	intron	ENSG00000085719.13
chr8	6661	6715	+	ENST00000517490.6	CDS	ENSG00000085719.13
chr8	6715	6798	+	ENST00000517490.6	intron	ENSG00000085719.13
chr8	6798	6849	+	ENST00000517490.6	CDS	ENSG00000085719.13
chr8	6849	6992	+	ENST00000517490.6	intron	ENSG00000085719.13
chr8	6992	7125	+	ENST00000517490.6	CDS	ENSG00000085719.13
chr8	7125	8190	+	ENST00000517490.6	intron	ENSG00000085719.13
chr8	8190	8426	+	ENST00000517490.6	CDS	ENSG00000085719.13
chr8	8426	8531	+	ENST00000517490.6	intron	ENSG00000085719.13
chr8	8531	8656	+	ENST00000517490.6	CDS	ENSG00000085719.13
chr8	8657	11741	+	ENST00000517490.6	UTR	NA
chr8	2	107	+	ONT8.5054.2397	UTR	NA
chr8	107	1262	+	ONT8.5054.2397	intron	NA
chr8	1262	1271	+	ONT8.5054.2397	UTR	NA
chr8	1272	1403	+	ONT8.5054.2397	CDS	CPNE3
chr8	1403	1511	+	ONT8.5054.2397	intron	CPNE3
chr8	1511	1690	+	ONT8.5054.2397	CDS	CPNE3
chr8	1690	1799	+	ONT8.5054.2397	intron	CPNE3
chr8	1799	1873	+	ONT8.5054.2397	CDS	CPNE3
chr8	1873	1975	+	ONT8.5054.2397	intron	CPNE3
chr8	1975	2046	+	ONT8.5054.2397	CDS	CPNE3
chr8	2046	2151	+	ONT8.5054.2397	intron	CPNE3
chr8	2151	2234	+	ONT8.5054.2397	CDS	CPNE3
chr8	2234	2335	+	ONT8.5054.2397	intron	CPNE3
chr8	2335	2424	+	ONT8.5054.2397	CDS	CPNE3
chr8	2424	4052	+	ONT8.5054.2397	intron	CPNE3
chr8	4052	4150	+	ONT8.5054.2397	CDS	CPNE3
chr8	4150	5325	+	ONT8.5054.2397	intron	CPNE3
chr8	5325	5411	+	ONT8.5054.2397	CDS	CPNE3
chr8	5411	6259	+	ONT8.5054.2397	intron	CPNE3
chr8	6259	6318	+	ONT8.5054.2397	CDS	CPNE3
chr8	6318	6423	+	ONT8.5054.2397	intron	CPNE3
chr8	6423	6556	+	ONT8.5054.2397	CDS	CPNE3
chr8	6556	6661	+	ONT8.5054.2397	intron	CPNE3
chr8	6661	6715	+	ONT8.5054.2397	CDS	CPNE3
chr8	6715	6798	+	ONT8.5054.2397	intron	CPNE3
chr8	6798	6849	+	ONT8.5054.2397	CDS	CPNE3
chr8	6849	6992	+	ONT8.5054.2397	intron	CPNE3
chr8	6992	7125	+	ONT8.5054.2397	CDS	CPNE3
chr8	7125	8190	+	ONT8.5054.2397	intron	CPNE3
chr8	8190	8426	+	ONT8.5054.2397	CDS	CPNE3
chr8	8426	8531	+	ONT8.5054.2397	intron	CPNE3
chr8	8531	8653	+	ONT8.5054.2397	CDS	CPNE3
chr8	8654	11741	+	ONT8.5054.2397	UTR	NA
chr8	270	352	+	ONT8.5054.2423	UTR	NA
chr8	352	893	+	ONT8.5054.2423	intron	NA
chr8	893	930	+	ONT8.5054.2423	UTR	NA
chr8	930	1262	+	ONT8.5054.2423	intron	NA
chr8	1262	1271	+	ONT8.5054.2423	UTR	NA
chr8	1272	1403	+	ONT8.5054.2423	CDS	CPNE3
chr8	1403	1511	+	ONT8.5054.2423	intron	CPNE3
chr8	1511	1690	+	ONT8.5054.2423	CDS	CPNE3
chr8	1690	1799	+	ONT8.5054.2423	intron	CPNE3
chr8	1799	1873	+	ONT8.5054.2423	CDS	CPNE3
chr8	1873	1975	+	ONT8.5054.2423	intron	CPNE3
chr8	1975	2046	+	ONT8.5054.2423	CDS	CPNE3
chr8	2046	2151	+	ONT8.5054.2423	intron	CPNE3
chr8	2151	2234	+	ONT8.5054.2423	CDS	CPNE3
chr8	2234	2335	+	ONT8.5054.2423	intron	CPNE3
chr8	2335	2424	+	ONT8.5054.2423	CDS	CPNE3
chr8	2424	4052	+	ONT8.5054.2423	intron	CPNE3
chr8	4052	4150	+	ONT8.5054.2423	CDS	CPNE3
chr8	4150	5325	+	ONT8.5054.2423	intron	CPNE3
chr8	5325	5406	+	ONT8.5054.2423	CDS	CPNE3
chr8	5406	6259	+	ONT8.5054.2423	intron	CPNE3
chr8	6259	6284	+	ONT8.5054.2423	CDS	CPNE3
chr8	6285	6318	+	ONT8.5054.2423	UTR	NA
chr8	6318	6423	+	ONT8.5054.2423	intron	NA
chr8	6423	6556	+	ONT8.5054.2423	UTR	NA
chr8	6556	6661	+	ONT8.5054.2423	intron	NA
chr8	6661	6715	+	ONT8.5054.2423	UTR	NA
chr8	6715	6798	+	ONT8.5054.2423	intron	NA
chr8	6798	6849	+	ONT8.5054.2423	UTR	NA
chr8	6849	6992	+	ONT8.5054.2423	intron	NA
chr8	6992	7125	+	ONT8.5054.2423	UTR	NA
chr8	7125	8190	+	ONT8.5054.2423	intron	NA
chr8	8190	8426	+	ONT8.5054.2423	UTR	NA
chr8	8426	8531	+	ONT8.5054.2423	intron	NA
chr8	8531	9105	+	ONT8.5054.2423	UTR	NA
chr8	246	384	+	ONT8.5054.2424	UTR	NA
chr8	384	1262	+	ONT8.5054.2424	intron	NA
chr8	1262	1271	+	ONT8.5054.2424	UTR	NA
chr8	1272	1403	+	ONT8.5054.2424	CDS	CPNE3
chr8	1403	1511	+	ONT8.5054.2424	intron	CPNE3
chr8	1511	1690	+	ONT8.5054.2424	CDS	CPNE3
chr8	1690	1799	+	ONT8.5054.2424	intron	CPNE3
chr8	1799	1873	+	ONT8.5054.2424	CDS	CPNE3
chr8	1873	1975	+	ONT8.5054.2424	intron	CPNE3
