seqnames	start	end	strand	transcript_id	type	gene_id
chr1	2	228	+	ENST00000319653.14	UTR	NA
chr1	229	1843	+	ENST00000319653.14	CDS	ENSG00000155816.21
chr1	1843	1944	+	ENST00000319653.14	intron	ENSG00000155816.21
chr1	1944	2110	+	ENST00000319653.14	CDS	ENSG00000155816.21
chr1	2110	2211	+	ENST00000319653.14	intron	ENSG00000155816.21
chr1	2211	2358	+	ENST00000319653.14	CDS	ENSG00000155816.21
chr1	2358	2459	+	ENST00000319653.14	intron	ENSG00000155816.21
chr1	2459	2514	+	ENST00000319653.14	CDS	ENSG00000155816.21
chr1	2514	2615	+	ENST00000319653.14	intron	ENSG00000155816.21
chr1	2615	4548	+	ENST00000319653.14	CDS	ENSG00000155816.21
chr1	4548	4651	+	ENST00000319653.14	intron	ENSG00000155816.21
chr1	4651	4795	+	ENST00000319653.14	CDS	ENSG00000155816.21
chr1	4795	5197	+	ENST00000319653.14	intron	ENSG00000155816.21
chr1	5197	5284	+	ENST00000319653.14	CDS	ENSG00000155816.21
chr1	5284	5682	+	ENST00000319653.14	intron	ENSG00000155816.21
chr1	5682	5743	+	ENST00000319653.14	CDS	ENSG00000155816.21
chr1	5743	5850	+	ENST00000319653.14	intron	ENSG00000155816.21
chr1	5850	5941	+	ENST00000319653.14	CDS	ENSG00000155816.21
chr1	5941	6042	+	ENST00000319653.14	intron	ENSG00000155816.21
chr1	6042	6171	+	ENST00000319653.14	CDS	ENSG00000155816.21
chr1	6171	6274	+	ENST00000319653.14	intron	ENSG00000155816.21
chr1	6274	6420	+	ENST00000319653.14	CDS	ENSG00000155816.21
chr1	6420	8148	+	ENST00000319653.14	intron	ENSG00000155816.21
chr1	8148	8207	+	ENST00000319653.14	CDS	ENSG00000155816.21
chr1	8207	8309	+	ENST00000319653.14	intron	ENSG00000155816.21
chr1	8309	8429	+	ENST00000319653.14	CDS	ENSG00000155816.21
chr1	8429	8530	+	ENST00000319653.14	intron	ENSG00000155816.21
chr1	8530	8622	+	ENST00000319653.14	CDS	ENSG00000155816.21
chr1	8622	9275	+	ENST00000319653.14	intron	ENSG00000155816.21
chr1	9275	9326	+	ENST00000319653.14	CDS	ENSG00000155816.21
chr1	9326	9573	+	ENST00000319653.14	intron	ENSG00000155816.21
chr1	9573	9722	+	ENST00000319653.14	CDS	ENSG00000155816.21
chr1	9722	9823	+	ENST00000319653.14	intron	ENSG00000155816.21
chr1	9823	9904	+	ENST00000319653.14	CDS	ENSG00000155816.21
chr1	9904	10009	+	ENST00000319653.14	intron	ENSG00000155816.21
chr1	10009	10038	+	ENST00000319653.14	CDS	ENSG00000155816.21
chr1	10039	11068	+	ENST00000319653.14	UTR	NA
chr1	5196	5244	+	ONT1.9864.10056	UTR	NA
chr1	5245	5284	+	ONT1.9864.10056	CDS	FMN2
chr1	5284	5682	+	ONT1.9864.10056	intron	FMN2
chr1	5682	5743	+	ONT1.9864.10056	CDS	FMN2
chr1	5743	5850	+	ONT1.9864.10056	intron	FMN2
chr1	5850	5941	+	ONT1.9864.10056	CDS	FMN2
chr1	5941	6042	+	ONT1.9864.10056	intron	FMN2
chr1	6042	6171	+	ONT1.9864.10056	CDS	FMN2
chr1	6171	6274	+	ONT1.9864.10056	intron	FMN2
chr1	6274	6420	+	ONT1.9864.10056	CDS	FMN2
chr1	6420	8148	+	ONT1.9864.10056	intron	FMN2
chr1	8148	8207	+	ONT1.9864.10056	CDS	FMN2
chr1	8207	8309	+	ONT1.9864.10056	intron	FMN2
chr1	8309	8429	+	ONT1.9864.10056	CDS	FMN2
chr1	8429	8530	+	ONT1.9864.10056	intron	FMN2
