seqnames	start	end	strand	transcript_id	type	gene_id
chr10	640	3011	-	ENST00000491614.6	UTR	NA
chr10	3012	3121	-	ENST00000491614.6	CDS	ENSG00000165609.13
chr10	3121	6027	-	ENST00000491614.6	intron	ENSG00000165609.13
chr10	6027	6080	-	ENST00000491614.6	CDS	ENSG00000165609.13
chr10	6080	6210	-	ENST00000491614.6	intron	ENSG00000165609.13
chr10	6210	6218	-	ENST00000491614.6	CDS	ENSG00000165609.13
chr10	6218	6919	-	ENST00000491614.6	intron	ENSG00000165609.13
chr10	6919	7020	-	ENST00000491614.6	CDS	ENSG00000165609.13
chr10	7020	7317	-	ENST00000491614.6	intron	ENSG00000165609.13
chr10	7317	7412	-	ENST00000491614.6	CDS	ENSG00000165609.13
chr10	7412	7889	-	ENST00000491614.6	intron	ENSG00000165609.13
chr10	7889	7996	-	ENST00000491614.6	CDS	ENSG00000165609.13
chr10	7996	8151	-	ENST00000491614.6	intron	ENSG00000165609.13
chr10	8151	8200	-	ENST00000491614.6	CDS	ENSG00000165609.13
chr10	8200	8699	-	ENST00000491614.6	intron	ENSG00000165609.13
chr10	8699	8766	-	ENST00000491614.6	CDS	ENSG00000165609.13
chr10	8766	9220	-	ENST00000491614.6	intron	ENSG00000165609.13
chr10	9220	9285	-	ENST00000491614.6	CDS	ENSG00000165609.13
chr10	9286	9323	-	ENST00000491614.6	UTR	NA
chr10	9323	10990	-	ENST00000491614.6	intron	NA
chr10	10990	11111	-	ENST00000491614.6	UTR	NA
chr10	2	532	-	ONT10.918.6085	UTR	NA
chr10	533	537	-	ONT10.918.6085	CDS	NUDT5
chr10	537	6919	-	ONT10.918.6085	intron	NUDT5
chr10	6919	7020	-	ONT10.918.6085	CDS	NUDT5
chr10	7020	7317	-	ONT10.918.6085	intron	NUDT5
chr10	7317	7412	-	ONT10.918.6085	CDS	NUDT5
chr10	7412	7889	-	ONT10.918.6085	intron	NUDT5
chr10	7889	7996	-	ONT10.918.6085	CDS	NUDT5
chr10	7996	8151	-	ONT10.918.6085	intron	NUDT5
chr10	8151	8200	-	ONT10.918.6085	CDS	NUDT5
chr10	8200	8699	-	ONT10.918.6085	intron	NUDT5
chr10	8699	8766	-	ONT10.918.6085	CDS	NUDT5
chr10	8766	9220	-	ONT10.918.6085	intron	NUDT5
chr10	9220	9285	-	ONT10.918.6085	CDS	NUDT5
chr10	9286	9323	-	ONT10.918.6085	UTR	NA
chr10	9323	10990	-	ONT10.918.6085	intron	NA
chr10	10990	11111	-	ONT10.918.6085	UTR	NA
chr10	76	532	-	ONT10.918.6088	UTR	NA
chr10	533	537	-	ONT10.918.6088	CDS	NUDT5
chr10	537	6027	-	ONT10.918.6088	intron	NUDT5
chr10	6027	6080	-	ONT10.918.6088	CDS	NUDT5
chr10	6080	6919	-	ONT10.918.6088	intron	NUDT5
chr10	6919	7020	-	ONT10.918.6088	CDS	NUDT5
chr10	7020	7317	-	ONT10.918.6088	intron	NUDT5
chr10	7317	7412	-	ONT10.918.6088	CDS	NUDT5
chr10	7412	7889	-	ONT10.918.6088	intron	NUDT5
chr10	7889	7996	-	ONT10.918.6088	CDS	NUDT5
chr10	7996	8151	-	ONT10.918.6088	intron	NUDT5
chr10	8151	8200	-	ONT10.918.6088	CDS	NUDT5
chr10	8200	8699	-	ONT10.918.6088	intron	NUDT5
chr10	8699	8766	-	ONT10.918.6088	CDS	NUDT5
chr10	8766	9220	-	ONT10.918.6088	intron	NUDT5
chr10	9220	9285	-	ONT10.918.6088	CDS	NUDT5
chr10	9286	9323	-	ONT10.918.6088	UTR	NA
chr10	9323	10990	-	ONT10.918.6088	intron	NA
chr10	10990	11093	-	ONT10.918.6088	UTR	NA
chr10	86	516	-	ONT10.918.6090	UTR	NA
chr10	517	537	-	ONT10.918.6090	CDS	NUDT5
chr10	537	6027	-	ONT10.918.6090	intron	NUDT5
chr10	6027	6080	-	ONT10.918.6090	CDS	NUDT5
chr10	6080	6911	-	ONT10.918.6090	intron	NUDT5
chr10	6911	7020	-	ONT10.918.6090	CDS	NUDT5
chr10	7020	7317	-	ONT10.918.6090	intron	NUDT5
chr10	7317	7412	-	ONT10.918.6090	CDS	NUDT5
chr10	7412	7889	-	ONT10.918.6090	intron	NUDT5
chr10	7889	7996	-	ONT10.918.6090	CDS	NUDT5
chr10	7996	8151	-	ONT10.918.6090	intron	NUDT5
chr10	8151	8200	-	ONT10.918.6090	CDS	NUDT5
chr10	8200	8699	-	ONT10.918.6090	intron	NUDT5
chr10	8699	8766	-	ONT10.918.6090	CDS	NUDT5
chr10	8766	9220	-	ONT10.918.6090	intron	NUDT5
chr10	9220	9285	-	ONT10.918.6090	CDS	NUDT5
chr10	9286	9323	-	ONT10.918.6090	UTR	NA
chr10	9323	10990	-	ONT10.918.6090	intron	NA
chr10	10990	11113	-	ONT10.918.6090	UTR	NA
chr10	638	3121	-	ONT10.918.6418	UTR	NA
chr10	3121	6027	-	ONT10.918.6418	intron	NA
chr10	6027	6080	-	ONT10.918.6418	UTR	NA
chr10	6080	6913	-	ONT10.918.6418	intron	NA
chr10	6913	6913	-	ONT10.918.6418	UTR	NA
chr10	6914	7020	-	ONT10.918.6418	CDS	NUDT5
chr10	7020	7317	-	ONT10.918.6418	intron	NUDT5
chr10	7317	7412	-	ONT10.918.6418	CDS	NUDT5
chr10	7412	7889	-	ONT10.918.6418	intron	NUDT5
chr10	7889	7996	-	ONT10.918.6418	CDS	NUDT5
chr10	7996	8151	-	ONT10.918.6418	intron	NUDT5
chr10	8151	8200	-	ONT10.918.6418	CDS	NUDT5
chr10	8200	8699	-	ONT10.918.6418	intron	NUDT5
chr10	8699	8766	-	ONT10.918.6418	CDS	NUDT5
chr10	8766	9220	-	ONT10.918.6418	intron	NUDT5
chr10	9220	9285	-	ONT10.918.6418	CDS	NUDT5
chr10	9286	9323	-	ONT10.918.6418	UTR	NA
chr10	9323	10990	-	ONT10.918.6418	intron	NA
chr10	10990	11364	-	ONT10.918.6418	UTR	NA
chr10	642	3115	-	ONT10.918.6419	UTR	NA
chr10	3116	3121	-	ONT10.918.6419	CDS	NUDT5
chr10	3121	6027	-	ONT10.918.6419	intron	NUDT5
chr10	6027	6080	-	ONT10.918.6419	CDS	NUDT5
chr10	6080	6911	-	ONT10.918.6419	intron	NUDT5
chr10	6911	7020	-	ONT10.918.6419	CDS	NUDT5
chr10	7020	7317	-	ONT10.918.6419	intron	NUDT5
chr10	7317	7412	-	ONT10.918.6419	CDS	NUDT5
chr10	7412	7889	-	ONT10.918.6419	intron	NUDT5
chr10	7889	7996	-	ONT10.918.6419	CDS	NUDT5
chr10	7996	8151	-	ONT10.918.6419	intron	NUDT5
chr10	8151	8200	-	ONT10.918.6419	CDS	NUDT5
chr10	8200	8699	-	ONT10.918.6419	intron	NUDT5
chr10	8699	8766	-	ONT10.918.6419	CDS	NUDT5
chr10	8766	9220	-	ONT10.918.6419	intron	NUDT5
chr10	9220	9285	-	ONT10.918.6419	CDS	NUDT5
chr10	9286	9323	-	ONT10.918.6419	UTR	NA
chr10	9323	10990	-	ONT10.918.6419	intron	NA
chr10	10990	11111	-	ONT10.918.6419	UTR	NA
chr10	642	3121	-	ONT10.918.6420	UTR	NA
chr10	3121	6027	-	ONT10.918.6420	intron	NA
chr10	6027	6080	-	ONT10.918.6420	UTR	NA
chr10	6080	6919	-	ONT10.918.6420	intron	NA
chr10	6919	6962	-	ONT10.918.6420	UTR	NA
chr10	6963	7020	-	ONT10.918.6420	CDS	NUDT5
chr10	7020	7313	-	ONT10.918.6420	intron	NUDT5
chr10	7313	7412	-	ONT10.918.6420	CDS	NUDT5
chr10	7412	7889	-	ONT10.918.6420	intron	NUDT5
chr10	7889	7996	-	ONT10.918.6420	CDS	NUDT5
chr10	7996	8151	-	ONT10.918.6420	intron	NUDT5
chr10	8151	8200	-	ONT10.918.6420	CDS	NUDT5
chr10	8200	8699	-	ONT10.918.6420	intron	NUDT5
chr10	8699	8766	-	ONT10.918.6420	CDS	NUDT5
chr10	8766	9220	-	ONT10.918.6420	intron	NUDT5
chr10	9220	9285	-	ONT10.918.6420	CDS	NUDT5
chr10	9286	9323	-	ONT10.918.6420	UTR	NA
chr10	9323	10990	-	ONT10.918.6420	intron	NA
chr10	10990	11099	-	ONT10.918.6420	UTR	NA
chr10	640	2053	-	ONT10.918.6422	UTR	NA
chr10	2053	2854	-	ONT10.918.6422	intron	NA
chr10	2854	3115	-	ONT10.918.6422	UTR	NA
chr10	3116	3121	-	ONT10.918.6422	CDS	NUDT5
chr10	3121	6027	-	ONT10.918.6422	intron	NUDT5
chr10	6027	6080	-	ONT10.918.6422	CDS	NUDT5
chr10	6080	6911	-	ONT10.918.6422	intron	NUDT5
chr10	6911	7020	-	ONT10.918.6422	CDS	NUDT5
chr10	7020	7317	-	ONT10.918.6422	intron	NUDT5
chr10	7317	7412	-	ONT10.918.6422	CDS	NUDT5
chr10	7412	7889	-	ONT10.918.6422	intron	NUDT5
chr10	7889	7996	-	ONT10.918.6422	CDS	NUDT5
chr10	7996	8151	-	ONT10.918.6422	intron	NUDT5
chr10	8151	8200	-	ONT10.918.6422	CDS	NUDT5
chr10	8200	8699	-	ONT10.918.6422	intron	NUDT5
chr10	8699	8766	-	ONT10.918.6422	CDS	NUDT5
chr10	8766	9220	-	ONT10.918.6422	intron	NUDT5
chr10	9220	9285	-	ONT10.918.6422	CDS	NUDT5
chr10	9286	9323	-	ONT10.918.6422	UTR	NA
chr10	9323	10990	-	ONT10.918.6422	intron	NA
chr10	10990	11123	-	ONT10.918.6422	UTR	NA
chr10	638	3121	-	ONT10.918.6425	UTR	NA
chr10	3121	6027	-	ONT10.918.6425	intron	NA
chr10	6027	6080	-	ONT10.918.6425	UTR	NA
chr10	6080	6911	-	ONT10.918.6425	intron	NA
chr10	6911	6962	-	ONT10.918.6425	UTR	NA
chr10	6963	7002	-	ONT10.918.6425	CDS	NUDT5
chr10	7002	7313	-	ONT10.918.6425	intron	NUDT5
chr10	7313	7412	-	ONT10.918.6425	CDS	NUDT5
chr10	7412	7889	-	ONT10.918.6425	intron	NUDT5
chr10	7889	7996	-	ONT10.918.6425	CDS	NUDT5
chr10	7996	8151	-	ONT10.918.6425	intron	NUDT5
chr10	8151	8200	-	ONT10.918.6425	CDS	NUDT5
chr10	8200	8699	-	ONT10.918.6425	intron	NUDT5
chr10	8699	8766	-	ONT10.918.6425	CDS	NUDT5
chr10	8766	9220	-	ONT10.918.6425	intron	NUDT5
chr10	9220	9285	-	ONT10.918.6425	CDS	NUDT5
chr10	9286	9323	-	ONT10.918.6425	UTR	NA
chr10	9323	10990	-	ONT10.918.6425	intron	NA
chr10	10990	11081	-	ONT10.918.6425	UTR	NA
chr10	642	3115	-	ONT10.918.6429	UTR	NA
chr10	3116	3121	-	ONT10.918.6429	CDS	NUDT5
chr10	3121	6027	-	ONT10.918.6429	intron	NUDT5
chr10	6027	6080	-	ONT10.918.6429	CDS	NUDT5
chr10	6080	6911	-	ONT10.918.6429	intron	NUDT5
chr10	6911	7020	-	ONT10.918.6429	CDS	NUDT5
chr10	7020	7317	-	ONT10.918.6429	intron	NUDT5
chr10	7317	7412	-	ONT10.918.6429	CDS	NUDT5
chr10	7412	7889	-	ONT10.918.6429	intron	NUDT5
chr10	7889	7996	-	ONT10.918.6429	CDS	NUDT5
chr10	7996	8145	-	ONT10.918.6429	intron	NUDT5
chr10	8145	8200	-	ONT10.918.6429	CDS	NUDT5
chr10	8200	8699	-	ONT10.918.6429	intron	NUDT5
chr10	8699	8766	-	ONT10.918.6429	CDS	NUDT5
chr10	8766	9220	-	ONT10.918.6429	intron	NUDT5
chr10	9220	9285	-	ONT10.918.6429	CDS	NUDT5
chr10	9286	9323	-	ONT10.918.6429	UTR	NA
chr10	9323	10990	-	ONT10.918.6429	intron	NA
chr10	10990	11107	-	ONT10.918.6429	UTR	NA
chr10	640	3121	-	ONT10.918.6432	UTR	NA
chr10	3121	6027	-	ONT10.918.6432	intron	NA
chr10	6027	6080	-	ONT10.918.6432	UTR	NA
chr10	6080	6911	-	ONT10.918.6432	intron	NA
chr10	6911	6962	-	ONT10.918.6432	UTR	NA
chr10	6963	7020	-	ONT10.918.6432	CDS	NUDT5
