seqnames	start	end	strand	transcript_id	type	gene_id
chr6	188	1245	-	ENST00000293756.5	UTR	NA
chr6	1246	1713	-	ENST00000293756.5	CDS	ENSG00000161896.12
chr6	1713	1814	-	ENST00000293756.5	intron	ENSG00000161896.12
chr6	1814	1989	-	ENST00000293756.5	CDS	ENSG00000161896.12
chr6	1989	2090	-	ENST00000293756.5	intron	ENSG00000161896.12
chr6	2090	2265	-	ENST00000293756.5	CDS	ENSG00000161896.12
chr6	2265	2665	-	ENST00000293756.5	intron	ENSG00000161896.12
chr6	2665	2878	-	ENST00000293756.5	CDS	ENSG00000161896.12
chr6	2878	3612	-	ENST00000293756.5	intron	ENSG00000161896.12
chr6	3612	3813	-	ENST00000293756.5	CDS	ENSG00000161896.12
chr6	3814	3989	-	ENST00000293756.5	UTR	NA
chr6	3989	4465	-	ENST00000293756.5	intron	NA
chr6	4465	4612	-	ENST00000293756.5	UTR	NA
chr6	5	1713	-	ONT6.1706.4520	UTR	NA
chr6	1713	1814	-	ONT6.1706.4520	intron	NA
chr6	1814	1989	-	ONT6.1706.4520	UTR	NA
chr6	1989	2090	-	ONT6.1706.4520	intron	NA
chr6	2090	2265	-	ONT6.1706.4520	UTR	NA
chr6	2265	2415	-	ONT6.1706.4520	intron	NA
chr6	2415	2663	-	ONT6.1706.4520	UTR	NA
chr6	2664	2878	-	ONT6.1706.4520	CDS	IP6K3
chr6	2878	3612	-	ONT6.1706.4520	intron	IP6K3
chr6	3612	3813	-	ONT6.1706.4520	CDS	IP6K3
chr6	3814	3989	-	ONT6.1706.4520	UTR	NA
chr6	3989	4465	-	ONT6.1706.4520	intron	NA
chr6	4465	4616	-	ONT6.1706.4520	UTR	NA
chr6	2	1248	-	ONT6.1706.4522	UTR	NA
chr6	1249	1713	-	ONT6.1706.4522	CDS	IP6K3
chr6	1713	1814	-	ONT6.1706.4522	intron	IP6K3
chr6	1814	1989	-	ONT6.1706.4522	CDS	IP6K3
chr6	1989	2090	-	ONT6.1706.4522	intron	IP6K3
chr6	2090	2265	-	ONT6.1706.4522	CDS	IP6K3
chr6	2265	2665	-	ONT6.1706.4522	intron	IP6K3
chr6	2665	2878	-	ONT6.1706.4522	CDS	IP6K3
chr6	2878	3612	-	ONT6.1706.4522	intron	IP6K3
chr6	3612	3813	-	ONT6.1706.4522	CDS	IP6K3
chr6	3814	3989	-	ONT6.1706.4522	UTR	NA
chr6	3989	4465	-	ONT6.1706.4522	intron	NA
chr6	4465	4612	-	ONT6.1706.4522	UTR	NA
chr6	19	1248	-	ONT6.1706.4525	UTR	NA
chr6	1249	1713	-	ONT6.1706.4525	CDS	IP6K3
chr6	1713	1814	-	ONT6.1706.4525	intron	IP6K3
chr6	1814	1989	-	ONT6.1706.4525	CDS	IP6K3
chr6	1989	2090	-	ONT6.1706.4525	intron	IP6K3
