seqnames	start	end	strand	transcript_id	type	gene_id
chr10	2	1944	-	ENST00000287078.7	UTR	NA
chr10	1945	2162	-	ENST00000287078.7	CDS	ENSG00000156521.14
chr10	2162	2263	-	ENST00000287078.7	intron	ENSG00000156521.14
chr10	2263	2448	-	ENST00000287078.7	CDS	ENSG00000156521.14
chr10	2448	2549	-	ENST00000287078.7	intron	ENSG00000156521.14
chr10	2549	2679	-	ENST00000287078.7	CDS	ENSG00000156521.14
chr10	2679	3643	-	ENST00000287078.7	intron	ENSG00000156521.14
chr10	3643	4811	-	ENST00000287078.7	CDS	ENSG00000156521.14
chr10	4812	4922	-	ENST00000287078.7	UTR	NA
chr10	2	1947	-	ONT10.3458.1268	UTR	NA
chr10	1948	2162	-	ONT10.3458.1268	CDS	TYSND1
chr10	2162	2263	-	ONT10.3458.1268	intron	TYSND1
chr10	2263	2344	-	ONT10.3458.1268	CDS	TYSND1
chr10	2345	2448	-	ONT10.3458.1268	UTR	NA
chr10	2448	2549	-	ONT10.3458.1268	intron	NA
chr10	2549	2679	-	ONT10.3458.1268	UTR	NA
chr10	2679	4875	-	ONT10.3458.1268	intron	NA
chr10	4875	4920	-	ONT10.3458.1268	UTR	NA
chr10	2	1947	-	ONT10.3458.1277	UTR	NA
chr10	1948	2162	-	ONT10.3458.1277	CDS	TYSND1
chr10	2162	2263	-	ONT10.3458.1277	intron	TYSND1
chr10	2263	2448	-	ONT10.3458.1277	CDS	TYSND1
chr10	2448	2549	-	ONT10.3458.1277	intron	TYSND1
chr10	2549	2679	-	ONT10.3458.1277	CDS	TYSND1
chr10	2679	3643	-	ONT10.3458.1277	intron	TYSND1
chr10	3643	4811	-	ONT10.3458.1277	CDS	TYSND1
chr10	4812	4840	-	ONT10.3458.1277	UTR	NA
chr10	14	1947	-	ONT10.3458.1282	UTR	NA
chr10	1948	2162	-	ONT10.3458.1282	CDS	TYSND1
chr10	2162	2263	-	ONT10.3458.1282	intron	TYSND1
chr10	2263	2344	-	ONT10.3458.1282	CDS	TYSND1
chr10	2345	2448	-	ONT10.3458.1282	UTR	NA
chr10	2448	2549	-	ONT10.3458.1282	intron	NA
chr10	2549	2672	-	ONT10.3458.1282	UTR	NA
chr10	2	1947	-	ONT10.3458.1289	UTR	NA
chr10	1948	2162	-	ONT10.3458.1289	CDS	TYSND1
chr10	2162	2263	-	ONT10.3458.1289	intron	TYSND1
chr10	2263	2344	-	ONT10.3458.1289	CDS	TYSND1
chr10	2345	2448	-	ONT10.3458.1289	UTR	NA
chr10	2448	2549	-	ONT10.3458.1289	intron	NA
chr10	2549	2679	-	ONT10.3458.1289	UTR	NA
chr10	2679	3643	-	ONT10.3458.1289	intron	NA
chr10	3643	3950	-	ONT10.3458.1289	UTR	NA
chr10	7	1947	-	ONT10.3458.1290	UTR	NA
chr10	1948	2162	-	ONT10.3458.1290	CDS	TYSND1
chr10	2162	2263	-	ONT10.3458.1290	intron	TYSND1
chr10	2263	2344	-	ONT10.3458.1290	CDS	TYSND1
chr10	2345	2448	-	ONT10.3458.1290	UTR	NA
chr10	2448	2549	-	ONT10.3458.1290	intron	NA
chr10	2549	2679	-	ONT10.3458.1290	UTR	NA
chr10	2679	3643	-	ONT10.3458.1290	intron	NA
chr10	3643	3663	-	ONT10.3458.1290	UTR	NA
chr10	2	1947	-	ONT10.3458.1306	UTR	NA
chr10	1948	2162	-	ONT10.3458.1306	CDS	TYSND1
chr10	2162	2263	-	ONT10.3458.1306	intron	TYSND1
chr10	2263	2344	-	ONT10.3458.1306	CDS	TYSND1
chr10	2345	2409	-	ONT10.3458.1306	UTR	NA
chr10	14	1947	-	ONT10.3458.1335	UTR	NA
chr10	1948	2162	-	ONT10.3458.1335	CDS	TYSND1
chr10	2162	2263	-	ONT10.3458.1335	intron	TYSND1
chr10	2263	2344	-	ONT10.3458.1335	CDS	TYSND1
chr10	2345	2448	-	ONT10.3458.1335	UTR	NA
chr10	2448	2549	-	ONT10.3458.1335	intron	NA
chr10	2549	2897	-	ONT10.3458.1335	UTR	NA
chr10	1138	1947	-	ONT10.3458.1359	UTR	NA
chr10	1948	2162	-	ONT10.3458.1359	CDS	TYSND1
chr10	2162	2263	-	ONT10.3458.1359	intron	TYSND1
chr10	2263	2344	-	ONT10.3458.1359	CDS	TYSND1
chr10	2345	2448	-	ONT10.3458.1359	UTR	NA
chr10	2448	2549	-	ONT10.3458.1359	intron	NA
chr10	2549	3119	-	ONT10.3458.1359	UTR	NA
chr10	1229	1947	-	ONT10.3458.1360	UTR	NA
chr10	1948	2162	-	ONT10.3458.1360	CDS	TYSND1
chr10	2162	2263	-	ONT10.3458.1360	intron	TYSND1
chr10	2263	2344	-	ONT10.3458.1360	CDS	TYSND1
chr10	2345	2448	-	ONT10.3458.1360	UTR	NA
chr10	2448	2549	-	ONT10.3458.1360	intron	NA
chr10	2549	2679	-	ONT10.3458.1360	UTR	NA
chr10	2679	3643	-	ONT10.3458.1360	intron	NA
chr10	3643	3865	-	ONT10.3458.1360	UTR	NA
chr10	1221	1947	-	ONT10.3458.1361	UTR	NA
chr10	1948	2162	-	ONT10.3458.1361	CDS	TYSND1
chr10	2162	2263	-	ONT10.3458.1361	intron	TYSND1
chr10	2263	2344	-	ONT10.3458.1361	CDS	TYSND1
chr10	2345	2448	-	ONT10.3458.1361	UTR	NA
chr10	2448	2549	-	ONT10.3458.1361	intron	NA
chr10	2549	2679	-	ONT10.3458.1361	UTR	NA
chr10	2679	4875	-	ONT10.3458.1361	intron	NA
chr10	4875	4936	-	ONT10.3458.1361	UTR	NA
chr10	1235	2162	-	ONT10.3458.1367	UTR	NA
chr10	2162	2263	-	ONT10.3458.1367	intron	NA
chr10	2263	2448	-	ONT10.3458.1367	UTR	NA
chr10	2448	2549	-	ONT10.3458.1367	intron	NA
chr10	2549	2679	-	ONT10.3458.1367	UTR	NA
chr10	2679	3604	-	ONT10.3458.1367	intron	NA
chr10	3604	3641	-	ONT10.3458.1367	UTR	NA
chr10	3642	4811	-	ONT10.3458.1367	CDS	TYSND1
