seqnames	start	end	strand	transcript_id	type	gene_id
chr17	816	5302	-	ENST00000258962.5	UTR	NA
chr17	5303	5497	-	ENST00000258962.5	CDS	ENSG00000136450.13
chr17	5497	5698	-	ENST00000258962.5	intron	ENSG00000136450.13
chr17	5698	5870	-	ENST00000258962.5	CDS	ENSG00000136450.13
chr17	5870	6240	-	ENST00000258962.5	intron	ENSG00000136450.13
chr17	6240	6424	-	ENST00000258962.5	CDS	ENSG00000136450.13
chr17	6424	6841	-	ENST00000258962.5	intron	ENSG00000136450.13
chr17	6841	7037	-	ENST00000258962.5	CDS	ENSG00000136450.13
chr17	7038	7143	-	ENST00000258962.5	UTR	NA
chr17	979	5305	-	ONT17.1681.10034	UTR	NA
chr17	5306	5497	-	ONT17.1681.10034	CDS	SRSF1
chr17	5497	5698	-	ONT17.1681.10034	intron	SRSF1
chr17	5698	5870	-	ONT17.1681.10034	CDS	SRSF1
chr17	5870	6240	-	ONT17.1681.10034	intron	SRSF1
chr17	6240	6424	-	ONT17.1681.10034	CDS	SRSF1
chr17	6424	6841	-	ONT17.1681.10034	intron	SRSF1
chr17	6841	7037	-	ONT17.1681.10034	CDS	SRSF1
chr17	7038	7157	-	ONT17.1681.10034	UTR	NA
chr17	974	3898	-	ONT17.1681.10037	UTR	NA
chr17	3898	4820	-	ONT17.1681.10037	intron	NA
chr17	4820	5646	-	ONT17.1681.10037	UTR	NA
chr17	5647	5870	-	ONT17.1681.10037	CDS	SRSF1
chr17	5870	6240	-	ONT17.1681.10037	intron	SRSF1
chr17	6240	6424	-	ONT17.1681.10037	CDS	SRSF1
chr17	6424	6841	-	ONT17.1681.10037	intron	SRSF1
chr17	6841	7037	-	ONT17.1681.10037	CDS	SRSF1
chr17	7038	7122	-	ONT17.1681.10037	UTR	NA
chr17	972	5646	-	ONT17.1681.10041	UTR	NA
chr17	5647	5870	-	ONT17.1681.10041	CDS	SRSF1
chr17	5870	6240	-	ONT17.1681.10041	intron	SRSF1
chr17	6240	6424	-	ONT17.1681.10041	CDS	SRSF1
chr17	6424	6841	-	ONT17.1681.10041	intron	SRSF1
chr17	6841	7037	-	ONT17.1681.10041	CDS	SRSF1
chr17	7038	7152	-	ONT17.1681.10041	UTR	NA
chr17	972	5305	-	ONT17.1681.10049	UTR	NA
chr17	5306	5497	-	ONT17.1681.10049	CDS	SRSF1
chr17	5497	5698	-	ONT17.1681.10049	intron	SRSF1
chr17	5698	5870	-	ONT17.1681.10049	CDS	SRSF1
chr17	5870	6240	-	ONT17.1681.10049	intron	SRSF1
chr17	6240	6424	-	ONT17.1681.10049	CDS	SRSF1
chr17	6424	6841	-	ONT17.1681.10049	intron	SRSF1
chr17	6841	7037	-	ONT17.1681.10049	CDS	SRSF1
chr17	7038	7049	-	ONT17.1681.10049	UTR	NA
chr17	972	5305	-	ONT17.1681.10050	UTR	NA
chr17	5306	5497	-	ONT17.1681.10050	CDS	SRSF1
chr17	5497	5698	-	ONT17.1681.10050	intron	SRSF1
chr17	5698	5870	-	ONT17.1681.10050	CDS	SRSF1
chr17	5870	6240	-	ONT17.1681.10050	intron	SRSF1
chr17	6240	6424	-	ONT17.1681.10050	CDS	SRSF1
chr17	6424	6841	-	ONT17.1681.10050	intron	SRSF1
chr17	6841	7037	-	ONT17.1681.10050	CDS	SRSF1
chr17	7038	7220	-	ONT17.1681.10050	UTR	NA
chr17	979	3898	-	ONT17.1681.10074	UTR	NA
chr17	3898	4820	-	ONT17.1681.10074	intron	NA
chr17	4820	4918	-	ONT17.1681.10074	UTR	NA
chr17	4919	4938	-	ONT17.1681.10074	CDS	SRSF1
chr17	4938	5311	-	ONT17.1681.10074	intron	SRSF1
chr17	5311	5497	-	ONT17.1681.10074	CDS	SRSF1
chr17	5497	5698	-	ONT17.1681.10074	intron	SRSF1
chr17	5698	5870	-	ONT17.1681.10074	CDS	SRSF1
chr17	5870	6240	-	ONT17.1681.10074	intron	SRSF1
chr17	6240	6424	-	ONT17.1681.10074	CDS	SRSF1
chr17	6424	6841	-	ONT17.1681.10074	intron	SRSF1
chr17	6841	7037	-	ONT17.1681.10074	CDS	SRSF1
chr17	7038	7141	-	ONT17.1681.10074	UTR	NA
chr17	1824	5646	-	ONT17.1681.10175	UTR	NA
chr17	5647	5870	-	ONT17.1681.10175	CDS	SRSF1
chr17	5870	6240	-	ONT17.1681.10175	intron	SRSF1
chr17	6240	6424	-	ONT17.1681.10175	CDS	SRSF1
chr17	6424	6841	-	ONT17.1681.10175	intron	SRSF1
chr17	6841	7037	-	ONT17.1681.10175	CDS	SRSF1
chr17	7038	7140	-	ONT17.1681.10175	UTR	NA
chr17	1962	3898	-	ONT17.1681.10182	UTR	NA
chr17	3898	4820	-	ONT17.1681.10182	intron	NA
chr17	4820	5646	-	ONT17.1681.10182	UTR	NA
chr17	5647	5870	-	ONT17.1681.10182	CDS	SRSF1
chr17	5870	6240	-	ONT17.1681.10182	intron	SRSF1
chr17	6240	6424	-	ONT17.1681.10182	CDS	SRSF1
chr17	6424	6841	-	ONT17.1681.10182	intron	SRSF1
chr17	6841	7037	-	ONT17.1681.10182	CDS	SRSF1
chr17	7038	7140	-	ONT17.1681.10182	UTR	NA
chr17	1985	5305	-	ONT17.1681.10190	UTR	NA
chr17	5306	5497	-	ONT17.1681.10190	CDS	SRSF1
chr17	5497	5698	-	ONT17.1681.10190	intron	SRSF1
chr17	5698	5870	-	ONT17.1681.10190	CDS	SRSF1
chr17	5870	6240	-	ONT17.1681.10190	intron	SRSF1
chr17	6240	6424	-	ONT17.1681.10190	CDS	SRSF1
chr17	6424	6841	-	ONT17.1681.10190	intron	SRSF1
