seqnames	start	end	strand	transcript_id	type	gene_id
chr22	131	181	+	ENST00000216237.10	UTR	NA
chr22	182	205	+	ENST00000216237.10	CDS	ENSG00000100395.15
chr22	205	533	+	ENST00000216237.10	intron	ENSG00000100395.15
chr22	533	770	+	ENST00000216237.10	CDS	ENSG00000100395.15
chr22	770	2137	+	ENST00000216237.10	intron	ENSG00000100395.15
chr22	2137	2270	+	ENST00000216237.10	CDS	ENSG00000100395.15
chr22	2270	2681	+	ENST00000216237.10	intron	ENSG00000100395.15
chr22	2681	2804	+	ENST00000216237.10	CDS	ENSG00000100395.15
chr22	2804	2906	+	ENST00000216237.10	intron	ENSG00000100395.15
chr22	2906	2985	+	ENST00000216237.10	CDS	ENSG00000100395.15
chr22	2985	4640	+	ENST00000216237.10	intron	ENSG00000100395.15
chr22	4640	4757	+	ENST00000216237.10	CDS	ENSG00000100395.15
chr22	4757	4862	+	ENST00000216237.10	intron	ENSG00000100395.15
chr22	4862	4996	+	ENST00000216237.10	CDS	ENSG00000100395.15
chr22	4996	5097	+	ENST00000216237.10	intron	ENSG00000100395.15
chr22	5097	5185	+	ENST00000216237.10	CDS	ENSG00000100395.15
chr22	5185	6502	+	ENST00000216237.10	intron	ENSG00000100395.15
chr22	6502	6733	+	ENST00000216237.10	CDS	ENSG00000100395.15
chr22	6733	6885	+	ENST00000216237.10	intron	ENSG00000100395.15
chr22	6885	6961	+	ENST00000216237.10	CDS	ENSG00000100395.15
chr22	6961	7085	+	ENST00000216237.10	intron	ENSG00000100395.15
chr22	7085	7189	+	ENST00000216237.10	CDS	ENSG00000100395.15
chr22	7189	7291	+	ENST00000216237.10	intron	ENSG00000100395.15
chr22	7291	7438	+	ENST00000216237.10	CDS	ENSG00000100395.15
chr22	7438	7590	+	ENST00000216237.10	intron	ENSG00000100395.15
chr22	7590	7672	+	ENST00000216237.10	CDS	ENSG00000100395.15
chr22	7672	7774	+	ENST00000216237.10	intron	ENSG00000100395.15
chr22	7774	8008	+	ENST00000216237.10	CDS	ENSG00000100395.15
chr22	8008	8489	+	ENST00000216237.10	intron	ENSG00000100395.15
chr22	8489	8554	+	ENST00000216237.10	CDS	ENSG00000100395.15
chr22	8554	10225	+	ENST00000216237.10	intron	ENSG00000100395.15
chr22	10225	10341	+	ENST00000216237.10	CDS	ENSG00000100395.15
chr22	10341	10824	+	ENST00000216237.10	intron	ENSG00000100395.15
chr22	10824	10939	+	ENST00000216237.10	CDS	ENSG00000100395.15
chr22	10940	11956	+	ENST00000216237.10	UTR	NA
chr22	2	181	+	ONT22.784.25077	UTR	NA
chr22	182	205	+	ONT22.784.25077	CDS	L3MBTL2
chr22	205	533	+	ONT22.784.25077	intron	L3MBTL2
chr22	533	770	+	ONT22.784.25077	CDS	L3MBTL2
chr22	770	2137	+	ONT22.784.25077	intron	L3MBTL2
chr22	2137	2270	+	ONT22.784.25077	CDS	L3MBTL2
chr22	2270	2681	+	ONT22.784.25077	intron	L3MBTL2
chr22	2681	2804	+	ONT22.784.25077	CDS	L3MBTL2
chr22	2804	2906	+	ONT22.784.25077	intron	L3MBTL2
chr22	2906	2985	+	ONT22.784.25077	CDS	L3MBTL2
chr22	2985	4640	+	ONT22.784.25077	intron	L3MBTL2
chr22	4640	4757	+	ONT22.784.25077	CDS	L3MBTL2
chr22	4757	4862	+	ONT22.784.25077	intron	L3MBTL2
chr22	4862	4996	+	ONT22.784.25077	CDS	L3MBTL2
chr22	4996	5097	+	ONT22.784.25077	intron	L3MBTL2
chr22	5097	5185	+	ONT22.784.25077	CDS	L3MBTL2
chr22	5185	6502	+	ONT22.784.25077	intron	L3MBTL2
chr22	6502	6733	+	ONT22.784.25077	CDS	L3MBTL2
chr22	6733	6885	+	ONT22.784.25077	intron	L3MBTL2
chr22	6885	6961	+	ONT22.784.25077	CDS	L3MBTL2
chr22	6961	7085	+	ONT22.784.25077	intron	L3MBTL2
chr22	7085	7189	+	ONT22.784.25077	CDS	L3MBTL2
chr22	7189	7291	+	ONT22.784.25077	intron	L3MBTL2
chr22	7291	7438	+	ONT22.784.25077	CDS	L3MBTL2
chr22	7438	7590	+	ONT22.784.25077	intron	L3MBTL2
chr22	7590	7672	+	ONT22.784.25077	CDS	L3MBTL2
chr22	7672	7774	+	ONT22.784.25077	intron	L3MBTL2
chr22	7774	8008	+	ONT22.784.25077	CDS	L3MBTL2
chr22	8008	8489	+	ONT22.784.25077	intron	L3MBTL2
chr22	8489	8554	+	ONT22.784.25077	CDS	L3MBTL2
chr22	8554	10225	+	ONT22.784.25077	intron	L3MBTL2
chr22	10225	10341	+	ONT22.784.25077	CDS	L3MBTL2
chr22	10341	10824	+	ONT22.784.25077	intron	L3MBTL2
chr22	10824	10936	+	ONT22.784.25077	CDS	L3MBTL2
chr22	10937	11956	+	ONT22.784.25077	UTR	NA
