seqnames	start	end	strand	transcript_id	type	gene_id
chr3	5	213	-	ENST00000335542.13	UTR	NA
chr3	214	233	-	ENST00000335542.13	CDS	ENSG00000157017.16
chr3	233	334	-	ENST00000335542.13	intron	ENSG00000157017.16
chr3	334	442	-	ENST00000335542.13	CDS	ENSG00000157017.16
chr3	442	543	-	ENST00000335542.13	intron	ENSG00000157017.16
chr3	543	659	-	ENST00000335542.13	CDS	ENSG00000157017.16
chr3	659	760	-	ENST00000335542.13	intron	ENSG00000157017.16
chr3	760	870	-	ENST00000335542.13	CDS	ENSG00000157017.16
chr3	871	896	-	ENST00000335542.13	UTR	NA
chr3	896	997	-	ENST00000335542.13	intron	NA
chr3	997	1732	-	ENST00000335542.13	UTR	NA
chr3	1732	1833	-	ENST00000335542.13	intron	NA
chr3	1833	1938	-	ENST00000335542.13	UTR	NA
chr3	2	216	-	ONT3.242.22685	UTR	NA
chr3	217	233	-	ONT3.242.22685	CDS	GHRL
chr3	233	334	-	ONT3.242.22685	intron	GHRL
chr3	334	442	-	ONT3.242.22685	CDS	GHRL
chr3	442	543	-	ONT3.242.22685	intron	GHRL
chr3	543	659	-	ONT3.242.22685	CDS	GHRL
chr3	659	760	-	ONT3.242.22685	intron	GHRL
chr3	760	870	-	ONT3.242.22685	CDS	GHRL
chr3	871	896	-	ONT3.242.22685	UTR	NA
chr3	896	997	-	ONT3.242.22685	intron	NA
chr3	997	1518	-	ONT3.242.22685	UTR	NA
chr3	5	233	-	ENST00000335542.13	exon	ENSG00000157017.16
chr3	233	334	-	ENST00000335542.13	intron	ENSG00000157017.16
chr3	334	442	-	ENST00000335542.13	exon	ENSG00000157017.16
chr3	442	2265	-	ENST00000335542.13	intron	ENSG00000157017.16
chr3	2265	2381	-	ENST00000335542.13	exon	ENSG00000157017.16
chr3	2381	2482	-	ENST00000335542.13	intron	ENSG00000157017.16
chr3	2482	2618	-	ENST00000335542.13	exon	ENSG00000157017.16
chr3	2618	2719	-	ENST00000335542.13	intron	NA
chr3	2719	3454	-	ENST00000335542.13	exon	ENSG00000157017.16
chr3	3454	4186	-	ENST00000335542.13	intron	NA
chr3	4186	4291	-	ENST00000335542.13	exon	ENSG00000157017.16
chr3	2	233	-	ONT3.242.22685	exon	GHRL
chr3	233	334	-	ONT3.242.22685	intron	GHRL
chr3	334	442	-	ONT3.242.22685	exon	GHRL
chr3	442	2265	-	ONT3.242.22685	intron	GHRL
chr3	2265	2381	-	ONT3.242.22685	exon	GHRL
chr3	2381	2482	-	ONT3.242.22685	intron	GHRL
chr3	2482	2618	-	ONT3.242.22685	exon	GHRL
chr3	2618	2719	-	ONT3.242.22685	intron	NA
chr3	2719	3240	-	ONT3.242.22685	exon	GHRL
chr3	2	233	-	ONT3.242.22686	exon	GHRL
chr3	234	342	-	ONT3.242.22686	exon	GHRL
chr3	343	459	-	ONT3.242.22686	exon	GHRL
chr3	460	596	-	ONT3.242.22686	exon	GHRL
chr3	597	1332	-	ONT3.242.22686	exon	GHRL
chr3	1333	1437	-	ONT3.242.22686	exon	GHRL
chr3	89	233	-	ONT3.242.22691	exon	GHRL
chr3	234	342	-	ONT3.242.22691	exon	GHRL
chr3	343	459	-	ONT3.242.22691	exon	GHRL
chr3	460	596	-	ONT3.242.22691	exon	GHRL
chr3	597	871	-	ONT3.242.22691	exon	GHRL
chr3	872	977	-	ONT3.242.22691	exon	GHRL
chr3	89	233	-	ONT3.242.22697	exon	GHRL
chr3	234	714	-	ONT3.242.22697	exon	GHRL
chr3	915	1062	-	ONT3.242.22736	exon	GHRL
chr3	1063	1226	-	ONT3.242.22736	exon	GHRL
chr3	1227	1757	-	ONT3.242.22736	exon	GHRL
chr3	1163	1359	-	ONT3.242.22739	exon	GHRL
chr3	1360	1890	-	ONT3.242.22739	exon	GHRL
chr3	1168	2164	-	ONT3.242.22740	exon	GHRL
chr3	2165	2692	-	ONT3.242.22740	exon	GHRL
