seqnames	start	end	strand	transcript_id	type	gene_id
chr17	4	1643	-	ENST00000330871.3	UTR	NA
chr17	1644	2324	-	ENST00000330871.3	CDS	ENSG00000184557.4
chr17	2325	2409	-	ENST00000330871.3	UTR	NA
chr17	2409	2510	-	ENST00000330871.3	intron	NA
chr17	2510	2837	-	ENST00000330871.3	UTR	NA
chr17	2	1646	-	ONT17.2087.3831	UTR	NA
chr17	1647	2324	-	ONT17.2087.3831	CDS	SOCS3
chr17	2325	2409	-	ONT17.2087.3831	UTR	NA
chr17	2409	2510	-	ONT17.2087.3831	intron	NA
chr17	2510	2836	-	ONT17.2087.3831	UTR	NA
chr17	14	1646	-	ONT17.2087.3834	UTR	NA
chr17	1647	2324	-	ONT17.2087.3834	CDS	SOCS3
chr17	2325	2409	-	ONT17.2087.3834	UTR	NA
chr17	2409	2510	-	ONT17.2087.3834	intron	NA
chr17	2510	3098	-	ONT17.2087.3834	UTR	NA
chr17	4	1646	-	ONT17.2087.3842	UTR	NA
chr17	1647	2324	-	ONT17.2087.3842	CDS	SOCS3
chr17	2325	2409	-	ONT17.2087.3842	UTR	NA
chr17	2409	2510	-	ONT17.2087.3842	intron	NA
chr17	2510	2547	-	ONT17.2087.3842	UTR	NA
chr17	4	1646	-	ONT17.2087.3847	UTR	NA
chr17	1647	2324	-	ONT17.2087.3847	CDS	SOCS3
chr17	2325	2409	-	ONT17.2087.3847	UTR	NA
chr17	2409	2510	-	ONT17.2087.3847	intron	NA
chr17	2510	2687	-	ONT17.2087.3847	UTR	NA
chr17	4	2409	-	ENST00000330871.3	exon	ENSG00000184557.4
chr17	2409	2510	-	ENST00000330871.3	intron	NA
chr17	2510	2837	-	ENST00000330871.3	exon	ENSG00000184557.4
chr17	2	2409	-	ONT17.2087.3831	exon	SOCS3
chr17	2409	2510	-	ONT17.2087.3831	intron	NA
chr17	2510	2836	-	ONT17.2087.3831	exon	SOCS3
chr17	14	2409	-	ONT17.2087.3834	exon	SOCS3
chr17	2409	2510	-	ONT17.2087.3834	intron	NA
chr17	2510	3098	-	ONT17.2087.3834	exon	SOCS3
chr17	4	2409	-	ONT17.2087.3842	exon	SOCS3
chr17	2409	2510	-	ONT17.2087.3842	intron	NA
chr17	2510	2547	-	ONT17.2087.3842	exon	SOCS3
chr17	4	2409	-	ONT17.2087.3847	exon	SOCS3
chr17	2409	2510	-	ONT17.2087.3847	intron	NA
chr17	2510	2687	-	ONT17.2087.3847	exon	SOCS3
