seqnames	start	end	strand	transcript_id	type	gene_id
chr14	180	1866	+	ENST00000298119.9	UTR	NA
chr14	1866	1968	+	ENST00000298119.9	intron	NA
chr14	1968	2143	+	ENST00000298119.9	UTR	NA
chr14	2143	2247	+	ENST00000298119.9	intron	NA
chr14	2247	2266	+	ENST00000298119.9	UTR	NA
chr14	2267	3651	+	ENST00000298119.9	CDS	ENSG00000165379.14
chr14	3651	4047	+	ENST00000298119.9	intron	ENSG00000165379.14
chr14	4047	4759	+	ENST00000298119.9	CDS	ENSG00000165379.14
chr14	4759	7217	+	ENST00000298119.9	intron	ENSG00000165379.14
chr14	7217	7260	+	ENST00000298119.9	CDS	ENSG00000165379.14
chr14	7260	8592	+	ENST00000298119.9	intron	ENSG00000165379.14
chr14	8592	8612	+	ENST00000298119.9	CDS	ENSG00000165379.14
chr14	8613	8983	+	ENST00000298119.9	UTR	NA
chr14	1763	1866	+	ONT14.1043.1037	UTR	NA
chr14	1866	1968	+	ONT14.1043.1037	intron	NA
chr14	1968	2143	+	ONT14.1043.1037	UTR	NA
chr14	2143	2247	+	ONT14.1043.1037	intron	NA
chr14	2247	2266	+	ONT14.1043.1037	UTR	NA
chr14	2267	3651	+	ONT14.1043.1037	CDS	LRFN5
chr14	3651	4047	+	ONT14.1043.1037	intron	LRFN5
chr14	4047	4759	+	ONT14.1043.1037	CDS	LRFN5
chr14	4759	7217	+	ONT14.1043.1037	intron	LRFN5
chr14	7217	7260	+	ONT14.1043.1037	CDS	LRFN5
chr14	7260	8592	+	ONT14.1043.1037	intron	LRFN5
chr14	8592	8609	+	ONT14.1043.1037	CDS	LRFN5
chr14	8610	8978	+	ONT14.1043.1037	UTR	NA
chr14	2	1866	+	ONT14.1043.383	UTR	NA
chr14	1866	1968	+	ONT14.1043.383	intron	NA
chr14	1968	2143	+	ONT14.1043.383	UTR	NA
chr14	2143	2247	+	ONT14.1043.383	intron	NA
chr14	2247	2266	+	ONT14.1043.383	UTR	NA
chr14	2267	3651	+	ONT14.1043.383	CDS	LRFN5
chr14	3651	4047	+	ONT14.1043.383	intron	LRFN5
chr14	4047	4759	+	ONT14.1043.383	CDS	LRFN5
chr14	4759	7217	+	ONT14.1043.383	intron	LRFN5
chr14	7217	7260	+	ONT14.1043.383	CDS	LRFN5
chr14	7260	8592	+	ONT14.1043.383	intron	LRFN5
chr14	8592	8609	+	ONT14.1043.383	CDS	LRFN5
chr14	8610	8978	+	ONT14.1043.383	UTR	NA
chr14	37	1866	+	ONT14.1043.390	UTR	NA
chr14	1866	1968	+	ONT14.1043.390	intron	NA
chr14	1968	2143	+	ONT14.1043.390	UTR	NA
chr14	2143	2247	+	ONT14.1043.390	intron	NA
chr14	2247	2266	+	ONT14.1043.390	UTR	NA
chr14	2267	3651	+	ONT14.1043.390	CDS	LRFN5
chr14	3651	7217	+	ONT14.1043.390	intron	LRFN5
chr14	7217	7232	+	ONT14.1043.390	CDS	LRFN5
chr14	7233	7260	+	ONT14.1043.390	UTR	NA
chr14	7260	8592	+	ONT14.1043.390	intron	NA
chr14	8592	8975	+	ONT14.1043.390	UTR	NA
chr14	193	1866	+	ONT14.1043.401	UTR	NA
chr14	1866	1968	+	ONT14.1043.401	intron	NA
chr14	1968	2143	+	ONT14.1043.401	UTR	NA
chr14	2143	2247	+	ONT14.1043.401	intron	NA
chr14	2247	2266	+	ONT14.1043.401	UTR	NA
chr14	2267	3651	+	ONT14.1043.401	CDS	LRFN5
chr14	3651	4047	+	ONT14.1043.401	intron	LRFN5
chr14	4047	4759	+	ONT14.1043.401	CDS	LRFN5
chr14	4759	7217	+	ONT14.1043.401	intron	LRFN5
chr14	7217	7260	+	ONT14.1043.401	CDS	LRFN5
chr14	7260	8592	+	ONT14.1043.401	intron	LRFN5
chr14	8592	8609	+	ONT14.1043.401	CDS	LRFN5
chr14	8610	8983	+	ONT14.1043.401	UTR	NA
chr14	192	1866	+	ONT14.1043.409	UTR	NA
chr14	1866	1968	+	ONT14.1043.409	intron	NA
chr14	1968	2143	+	ONT14.1043.409	UTR	NA
chr14	2143	2247	+	ONT14.1043.409	intron	NA
chr14	2247	2266	+	ONT14.1043.409	UTR	NA
chr14	2267	3651	+	ONT14.1043.409	CDS	LRFN5
chr14	3651	7217	+	ONT14.1043.409	intron	LRFN5
chr14	7217	7232	+	ONT14.1043.409	CDS	LRFN5
chr14	7233	7260	+	ONT14.1043.409	UTR	NA
chr14	7260	8592	+	ONT14.1043.409	intron	NA
chr14	8592	8980	+	ONT14.1043.409	UTR	NA
chr14	290	1866	+	ONT14.1043.430	UTR	NA
chr14	1866	1968	+	ONT14.1043.430	intron	NA
chr14	1968	2143	+	ONT14.1043.430	UTR	NA
chr14	2143	2247	+	ONT14.1043.430	intron	NA
chr14	2247	2266	+	ONT14.1043.430	UTR	NA
chr14	2267	3651	+	ONT14.1043.430	CDS	LRFN5
chr14	3651	4047	+	ONT14.1043.430	intron	LRFN5
chr14	4047	4759	+	ONT14.1043.430	CDS	LRFN5
chr14	4759	7217	+	ONT14.1043.430	intron	LRFN5
chr14	7217	7260	+	ONT14.1043.430	CDS	LRFN5
chr14	7260	8592	+	ONT14.1043.430	intron	LRFN5
chr14	8592	8609	+	ONT14.1043.430	CDS	LRFN5
chr14	8610	8980	+	ONT14.1043.430	UTR	NA
chr14	399	1866	+	ONT14.1043.439	UTR	NA
chr14	1866	1968	+	ONT14.1043.439	intron	NA
chr14	1968	2143	+	ONT14.1043.439	UTR	NA
chr14	2143	2247	+	ONT14.1043.439	intron	NA
chr14	2247	2266	+	ONT14.1043.439	UTR	NA
chr14	2267	3651	+	ONT14.1043.439	CDS	LRFN5
chr14	3651	4047	+	ONT14.1043.439	intron	LRFN5
chr14	4047	4759	+	ONT14.1043.439	CDS	LRFN5
chr14	4759	7217	+	ONT14.1043.439	intron	LRFN5
chr14	7217	7260	+	ONT14.1043.439	CDS	LRFN5
chr14	7260	8592	+	ONT14.1043.439	intron	LRFN5
chr14	8592	8609	+	ONT14.1043.439	CDS	LRFN5
chr14	8610	8980	+	ONT14.1043.439	UTR	NA
chr14	381	1866	+	ONT14.1043.441	UTR	NA
chr14	1866	1991	+	ONT14.1043.441	intron	NA
chr14	1991	2143	+	ONT14.1043.441	UTR	NA
chr14	2143	2247	+	ONT14.1043.441	intron	NA
chr14	2247	2266	+	ONT14.1043.441	UTR	NA
chr14	2267	3651	+	ONT14.1043.441	CDS	LRFN5
chr14	3651	4047	+	ONT14.1043.441	intron	LRFN5
chr14	4047	4759	+	ONT14.1043.441	CDS	LRFN5
chr14	4759	7217	+	ONT14.1043.441	intron	LRFN5
chr14	7217	7260	+	ONT14.1043.441	CDS	LRFN5
chr14	7260	8592	+	ONT14.1043.441	intron	LRFN5
chr14	8592	8609	+	ONT14.1043.441	CDS	LRFN5
chr14	8610	8978	+	ONT14.1043.441	UTR	NA
chr14	1977	2143	+	ONT14.1043.4457	UTR	NA
chr14	2143	2247	+	ONT14.1043.4457	intron	NA
chr14	2247	2266	+	ONT14.1043.4457	UTR	NA
chr14	2267	3651	+	ONT14.1043.4457	CDS	LRFN5
chr14	3651	4047	+	ONT14.1043.4457	intron	LRFN5
chr14	4047	4759	+	ONT14.1043.4457	CDS	LRFN5
chr14	4759	7217	+	ONT14.1043.4457	intron	LRFN5
chr14	7217	7260	+	ONT14.1043.4457	CDS	LRFN5
chr14	7260	8592	+	ONT14.1043.4457	intron	LRFN5
chr14	8592	8609	+	ONT14.1043.4457	CDS	LRFN5
chr14	8610	8975	+	ONT14.1043.4457	UTR	NA
chr14	410	1866	+	ONT14.1043.446	UTR	NA
chr14	1866	1968	+	ONT14.1043.446	intron	NA
chr14	1968	2143	+	ONT14.1043.446	UTR	NA
chr14	2143	2247	+	ONT14.1043.446	intron	NA
chr14	2247	2266	+	ONT14.1043.446	UTR	NA
chr14	2267	3651	+	ONT14.1043.446	CDS	LRFN5
chr14	3651	3752	+	ONT14.1043.446	intron	LRFN5
chr14	3752	3788	+	ONT14.1043.446	CDS	LRFN5
chr14	3789	3943	+	ONT14.1043.446	UTR	NA
chr14	3943	4047	+	ONT14.1043.446	intron	NA
chr14	4047	4759	+	ONT14.1043.446	UTR	NA
chr14	4759	7217	+	ONT14.1043.446	intron	NA
chr14	7217	7260	+	ONT14.1043.446	UTR	NA
chr14	7260	8592	+	ONT14.1043.446	intron	NA
chr14	8592	8980	+	ONT14.1043.446	UTR	NA
chr14	1967	2143	+	ONT14.1043.4464	UTR	NA
chr14	2143	2247	+	ONT14.1043.4464	intron	NA
chr14	2247	2266	+	ONT14.1043.4464	UTR	NA
chr14	2267	3651	+	ONT14.1043.4464	CDS	LRFN5
chr14	3651	7217	+	ONT14.1043.4464	intron	LRFN5
chr14	7217	7232	+	ONT14.1043.4464	CDS	LRFN5
chr14	7233	7260	+	ONT14.1043.4464	UTR	NA
chr14	7260	8592	+	ONT14.1043.4464	intron	NA
chr14	8592	8980	+	ONT14.1043.4464	UTR	NA
chr14	2030	2143	+	ONT14.1043.4470	UTR	NA
chr14	2143	2247	+	ONT14.1043.4470	intron	NA
chr14	2247	2266	+	ONT14.1043.4470	UTR	NA
