seqnames	start	end	strand	transcript_id	type	gene_id
chr1	369	573	+	ENST00000263174.9	UTR	NA
chr1	574	618	+	ENST00000263174.9	CDS	ENSG00000099260.12
chr1	618	719	+	ENST00000263174.9	intron	ENSG00000099260.12
chr1	719	799	+	ENST00000263174.9	CDS	ENSG00000099260.12
chr1	799	901	+	ENST00000263174.9	intron	ENSG00000099260.12
chr1	901	1025	+	ENST00000263174.9	CDS	ENSG00000099260.12
chr1	1025	4042	+	ENST00000263174.9	intron	ENSG00000099260.12
chr1	4042	4156	+	ENST00000263174.9	CDS	ENSG00000099260.12
chr1	4156	4296	+	ENST00000263174.9	intron	ENSG00000099260.12
chr1	4296	4329	+	ENST00000263174.9	CDS	ENSG00000099260.12
chr1	4329	4442	+	ENST00000263174.9	intron	ENSG00000099260.12
chr1	4442	4555	+	ENST00000263174.9	CDS	ENSG00000099260.12
chr1	4555	4658	+	ENST00000263174.9	intron	ENSG00000099260.12
chr1	4658	5755	+	ENST00000263174.9	CDS	ENSG00000099260.12
chr1	5755	9902	+	ENST00000263174.9	intron	ENSG00000099260.12
chr1	9902	9948	+	ENST00000263174.9	CDS	ENSG00000099260.12
chr1	9949	10418	+	ENST00000263174.9	UTR	NA
chr1	3634	4156	+	ONT1.3495.1126	UTR	NA
chr1	4156	4296	+	ONT1.3495.1126	intron	NA
chr1	4296	4329	+	ONT1.3495.1126	UTR	NA
chr1	4329	4442	+	ONT1.3495.1126	intron	NA
chr1	4442	4555	+	ONT1.3495.1126	UTR	NA
chr1	4555	4658	+	ONT1.3495.1126	intron	NA
chr1	4658	4668	+	ONT1.3495.1126	UTR	NA
chr1	4669	5755	+	ONT1.3495.1126	CDS	PALMD
chr1	5755	9902	+	ONT1.3495.1126	intron	PALMD
chr1	9902	9945	+	ONT1.3495.1126	CDS	PALMD
chr1	9946	10257	+	ONT1.3495.1126	UTR	NA
chr1	3938	4156	+	ONT1.3495.1136	UTR	NA
chr1	4156	4296	+	ONT1.3495.1136	intron	NA
chr1	4296	4329	+	ONT1.3495.1136	UTR	NA
chr1	4329	4442	+	ONT1.3495.1136	intron	NA
chr1	4442	4555	+	ONT1.3495.1136	UTR	NA
chr1	4555	4658	+	ONT1.3495.1136	intron	NA
chr1	4658	4668	+	ONT1.3495.1136	UTR	NA
chr1	4669	5755	+	ONT1.3495.1136	CDS	PALMD
chr1	5755	9902	+	ONT1.3495.1136	intron	PALMD
chr1	9902	9945	+	ONT1.3495.1136	CDS	PALMD
chr1	9946	10418	+	ONT1.3495.1136	UTR	NA
chr1	4019	4156	+	ONT1.3495.1142	UTR	NA
chr1	4156	4296	+	ONT1.3495.1142	intron	NA
chr1	4296	4329	+	ONT1.3495.1142	UTR	NA
chr1	4329	4442	+	ONT1.3495.1142	intron	NA
chr1	4442	4555	+	ONT1.3495.1142	UTR	NA
chr1	4555	4658	+	ONT1.3495.1142	intron	NA
chr1	4658	4668	+	ONT1.3495.1142	UTR	NA
