seqnames	start	end	strand	transcript_id	type	gene_id
chr13	6	1153	-	ENST00000344532.8	UTR	NA
chr13	1154	1294	-	ENST00000344532.8	CDS	ENSG00000136161.13
chr13	1294	1395	-	ENST00000344532.8	intron	ENSG00000136161.13
chr13	1395	1525	-	ENST00000344532.8	CDS	ENSG00000136161.13
chr13	1525	1716	-	ENST00000344532.8	intron	ENSG00000136161.13
chr13	1716	1855	-	ENST00000344532.8	CDS	ENSG00000136161.13
chr13	1855	1956	-	ENST00000344532.8	intron	ENSG00000136161.13
chr13	1956	2082	-	ENST00000344532.8	CDS	ENSG00000136161.13
chr13	2082	2249	-	ENST00000344532.8	intron	ENSG00000136161.13
chr13	2249	2439	-	ENST00000344532.8	CDS	ENSG00000136161.13
chr13	2439	5280	-	ENST00000344532.8	intron	ENSG00000136161.13
chr13	5280	5422	-	ENST00000344532.8	CDS	ENSG00000136161.13
chr13	5422	6239	-	ENST00000344532.8	intron	ENSG00000136161.13
chr13	6239	6346	-	ENST00000344532.8	CDS	ENSG00000136161.13
chr13	6346	6485	-	ENST00000344532.8	intron	ENSG00000136161.13
chr13	6485	6643	-	ENST00000344532.8	CDS	ENSG00000136161.13
chr13	6643	7198	-	ENST00000344532.8	intron	ENSG00000136161.13
chr13	7198	7364	-	ENST00000344532.8	CDS	ENSG00000136161.13
chr13	7364	7465	-	ENST00000344532.8	intron	ENSG00000136161.13
chr13	7465	7615	-	ENST00000344532.8	CDS	ENSG00000136161.13
chr13	7615	7716	-	ENST00000344532.8	intron	ENSG00000136161.13
chr13	7716	7871	-	ENST00000344532.8	CDS	ENSG00000136161.13
chr13	7871	7974	-	ENST00000344532.8	intron	ENSG00000136161.13
chr13	7974	8018	-	ENST00000344532.8	CDS	ENSG00000136161.13
chr13	8019	8038	-	ENST00000344532.8	UTR	NA
chr13	8038	8139	-	ENST00000344532.8	intron	NA
chr13	8139	8234	-	ENST00000344532.8	UTR	NA
chr13	8234	8335	-	ENST00000344532.8	intron	NA
chr13	8335	8433	-	ENST00000344532.8	UTR	NA
chr13	8433	8542	-	ENST00000344532.8	intron	NA
chr13	8542	8594	-	ENST00000344532.8	UTR	NA
chr13	4020	5278	-	ONT13.1393.1006	UTR	NA
chr13	5279	5422	-	ONT13.1393.1006	CDS	RCBTB2
chr13	5422	6239	-	ONT13.1393.1006	intron	RCBTB2
chr13	6239	6346	-	ONT13.1393.1006	CDS	RCBTB2
chr13	6346	6485	-	ONT13.1393.1006	intron	RCBTB2
chr13	6485	6643	-	ONT13.1393.1006	CDS	RCBTB2
chr13	6643	7198	-	ONT13.1393.1006	intron	RCBTB2
chr13	7198	7364	-	ONT13.1393.1006	CDS	RCBTB2
chr13	7364	7465	-	ONT13.1393.1006	intron	RCBTB2
