seqnames	start	end	strand	transcript_id	type	gene_id
chr17	46	2935	-	ENST00000571995.6	UTR	NA
chr17	2936	3207	-	ENST00000571995.6	CDS	ENSG00000141542.11
chr17	3207	3564	-	ENST00000571995.6	intron	ENSG00000141542.11
chr17	3564	3786	-	ENST00000571995.6	CDS	ENSG00000141542.11
chr17	3786	4653	-	ENST00000571995.6	intron	ENSG00000141542.11
chr17	4653	4730	-	ENST00000571995.6	CDS	ENSG00000141542.11
chr17	4730	6060	-	ENST00000571995.6	intron	ENSG00000141542.11
chr17	6060	6120	-	ENST00000571995.6	CDS	ENSG00000141542.11
chr17	6120	7958	-	ENST00000571995.6	intron	ENSG00000141542.11
chr17	7958	8018	-	ENST00000571995.6	CDS	ENSG00000141542.11
chr17	8018	11988	-	ENST00000571995.6	intron	ENSG00000141542.11
chr17	11988	12132	-	ENST00000571995.6	CDS	ENSG00000141542.11
chr17	12133	12231	-	ENST00000571995.6	UTR	NA
chr17	2	1131	-	ONT17.2107.28129	UTR	NA
chr17	1131	2080	-	ONT17.2107.28129	intron	NA
chr17	2080	2938	-	ONT17.2107.28129	UTR	NA
chr17	2939	3207	-	ONT17.2107.28129	CDS	RAB40B
chr17	3207	3564	-	ONT17.2107.28129	intron	RAB40B
chr17	3564	3786	-	ONT17.2107.28129	CDS	RAB40B
chr17	3786	4653	-	ONT17.2107.28129	intron	RAB40B
chr17	4653	4730	-	ONT17.2107.28129	CDS	RAB40B
chr17	4730	6060	-	ONT17.2107.28129	intron	RAB40B
chr17	6060	6120	-	ONT17.2107.28129	CDS	RAB40B
chr17	6120	7958	-	ONT17.2107.28129	intron	RAB40B
chr17	7958	8018	-	ONT17.2107.28129	CDS	RAB40B
chr17	8018	11988	-	ONT17.2107.28129	intron	RAB40B
chr17	11988	12132	-	ONT17.2107.28129	CDS	RAB40B
chr17	12133	12219	-	ONT17.2107.28129	UTR	NA
chr17	17	740	-	ONT17.2107.28135	UTR	NA
chr17	740	1566	-	ONT17.2107.28135	intron	NA
chr17	1566	2938	-	ONT17.2107.28135	UTR	NA
chr17	2939	3207	-	ONT17.2107.28135	CDS	RAB40B
chr17	3207	3564	-	ONT17.2107.28135	intron	RAB40B
chr17	3564	3594	-	ONT17.2107.28135	CDS	RAB40B
chr17	3595	3788	-	ONT17.2107.28135	UTR	NA
chr17	32	740	-	ONT17.2107.28136	UTR	NA
chr17	740	1566	-	ONT17.2107.28136	intron	NA
chr17	1566	2938	-	ONT17.2107.28136	UTR	NA
chr17	2939	3207	-	ONT17.2107.28136	CDS	RAB40B
chr17	3207	3564	-	ONT17.2107.28136	intron	RAB40B
chr17	3564	3786	-	ONT17.2107.28136	CDS	RAB40B
chr17	3786	4653	-	ONT17.2107.28136	intron	RAB40B
chr17	4653	4730	-	ONT17.2107.28136	CDS	RAB40B
chr17	4730	6060	-	ONT17.2107.28136	intron	RAB40B
chr17	6060	6120	-	ONT17.2107.28136	CDS	RAB40B
chr17	6120	7958	-	ONT17.2107.28136	intron	RAB40B
chr17	7958	8018	-	ONT17.2107.28136	CDS	RAB40B
chr17	8018	11988	-	ONT17.2107.28136	intron	RAB40B
chr17	11988	12132	-	ONT17.2107.28136	CDS	RAB40B
chr17	12133	12196	-	ONT17.2107.28136	UTR	NA
chr17	21	740	-	ONT17.2107.28139	UTR	NA
chr17	740	1566	-	ONT17.2107.28139	intron	NA
chr17	1566	2938	-	ONT17.2107.28139	UTR	NA
chr17	2939	3207	-	ONT17.2107.28139	CDS	RAB40B
chr17	3207	3564	-	ONT17.2107.28139	intron	RAB40B
chr17	3564	3594	-	ONT17.2107.28139	CDS	RAB40B
chr17	3595	3786	-	ONT17.2107.28139	UTR	NA
chr17	3786	4653	-	ONT17.2107.28139	intron	NA
chr17	4653	4730	-	ONT17.2107.28139	UTR	NA
chr17	4730	6060	-	ONT17.2107.28139	intron	NA
chr17	6060	6120	-	ONT17.2107.28139	UTR	NA
chr17	6120	7958	-	ONT17.2107.28139	intron	NA
chr17	7958	8018	-	ONT17.2107.28139	UTR	NA
chr17	8018	8307	-	ONT17.2107.28139	intron	NA
chr17	8307	8386	-	ONT17.2107.28139	UTR	NA
chr17	21	241	-	ONT17.2107.28141	UTR	NA
chr17	241	602	-	ONT17.2107.28141	intron	NA
chr17	602	740	-	ONT17.2107.28141	UTR	NA
chr17	740	1566	-	ONT17.2107.28141	intron	NA
chr17	1566	2938	-	ONT17.2107.28141	UTR	NA
chr17	2939	3207	-	ONT17.2107.28141	CDS	RAB40B
chr17	3207	3564	-	ONT17.2107.28141	intron	RAB40B
chr17	3564	3786	-	ONT17.2107.28141	CDS	RAB40B
chr17	3786	4653	-	ONT17.2107.28141	intron	RAB40B
chr17	4653	4730	-	ONT17.2107.28141	CDS	RAB40B
chr17	4730	6060	-	ONT17.2107.28141	intron	RAB40B
chr17	6060	6120	-	ONT17.2107.28141	CDS	RAB40B
chr17	6120	7958	-	ONT17.2107.28141	intron	RAB40B
chr17	7958	8018	-	ONT17.2107.28141	CDS	RAB40B
chr17	8018	11988	-	ONT17.2107.28141	intron	RAB40B
chr17	11988	12132	-	ONT17.2107.28141	CDS	RAB40B
chr17	12133	12197	-	ONT17.2107.28141	UTR	NA
chr17	32	740	-	ONT17.2107.28145	UTR	NA
chr17	740	1566	-	ONT17.2107.28145	intron	NA
chr17	1566	3207	-	ONT17.2107.28145	UTR	NA
chr17	3207	3564	-	ONT17.2107.28145	intron	NA
chr17	3564	3786	-	ONT17.2107.28145	UTR	NA
chr17	3786	4653	-	ONT17.2107.28145	intron	NA
chr17	4653	4730	-	ONT17.2107.28145	UTR	NA
chr17	4730	6060	-	ONT17.2107.28145	intron	NA
chr17	6060	6333	-	ONT17.2107.28145	UTR	NA
chr17	6334	6343	-	ONT17.2107.28145	CDS	RAB40B
chr17	6343	7958	-	ONT17.2107.28145	intron	RAB40B
chr17	7958	8018	-	ONT17.2107.28145	CDS	RAB40B
chr17	8018	11988	-	ONT17.2107.28145	intron	RAB40B
chr17	11988	12132	-	ONT17.2107.28145	CDS	RAB40B
chr17	12133	12199	-	ONT17.2107.28145	UTR	NA
chr17	32	241	-	ONT17.2107.28147	UTR	NA
chr17	241	602	-	ONT17.2107.28147	intron	NA
chr17	602	734	-	ONT17.2107.28147	UTR	NA
chr17	735	740	-	ONT17.2107.28147	CDS	RAB40B
chr17	740	4653	-	ONT17.2107.28147	intron	RAB40B
chr17	4653	4730	-	ONT17.2107.28147	CDS	RAB40B
chr17	4730	6060	-	ONT17.2107.28147	intron	RAB40B
chr17	6060	6120	-	ONT17.2107.28147	CDS	RAB40B
chr17	6120	7958	-	ONT17.2107.28147	intron	RAB40B
chr17	7958	8018	-	ONT17.2107.28147	CDS	RAB40B
chr17	8018	11988	-	ONT17.2107.28147	intron	RAB40B
chr17	11988	12132	-	ONT17.2107.28147	CDS	RAB40B
chr17	12133	12226	-	ONT17.2107.28147	UTR	NA
chr17	34	2938	-	ONT17.2107.28148	UTR	NA
chr17	2939	3207	-	ONT17.2107.28148	CDS	RAB40B
chr17	3207	3564	-	ONT17.2107.28148	intron	RAB40B
chr17	3564	3786	-	ONT17.2107.28148	CDS	RAB40B
chr17	3786	4653	-	ONT17.2107.28148	intron	RAB40B
chr17	4653	4730	-	ONT17.2107.28148	CDS	RAB40B
chr17	4730	6060	-	ONT17.2107.28148	intron	RAB40B
chr17	6060	6120	-	ONT17.2107.28148	CDS	RAB40B
chr17	6120	7958	-	ONT17.2107.28148	intron	RAB40B
chr17	7958	8018	-	ONT17.2107.28148	CDS	RAB40B
chr17	8018	11988	-	ONT17.2107.28148	intron	RAB40B
chr17	11988	12132	-	ONT17.2107.28148	CDS	RAB40B
chr17	12133	12231	-	ONT17.2107.28148	UTR	NA
chr17	50	234	-	ONT17.2107.28149	UTR	NA
chr17	234	602	-	ONT17.2107.28149	intron	NA
chr17	602	740	-	ONT17.2107.28149	UTR	NA
chr17	740	1566	-	ONT17.2107.28149	intron	NA
chr17	1566	2938	-	ONT17.2107.28149	UTR	NA
chr17	2939	3207	-	ONT17.2107.28149	CDS	RAB40B
chr17	3207	3564	-	ONT17.2107.28149	intron	RAB40B
chr17	3564	3786	-	ONT17.2107.28149	CDS	RAB40B
chr17	3786	4653	-	ONT17.2107.28149	intron	RAB40B
chr17	4653	4730	-	ONT17.2107.28149	CDS	RAB40B
chr17	4730	6060	-	ONT17.2107.28149	intron	RAB40B
chr17	6060	6120	-	ONT17.2107.28149	CDS	RAB40B
chr17	6120	7958	-	ONT17.2107.28149	intron	RAB40B
chr17	7958	8018	-	ONT17.2107.28149	CDS	RAB40B
chr17	8018	11988	-	ONT17.2107.28149	intron	RAB40B
chr17	11988	12132	-	ONT17.2107.28149	CDS	RAB40B
chr17	12133	12196	-	ONT17.2107.28149	UTR	NA
chr17	37	740	-	ONT17.2107.28158	UTR	NA
chr17	740	1566	-	ONT17.2107.28158	intron	NA
chr17	1566	2938	-	ONT17.2107.28158	UTR	NA
chr17	2939	3207	-	ONT17.2107.28158	CDS	RAB40B
chr17	3207	3564	-	ONT17.2107.28158	intron	RAB40B
chr17	3564	3594	-	ONT17.2107.28158	CDS	RAB40B
chr17	3595	3786	-	ONT17.2107.28158	UTR	NA
chr17	3786	4653	-	ONT17.2107.28158	intron	NA
chr17	4653	4730	-	ONT17.2107.28158	UTR	NA
chr17	4730	6060	-	ONT17.2107.28158	intron	NA
chr17	6060	6120	-	ONT17.2107.28158	UTR	NA
chr17	6120	7958	-	ONT17.2107.28158	intron	NA
