seqnames	start	end	strand	transcript_id	type	gene_id
chrX	2	360	+	ENST00000334036.10	UTR	NA
chrX	360	1614	+	ENST00000334036.10	intron	NA
chrX	1614	1707	+	ENST00000334036.10	UTR	NA
chrX	1708	1771	+	ENST00000334036.10	CDS	ENSG00000184911.15
chrX	1771	1872	+	ENST00000334036.10	intron	ENSG00000184911.15
chrX	1872	1930	+	ENST00000334036.10	CDS	ENSG00000184911.15
chrX	1930	2031	+	ENST00000334036.10	intron	ENSG00000184911.15
chrX	2031	2164	+	ENST00000334036.10	CDS	ENSG00000184911.15
chrX	2164	2265	+	ENST00000334036.10	intron	ENSG00000184911.15
chrX	2265	2325	+	ENST00000334036.10	CDS	ENSG00000184911.15
chrX	2325	2440	+	ENST00000334036.10	intron	ENSG00000184911.15
chrX	2440	2587	+	ENST00000334036.10	CDS	ENSG00000184911.15
chrX	2587	2688	+	ENST00000334036.10	intron	ENSG00000184911.15
chrX	2688	2803	+	ENST00000334036.10	CDS	ENSG00000184911.15
chrX	2804	3228	+	ENST00000334036.10	UTR	NA
chrX	286	360	+	ONTX.3621.4277	UTR	NA
chrX	360	461	+	ONTX.3621.4277	intron	NA
chrX	461	604	+	ONTX.3621.4277	UTR	NA
chrX	605	736	+	ONTX.3621.4277	CDS	DMRTC1B
chrX	737	1513	+	ONTX.3621.4277	UTR	NA
chrX	268	360	+	ONTX.3621.4279	UTR	NA
chrX	360	1614	+	ONTX.3621.4279	intron	NA
chrX	1614	1707	+	ONTX.3621.4279	UTR	NA
chrX	1708	1771	+	ONTX.3621.4279	CDS	DMRTC1B
chrX	1771	1872	+	ONTX.3621.4279	intron	DMRTC1B
chrX	1872	1930	+	ONTX.3621.4279	CDS	DMRTC1B
chrX	1930	2031	+	ONTX.3621.4279	intron	DMRTC1B
chrX	2031	2164	+	ONTX.3621.4279	CDS	DMRTC1B
chrX	2164	2265	+	ONTX.3621.4279	intron	DMRTC1B
chrX	2265	2339	+	ONTX.3621.4279	CDS	DMRTC1B
chrX	2339	2450	+	ONTX.3621.4279	intron	DMRTC1B
chrX	2450	2456	+	ONTX.3621.4279	CDS	DMRTC1B
chrX	2457	2587	+	ONTX.3621.4279	UTR	NA
chrX	2587	2688	+	ONTX.3621.4279	intron	NA
chrX	2688	3223	+	ONTX.3621.4279	UTR	NA
chrX	280	638	+	ENST00000334036.10	exon	ENSG00000184911.15
chrX	638	4545	+	ENST00000334036.10	intron	NA
chrX	4545	4702	+	ENST00000334036.10	exon	ENSG00000184911.15
chrX	4702	4803	+	ENST00000334036.10	intron	ENSG00000184911.15
chrX	4803	4861	+	ENST00000334036.10	exon	ENSG00000184911.15
chrX	4861	4964	+	ENST00000334036.10	intron	ENSG00000184911.15
chrX	4964	5097	+	ENST00000334036.10	exon	ENSG00000184911.15
chrX	5097	5198	+	ENST00000334036.10	intron	ENSG00000184911.15
chrX	5198	5258	+	ENST00000334036.10	exon	ENSG00000184911.15
chrX	5258	5443	+	ENST00000334036.10	intron	ENSG00000184911.15
chrX	5443	5590	+	ENST00000334036.10	exon	ENSG00000184911.15
chrX	5590	5691	+	ENST00000334036.10	intron	ENSG00000184911.15
chrX	5691	6231	+	ENST00000334036.10	exon	ENSG00000184911.15
chrX	2	179	+	ONTX.3621.4193	exon	DMRTC1B
chrX	180	337	+	ONTX.3621.4193	exon	DMRTC1B
chrX	338	396	+	ONTX.3621.4193	exon	DMRTC1B
chrX	397	530	+	ONTX.3621.4193	exon	DMRTC1B
chrX	531	591	+	ONTX.3621.4193	exon	DMRTC1B
chrX	592	739	+	ONTX.3621.4193	exon	DMRTC1B
chrX	740	1279	+	ONTX.3621.4193	exon	DMRTC1B
chrX	58	179	+	ONTX.3621.4195	exon	DMRTC1B
chrX	180	337	+	ONTX.3621.4195	exon	DMRTC1B
chrX	338	396	+	ONTX.3621.4195	exon	DMRTC1B
chrX	397	530	+	ONTX.3621.4195	exon	DMRTC1B
chrX	531	591	+	ONTX.3621.4195	exon	DMRTC1B
chrX	592	739	+	ONTX.3621.4195	exon	DMRTC1B
chrX	740	1272	+	ONTX.3621.4195	exon	DMRTC1B
chrX	285	638	+	ONTX.3621.4196	exon	DMRTC1B
chrX	639	796	+	ONTX.3621.4196	exon	DMRTC1B
chrX	797	855	+	ONTX.3621.4196	exon	DMRTC1B
chrX	856	989	+	ONTX.3621.4196	exon	DMRTC1B
chrX	990	1050	+	ONTX.3621.4196	exon	DMRTC1B
chrX	1051	1198	+	ONTX.3621.4196	exon	DMRTC1B
chrX	1199	1734	+	ONTX.3621.4196	exon	DMRTC1B
chrX	337	638	+	ONTX.3621.4217	exon	DMRTC1B
chrX	639	796	+	ONTX.3621.4217	exon	DMRTC1B
chrX	797	855	+	ONTX.3621.4217	exon	DMRTC1B
chrX	856	989	+	ONTX.3621.4217	exon	DMRTC1B
chrX	990	1050	+	ONTX.3621.4217	exon	DMRTC1B
chrX	1051	1198	+	ONTX.3621.4217	exon	DMRTC1B
chrX	1199	1738	+	ONTX.3621.4217	exon	DMRTC1B
chrX	370	638	+	ONTX.3621.4224	exon	DMRTC1B
chrX	639	796	+	ONTX.3621.4224	exon	DMRTC1B
chrX	797	855	+	ONTX.3621.4224	exon	DMRTC1B
chrX	856	989	+	ONTX.3621.4224	exon	DMRTC1B
chrX	990	1137	+	ONTX.3621.4224	exon	DMRTC1B
chrX	1138	1675	+	ONTX.3621.4224	exon	DMRTC1B
chrX	397	638	+	ONTX.3621.4229	exon	DMRTC1B
chrX	639	796	+	ONTX.3621.4229	exon	DMRTC1B
chrX	797	855	+	ONTX.3621.4229	exon	DMRTC1B
