seqnames	start	end	strand	transcript_id	type	gene_id
chr3	2	5084	-	ENST00000344337.11	UTR	NA
chr3	5085	5272	-	ENST00000344337.11	CDS	ENSG00000114030.13
chr3	5272	5373	-	ENST00000344337.11	intron	ENSG00000114030.13
chr3	5373	5551	-	ENST00000344337.11	CDS	ENSG00000114030.13
chr3	5551	7696	-	ENST00000344337.11	intron	ENSG00000114030.13
chr3	7696	7823	-	ENST00000344337.11	CDS	ENSG00000114030.13
chr3	7823	10017	-	ENST00000344337.11	intron	ENSG00000114030.13
chr3	10017	10142	-	ENST00000344337.11	CDS	ENSG00000114030.13
chr3	10142	10245	-	ENST00000344337.11	intron	ENSG00000114030.13
chr3	10245	10323	-	ENST00000344337.11	CDS	ENSG00000114030.13
chr3	10323	11717	-	ENST00000344337.11	intron	ENSG00000114030.13
chr3	11717	11880	-	ENST00000344337.11	CDS	ENSG00000114030.13
chr3	11880	11983	-	ENST00000344337.11	intron	ENSG00000114030.13
chr3	11983	12082	-	ENST00000344337.11	CDS	ENSG00000114030.13
chr3	12082	12183	-	ENST00000344337.11	intron	ENSG00000114030.13
chr3	12183	12271	-	ENST00000344337.11	CDS	ENSG00000114030.13
chr3	12271	12376	-	ENST00000344337.11	intron	ENSG00000114030.13
chr3	12376	12507	-	ENST00000344337.11	CDS	ENSG00000114030.13
chr3	12507	14590	-	ENST00000344337.11	intron	ENSG00000114030.13
chr3	14590	14684	-	ENST00000344337.11	CDS	ENSG00000114030.13
chr3	14684	15401	-	ENST00000344337.11	intron	ENSG00000114030.13
chr3	15401	15500	-	ENST00000344337.11	CDS	ENSG00000114030.13
chr3	15500	15601	-	ENST00000344337.11	intron	ENSG00000114030.13
chr3	15601	15708	-	ENST00000344337.11	CDS	ENSG00000114030.13
chr3	15708	15812	-	ENST00000344337.11	intron	ENSG00000114030.13
chr3	15812	15943	-	ENST00000344337.11	CDS	ENSG00000114030.13
chr3	15944	15945	-	ENST00000344337.11	UTR	NA
chr3	15945	16051	-	ENST00000344337.11	intron	NA
chr3	16051	16233	-	ENST00000344337.11	UTR	NA
chr3	53	5087	-	ONT3.5801.1244	UTR	NA
chr3	5088	5272	-	ONT3.5801.1244	CDS	KPNA1
chr3	5272	5373	-	ONT3.5801.1244	intron	KPNA1
chr3	5373	5551	-	ONT3.5801.1244	CDS	KPNA1
chr3	5551	7696	-	ONT3.5801.1244	intron	KPNA1
chr3	7696	7823	-	ONT3.5801.1244	CDS	KPNA1
chr3	7823	10017	-	ONT3.5801.1244	intron	KPNA1
chr3	10017	10142	-	ONT3.5801.1244	CDS	KPNA1
chr3	10142	10245	-	ONT3.5801.1244	intron	KPNA1
chr3	10245	10323	-	ONT3.5801.1244	CDS	KPNA1
chr3	10323	11717	-	ONT3.5801.1244	intron	KPNA1
chr3	11717	11880	-	ONT3.5801.1244	CDS	KPNA1
chr3	11880	11983	-	ONT3.5801.1244	intron	KPNA1
chr3	11983	12082	-	ONT3.5801.1244	CDS	KPNA1
chr3	12082	12183	-	ONT3.5801.1244	intron	KPNA1
chr3	12183	12271	-	ONT3.5801.1244	CDS	KPNA1
chr3	12271	12376	-	ONT3.5801.1244	intron	KPNA1
chr3	12376	12507	-	ONT3.5801.1244	CDS	KPNA1
chr3	12507	14590	-	ONT3.5801.1244	intron	KPNA1
chr3	14590	14684	-	ONT3.5801.1244	CDS	KPNA1
chr3	14684	15401	-	ONT3.5801.1244	intron	KPNA1
chr3	15401	15500	-	ONT3.5801.1244	CDS	KPNA1
chr3	15500	15601	-	ONT3.5801.1244	intron	KPNA1
chr3	15601	15708	-	ONT3.5801.1244	CDS	KPNA1
chr3	15708	15812	-	ONT3.5801.1244	intron	KPNA1
chr3	15812	15943	-	ONT3.5801.1244	CDS	KPNA1
chr3	15944	15945	-	ONT3.5801.1244	UTR	NA
chr3	15945	16051	-	ONT3.5801.1244	intron	NA
chr3	16051	16203	-	ONT3.5801.1244	UTR	NA
chr3	236	5087	-	ONT3.5801.1305	UTR	NA
chr3	5088	5272	-	ONT3.5801.1305	CDS	KPNA1
chr3	5272	5373	-	ONT3.5801.1305	intron	KPNA1
chr3	5373	5551	-	ONT3.5801.1305	CDS	KPNA1
chr3	5551	7696	-	ONT3.5801.1305	intron	KPNA1
chr3	7696	7823	-	ONT3.5801.1305	CDS	KPNA1
chr3	7823	10017	-	ONT3.5801.1305	intron	KPNA1
chr3	10017	10142	-	ONT3.5801.1305	CDS	KPNA1
chr3	10142	10245	-	ONT3.5801.1305	intron	KPNA1
chr3	10245	10323	-	ONT3.5801.1305	CDS	KPNA1
chr3	10323	11717	-	ONT3.5801.1305	intron	KPNA1
chr3	11717	11880	-	ONT3.5801.1305	CDS	KPNA1
chr3	11880	11983	-	ONT3.5801.1305	intron	KPNA1
chr3	11983	12082	-	ONT3.5801.1305	CDS	KPNA1
chr3	12082	12183	-	ONT3.5801.1305	intron	KPNA1
chr3	12183	12271	-	ONT3.5801.1305	CDS	KPNA1
chr3	12271	12376	-	ONT3.5801.1305	intron	KPNA1
chr3	12376	12507	-	ONT3.5801.1305	CDS	KPNA1
chr3	12507	14590	-	ONT3.5801.1305	intron	KPNA1
chr3	14590	14684	-	ONT3.5801.1305	CDS	KPNA1
chr3	14684	15401	-	ONT3.5801.1305	intron	KPNA1
chr3	15401	15500	-	ONT3.5801.1305	CDS	KPNA1
chr3	15500	15601	-	ONT3.5801.1305	intron	KPNA1
chr3	15601	15708	-	ONT3.5801.1305	CDS	KPNA1
chr3	15708	15812	-	ONT3.5801.1305	intron	KPNA1
chr3	15812	15943	-	ONT3.5801.1305	CDS	KPNA1
chr3	15944	15945	-	ONT3.5801.1305	UTR	NA
chr3	15945	16051	-	ONT3.5801.1305	intron	NA
chr3	16051	16241	-	ONT3.5801.1305	UTR	NA
chr3	235	5087	-	ONT3.5801.1306	UTR	NA
chr3	5088	5272	-	ONT3.5801.1306	CDS	KPNA1
chr3	5272	5373	-	ONT3.5801.1306	intron	KPNA1
chr3	5373	5551	-	ONT3.5801.1306	CDS	KPNA1
chr3	5551	7696	-	ONT3.5801.1306	intron	KPNA1
chr3	7696	7823	-	ONT3.5801.1306	CDS	KPNA1
chr3	7823	10017	-	ONT3.5801.1306	intron	KPNA1
chr3	10017	10142	-	ONT3.5801.1306	CDS	KPNA1
chr3	10142	10245	-	ONT3.5801.1306	intron	KPNA1
chr3	10245	10323	-	ONT3.5801.1306	CDS	KPNA1
chr3	10323	11717	-	ONT3.5801.1306	intron	KPNA1
chr3	11717	11880	-	ONT3.5801.1306	CDS	KPNA1
chr3	11880	11983	-	ONT3.5801.1306	intron	KPNA1
chr3	11983	12082	-	ONT3.5801.1306	CDS	KPNA1
chr3	12082	12183	-	ONT3.5801.1306	intron	KPNA1
chr3	12183	12271	-	ONT3.5801.1306	CDS	KPNA1
chr3	12271	12376	-	ONT3.5801.1306	intron	KPNA1
chr3	12376	12507	-	ONT3.5801.1306	CDS	KPNA1
chr3	12507	14590	-	ONT3.5801.1306	intron	KPNA1
chr3	14590	14684	-	ONT3.5801.1306	CDS	KPNA1
chr3	14684	15401	-	ONT3.5801.1306	intron	KPNA1
chr3	15401	15500	-	ONT3.5801.1306	CDS	KPNA1
chr3	15500	15601	-	ONT3.5801.1306	intron	KPNA1
chr3	15601	15708	-	ONT3.5801.1306	CDS	KPNA1
chr3	15708	15812	-	ONT3.5801.1306	intron	KPNA1
chr3	15812	15943	-	ONT3.5801.1306	CDS	KPNA1
chr3	15944	15945	-	ONT3.5801.1306	UTR	NA
chr3	15945	16169	-	ONT3.5801.1306	intron	NA
chr3	16169	16216	-	ONT3.5801.1306	UTR	NA
chr3	1212	5087	-	ONT3.5801.1362	UTR	NA
chr3	5088	5272	-	ONT3.5801.1362	CDS	KPNA1
chr3	5272	5373	-	ONT3.5801.1362	intron	KPNA1
chr3	5373	5551	-	ONT3.5801.1362	CDS	KPNA1
chr3	5551	7696	-	ONT3.5801.1362	intron	KPNA1
chr3	7696	7823	-	ONT3.5801.1362	CDS	KPNA1
chr3	7823	10017	-	ONT3.5801.1362	intron	KPNA1
chr3	10017	10142	-	ONT3.5801.1362	CDS	KPNA1
chr3	10142	10245	-	ONT3.5801.1362	intron	KPNA1
chr3	10245	10323	-	ONT3.5801.1362	CDS	KPNA1
chr3	10323	11717	-	ONT3.5801.1362	intron	KPNA1
chr3	11717	11880	-	ONT3.5801.1362	CDS	KPNA1
chr3	11880	11983	-	ONT3.5801.1362	intron	KPNA1
chr3	11983	12082	-	ONT3.5801.1362	CDS	KPNA1
chr3	12082	12183	-	ONT3.5801.1362	intron	KPNA1
chr3	12183	12271	-	ONT3.5801.1362	CDS	KPNA1
chr3	12271	12376	-	ONT3.5801.1362	intron	KPNA1
chr3	12376	12507	-	ONT3.5801.1362	CDS	KPNA1
chr3	12507	14590	-	ONT3.5801.1362	intron	KPNA1
chr3	14590	14684	-	ONT3.5801.1362	CDS	KPNA1
chr3	14684	15401	-	ONT3.5801.1362	intron	KPNA1
chr3	15401	15500	-	ONT3.5801.1362	CDS	KPNA1
chr3	15500	15601	-	ONT3.5801.1362	intron	KPNA1
chr3	15601	15708	-	ONT3.5801.1362	CDS	KPNA1
chr3	15708	15812	-	ONT3.5801.1362	intron	KPNA1
chr3	15812	15943	-	ONT3.5801.1362	CDS	KPNA1
chr3	15944	15945	-	ONT3.5801.1362	UTR	NA
chr3	15945	16051	-	ONT3.5801.1362	intron	NA
chr3	16051	16233	-	ONT3.5801.1362	UTR	NA
chr3	1333	5087	-	ONT3.5801.1372	UTR	NA
chr3	5088	5272	-	ONT3.5801.1372	CDS	KPNA1
chr3	5272	5373	-	ONT3.5801.1372	intron	KPNA1
chr3	5373	5551	-	ONT3.5801.1372	CDS	KPNA1
chr3	5551	7696	-	ONT3.5801.1372	intron	KPNA1
chr3	7696	7823	-	ONT3.5801.1372	CDS	KPNA1
chr3	7823	10017	-	ONT3.5801.1372	intron	KPNA1
chr3	10017	10142	-	ONT3.5801.1372	CDS	KPNA1
chr3	10142	10245	-	ONT3.5801.1372	intron	KPNA1
chr3	10245	10323	-	ONT3.5801.1372	CDS	KPNA1
chr3	10323	11717	-	ONT3.5801.1372	intron	KPNA1
chr3	11717	11880	-	ONT3.5801.1372	CDS	KPNA1
chr3	11880	11983	-	ONT3.5801.1372	intron	KPNA1
chr3	11983	12082	-	ONT3.5801.1372	CDS	KPNA1
chr3	12082	12183	-	ONT3.5801.1372	intron	KPNA1
chr3	12183	12271	-	ONT3.5801.1372	CDS	KPNA1
chr3	12271	12376	-	ONT3.5801.1372	intron	KPNA1
chr3	12376	12507	-	ONT3.5801.1372	CDS	KPNA1
chr3	12507	14590	-	ONT3.5801.1372	intron	KPNA1
chr3	14590	14684	-	ONT3.5801.1372	CDS	KPNA1
chr3	14684	15401	-	ONT3.5801.1372	intron	KPNA1
chr3	15401	15500	-	ONT3.5801.1372	CDS	KPNA1
chr3	15500	15601	-	ONT3.5801.1372	intron	KPNA1
chr3	15601	15708	-	ONT3.5801.1372	CDS	KPNA1
chr3	15708	15812	-	ONT3.5801.1372	intron	KPNA1
chr3	15812	15943	-	ONT3.5801.1372	CDS	KPNA1
chr3	15944	15945	-	ONT3.5801.1372	UTR	NA
chr3	15945	16051	-	ONT3.5801.1372	intron	NA
chr3	16051	16205	-	ONT3.5801.1372	UTR	NA
chr3	1687	5087	-	ONT3.5801.1379	UTR	NA
chr3	5088	5272	-	ONT3.5801.1379	CDS	KPNA1
chr3	5272	5373	-	ONT3.5801.1379	intron	KPNA1
chr3	5373	5551	-	ONT3.5801.1379	CDS	KPNA1
chr3	5551	7696	-	ONT3.5801.1379	intron	KPNA1
chr3	7696	7823	-	ONT3.5801.1379	CDS	KPNA1
chr3	7823	10017	-	ONT3.5801.1379	intron	KPNA1
chr3	10017	10142	-	ONT3.5801.1379	CDS	KPNA1
chr3	10142	10245	-	ONT3.5801.1379	intron	KPNA1
chr3	10245	10323	-	ONT3.5801.1379	CDS	KPNA1
chr3	10323	11717	-	ONT3.5801.1379	intron	KPNA1
chr3	11717	11880	-	ONT3.5801.1379	CDS	KPNA1
chr3	11880	11983	-	ONT3.5801.1379	intron	KPNA1
chr3	11983	12082	-	ONT3.5801.1379	CDS	KPNA1
chr3	12082	12183	-	ONT3.5801.1379	intron	KPNA1
chr3	12183	12271	-	ONT3.5801.1379	CDS	KPNA1
chr3	12271	12376	-	ONT3.5801.1379	intron	KPNA1
chr3	12376	12507	-	ONT3.5801.1379	CDS	KPNA1
chr3	12507	14590	-	ONT3.5801.1379	intron	KPNA1
chr3	14590	14684	-	ONT3.5801.1379	CDS	KPNA1
chr3	14684	15401	-	ONT3.5801.1379	intron	KPNA1
chr3	15401	15500	-	ONT3.5801.1379	CDS	KPNA1
chr3	15500	15601	-	ONT3.5801.1379	intron	KPNA1
chr3	15601	15708	-	ONT3.5801.1379	CDS	KPNA1
chr3	15708	15812	-	ONT3.5801.1379	intron	KPNA1
chr3	15812	15943	-	ONT3.5801.1379	CDS	KPNA1
chr3	15944	15945	-	ONT3.5801.1379	UTR	NA
chr3	15945	16051	-	ONT3.5801.1379	intron	NA
chr3	16051	16208	-	ONT3.5801.1379	UTR	NA
chr3	1687	5272	-	ONT3.5801.1382	UTR	NA
chr3	5272	5373	-	ONT3.5801.1382	intron	NA
chr3	5373	5551	-	ONT3.5801.1382	UTR	NA
chr3	5551	7692	-	ONT3.5801.1382	intron	NA
chr3	7692	7694	-	ONT3.5801.1382	UTR	NA
chr3	7695	7823	-	ONT3.5801.1382	CDS	KPNA1
chr3	7823	10017	-	ONT3.5801.1382	intron	KPNA1
chr3	10017	10142	-	ONT3.5801.1382	CDS	KPNA1
chr3	10142	10245	-	ONT3.5801.1382	intron	KPNA1
chr3	10245	10323	-	ONT3.5801.1382	CDS	KPNA1
chr3	10323	11717	-	ONT3.5801.1382	intron	KPNA1
chr3	11717	11880	-	ONT3.5801.1382	CDS	KPNA1
chr3	11880	11983	-	ONT3.5801.1382	intron	KPNA1
chr3	11983	12082	-	ONT3.5801.1382	CDS	KPNA1
chr3	12082	12183	-	ONT3.5801.1382	intron	KPNA1
chr3	12183	12271	-	ONT3.5801.1382	CDS	KPNA1
chr3	12271	12376	-	ONT3.5801.1382	intron	KPNA1
chr3	12376	12507	-	ONT3.5801.1382	CDS	KPNA1
chr3	12507	14590	-	ONT3.5801.1382	intron	KPNA1
chr3	14590	14684	-	ONT3.5801.1382	CDS	KPNA1
chr3	14684	15401	-	ONT3.5801.1382	intron	KPNA1
chr3	15401	15500	-	ONT3.5801.1382	CDS	KPNA1
chr3	15500	15601	-	ONT3.5801.1382	intron	KPNA1
chr3	15601	15708	-	ONT3.5801.1382	CDS	KPNA1
chr3	15708	15812	-	ONT3.5801.1382	intron	KPNA1
chr3	15812	15943	-	ONT3.5801.1382	CDS	KPNA1
chr3	15944	15945	-	ONT3.5801.1382	UTR	NA
chr3	15945	16169	-	ONT3.5801.1382	intron	NA
chr3	16169	16231	-	ONT3.5801.1382	UTR	NA
chr3	1691	5087	-	ONT3.5801.1384	UTR	NA
chr3	5088	5272	-	ONT3.5801.1384	CDS	KPNA1
chr3	5272	5373	-	ONT3.5801.1384	intron	KPNA1
chr3	5373	5502	-	ONT3.5801.1384	CDS	KPNA1
chr3	5503	5551	-	ONT3.5801.1384	UTR	NA
chr3	5551	7696	-	ONT3.5801.1384	intron	NA
chr3	7696	7823	-	ONT3.5801.1384	UTR	NA
chr3	7823	10017	-	ONT3.5801.1384	intron	NA
chr3	10017	10142	-	ONT3.5801.1384	UTR	NA
chr3	10142	10245	-	ONT3.5801.1384	intron	NA
chr3	10245	10312	-	ONT3.5801.1384	UTR	NA
chr3	1701	5272	-	ONT3.5801.1392	UTR	NA
chr3	5272	5373	-	ONT3.5801.1392	intron	NA
chr3	5373	5551	-	ONT3.5801.1392	UTR	NA
chr3	5551	7692	-	ONT3.5801.1392	intron	NA
chr3	7692	7694	-	ONT3.5801.1392	UTR	NA
chr3	7695	7823	-	ONT3.5801.1392	CDS	KPNA1
chr3	7823	10017	-	ONT3.5801.1392	intron	KPNA1
chr3	10017	10142	-	ONT3.5801.1392	CDS	KPNA1
chr3	10142	10245	-	ONT3.5801.1392	intron	KPNA1
chr3	10245	10323	-	ONT3.5801.1392	CDS	KPNA1
chr3	10323	11717	-	ONT3.5801.1392	intron	KPNA1
chr3	11717	11721	-	ONT3.5801.1392	CDS	KPNA1
chr3	11722	11882	-	ONT3.5801.1392	UTR	NA
chr3	1690	5087	-	ONT3.5801.1398	UTR	NA
chr3	5088	5272	-	ONT3.5801.1398	CDS	KPNA1
chr3	5272	5373	-	ONT3.5801.1398	intron	KPNA1
chr3	5373	5551	-	ONT3.5801.1398	CDS	KPNA1
chr3	5551	7696	-	ONT3.5801.1398	intron	KPNA1
chr3	7696	7823	-	ONT3.5801.1398	CDS	KPNA1
chr3	7823	10017	-	ONT3.5801.1398	intron	KPNA1
chr3	10017	10142	-	ONT3.5801.1398	CDS	KPNA1
chr3	10142	10245	-	ONT3.5801.1398	intron	KPNA1
chr3	10245	10323	-	ONT3.5801.1398	CDS	KPNA1
chr3	10323	11717	-	ONT3.5801.1398	intron	KPNA1
chr3	11717	11880	-	ONT3.5801.1398	CDS	KPNA1
chr3	11880	11983	-	ONT3.5801.1398	intron	KPNA1
chr3	11983	12082	-	ONT3.5801.1398	CDS	KPNA1
chr3	12082	12183	-	ONT3.5801.1398	intron	KPNA1
chr3	12183	12235	-	ONT3.5801.1398	CDS	KPNA1
chr3	12236	12271	-	ONT3.5801.1398	UTR	NA
chr3	12271	12376	-	ONT3.5801.1398	intron	NA
chr3	12376	12447	-	ONT3.5801.1398	UTR	NA
chr3	1687	5087	-	ONT3.5801.1399	UTR	NA
chr3	5088	5272	-	ONT3.5801.1399	CDS	KPNA1
chr3	5272	5373	-	ONT3.5801.1399	intron	KPNA1
chr3	5373	5502	-	ONT3.5801.1399	CDS	KPNA1
chr3	5503	5551	-	ONT3.5801.1399	UTR	NA
chr3	5551	7696	-	ONT3.5801.1399	intron	NA
chr3	7696	7847	-	ONT3.5801.1399	UTR	NA
chr3	1689	5272	-	ONT3.5801.1403	UTR	NA
chr3	5272	5373	-	ONT3.5801.1403	intron	NA
chr3	5373	5551	-	ONT3.5801.1403	UTR	NA
chr3	5551	7696	-	ONT3.5801.1403	intron	NA
chr3	7696	7823	-	ONT3.5801.1403	UTR	NA
chr3	7823	10017	-	ONT3.5801.1403	intron	NA
chr3	10017	10142	-	ONT3.5801.1403	UTR	NA
chr3	10142	10245	-	ONT3.5801.1403	intron	NA
chr3	10245	10323	-	ONT3.5801.1403	UTR	NA
chr3	10323	11717	-	ONT3.5801.1403	intron	NA
chr3	11717	11880	-	ONT3.5801.1403	UTR	NA
chr3	11880	11983	-	ONT3.5801.1403	intron	NA
chr3	11983	12082	-	ONT3.5801.1403	UTR	NA
chr3	12082	12183	-	ONT3.5801.1403	intron	NA
chr3	12183	12271	-	ONT3.5801.1403	UTR	NA
chr3	12271	12376	-	ONT3.5801.1403	intron	NA
chr3	12376	12507	-	ONT3.5801.1403	UTR	NA
chr3	12507	12610	-	ONT3.5801.1403	intron	NA
chr3	12610	12618	-	ONT3.5801.1403	UTR	NA
chr3	12619	12732	-	ONT3.5801.1403	CDS	KPNA1
chr3	12732	14590	-	ONT3.5801.1403	intron	KPNA1
chr3	14590	14684	-	ONT3.5801.1403	CDS	KPNA1
chr3	14684	15401	-	ONT3.5801.1403	intron	KPNA1
chr3	15401	15500	-	ONT3.5801.1403	CDS	KPNA1
chr3	15500	15601	-	ONT3.5801.1403	intron	KPNA1
chr3	15601	15708	-	ONT3.5801.1403	CDS	KPNA1
chr3	15708	15812	-	ONT3.5801.1403	intron	KPNA1
chr3	15812	15943	-	ONT3.5801.1403	CDS	KPNA1
chr3	15944	15945	-	ONT3.5801.1403	UTR	NA
chr3	15945	16051	-	ONT3.5801.1403	intron	NA
chr3	16051	16215	-	ONT3.5801.1403	UTR	NA
chr3	1687	5087	-	ONT3.5801.1404	UTR	NA
chr3	5088	5272	-	ONT3.5801.1404	CDS	KPNA1
chr3	5272	5373	-	ONT3.5801.1404	intron	KPNA1
chr3	5373	5551	-	ONT3.5801.1404	CDS	KPNA1
chr3	5551	7696	-	ONT3.5801.1404	intron	KPNA1
chr3	7696	7823	-	ONT3.5801.1404	CDS	KPNA1
chr3	7823	10017	-	ONT3.5801.1404	intron	KPNA1
chr3	10017	10142	-	ONT3.5801.1404	CDS	KPNA1
chr3	10142	10245	-	ONT3.5801.1404	intron	KPNA1
chr3	10245	10323	-	ONT3.5801.1404	CDS	KPNA1
chr3	10323	11717	-	ONT3.5801.1404	intron	KPNA1
chr3	11717	11880	-	ONT3.5801.1404	CDS	KPNA1
chr3	11880	11983	-	ONT3.5801.1404	intron	KPNA1
chr3	11983	12082	-	ONT3.5801.1404	CDS	KPNA1
chr3	12082	12183	-	ONT3.5801.1404	intron	KPNA1
chr3	12183	12271	-	ONT3.5801.1404	CDS	KPNA1
chr3	12271	12376	-	ONT3.5801.1404	intron	KPNA1
chr3	12376	12507	-	ONT3.5801.1404	CDS	KPNA1
