seqnames	start	end	strand	transcript_id	type	gene_id
chr15	19	91	+	ENST00000560079.7	UTR	NA
chr15	91	194	+	ENST00000560079.7	intron	NA
chr15	194	302	+	ENST00000560079.7	UTR	NA
chr15	302	403	+	ENST00000560079.7	intron	NA
chr15	403	532	+	ENST00000560079.7	UTR	NA
chr15	532	633	+	ENST00000560079.7	intron	NA
chr15	633	651	+	ENST00000560079.7	UTR	NA
chr15	652	2871	+	ENST00000560079.7	CDS	ENSG00000166716.10
chr15	2871	2972	+	ENST00000560079.7	intron	ENSG00000166716.10
chr15	2972	3150	+	ENST00000560079.7	CDS	ENSG00000166716.10
chr15	3150	4527	+	ENST00000560079.7	intron	ENSG00000166716.10
chr15	4527	4703	+	ENST00000560079.7	CDS	ENSG00000166716.10
chr15	4703	4820	+	ENST00000560079.7	intron	ENSG00000166716.10
chr15	4820	4979	+	ENST00000560079.7	CDS	ENSG00000166716.10
chr15	4979	5093	+	ENST00000560079.7	intron	ENSG00000166716.10
chr15	5093	5380	+	ENST00000560079.7	CDS	ENSG00000166716.10
chr15	5380	5485	+	ENST00000560079.7	intron	ENSG00000166716.10
chr15	5485	5597	+	ENST00000560079.7	CDS	ENSG00000166716.10
chr15	5597	5698	+	ENST00000560079.7	intron	ENSG00000166716.10
chr15	5698	5833	+	ENST00000560079.7	CDS	ENSG00000166716.10
chr15	5833	5934	+	ENST00000560079.7	intron	ENSG00000166716.10
chr15	5934	6467	+	ENST00000560079.7	CDS	ENSG00000166716.10
chr15	6468	10516	+	ENST00000560079.7	UTR	NA
chr15	5	91	+	ONT15.1945.25934	UTR	NA
chr15	91	194	+	ONT15.1945.25934	intron	NA
chr15	194	302	+	ONT15.1945.25934	UTR	NA
chr15	302	403	+	ONT15.1945.25934	intron	NA
chr15	403	532	+	ONT15.1945.25934	UTR	NA
chr15	532	633	+	ONT15.1945.25934	intron	NA
chr15	633	651	+	ONT15.1945.25934	UTR	NA
chr15	652	2871	+	ONT15.1945.25934	CDS	ZNF592
chr15	2871	2972	+	ONT15.1945.25934	intron	ZNF592
chr15	2972	3150	+	ONT15.1945.25934	CDS	ZNF592
chr15	3150	4527	+	ONT15.1945.25934	intron	ZNF592
chr15	4527	4703	+	ONT15.1945.25934	CDS	ZNF592
chr15	4703	4820	+	ONT15.1945.25934	intron	ZNF592
chr15	4820	4979	+	ONT15.1945.25934	CDS	ZNF592
chr15	4979	5093	+	ONT15.1945.25934	intron	ZNF592
chr15	5093	5380	+	ONT15.1945.25934	CDS	ZNF592
chr15	5380	5485	+	ONT15.1945.25934	intron	ZNF592
chr15	5485	5597	+	ONT15.1945.25934	CDS	ZNF592
chr15	5597	5698	+	ONT15.1945.25934	intron	ZNF592
chr15	5698	5833	+	ONT15.1945.25934	CDS	ZNF592
chr15	5833	5934	+	ONT15.1945.25934	intron	ZNF592
chr15	5934	6464	+	ONT15.1945.25934	CDS	ZNF592
chr15	6465	7371	+	ONT15.1945.25934	UTR	NA
chr15	20	91	+	ONT15.1945.25937	UTR	NA
chr15	91	403	+	ONT15.1945.25937	intron	NA
chr15	403	532	+	ONT15.1945.25937	UTR	NA
chr15	532	633	+	ONT15.1945.25937	intron	NA
chr15	633	651	+	ONT15.1945.25937	UTR	NA
chr15	652	2871	+	ONT15.1945.25937	CDS	ZNF592
chr15	2871	2972	+	ONT15.1945.25937	intron	ZNF592
chr15	2972	3150	+	ONT15.1945.25937	CDS	ZNF592
chr15	3150	4527	+	ONT15.1945.25937	intron	ZNF592
chr15	4527	4703	+	ONT15.1945.25937	CDS	ZNF592
chr15	4703	4820	+	ONT15.1945.25937	intron	ZNF592
chr15	4820	4979	+	ONT15.1945.25937	CDS	ZNF592
chr15	4979	5093	+	ONT15.1945.25937	intron	ZNF592
chr15	5093	5380	+	ONT15.1945.25937	CDS	ZNF592
chr15	5380	5485	+	ONT15.1945.25937	intron	ZNF592
chr15	5485	5597	+	ONT15.1945.25937	CDS	ZNF592
chr15	5597	5698	+	ONT15.1945.25937	intron	ZNF592
chr15	5698	5833	+	ONT15.1945.25937	CDS	ZNF592
chr15	5833	5934	+	ONT15.1945.25937	intron	ZNF592
chr15	5934	6464	+	ONT15.1945.25937	CDS	ZNF592
chr15	6465	7369	+	ONT15.1945.25937	UTR	NA
chr15	17	91	+	ONT15.1945.25941	UTR	NA
chr15	91	194	+	ONT15.1945.25941	intron	NA
chr15	194	302	+	ONT15.1945.25941	UTR	NA
chr15	302	403	+	ONT15.1945.25941	intron	NA
chr15	403	532	+	ONT15.1945.25941	UTR	NA
chr15	532	633	+	ONT15.1945.25941	intron	NA
chr15	633	651	+	ONT15.1945.25941	UTR	NA
chr15	652	2871	+	ONT15.1945.25941	CDS	ZNF592
chr15	2871	2972	+	ONT15.1945.25941	intron	ZNF592
chr15	2972	3150	+	ONT15.1945.25941	CDS	ZNF592
chr15	3150	4527	+	ONT15.1945.25941	intron	ZNF592
chr15	4527	4703	+	ONT15.1945.25941	CDS	ZNF592
chr15	4703	4820	+	ONT15.1945.25941	intron	ZNF592
chr15	4820	4979	+	ONT15.1945.25941	CDS	ZNF592
chr15	4979	5093	+	ONT15.1945.25941	intron	ZNF592
chr15	5093	5380	+	ONT15.1945.25941	CDS	ZNF592
chr15	5380	5485	+	ONT15.1945.25941	intron	ZNF592
chr15	5485	5597	+	ONT15.1945.25941	CDS	ZNF592
chr15	5597	5698	+	ONT15.1945.25941	intron	ZNF592
chr15	5698	5833	+	ONT15.1945.25941	CDS	ZNF592
chr15	5833	5934	+	ONT15.1945.25941	intron	ZNF592
chr15	5934	6464	+	ONT15.1945.25941	CDS	ZNF592
chr15	6465	6556	+	ONT15.1945.25941	UTR	NA
chr15	2	91	+	ONT15.1945.25944	UTR	NA
chr15	91	633	+	ONT15.1945.25944	intron	NA
chr15	633	651	+	ONT15.1945.25944	UTR	NA
chr15	652	2871	+	ONT15.1945.25944	CDS	ZNF592
chr15	2871	2972	+	ONT15.1945.25944	intron	ZNF592
chr15	2972	3150	+	ONT15.1945.25944	CDS	ZNF592
chr15	3150	4527	+	ONT15.1945.25944	intron	ZNF592
chr15	4527	4703	+	ONT15.1945.25944	CDS	ZNF592
chr15	4703	4820	+	ONT15.1945.25944	intron	ZNF592
chr15	4820	4979	+	ONT15.1945.25944	CDS	ZNF592
chr15	4979	5093	+	ONT15.1945.25944	intron	ZNF592
chr15	5093	5380	+	ONT15.1945.25944	CDS	ZNF592
chr15	5380	5485	+	ONT15.1945.25944	intron	ZNF592
chr15	5485	5597	+	ONT15.1945.25944	CDS	ZNF592
chr15	5597	5698	+	ONT15.1945.25944	intron	ZNF592
chr15	5698	5833	+	ONT15.1945.25944	CDS	ZNF592
chr15	5833	5934	+	ONT15.1945.25944	intron	ZNF592
chr15	5934	6464	+	ONT15.1945.25944	CDS	ZNF592
chr15	6465	7369	+	ONT15.1945.25944	UTR	NA
chr15	66	91	+	ONT15.1945.25949	UTR	NA
chr15	91	194	+	ONT15.1945.25949	intron	NA
chr15	194	302	+	ONT15.1945.25949	UTR	NA
chr15	302	633	+	ONT15.1945.25949	intron	NA
chr15	633	651	+	ONT15.1945.25949	UTR	NA
chr15	652	2871	+	ONT15.1945.25949	CDS	ZNF592
chr15	2871	2972	+	ONT15.1945.25949	intron	ZNF592
chr15	2972	3150	+	ONT15.1945.25949	CDS	ZNF592
chr15	3150	4527	+	ONT15.1945.25949	intron	ZNF592
chr15	4527	4703	+	ONT15.1945.25949	CDS	ZNF592
chr15	4703	4820	+	ONT15.1945.25949	intron	ZNF592
chr15	4820	4979	+	ONT15.1945.25949	CDS	ZNF592
chr15	4979	5093	+	ONT15.1945.25949	intron	ZNF592
chr15	5093	5380	+	ONT15.1945.25949	CDS	ZNF592
chr15	5380	5485	+	ONT15.1945.25949	intron	ZNF592
chr15	5485	5597	+	ONT15.1945.25949	CDS	ZNF592
chr15	5597	5698	+	ONT15.1945.25949	intron	ZNF592
chr15	5698	5833	+	ONT15.1945.25949	CDS	ZNF592
chr15	5833	5934	+	ONT15.1945.25949	intron	ZNF592
chr15	5934	6464	+	ONT15.1945.25949	CDS	ZNF592
chr15	6465	7371	+	ONT15.1945.25949	UTR	NA
chr15	8	91	+	ONT15.1945.25959	UTR	NA
chr15	91	194	+	ONT15.1945.25959	intron	NA
chr15	194	302	+	ONT15.1945.25959	UTR	NA
chr15	302	633	+	ONT15.1945.25959	intron	NA
chr15	633	651	+	ONT15.1945.25959	UTR	NA
chr15	652	2871	+	ONT15.1945.25959	CDS	ZNF592
chr15	2871	2972	+	ONT15.1945.25959	intron	ZNF592
chr15	2972	3150	+	ONT15.1945.25959	CDS	ZNF592
chr15	3150	4527	+	ONT15.1945.25959	intron	ZNF592
chr15	4527	4703	+	ONT15.1945.25959	CDS	ZNF592
chr15	4703	4820	+	ONT15.1945.25959	intron	ZNF592
chr15	4820	4979	+	ONT15.1945.25959	CDS	ZNF592
chr15	4979	5093	+	ONT15.1945.25959	intron	ZNF592
chr15	5093	5380	+	ONT15.1945.25959	CDS	ZNF592
chr15	5380	5485	+	ONT15.1945.25959	intron	ZNF592
chr15	5485	5597	+	ONT15.1945.25959	CDS	ZNF592
chr15	5597	5698	+	ONT15.1945.25959	intron	ZNF592
chr15	5698	5833	+	ONT15.1945.25959	CDS	ZNF592
chr15	5833	5934	+	ONT15.1945.25959	intron	ZNF592
chr15	5934	6464	+	ONT15.1945.25959	CDS	ZNF592
chr15	6465	6554	+	ONT15.1945.25959	UTR	NA
chr15	13	91	+	ONT15.1945.25961	UTR	NA
chr15	91	194	+	ONT15.1945.25961	intron	NA
chr15	194	302	+	ONT15.1945.25961	UTR	NA
chr15	302	633	+	ONT15.1945.25961	intron	NA
chr15	633	651	+	ONT15.1945.25961	UTR	NA
chr15	652	2871	+	ONT15.1945.25961	CDS	ZNF592
chr15	2871	2972	+	ONT15.1945.25961	intron	ZNF592
chr15	2972	3343	+	ONT15.1945.25961	CDS	ZNF592
chr15	3344	3825	+	ONT15.1945.25961	UTR	NA
chr15	28	91	+	ONT15.1945.25973	UTR	NA
chr15	91	194	+	ONT15.1945.25973	intron	NA
chr15	194	302	+	ONT15.1945.25973	UTR	NA
chr15	302	403	+	ONT15.1945.25973	intron	NA
chr15	403	532	+	ONT15.1945.25973	UTR	NA
chr15	532	633	+	ONT15.1945.25973	intron	NA
chr15	633	651	+	ONT15.1945.25973	UTR	NA
chr15	652	1479	+	ONT15.1945.25973	CDS	ZNF592
chr15	1479	7302	+	ONT15.1945.25973	intron	ZNF592
chr15	7302	7352	+	ONT15.1945.25973	CDS	ZNF592
chr15	7353	7367	+	ONT15.1945.25973	UTR	NA
chr15	20	91	+	ONT15.1945.25983	UTR	NA
chr15	91	194	+	ONT15.1945.25983	intron	NA
chr15	194	302	+	ONT15.1945.25983	UTR	NA
chr15	302	633	+	ONT15.1945.25983	intron	NA
chr15	633	651	+	ONT15.1945.25983	UTR	NA
chr15	652	2871	+	ONT15.1945.25983	CDS	ZNF592
chr15	2871	2972	+	ONT15.1945.25983	intron	ZNF592
chr15	2972	3343	+	ONT15.1945.25983	CDS	ZNF592
chr15	3344	4426	+	ONT15.1945.25983	UTR	NA
chr15	39	91	+	ONT15.1945.25991	UTR	NA
chr15	91	194	+	ONT15.1945.25991	intron	NA
chr15	194	302	+	ONT15.1945.25991	UTR	NA
chr15	302	403	+	ONT15.1945.25991	intron	NA
chr15	403	532	+	ONT15.1945.25991	UTR	NA
chr15	532	633	+	ONT15.1945.25991	intron	NA
chr15	633	651	+	ONT15.1945.25991	UTR	NA
chr15	652	2871	+	ONT15.1945.25991	CDS	ZNF592
chr15	2871	2972	+	ONT15.1945.25991	intron	ZNF592
chr15	2972	3343	+	ONT15.1945.25991	CDS	ZNF592
chr15	3344	3835	+	ONT15.1945.25991	UTR	NA
chr15	192	302	+	ONT15.1945.26096	UTR	NA
chr15	302	403	+	ONT15.1945.26096	intron	NA
chr15	403	532	+	ONT15.1945.26096	UTR	NA
chr15	532	633	+	ONT15.1945.26096	intron	NA
chr15	633	651	+	ONT15.1945.26096	UTR	NA
chr15	652	2871	+	ONT15.1945.26096	CDS	ZNF592
chr15	2871	2972	+	ONT15.1945.26096	intron	ZNF592
chr15	2972	3150	+	ONT15.1945.26096	CDS	ZNF592
chr15	3150	4527	+	ONT15.1945.26096	intron	ZNF592
chr15	4527	4703	+	ONT15.1945.26096	CDS	ZNF592
chr15	4703	4820	+	ONT15.1945.26096	intron	ZNF592
chr15	4820	4979	+	ONT15.1945.26096	CDS	ZNF592
chr15	4979	5093	+	ONT15.1945.26096	intron	ZNF592
chr15	5093	5380	+	ONT15.1945.26096	CDS	ZNF592
chr15	5380	5485	+	ONT15.1945.26096	intron	ZNF592
chr15	5485	5597	+	ONT15.1945.26096	CDS	ZNF592
chr15	5597	5698	+	ONT15.1945.26096	intron	ZNF592
chr15	5698	5833	+	ONT15.1945.26096	CDS	ZNF592
chr15	5833	5934	+	ONT15.1945.26096	intron	ZNF592
chr15	5934	6464	+	ONT15.1945.26096	CDS	ZNF592
chr15	6465	6565	+	ONT15.1945.26096	UTR	NA
chr15	647	651	+	ONT15.1945.26280	UTR	NA
chr15	652	2871	+	ONT15.1945.26280	CDS	ZNF592
chr15	2871	2972	+	ONT15.1945.26280	intron	ZNF592
chr15	2972	3150	+	ONT15.1945.26280	CDS	ZNF592
chr15	3150	4527	+	ONT15.1945.26280	intron	ZNF592
chr15	4527	4703	+	ONT15.1945.26280	CDS	ZNF592
chr15	4703	4820	+	ONT15.1945.26280	intron	ZNF592
chr15	4820	4979	+	ONT15.1945.26280	CDS	ZNF592
chr15	4979	5093	+	ONT15.1945.26280	intron	ZNF592
chr15	5093	5380	+	ONT15.1945.26280	CDS	ZNF592
chr15	5380	5485	+	ONT15.1945.26280	intron	ZNF592
chr15	5485	5597	+	ONT15.1945.26280	CDS	ZNF592
chr15	5597	5698	+	ONT15.1945.26280	intron	ZNF592
chr15	5698	5833	+	ONT15.1945.26280	CDS	ZNF592
chr15	5833	5934	+	ONT15.1945.26280	intron	ZNF592
chr15	5934	6464	+	ONT15.1945.26280	CDS	ZNF592
chr15	6465	7370	+	ONT15.1945.26280	UTR	NA
chr15	784	792	+	ONT15.1945.26286	UTR	NA
chr15	793	2871	+	ONT15.1945.26286	CDS	ZNF592
chr15	2871	2972	+	ONT15.1945.26286	intron	ZNF592
chr15	2972	3150	+	ONT15.1945.26286	CDS	ZNF592
chr15	3150	4527	+	ONT15.1945.26286	intron	ZNF592
chr15	4527	4703	+	ONT15.1945.26286	CDS	ZNF592
chr15	4703	4820	+	ONT15.1945.26286	intron	ZNF592
chr15	4820	4979	+	ONT15.1945.26286	CDS	ZNF592
chr15	4979	5093	+	ONT15.1945.26286	intron	ZNF592
chr15	5093	5380	+	ONT15.1945.26286	CDS	ZNF592
chr15	5380	5485	+	ONT15.1945.26286	intron	ZNF592
chr15	5485	5597	+	ONT15.1945.26286	CDS	ZNF592
chr15	5597	5698	+	ONT15.1945.26286	intron	ZNF592
chr15	5698	5833	+	ONT15.1945.26286	CDS	ZNF592
chr15	5833	5934	+	ONT15.1945.26286	intron	ZNF592
chr15	5934	6464	+	ONT15.1945.26286	CDS	ZNF592
chr15	6465	7367	+	ONT15.1945.26286	UTR	NA
chr15	958	993	+	ONT15.1945.26291	UTR	NA
chr15	994	2871	+	ONT15.1945.26291	CDS	ZNF592
chr15	2871	2972	+	ONT15.1945.26291	intron	ZNF592
chr15	2972	3150	+	ONT15.1945.26291	CDS	ZNF592
chr15	3150	4527	+	ONT15.1945.26291	intron	ZNF592
chr15	4527	4703	+	ONT15.1945.26291	CDS	ZNF592
chr15	4703	4820	+	ONT15.1945.26291	intron	ZNF592
chr15	4820	4979	+	ONT15.1945.26291	CDS	ZNF592
chr15	4979	5093	+	ONT15.1945.26291	intron	ZNF592
chr15	5093	5380	+	ONT15.1945.26291	CDS	ZNF592
chr15	5380	5485	+	ONT15.1945.26291	intron	ZNF592
chr15	5485	5597	+	ONT15.1945.26291	CDS	ZNF592
chr15	5597	5698	+	ONT15.1945.26291	intron	ZNF592
chr15	5698	5833	+	ONT15.1945.26291	CDS	ZNF592
chr15	5833	5934	+	ONT15.1945.26291	intron	ZNF592
chr15	5934	6464	+	ONT15.1945.26291	CDS	ZNF592
chr15	6465	7367	+	ONT15.1945.26291	UTR	NA
chr15	1033	1236	+	ONT15.1945.26298	UTR	NA
chr15	1237	2871	+	ONT15.1945.26298	CDS	ZNF592
chr15	2871	2972	+	ONT15.1945.26298	intron	ZNF592
chr15	2972	3150	+	ONT15.1945.26298	CDS	ZNF592
chr15	3150	4527	+	ONT15.1945.26298	intron	ZNF592
chr15	4527	4703	+	ONT15.1945.26298	CDS	ZNF592
chr15	4703	4820	+	ONT15.1945.26298	intron	ZNF592
chr15	4820	4979	+	ONT15.1945.26298	CDS	ZNF592
chr15	4979	5093	+	ONT15.1945.26298	intron	ZNF592
chr15	5093	5380	+	ONT15.1945.26298	CDS	ZNF592
chr15	5380	5485	+	ONT15.1945.26298	intron	ZNF592
chr15	5485	5597	+	ONT15.1945.26298	CDS	ZNF592
chr15	5597	5698	+	ONT15.1945.26298	intron	ZNF592
chr15	5698	5833	+	ONT15.1945.26298	CDS	ZNF592
chr15	5833	5934	+	ONT15.1945.26298	intron	ZNF592
chr15	5934	6464	+	ONT15.1945.26298	CDS	ZNF592
chr15	6465	6556	+	ONT15.1945.26298	UTR	NA
chr15	1065	1236	+	ONT15.1945.26300	UTR	NA
chr15	1237	2871	+	ONT15.1945.26300	CDS	ZNF592
chr15	2871	2972	+	ONT15.1945.26300	intron	ZNF592
chr15	2972	3150	+	ONT15.1945.26300	CDS	ZNF592
chr15	3150	4527	+	ONT15.1945.26300	intron	ZNF592
chr15	4527	4703	+	ONT15.1945.26300	CDS	ZNF592
chr15	4703	4820	+	ONT15.1945.26300	intron	ZNF592
chr15	4820	4979	+	ONT15.1945.26300	CDS	ZNF592
chr15	4979	5093	+	ONT15.1945.26300	intron	ZNF592
chr15	5093	5380	+	ONT15.1945.26300	CDS	ZNF592
chr15	5380	5485	+	ONT15.1945.26300	intron	ZNF592
chr15	5485	5597	+	ONT15.1945.26300	CDS	ZNF592
chr15	5597	5698	+	ONT15.1945.26300	intron	ZNF592
chr15	5698	5833	+	ONT15.1945.26300	CDS	ZNF592
chr15	5833	5934	+	ONT15.1945.26300	intron	ZNF592
chr15	5934	6464	+	ONT15.1945.26300	CDS	ZNF592
chr15	6465	7368	+	ONT15.1945.26300	UTR	NA
chr15	1120	1236	+	ONT15.1945.26303	UTR	NA
chr15	1237	2871	+	ONT15.1945.26303	CDS	ZNF592
chr15	2871	2972	+	ONT15.1945.26303	intron	ZNF592
chr15	2972	3150	+	ONT15.1945.26303	CDS	ZNF592
chr15	3150	4527	+	ONT15.1945.26303	intron	ZNF592
chr15	4527	4703	+	ONT15.1945.26303	CDS	ZNF592
chr15	4703	4820	+	ONT15.1945.26303	intron	ZNF592
chr15	4820	4979	+	ONT15.1945.26303	CDS	ZNF592
chr15	4979	5093	+	ONT15.1945.26303	intron	ZNF592
chr15	5093	5380	+	ONT15.1945.26303	CDS	ZNF592
chr15	5380	5485	+	ONT15.1945.26303	intron	ZNF592
chr15	5485	5597	+	ONT15.1945.26303	CDS	ZNF592
chr15	5597	5698	+	ONT15.1945.26303	intron	ZNF592
chr15	5698	5833	+	ONT15.1945.26303	CDS	ZNF592
chr15	5833	5934	+	ONT15.1945.26303	intron	ZNF592
