seqnames	start	end	strand	transcript_id	type	gene_id
chr10	34	82	+	ENST00000378714.8	UTR	NA
chr10	82	186	+	ENST00000378714.8	intron	NA
chr10	186	260	+	ENST00000378714.8	UTR	NA
chr10	261	267	+	ENST00000378714.8	CDS	ENSG00000065328.17
chr10	267	369	+	ENST00000378714.8	intron	ENSG00000065328.17
chr10	369	710	+	ENST00000378714.8	CDS	ENSG00000065328.17
chr10	710	1750	+	ENST00000378714.8	intron	ENSG00000065328.17
chr10	1750	1854	+	ENST00000378714.8	CDS	ENSG00000065328.17
chr10	1854	1958	+	ENST00000378714.8	intron	ENSG00000065328.17
chr10	1958	2095	+	ENST00000378714.8	CDS	ENSG00000065328.17
chr10	2095	2198	+	ENST00000378714.8	intron	ENSG00000065328.17
chr10	2198	2369	+	ENST00000378714.8	CDS	ENSG00000065328.17
chr10	2369	2474	+	ENST00000378714.8	intron	ENSG00000065328.17
chr10	2474	2639	+	ENST00000378714.8	CDS	ENSG00000065328.17
chr10	2639	2740	+	ENST00000378714.8	intron	ENSG00000065328.17
chr10	2740	2907	+	ENST00000378714.8	CDS	ENSG00000065328.17
chr10	2907	3010	+	ENST00000378714.8	intron	ENSG00000065328.17
chr10	3010	3126	+	ENST00000378714.8	CDS	ENSG00000065328.17
chr10	3126	4803	+	ENST00000378714.8	intron	ENSG00000065328.17
chr10	4803	5002	+	ENST00000378714.8	CDS	ENSG00000065328.17
chr10	5002	5103	+	ENST00000378714.8	intron	ENSG00000065328.17
chr10	5103	5203	+	ENST00000378714.8	CDS	ENSG00000065328.17
chr10	5203	5304	+	ENST00000378714.8	intron	ENSG00000065328.17
chr10	5304	5414	+	ENST00000378714.8	CDS	ENSG00000065328.17
chr10	5414	5500	+	ENST00000378714.8	intron	ENSG00000065328.17
chr10	5500	5617	+	ENST00000378714.8	CDS	ENSG00000065328.17
chr10	5617	5718	+	ENST00000378714.8	intron	ENSG00000065328.17
chr10	5718	5946	+	ENST00000378714.8	CDS	ENSG00000065328.17
chr10	5946	6047	+	ENST00000378714.8	intron	ENSG00000065328.17
chr10	6047	6191	+	ENST00000378714.8	CDS	ENSG00000065328.17
chr10	6191	6301	+	ENST00000378714.8	intron	ENSG00000065328.17
chr10	6301	6419	+	ENST00000378714.8	CDS	ENSG00000065328.17
chr10	6419	6522	+	ENST00000378714.8	intron	ENSG00000065328.17
chr10	6522	6635	+	ENST00000378714.8	CDS	ENSG00000065328.17
chr10	6635	7685	+	ENST00000378714.8	intron	ENSG00000065328.17
chr10	7685	7830	+	ENST00000378714.8	CDS	ENSG00000065328.17
chr10	7830	8195	+	ENST00000378714.8	intron	ENSG00000065328.17
chr10	8195	8237	+	ENST00000378714.8	CDS	ENSG00000065328.17
chr10	8237	8331	+	ENST00000378714.8	intron	ENSG00000065328.17
chr10	8331	8417	+	ENST00000378714.8	CDS	ENSG00000065328.17
chr10	8418	10214	+	ENST00000378714.8	UTR	NA
chr10	37	82	+	ONT10.987.20918	UTR	NA
chr10	82	186	+	ONT10.987.20918	intron	NA
chr10	186	260	+	ONT10.987.20918	UTR	NA
chr10	261	267	+	ONT10.987.20918	CDS	MCM10
chr10	267	369	+	ONT10.987.20918	intron	MCM10
chr10	369	710	+	ONT10.987.20918	CDS	MCM10
chr10	710	1750	+	ONT10.987.20918	intron	MCM10
chr10	1750	1854	+	ONT10.987.20918	CDS	MCM10
chr10	1854	1958	+	ONT10.987.20918	intron	MCM10
chr10	1958	2095	+	ONT10.987.20918	CDS	MCM10
chr10	2095	2198	+	ONT10.987.20918	intron	MCM10
chr10	2198	2369	+	ONT10.987.20918	CDS	MCM10
chr10	2369	2474	+	ONT10.987.20918	intron	MCM10
chr10	2474	2639	+	ONT10.987.20918	CDS	MCM10
chr10	2639	2740	+	ONT10.987.20918	intron	MCM10
chr10	2740	2907	+	ONT10.987.20918	CDS	MCM10
chr10	2907	3010	+	ONT10.987.20918	intron	MCM10
chr10	3010	3126	+	ONT10.987.20918	CDS	MCM10
chr10	3126	4803	+	ONT10.987.20918	intron	MCM10
chr10	4803	5002	+	ONT10.987.20918	CDS	MCM10
chr10	5002	5103	+	ONT10.987.20918	intron	MCM10
chr10	5103	5203	+	ONT10.987.20918	CDS	MCM10
chr10	5203	5304	+	ONT10.987.20918	intron	MCM10
chr10	5304	5414	+	ONT10.987.20918	CDS	MCM10
chr10	5414	5500	+	ONT10.987.20918	intron	MCM10
chr10	5500	5617	+	ONT10.987.20918	CDS	MCM10
chr10	5617	5718	+	ONT10.987.20918	intron	MCM10
chr10	5718	5946	+	ONT10.987.20918	CDS	MCM10
chr10	5946	6047	+	ONT10.987.20918	intron	MCM10
chr10	6047	6191	+	ONT10.987.20918	CDS	MCM10
chr10	6191	6301	+	ONT10.987.20918	intron	MCM10
chr10	6301	6419	+	ONT10.987.20918	CDS	MCM10
chr10	6419	6522	+	ONT10.987.20918	intron	MCM10
chr10	6522	6635	+	ONT10.987.20918	CDS	MCM10
chr10	6635	7685	+	ONT10.987.20918	intron	MCM10
chr10	7685	7830	+	ONT10.987.20918	CDS	MCM10
chr10	7830	8195	+	ONT10.987.20918	intron	MCM10
chr10	8195	8237	+	ONT10.987.20918	CDS	MCM10
chr10	8237	8331	+	ONT10.987.20918	intron	MCM10
chr10	8331	8414	+	ONT10.987.20918	CDS	MCM10
chr10	8415	10208	+	ONT10.987.20918	UTR	NA
chr10	2	82	+	ONT10.987.20920	UTR	NA
chr10	82	186	+	ONT10.987.20920	intron	NA
chr10	186	260	+	ONT10.987.20920	UTR	NA
chr10	261	267	+	ONT10.987.20920	CDS	MCM10
chr10	267	369	+	ONT10.987.20920	intron	MCM10
chr10	369	865	+	ONT10.987.20920	CDS	MCM10
chr10	866	1649	+	ONT10.987.20920	UTR	NA
chr10	6	82	+	ONT10.987.20922	UTR	NA
chr10	82	186	+	ONT10.987.20922	intron	NA
chr10	186	260	+	ONT10.987.20922	UTR	NA
chr10	261	267	+	ONT10.987.20922	CDS	MCM10
chr10	267	369	+	ONT10.987.20922	intron	MCM10
chr10	369	710	+	ONT10.987.20922	CDS	MCM10
chr10	710	1750	+	ONT10.987.20922	intron	MCM10
chr10	1750	1854	+	ONT10.987.20922	CDS	MCM10
chr10	1854	1958	+	ONT10.987.20922	intron	MCM10
chr10	1958	2095	+	ONT10.987.20922	CDS	MCM10
chr10	2095	2198	+	ONT10.987.20922	intron	MCM10
chr10	2198	2369	+	ONT10.987.20922	CDS	MCM10
chr10	2369	2474	+	ONT10.987.20922	intron	MCM10
chr10	2474	2639	+	ONT10.987.20922	CDS	MCM10
chr10	2639	2740	+	ONT10.987.20922	intron	MCM10
chr10	2740	2907	+	ONT10.987.20922	CDS	MCM10
chr10	2907	3010	+	ONT10.987.20922	intron	MCM10
chr10	3010	3126	+	ONT10.987.20922	CDS	MCM10
chr10	3126	4803	+	ONT10.987.20922	intron	MCM10
chr10	4803	5002	+	ONT10.987.20922	CDS	MCM10
chr10	5002	5103	+	ONT10.987.20922	intron	MCM10
chr10	5103	5203	+	ONT10.987.20922	CDS	MCM10
chr10	5203	5304	+	ONT10.987.20922	intron	MCM10
chr10	5304	5414	+	ONT10.987.20922	CDS	MCM10
chr10	5414	5500	+	ONT10.987.20922	intron	MCM10
chr10	5500	5617	+	ONT10.987.20922	CDS	MCM10
chr10	5617	5718	+	ONT10.987.20922	intron	MCM10
chr10	5718	5946	+	ONT10.987.20922	CDS	MCM10
chr10	5946	6047	+	ONT10.987.20922	intron	MCM10
chr10	6047	6191	+	ONT10.987.20922	CDS	MCM10
chr10	6191	6301	+	ONT10.987.20922	intron	MCM10
chr10	6301	6419	+	ONT10.987.20922	CDS	MCM10
chr10	6419	6522	+	ONT10.987.20922	intron	MCM10
chr10	6522	6635	+	ONT10.987.20922	CDS	MCM10
chr10	6635	7685	+	ONT10.987.20922	intron	MCM10
chr10	7685	7830	+	ONT10.987.20922	CDS	MCM10
chr10	7830	8195	+	ONT10.987.20922	intron	MCM10
chr10	8195	8237	+	ONT10.987.20922	CDS	MCM10
chr10	8237	8331	+	ONT10.987.20922	intron	MCM10
chr10	8331	8414	+	ONT10.987.20922	CDS	MCM10
chr10	8415	9004	+	ONT10.987.20922	UTR	NA
chr10	64	82	+	ONT10.987.20923	UTR	NA
chr10	82	186	+	ONT10.987.20923	intron	NA
chr10	186	260	+	ONT10.987.20923	UTR	NA
chr10	261	267	+	ONT10.987.20923	CDS	MCM10
chr10	267	369	+	ONT10.987.20923	intron	MCM10
chr10	369	710	+	ONT10.987.20923	CDS	MCM10
chr10	710	1750	+	ONT10.987.20923	intron	MCM10
chr10	1750	1854	+	ONT10.987.20923	CDS	MCM10
chr10	1854	1955	+	ONT10.987.20923	intron	MCM10
chr10	1955	2095	+	ONT10.987.20923	CDS	MCM10
chr10	2095	2198	+	ONT10.987.20923	intron	MCM10
chr10	2198	2369	+	ONT10.987.20923	CDS	MCM10
chr10	2369	2474	+	ONT10.987.20923	intron	MCM10
chr10	2474	2639	+	ONT10.987.20923	CDS	MCM10
chr10	2639	2740	+	ONT10.987.20923	intron	MCM10
chr10	2740	2907	+	ONT10.987.20923	CDS	MCM10
chr10	2907	3010	+	ONT10.987.20923	intron	MCM10
chr10	3010	3126	+	ONT10.987.20923	CDS	MCM10
chr10	3126	4803	+	ONT10.987.20923	intron	MCM10
chr10	4803	5002	+	ONT10.987.20923	CDS	MCM10
chr10	5002	5103	+	ONT10.987.20923	intron	MCM10
chr10	5103	5203	+	ONT10.987.20923	CDS	MCM10
chr10	5203	5304	+	ONT10.987.20923	intron	MCM10
chr10	5304	5414	+	ONT10.987.20923	CDS	MCM10
chr10	5414	5500	+	ONT10.987.20923	intron	MCM10
chr10	5500	5617	+	ONT10.987.20923	CDS	MCM10
chr10	5617	5718	+	ONT10.987.20923	intron	MCM10
chr10	5718	5946	+	ONT10.987.20923	CDS	MCM10
chr10	5946	6047	+	ONT10.987.20923	intron	MCM10
chr10	6047	6191	+	ONT10.987.20923	CDS	MCM10
chr10	6191	6301	+	ONT10.987.20923	intron	MCM10
chr10	6301	6419	+	ONT10.987.20923	CDS	MCM10
chr10	6419	6522	+	ONT10.987.20923	intron	MCM10
chr10	6522	6635	+	ONT10.987.20923	CDS	MCM10
chr10	6635	7685	+	ONT10.987.20923	intron	MCM10
chr10	7685	7830	+	ONT10.987.20923	CDS	MCM10
chr10	7830	8195	+	ONT10.987.20923	intron	MCM10
chr10	8195	8237	+	ONT10.987.20923	CDS	MCM10
chr10	8237	8331	+	ONT10.987.20923	intron	MCM10
chr10	8331	8414	+	ONT10.987.20923	CDS	MCM10
chr10	8415	9433	+	ONT10.987.20923	UTR	NA
chr10	32	82	+	ONT10.987.20925	UTR	NA
chr10	82	186	+	ONT10.987.20925	intron	NA
chr10	186	260	+	ONT10.987.20925	UTR	NA
chr10	261	267	+	ONT10.987.20925	CDS	MCM10
chr10	267	369	+	ONT10.987.20925	intron	MCM10
chr10	369	710	+	ONT10.987.20925	CDS	MCM10
chr10	710	1750	+	ONT10.987.20925	intron	MCM10
chr10	1750	1854	+	ONT10.987.20925	CDS	MCM10
chr10	1854	1958	+	ONT10.987.20925	intron	MCM10
chr10	1958	2095	+	ONT10.987.20925	CDS	MCM10
chr10	2095	2198	+	ONT10.987.20925	intron	MCM10
chr10	2198	2369	+	ONT10.987.20925	CDS	MCM10
chr10	2369	2474	+	ONT10.987.20925	intron	MCM10
chr10	2474	2639	+	ONT10.987.20925	CDS	MCM10
chr10	2639	2740	+	ONT10.987.20925	intron	MCM10
chr10	2740	2907	+	ONT10.987.20925	CDS	MCM10
chr10	2907	3010	+	ONT10.987.20925	intron	MCM10
chr10	3010	3126	+	ONT10.987.20925	CDS	MCM10
chr10	3126	4803	+	ONT10.987.20925	intron	MCM10
chr10	4803	5002	+	ONT10.987.20925	CDS	MCM10
chr10	5002	5103	+	ONT10.987.20925	intron	MCM10
chr10	5103	5203	+	ONT10.987.20925	CDS	MCM10
chr10	5203	5304	+	ONT10.987.20925	intron	MCM10
chr10	5304	5414	+	ONT10.987.20925	CDS	MCM10
chr10	5414	5500	+	ONT10.987.20925	intron	MCM10
chr10	5500	5617	+	ONT10.987.20925	CDS	MCM10
chr10	5617	5718	+	ONT10.987.20925	intron	MCM10
chr10	5718	5946	+	ONT10.987.20925	CDS	MCM10
chr10	5946	6047	+	ONT10.987.20925	intron	MCM10
chr10	6047	6191	+	ONT10.987.20925	CDS	MCM10
chr10	6191	6301	+	ONT10.987.20925	intron	MCM10
chr10	6301	6419	+	ONT10.987.20925	CDS	MCM10
chr10	6419	6522	+	ONT10.987.20925	intron	MCM10
chr10	6522	6635	+	ONT10.987.20925	CDS	MCM10
chr10	6635	7685	+	ONT10.987.20925	intron	MCM10
chr10	7685	7830	+	ONT10.987.20925	CDS	MCM10
chr10	7830	8195	+	ONT10.987.20925	intron	MCM10
chr10	8195	8237	+	ONT10.987.20925	CDS	MCM10
chr10	8237	8331	+	ONT10.987.20925	intron	MCM10
chr10	8331	8414	+	ONT10.987.20925	CDS	MCM10
chr10	8415	8722	+	ONT10.987.20925	UTR	NA
chr10	23	82	+	ONT10.987.20926	UTR	NA
chr10	82	186	+	ONT10.987.20926	intron	NA
chr10	186	260	+	ONT10.987.20926	UTR	NA
chr10	261	267	+	ONT10.987.20926	CDS	MCM10
chr10	267	369	+	ONT10.987.20926	intron	MCM10
chr10	369	710	+	ONT10.987.20926	CDS	MCM10
chr10	710	1750	+	ONT10.987.20926	intron	MCM10
chr10	1750	1854	+	ONT10.987.20926	CDS	MCM10
chr10	1854	1958	+	ONT10.987.20926	intron	MCM10
chr10	1958	2095	+	ONT10.987.20926	CDS	MCM10
chr10	2095	2198	+	ONT10.987.20926	intron	MCM10
chr10	2198	2373	+	ONT10.987.20926	CDS	MCM10
chr10	2373	2485	+	ONT10.987.20926	intron	MCM10
chr10	2485	2502	+	ONT10.987.20926	CDS	MCM10
chr10	2503	2639	+	ONT10.987.20926	UTR	NA
chr10	2639	2740	+	ONT10.987.20926	intron	NA
chr10	2740	2907	+	ONT10.987.20926	UTR	NA
chr10	2907	3010	+	ONT10.987.20926	intron	NA
chr10	3010	3126	+	ONT10.987.20926	UTR	NA
chr10	3126	4803	+	ONT10.987.20926	intron	NA
chr10	4803	5002	+	ONT10.987.20926	UTR	NA
chr10	5002	5103	+	ONT10.987.20926	intron	NA
chr10	5103	5203	+	ONT10.987.20926	UTR	NA
chr10	5203	5304	+	ONT10.987.20926	intron	NA
chr10	5304	5414	+	ONT10.987.20926	UTR	NA
chr10	5414	5500	+	ONT10.987.20926	intron	NA
chr10	5500	5617	+	ONT10.987.20926	UTR	NA
chr10	5617	5718	+	ONT10.987.20926	intron	NA
chr10	5718	5946	+	ONT10.987.20926	UTR	NA
chr10	5946	6047	+	ONT10.987.20926	intron	NA
chr10	6047	6191	+	ONT10.987.20926	UTR	NA
chr10	6191	6301	+	ONT10.987.20926	intron	NA
chr10	6301	6419	+	ONT10.987.20926	UTR	NA
chr10	6419	6522	+	ONT10.987.20926	intron	NA
chr10	6522	6635	+	ONT10.987.20926	UTR	NA
chr10	6635	7685	+	ONT10.987.20926	intron	NA
chr10	7685	7830	+	ONT10.987.20926	UTR	NA
chr10	7830	8195	+	ONT10.987.20926	intron	NA
chr10	8195	8237	+	ONT10.987.20926	UTR	NA
chr10	8237	8331	+	ONT10.987.20926	intron	NA
chr10	8331	10208	+	ONT10.987.20926	UTR	NA
chr10	46	82	+	ONT10.987.20927	UTR	NA
chr10	82	186	+	ONT10.987.20927	intron	NA
chr10	186	260	+	ONT10.987.20927	UTR	NA
chr10	261	267	+	ONT10.987.20927	CDS	MCM10
chr10	267	369	+	ONT10.987.20927	intron	MCM10
chr10	369	710	+	ONT10.987.20927	CDS	MCM10
chr10	710	1750	+	ONT10.987.20927	intron	MCM10
chr10	1750	1854	+	ONT10.987.20927	CDS	MCM10
chr10	1854	1958	+	ONT10.987.20927	intron	MCM10
chr10	1958	2095	+	ONT10.987.20927	CDS	MCM10
chr10	2095	2198	+	ONT10.987.20927	intron	MCM10
chr10	2198	2373	+	ONT10.987.20927	CDS	MCM10
chr10	2373	2474	+	ONT10.987.20927	intron	MCM10
chr10	2474	2638	+	ONT10.987.20927	CDS	MCM10
chr10	2639	2639	+	ONT10.987.20927	UTR	NA
chr10	2639	2740	+	ONT10.987.20927	intron	NA
chr10	2740	2907	+	ONT10.987.20927	UTR	NA
chr10	2907	4803	+	ONT10.987.20927	intron	NA
chr10	4803	5002	+	ONT10.987.20927	UTR	NA
chr10	5002	5103	+	ONT10.987.20927	intron	NA
chr10	5103	5203	+	ONT10.987.20927	UTR	NA
chr10	5203	5304	+	ONT10.987.20927	intron	NA
chr10	5304	5414	+	ONT10.987.20927	UTR	NA
chr10	5414	5500	+	ONT10.987.20927	intron	NA
chr10	5500	5617	+	ONT10.987.20927	UTR	NA
chr10	5617	5718	+	ONT10.987.20927	intron	NA
chr10	5718	5946	+	ONT10.987.20927	UTR	NA
chr10	5946	6047	+	ONT10.987.20927	intron	NA
chr10	6047	6191	+	ONT10.987.20927	UTR	NA
chr10	6191	6301	+	ONT10.987.20927	intron	NA
chr10	6301	6419	+	ONT10.987.20927	UTR	NA
chr10	6419	6522	+	ONT10.987.20927	intron	NA
