seqnames	start	end	strand	transcript_id	type	gene_id
chr1	2	93	+	ENST00000637012.2	UTR	NA
chr1	93	194	+	ENST00000637012.2	intron	NA
chr1	194	291	+	ENST00000637012.2	UTR	NA
chr1	292	332	+	ENST00000637012.2	CDS	ENSG00000274386.6
chr1	332	433	+	ENST00000637012.2	intron	ENSG00000274386.6
chr1	433	530	+	ENST00000637012.2	CDS	ENSG00000274386.6
chr1	530	631	+	ENST00000637012.2	intron	ENSG00000274386.6
chr1	631	774	+	ENST00000637012.2	CDS	ENSG00000274386.6
chr1	774	875	+	ENST00000637012.2	intron	ENSG00000274386.6
chr1	875	1075	+	ENST00000637012.2	CDS	ENSG00000274386.6
chr1	1075	1176	+	ENST00000637012.2	intron	ENSG00000274386.6
chr1	1176	1306	+	ENST00000637012.2	CDS	ENSG00000274386.6
chr1	1307	3905	+	ENST00000637012.2	UTR	NA
chr1	2	93	+	ENST00000637012.2	exon	ENSG00000274386.6
chr1	93	791	+	ENST00000637012.2	intron	NA
chr1	791	929	+	ENST00000637012.2	exon	ENSG00000274386.6
chr1	929	1030	+	ENST00000637012.2	intron	ENSG00000274386.6
chr1	1030	1127	+	ENST00000637012.2	exon	ENSG00000274386.6
chr1	1127	1228	+	ENST00000637012.2	intron	ENSG00000274386.6
chr1	1228	1371	+	ENST00000637012.2	exon	ENSG00000274386.6
chr1	1371	1472	+	ENST00000637012.2	intron	ENSG00000274386.6
chr1	1472	1672	+	ENST00000637012.2	exon	ENSG00000274386.6
chr1	1672	1773	+	ENST00000637012.2	intron	ENSG00000274386.6
chr1	1773	4502	+	ENST00000637012.2	exon	ENSG00000274386.6
chr1	5	93	+	ONT1.1325.12050	exon	TMEM269
chr1	94	590	+	ONT1.1325.12050	exon	TMEM269
