seqnames	start	end	strand	transcript_id	type	gene_id
chr5	91	181	+	ENST00000394894.8	UTR	NA
chr5	181	639	+	ENST00000394894.8	intron	NA
chr5	639	659	+	ENST00000394894.8	UTR	NA
chr5	660	824	+	ENST00000394894.8	CDS	ENSG00000112984.12
chr5	824	925	+	ENST00000394894.8	intron	ENSG00000112984.12
chr5	925	1014	+	ENST00000394894.8	CDS	ENSG00000112984.12
chr5	1014	1112	+	ENST00000394894.8	intron	ENSG00000112984.12
chr5	1112	1231	+	ENST00000394894.8	CDS	ENSG00000112984.12
chr5	1231	1826	+	ENST00000394894.8	intron	ENSG00000112984.12
chr5	1826	1964	+	ENST00000394894.8	CDS	ENSG00000112984.12
chr5	1964	2089	+	ENST00000394894.8	intron	ENSG00000112984.12
chr5	2089	2276	+	ENST00000394894.8	CDS	ENSG00000112984.12
chr5	2276	2364	+	ENST00000394894.8	intron	ENSG00000112984.12
chr5	2364	2493	+	ENST00000394894.8	CDS	ENSG00000112984.12
chr5	2493	2599	+	ENST00000394894.8	intron	ENSG00000112984.12
chr5	2599	2793	+	ENST00000394894.8	CDS	ENSG00000112984.12
chr5	2793	2894	+	ENST00000394894.8	intron	ENSG00000112984.12
chr5	2894	3005	+	ENST00000394894.8	CDS	ENSG00000112984.12
chr5	3005	3110	+	ENST00000394894.8	intron	ENSG00000112984.12
chr5	3110	3178	+	ENST00000394894.8	CDS	ENSG00000112984.12
chr5	3178	3279	+	ENST00000394894.8	intron	ENSG00000112984.12
chr5	3279	3422	+	ENST00000394894.8	CDS	ENSG00000112984.12
chr5	3422	3524	+	ENST00000394894.8	intron	ENSG00000112984.12
chr5	3524	3689	+	ENST00000394894.8	CDS	ENSG00000112984.12
chr5	3689	3792	+	ENST00000394894.8	intron	ENSG00000112984.12
chr5	3792	3956	+	ENST00000394894.8	CDS	ENSG00000112984.12
chr5	3956	4058	+	ENST00000394894.8	intron	ENSG00000112984.12
chr5	4058	4197	+	ENST00000394894.8	CDS	ENSG00000112984.12
chr5	4197	4301	+	ENST00000394894.8	intron	ENSG00000112984.12
chr5	4301	4403	+	ENST00000394894.8	CDS	ENSG00000112984.12
chr5	4403	4506	+	ENST00000394894.8	intron	ENSG00000112984.12
chr5	4506	4704	+	ENST00000394894.8	CDS	ENSG00000112984.12
chr5	4704	4805	+	ENST00000394894.8	intron	ENSG00000112984.12
chr5	4805	4896	+	ENST00000394894.8	CDS	ENSG00000112984.12
chr5	4896	4997	+	ENST00000394894.8	intron	ENSG00000112984.12
chr5	4997	5134	+	ENST00000394894.8	CDS	ENSG00000112984.12
chr5	5134	5799	+	ENST00000394894.8	intron	ENSG00000112984.12
chr5	5799	6119	+	ENST00000394894.8	CDS	ENSG00000112984.12
chr5	6120	6426	+	ENST00000394894.8	UTR	NA
chr5	2	181	+	ONT5.8934.5784	UTR	NA
chr5	181	639	+	ONT5.8934.5784	intron	NA
chr5	639	659	+	ONT5.8934.5784	UTR	NA
chr5	660	824	+	ONT5.8934.5784	CDS	KIF20A
chr5	824	925	+	ONT5.8934.5784	intron	KIF20A
chr5	925	1014	+	ONT5.8934.5784	CDS	KIF20A
chr5	1014	1112	+	ONT5.8934.5784	intron	KIF20A
chr5	1112	1231	+	ONT5.8934.5784	CDS	KIF20A
chr5	1231	1826	+	ONT5.8934.5784	intron	KIF20A
chr5	1826	1964	+	ONT5.8934.5784	CDS	KIF20A
chr5	1964	2089	+	ONT5.8934.5784	intron	KIF20A
chr5	2089	2276	+	ONT5.8934.5784	CDS	KIF20A
chr5	2276	2364	+	ONT5.8934.5784	intron	KIF20A
chr5	2364	2493	+	ONT5.8934.5784	CDS	KIF20A
chr5	2493	2599	+	ONT5.8934.5784	intron	KIF20A
chr5	2599	2793	+	ONT5.8934.5784	CDS	KIF20A
chr5	2793	2894	+	ONT5.8934.5784	intron	KIF20A
chr5	2894	3005	+	ONT5.8934.5784	CDS	KIF20A
chr5	3005	3110	+	ONT5.8934.5784	intron	KIF20A
chr5	3110	3178	+	ONT5.8934.5784	CDS	KIF20A
chr5	3178	3279	+	ONT5.8934.5784	intron	KIF20A
chr5	3279	3422	+	ONT5.8934.5784	CDS	KIF20A
chr5	3422	3524	+	ONT5.8934.5784	intron	KIF20A
chr5	3524	3689	+	ONT5.8934.5784	CDS	KIF20A
chr5	3689	3792	+	ONT5.8934.5784	intron	KIF20A
chr5	3792	3956	+	ONT5.8934.5784	CDS	KIF20A
chr5	3956	4058	+	ONT5.8934.5784	intron	KIF20A
chr5	4058	4197	+	ONT5.8934.5784	CDS	KIF20A
chr5	4197	4301	+	ONT5.8934.5784	intron	KIF20A
chr5	4301	4403	+	ONT5.8934.5784	CDS	KIF20A
chr5	4403	4506	+	ONT5.8934.5784	intron	KIF20A
chr5	4506	4704	+	ONT5.8934.5784	CDS	KIF20A
chr5	4704	4805	+	ONT5.8934.5784	intron	KIF20A
chr5	4805	4896	+	ONT5.8934.5784	CDS	KIF20A
chr5	4896	4997	+	ONT5.8934.5784	intron	KIF20A
chr5	4997	5134	+	ONT5.8934.5784	CDS	KIF20A
chr5	5134	5799	+	ONT5.8934.5784	intron	KIF20A
chr5	5799	6116	+	ONT5.8934.5784	CDS	KIF20A
chr5	6117	6364	+	ONT5.8934.5784	UTR	NA
chr5	93	185	+	ONT5.8934.5788	UTR	NA
chr5	185	645	+	ONT5.8934.5788	intron	NA
chr5	645	659	+	ONT5.8934.5788	UTR	NA
chr5	660	824	+	ONT5.8934.5788	CDS	KIF20A
chr5	824	925	+	ONT5.8934.5788	intron	KIF20A
chr5	925	1014	+	ONT5.8934.5788	CDS	KIF20A
chr5	1014	1112	+	ONT5.8934.5788	intron	KIF20A
chr5	1112	1231	+	ONT5.8934.5788	CDS	KIF20A
chr5	1231	1826	+	ONT5.8934.5788	intron	KIF20A
chr5	1826	1964	+	ONT5.8934.5788	CDS	KIF20A
chr5	1964	2089	+	ONT5.8934.5788	intron	KIF20A
chr5	2089	2276	+	ONT5.8934.5788	CDS	KIF20A
chr5	2276	2364	+	ONT5.8934.5788	intron	KIF20A
chr5	2364	2493	+	ONT5.8934.5788	CDS	KIF20A
chr5	2493	2599	+	ONT5.8934.5788	intron	KIF20A
chr5	2599	2793	+	ONT5.8934.5788	CDS	KIF20A
chr5	2793	2894	+	ONT5.8934.5788	intron	KIF20A
chr5	2894	3005	+	ONT5.8934.5788	CDS	KIF20A
chr5	3005	3110	+	ONT5.8934.5788	intron	KIF20A
chr5	3110	3178	+	ONT5.8934.5788	CDS	KIF20A
chr5	3178	3279	+	ONT5.8934.5788	intron	KIF20A
chr5	3279	3422	+	ONT5.8934.5788	CDS	KIF20A
chr5	3422	3524	+	ONT5.8934.5788	intron	KIF20A
chr5	3524	3689	+	ONT5.8934.5788	CDS	KIF20A
chr5	3689	3792	+	ONT5.8934.5788	intron	KIF20A
chr5	3792	3956	+	ONT5.8934.5788	CDS	KIF20A
chr5	3956	4058	+	ONT5.8934.5788	intron	KIF20A
chr5	4058	4197	+	ONT5.8934.5788	CDS	KIF20A
chr5	4197	4301	+	ONT5.8934.5788	intron	KIF20A
chr5	4301	4403	+	ONT5.8934.5788	CDS	KIF20A
chr5	4403	4506	+	ONT5.8934.5788	intron	KIF20A
chr5	4506	4704	+	ONT5.8934.5788	CDS	KIF20A
chr5	4704	4805	+	ONT5.8934.5788	intron	KIF20A
chr5	4805	4896	+	ONT5.8934.5788	CDS	KIF20A
chr5	4896	4997	+	ONT5.8934.5788	intron	KIF20A
chr5	4997	5134	+	ONT5.8934.5788	CDS	KIF20A
chr5	5134	5799	+	ONT5.8934.5788	intron	KIF20A
chr5	5799	6116	+	ONT5.8934.5788	CDS	KIF20A
chr5	6117	6362	+	ONT5.8934.5788	UTR	NA
chr5	101	181	+	ONT5.8934.5791	UTR	NA
chr5	181	639	+	ONT5.8934.5791	intron	NA
chr5	639	659	+	ONT5.8934.5791	UTR	NA
chr5	660	824	+	ONT5.8934.5791	CDS	KIF20A
chr5	824	925	+	ONT5.8934.5791	intron	KIF20A
chr5	925	1014	+	ONT5.8934.5791	CDS	KIF20A
chr5	1014	1112	+	ONT5.8934.5791	intron	KIF20A
chr5	1112	1231	+	ONT5.8934.5791	CDS	KIF20A
chr5	1231	1826	+	ONT5.8934.5791	intron	KIF20A
chr5	1826	1964	+	ONT5.8934.5791	CDS	KIF20A
chr5	1964	2089	+	ONT5.8934.5791	intron	KIF20A
chr5	2089	2276	+	ONT5.8934.5791	CDS	KIF20A
chr5	2276	2364	+	ONT5.8934.5791	intron	KIF20A
chr5	2364	2493	+	ONT5.8934.5791	CDS	KIF20A
chr5	2493	2599	+	ONT5.8934.5791	intron	KIF20A
